id,title,authors,venue,year
293,"merialdo & p. sindoni , g.â ?? the araneus web-base management systemâ ??","g mecca , p atzeni , a masci",acm sigmod international conference on management of,
295,a multimedia presentation algebra,"s adalä ± , ml sapino , vs subrahmanian","sigmod ,",1999.0
300,falcon : feedback adaptive loop for content-based retrieval,"t authors , c identified",,
314,an evaluation of buffer management strategies for relational database systems / / vldb '85,"ht chou , dj dewitt","proceedings of 11th international conference on very large & hellip ; ,",
324,efficient algorithms for large-scale topology discovery,"b donnet , p raoult , t friedman , m crovella",,
337,dictionary methods for cross-lingual information retrieval,"l ballesteros , wb croft","lecture notes in computer science ,",1996.0
339,sigcas chair 's message,cd martin,"computers and society ,",
362,a survey of distributed deadlock detection algorithms,ak elmagarmid,"acm sigmod record ,",1986.0
364,self-similarity in the web . 2 : 205â ?? 223,"s dill , r kumar , ks mccurley , s rajagopalan , d",,2002.0
372,xml document versioning,"sy chien , vj tsotras , c zaniolo","sigmod record ,",2001.0
405,capturing causality in distributed systems,"m raynal , m singhal","ieee computer ,",
408,data and knowledge base research at hong kong university of science and technology,"p drew , b hamidzadeh , k karlapalem , acy kean , dl","sigmod record ,",1995.0
409,guest editor 's introduction,f dehne,"algorithmica ,",1999.0
418,"0 . g. tsatalos , sj white , and mj zwiiiing . shoring up persistent applications","mj carey , dj dewitt , mj franklin , ne hall , ml",proc . acm sigmod,
422,update semantics of relational views,"f bancilhon , n spyratos","acm transactions on database systems ,",1981.0
435,clarans : a method for clustering objects for spatial data mining,rt ng,,
436,cure : an efficient clustering algorithm for large databases,"g sudipto , r rastogi , k shim","proceedings of acm sigmod international conference on & hellip ; ,",
454,simplicity : a region-based retrieval system for picture libraries and biomedical image databases,jz wang,"proceedings of the eighth acm international conference on & hellip ; ,",2000.0
466,improved query performance with variant indices,"poâ ?? neill , d quass","proceedings of sigmod conference ,",
468,querying multiple features of groups in relational databases,"d chatziantoniou , ka ross","proceedings of the international conference on very large & hellip ; ,",1996.0
483,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d van rossum","proceedings of the international conference on very large & hellip ; ,",1998.0
493,poesia : an ontological workflow approach for composing web services in agriculture,"r fileto , l liu , c pu , ed assad , cb medeiros","the vldb journal the international journal on very large & hellip ; ,",2003.0
494,an authorization mechanism for a relational database system,"pp griffiths , bw wade","acm transactions on database systems ,",1976.0
499,integrating association rule mining with relational database systems : alternatives and implications /,"s sarawagi , s thomas , r agrawal","san jose , california , usa , marz ,",
507,sql multimedia and application packages ( sql/mm ) base documents,p cotton,,1994.0
529,r-trees : a dynamic index structure for spatial searching,a guttrnan,"proceedings of the sigmod conference , boston , june ,",
538,data grid management systems,"rw moore , a jagatheesan",,
543,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c koch,"proceedings of the international conference on very large & hellip ; ,",2003.0
561,"y , jiang and yk ng.â ?? record-boundary discovery in web documents , â ??",d embley,"proc . acm sigmod conf ,",
568,strudel : a web-site management system,"m fernandez , j kang , a levy , d suciu",,
571,rule and data allocation in distributed deductive database systems,"sj lim , yk ng",,
572,automatic composition of transition-based semantic web services with messaging,"d berardi , d calvanese , g de giacomo , r hull , m","proceedings of the 31st international conference on very & hellip ; ,",2005.0
573,final report,l koehnken,"mount lyell remediation research and demonstration program . & hellip ; ,",
593,path queries on compressed xml,"p buneman , m grohe , c koch","proceedings of the international conference on very large & hellip ; ,",2003.0
612,data management for asymmetric communication environments,"s acharya , r alonso , m franklin , s zdonik , b disks","proc . acm sigmod conf. , san jose , ca , may ,",
630,multidatabase interoperability,"sigmod record , 1990","sigmod record ,",1990.0
631,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
646,effective memory use in a media server ( extended version ) . stan-ford technical report sidl-ivp -,"e chang , h garcia-molina",,1996.0
664,primitives for workload summarization and implications for sql,"s chaudhuri , p ganesan , v narasayya","proceedings of the international conference on very large & hellip ; ,",2003.0
666,"tc , metadata for multimedia documents",kr bã?hm,"sigmod record , special issue on metadata for digital media ,",
674,information management for gaze control in vision guided biped walking,jf seara,,
682,a language based multidatabase system,"e kã 1/4 hn , t tschernko , k schwarz","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
709,an ontological analysis of the relationship construct conceptual modeling,"w yair , cs veda , w kon","acm transactions on database systems ,",
713,rethinking database system architecture : towards a self-tuning risc-style database system,"s chaudhuri , g weikum","vldb ,",2000.0
720,tuple routing strategies for distributed eddies,"f tian , dj dewitt","vldb ,",2003.0
723,integrating user views in database design,"sb navathe , r elmasri , ja larson","ieee computer ,",
737,use of object-oriented constructs in a computational modeling system for earth scientists,ka carlson,,1995.0
742,ad 2003 . telegraphcq : continuous dataflow processing for an uncertain world,"s chandrasekaran , o cooperâ ? ¦",proc . of the conf . on innovative data systems research ( cidr,
758,"bancilhon . f. & mark , r. ( 1995 ) . objects and sql : strange relations","cj date , m nelson",,
772,guest editor 's introduction : user interfacesâ ¿ opening a window on the computer,d hix,"ieee software ,",1989.0
806,fast subsequence matching in time-series,"c faloutsos , m fanganathan , y monolopoulos","proceedings 1994 acm sigmod conference ,",
816,hilbert r-tree : an improved r-tree using hactals,"i kamel , c faloutsos","proceedings of the 20th vldb conference ,",
818,read-only transactions in a distributed database,"h garcia-molina , g wiederhold","acm transactions on database systems ,",1982.0
819,the n-tier hub technology,"ra sommer , tr gulledge , d bailey","sigmod record ,",2002.0
825,concurrency control in database systems,b bhargava,,
828,adding database management to ada,pav hall,"acm sigmod record ,",1983.0
841,"266-275 , v. ( 1997 ) . â ?? do n't scrap it , wrap it ! a wrapper architecture for legacy data sources.â ??","m tork roth , pm schwarz",proceedings of the 23rd international conference on very,
851,ipsofacto : a visual correlation tool for aggregate network traffic data,"f korn , s muthukrishnan , y zhu","sigmod conference ,",2003.0
859,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",,
866,lineage tracing in a data warehousing system,"y cui , j widom",,
899,a generalized model for a relational temporal database,"sk gadia , cs yeung","proceedings of the 1988 acm sigmod international conference & hellip ; ,",1988.0
926,efficient code distribution in wireless sensor networks,"n reijers , k langendoen","proceedings of the 2nd acm international conference on & hellip ; ,",2003.0
927,efficiently publishing relational data as xml documents,"j shanmungasundaram , e shekita , r barr , m carey , b","& hellip ; . of the int . conf . on very large data bases ( vldb ) , cairo , & hellip ; ,",
932,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
938,pat selinger speaks out,"p selinger , m winslett","sigmod record ,",
942,two-phase deadlock detection algorithm in distributed databases,"s kawazu , s minami , k itoh , k teranaka","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0
953,data integration in data warehousing,"d calvanese , g de giacomo , m lenzerini , d nardi , r","international journal of cooperative information systems ,",2001.0
967,interoperating geographic information systems,mf goodchildâ ? ¦,,1999.0
973,challenges for spoken dialog systems,jr glass,,1999.0
976,a mediator system for model-based information integration,"b ludã $ scher , a gupta , m martone",int . conf .,
977,query processing techniques in the summary-table-by-example database query language,"g ã?zsoyoä?lu , v matos , m ã?zsoyoä?lu","acm transactions on database systems ( tods ) ,",1989.0
996,a query language for a homogeneous temporal database,"sk gadia , jh vaishnav","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0
997,a unifying model of physical databases,"ds batory , cc gotlieb","acm transactions on database systems ,",1982.0
1001,k : a high-level knowledge base programming language for advanced database applications,ym shyy,,
1025,the architecture of simplicity,d miller,"the academy of management review ,",1993.0
1026,"the rufus system : information organizationforsemi-structured data , ''","k shoens , a luniewski , p schwarz , j stamos , j","proceedings of the 19th vldb conference , ireland ,",
1033,coalescing in temporal databases,"mh bijhlen , rt snodgrass , md soo",,
1043,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0
1047,fast algorithms for mining association rules . 20th int,"r agrawal , r skrikant","conf . on very large databases ( vldb ) . santiago de chile ,",
1052,analysis of sigmods co-authorship graph,m nascimentoâ ? ¦,"sigmod record ,",2003.0
1053,expiration and partially materialized views,"w labio , h garcia-molina","technical report , stanford university , 1997 . available at http : -",
1055,report on the 5th international workshop on knowledge representation meets databases ( krdbâ ?? 98 ),a borgida,"sigmod record ,",1998.0
1071,itqs : an integrated transport query system,"b huang , z huang , h li , d lin , h lu , y song","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
1095,guest editor 's introduction,wc newstetter,journal of the learning,
1111,semi-structured data extraction from heterogeneous sources,"x gao , l sterling",,
1112,"swarni ( 1993 ) , mining association rules between set of items in large databases",i agrawal,"proc . of the acm sigmod conference of management of data ,",
1113,special issue editorial,k ramamohanarao,"the vldb journal the international journal on very large & hellip ; ,",1994.0
1114,s3 : similarity search in cad database systems,"s berchtold , hp kriegel",,
1129,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani","sigmod conference ,",2003.0
1142,an index structure for efficient reverse nearest neighbor queries,"c yang , ki lin",,
1151,realm-based spatial data types : the rose algebra [ j ],"r cuting , m schnider","vldb journal ,",
1181,determining text databases to search in the internet,"kll weiyi meng , c yu , x war & , nr yuhsi chang",,
1183,oz + : an object-oriented database system,"sp weiser , fh lochovsky","acm press frontier series ,",1989.0
1184,ramakrishnan r. livny m ( 1996 ) birch : an efficient data clustering method for very large database,t zhang,proceedings of the 1996 acm sigmod international conference,
1189,high-end computing on shv workstations connected with high performance network,"lp huse , h bugge",,
1195,bluetooth-based sensor networks,"p bonnet , a beaufour , mb dydensborg , m leopold","acm sigmod record ,",2003.0
1217,an empirical analysis of information sytems changes,j heales,"proceedings of the international conference on information & hellip ; ,",1995.0
1237,apply data mining techniques to a health insurance information system,"m viveros , j nerahos , m rothman",,
1241,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
1249,qc-trees : an efficient summary structure for semantic olap .,"lvs lakshmanan , j pei , y zhao","sigmod conference ,",2003.0
1253,handling summary information in a database denvability,h sato,proc acm,
1268,"andez , and d. suciu . storing semistructured data with stored","a deutsch , m fern","& hellip ; of the acm sigmod international conference on management of & hellip ; ,",
1274,microsoft sql server 7.0 performance tuning guide,h lau,,
1277,an orthogonally persistent java tm,"mp atkinson , mj jordan , t printezis , s spence","sigmod record ,",1996.0
1283,"report on the first international conference on ontologies , databases and applications of semantics",k aberer,"acm sigmod record ,",2003.0
1284,schemasql { a language for querying and restructuring multidatabase systems . in proc . ieee int . conf .,"lvs lakshmanan , f sadri , in subramanian","bombay , india , september ,",
1291,defining data types in a database language,cj date,"acm sigmod record ,",1988.0
1296,missing information ( applicable and non-applicable ) in relational databases,ef codd,"acm sigmod rec ,",
1300,maintenance of association rules : when to update,"sd lee , d cheung","proc . of sigmod workshop on research issues in data mining & hellip ; ,",
1302,query optimization in the presence of limited access patterns,"a levy , i manolesu , d suciu , d florescu","proc . of acm sigmod conf . on management of data ,",
1303,database and information systems research database and information systems research for semantic web,"a sheth , r meersman",,
1307,locking primitives in a database system,hf korth,"journal of the acm ( jacm ) ,",1983.0
1319,foreword,fmh schek,"the vldb journal the international journal on very large & hellip ; ,",1992.0
1322,a web odyssey : from codd to xml,v vianu,,
1334,mining optimized association rules for numeric attributes,"j han , y fu","vldb proceedings ,",
1341,automatic presentations of structures,"b khoussainov , a nerode","lecture notes in computer science ,",1995.0
1352,thã © mis : a database programming language with integrity constraints .,acms anthology,,
1360,an object-oriented application development environment,"m ganti , p goyal , r nassif , s podar",,
1370,"ã cents â ? ¬ å?view maintenance in a warehousing environment , ã cents â ? ¬ â ? proc","y zhuge , h garcia-molina , j hammer , j widom","acm sigmod ,",
1410,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
1415,an efficient clustering-based heuristic for data gathering and aggregation in sensor networks,"k dasgupta , k kalpakis , p namjoshi",,
1440,"temporal coalescing with now , granularity , and incomplete information",ce dyreson,"sigmod conference ,",2003.0
1459,an efficient algorithm for mining association rules in large databases,"ase omiecinski , s navathe","i > proc . 21st int &#39; l conf . very large data bases , < / i > morgan & hellip ; ,",
1461,an annotated bibliography on active databases ( short version ),"u jaeger , jc freytag","sigmod-record ,",1995.0
1468,gral : an extensible relational database system for geometric applications,rh giiting,,
1470,"j. , and muntz , rr 1997 . sting : a statistical information grid approach to spatial data mining",wy wang,proc . int . conf . very large databases,
1472,"etal. , prospector : a content-based multimedia object server for massively parallel architectures","woâ ?? connell , it ieong , d schrader","proceedings of the acm sigmod conference on management of & hellip ; ,",
1506,java and relational databases,"g clossman , p shaw , m hapner , j klein , r","proceedings of 1998 acm sigmod conference on management of & hellip ; ,",
1509,a predicate-based caching scheme for client-server database architectures,"am keller , j basu","the vldb journal the international journal on very large & hellip ; ,",1996.0
1517,3xnf : redundancy eliminating xml storage in relations,"y chen , sb davidson , y zheng",submitted for,
1521,"declarative data cleaning : model , language , and algorithms","h galhardas , d florescu , d sasha , e simon , ca",proc . vldb,
1528,neill and g. graefe . multi-table joins through bitmapped join indexes,p oã cents,"sigmod record ,",
1529,plan-per-tuple optimization solutionâ ?? parallel execution of user defined functions,"f carino , woâ ?? connell","proceedings of the vldb conf ,",
1530,design and evaluation of incremental data structures and algorithms for dynamic query interfaces,"r beigel , b shneiderman",,
1544,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","r agrawal , ki lin , hs sawhney , k shim","vldb ,",1995.0
1547,commit processing in distributed secure and real-time transaction processing systems,pk nagaraj,,1998.0
1557,spire : a progressive content-based spatial image retrieval engine,"cs li , ld bergman , yc chang , v castelli , jr smith","sigmod record ,",2000.0
1560,maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983.0
1563,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
1566,"query caching and optimization in distributed mediator systems , proceedings of acm sigmod","s adali , ks candan , y papakonstantinou , vs","montreal , canada , june",
1580,efficient algorithms for processing xpath queries . extended version,"g gottlob , c koch , r pichler","proc . of the 28th international conference on very large & hellip ; ,",
1582,guarding the data warehouse gate,d radcliff,"computerworld ,",
1596,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",
1621,"triantaâ ® llou , p. , zioga , f. , 1997 . principles of optimally placing data in tertiary storage",s christodoulakis,proceedings of the 23rd vldb,
1626,efficient concurrency control for broadcast environments,"j shnmugasundram , a nithrakashyap , r sivasankaran ,","technical report , 1997-062 , department of computer science ,",
1660,andm . scholl . fromstructured documentstonovelquery facilities,"v christophides , s abiteboul , s cluet",proc . of acm sigmod conf . on management of,
1671,semantic cache mechanism for heterogeneous web querying,"b chidlovskii , c roncancio , ml schneider","www8 / computer networks ,",1999.0
1676,i. announcements,"ii business , iiip items",,2002.0
1685,recent experiences with data mining in aviation safety ( 1998 ),"e harris jr , e bloedorn , nj rothleder","sigmod98 dmkd workshop ,",
1694,sleepers and workoholics-caching in mobile wireless environments,"d barbara , t imielinski",proc . acm,
1729,cost evaluation of directory management schemes for distributed database systems,"y matsushita , h yamazaki , s hikita , i yoshida","proceedings of the 1980 acm sigmod international conference & hellip ; ,",1980.0
1739,nd-sql : a multi-dimensional language for interoperability and olap . 134-145,"f gingras , lvs lakshmanan",electronic,
1750,relational data sharing in peer-based data management systems,b ooi,"sigmod record ,",2003.0
1755,synchronization in a decentralized computer system,"r reed , d naming","ph. d. dissertation , mit laboratory for computer science ,",
1759,xml schemas without order,"f neven , t schwentick","unpublished manuscript ,",1999.0
1766,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos","sigmod conference ,",1999.0
1794,schneider : multi-step processing of spatial joins,"t brinkhoff , hp kriegel","proc . acm-sigmod intl. conf . on management of data , & hellip ; ,",
1796,"data mining using two-dimensional optimized association rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",,1996.0
1800,de ( 1994 ) from nested-loop to join queries in oodb,"hj steenhagen , pmg apers , hm blanken , ra by","proc . of the conf . on very large data bases ( vldb ) , & hellip ; ,",
1818,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"a datta , k dutta , k ramamritham , h thomas , d","sigmod conference ,",2001.0
1825,an online video placement policy based on bandwidth to space ratio,"a dan , d sitaram","proceedings of the acm sigmod conference ,",
1826,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise,"g aslan , d mcleod","the vldb journal the international journal on very large & hellip ; ,",1999.0
1829,the parameterized complexity of database queries,m grohe,,
1832,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",
1839,editorial,p willis,"bt technology journal ,",2000.0
1844,"the gemâ ?? stone data management system , object-oriented concepts , databases , and applications","mj carey , dj dewitt , jf richardson , ej shekita",,1989.0
1845,querying object-oriented databases,m kifer,,
1852,hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999.0
1856,the context interchange mediator prototype,"s madnick , t pena , j qu , a shum , m siegel","acm sigmod international conference on management of data ,",
1869,logical introduction to databases,j grant,,1987.0
1877,"outerjoin simplification and reordering for query optimization , 1993","ca galindo-legaria , a rosenthal",submitted for,
1887,toward learning based web query processing,"y diao , h lu , s chen , z tian","vldb ,",2000.0
1890,a genetic algorithm for data sequencing,"r drechsler , n gockel","electronic letters ,",1997.0
1899,demonstration : enabling scalable online personalization on the web,k dutta,"proceedings of the international conference on very large & hellip ; ,",2000.0
1903,discovery of multiple-level association rules from large databases in proc . 1995 int,"j han , y fu","conf . very large data bases , zurich , switzerland , sept ,",
1907,databases on the web : technologies for federation architectures and case studies ( tutorial ) .,"acms anthology , p edition",,
1908,andi . n. subramanian . schemasql-a language for interoperability in relational multi-database systems,"lvs lakshmanan , f sadri",proceedings of inter . conference on very large databases (,
1909,update synchronization in distributed databases,"wk cheng , gg belford","vldb ,",
1933,march 1993 . â ?? data management for mobile computingâ ??,"t imielinski , br badrinath",sigmod,
1939,user interface management systems and application portability,rc seacord,"ieee computer ,",
1966,xtract : learning document type descriptors from xml document collections,"m garofalakis , a gionis , r rastogi , s seshadri , k","data mining and knowledge discovery ,",2003.0
1979,model and verification of a data manager based on aries .,acms anthology,,
1980,"goodman . n. , â ?? timestamp-based algorithms for concurrency control in distributed database systems ,",p bernstein,"proc . 6th vldb cot & mexico city , mexico , oct ,",
1983,application of oodb and sgml techniques in text database : an electronic dictionary system,j zhang,"sigmod record ,",1995.0
1996,relational database operators,"r fagin , n forms","proc . acm sigmod conf . management of data ,",
1997,energy ejicient indexing on aiz acm sigmod int,"t imielinski , s viswanathan , b badrinath","conference on management of data ,",
2004,multi-dimensional selectivity estimation using compressed histogram information,"jh lee , dh kim , cw chung","sigmod conference ,",1999.0
2042,andm . mehta . sprint : ascalableparallel classifier fordata mining . in 22 nd,"j shafer , r agrawal","vldb proceedings , bombay , india ,",
2045,a survey of schema-based matching approaches,"p shvaiko , j euzenat",,
2046,"the multiview project : object-oriented view technology and applications , acm int","e rundensteiner , h kuno , y ra , v crestana-taube , m","conf . on management of data ( sigmodâ ?? 96 ) ,",
2050,applying the golden rule of sampling for query estimation,"yl wu , d agrawal , a el abbadi","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
2052,the vagabond approach to logging and recovery in transaction-time temporal object database systems,k nã ¸ rvã ¥ g,,
2054,andg . pozzi . specificationandimplementationofexceptions in workflow management systems,"f casati , s ceri , s paraboschi","acm trans . on database systems ,",
2055,validation algorithms for pointer values in dbtg databases,"bp da thomas , rj buhr","acm transactions on database systems ,",1977.0
2058,predator : an or-dbms with enhanced data types,psm paskin,"proc . of acm sigmod ,",1997.0
2065,"automated selection of materialized views and indexes for sql databases , materialized view selection","s agrawal , s chaudhuri , v narasayya","proc . of vldb , roma , italy ,",
2073,ql et . al. on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt","sigmod , santa barbara , california ,",
2081,web service composition with o'grape and osiris,"r weber , c schuler , p neukomm , h schuldt , hj schek","proceedings of the international conference on very large & hellip ; ,",2003.0
2103,dynamic binding of service users and providers in an open services environment,"a wolisz , v tschammer","computer networks ,",
2113,the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,
2114,equivalences among aggregate queries with negation,"s cohen , w nutt , y sagiv",,
2127,horizontal data partitioning in database systems,"s ceri , m negri , g pelagatti",proc . of the acm sigmod international conference on,
2128,multiway spatial joins,"n mamoulis , d papadias","acm transactions on database systems ,",2001.0
2139,tokuyamat ( 1996 ) mining optimized association rules for numeric attributes,"my fukudat , s morishita",proc . 15th acm sigact-sigmod-sigart symposium on principles,
2153,adsp oâ ?? neil . the dangers of replication and a solution,"jn gray , p helland",proceedings of the 1996 acm sigmod international conference,
2161,lore : a lightweight object repository for semistructured data .,"acms anthology , p edition",,
2170,guest editorial,"z bankowski , a scott , f snyder","european law journal ,",1998.0
2177,bigsur : a system for the management of earth science data,"p brown , m stonebraker","& hellip ; international conference on very large data bases table of & hellip ; ,",1995.0
2179,a performance evaluation of oid mapping techniques,"a eickler , ca gerlhof","vldb ,",1995.0
2180,constraint satisfaction in database theory,m vardi,,
2186,"lh * - a scalable , distributed data store","w litwin , ma neimat , da schneider","acm transactions on database systems ( tods ) ,",
2187,data-driven one-to-one web site generation for data-intensive web applications,"s ceri , p fraternali , s paraboschi","proceedings of vldbâ ?? 99 , september 1999 , edinburgh ,",
2195,what can hierarchies do for data warehouses ?,"hv jagadish , lvs lakshmanan , d srivastava","proceedings of the international conference on very large & hellip ; ,",1999.0
2201,fast computation of sparse datacubes [ c ],"ka ross , d strivastava","proc of the 23a vldb conf , athens , green ,",
2202,a probabilistic relational model,"d dey , s sarkar","acm trans . database systems ,",
2204,"interactive result visualization and view management in multimedia databases , ''","ks candan , e lemar , vs subrahmanian","& hellip ; to the special issue of the vldb journal on multimedia & hellip ; ,",
2219,incremental maintenance of recursive views using relational calculus/sql,j su,"sigmod record ,",2000.0
2235,editor 's notes,r goldstein,"the american statistician ,",1996.0
2237,understanding semantic relations,v storey,"vldb journal ,",
2244,an introduction to spatial database systems,rh gtlting,"spatial database systems of the vldb journal ,",
2245,"role-based security , object-oriented database & separation of duties","m nyanchama , s osborn","acm sigmod record ,",
2296,content-based queries in image databases,"u shaft , r ramakrishnan","computer sciences technical report-university of wisconsin & hellip ; ,",1996.0
2308,searching in metric spaces with user-defined and approximate distances,"p ciaccia , m patella","acm transactions on database systems ,",2002.0
2325,congressional samples for approximate answering of group-by queries,"s acharya , pb gibbons , v poosala","sigmod conference ,",2000.0
2326,dynamic resource allocation for multi-user query execution,dl davison,,1995.0
2329,partitioned garbage collection or a large object store,"u maheshwari , b liskov","& hellip ; of the acm sigmod international conference on management of & hellip ; ,",
2336,predicalc : a logical spreadsheet management system,"m kassoff , lm zen , a garg , m genesereth","proceedings of the 31st international conference on very & hellip ; ,",2005.0
2342,mining access patterns efficiently from web logs,"j pei , j han , b mortazavi-asl , h zhu","lecture notes in computer science ,",2000.0
2345,incremental maintenance of materialized ontologies,"r volz , s staab , b motik","lecture notes in computer science ,",
2357,personal interview with author,d byrd,,2004.0
2364,roussoploulos . adaptiveselectivity estimation using query feedback,cm chenandn,"proc . of the acm sigmod conference ,",
2380,conceptual model of service reputation,"em maximilien , mp singh","special section on semantic web and data management , sigmod & hellip ; ,",
2389,nearest neighbor queries,"n rossopoulos , s kelly , f vincent","proc . of acm-sigmod ,",
2397,"languages for relational databases over interpreted structures , in â ?? pods 1997","m benedikt , l libkin","proceedings of the sixteenth acm-sigmod-sigart symposium on & hellip ; ,",
2407,a genetic approach for outlier detection in high-dimensional data-sets,"l boudjeloud , f poulet","modeling , computation and optimization in information & hellip ; ,",
2413,an array-based algorithm for simultaneous multidimensional aggregates,"y zhao , pm deshpande , jf naughton","sigmod conference ,",1997.0
2414,semantic caching of web queries,"b chidlovskii , um borghoff","the vldb journal the international journal on very large & hellip ; ,",2000.0
2415,mathematical programming approaches to machine learning and data mining,ps bradley,,1998.0
2432,skew handling techniques in sort-merge join,"w li , d gao , rt snodgrass",,
2444,interbase : a multidatabase prototype system,"oa bukhres , j chen , ak elmagarmid , x liu , jg",,
2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0
2464,research issuesinspatial databases,"o guenther , a buchmann","acm sigmod record ,",
2467,"â ?? specification and implementation of exceptions in workflow management systems , & rdquo","f casati , s ceri , s paraboschi , g pozzi","acm trans . database systems ,",
2475,improving semantic specification in a relational database,e sciore,,
2476,on the self-similarity of the logistic map,"zj grzywna , ls liebovitch , z siwy","cellular and molecular biology letters ,",1997.0
2486,the semantic integration workshop at iswc 2003,"a doan , a halevy , n noy","sigmod record ,",2004.0
2488,the case for enhanced abstract data types,"p seshadri , m livny , r ramakrishnan","proceedings of the international conference on very large & hellip ; ,",1997.0
2509,provision of market services for eco compliant electronic market places,"s arpinar , a dogac","sigmod record ,",2000.0
2512,dissemination of dynamic data,"p deolasee , a katkar , a panchbudhe , k ramamritham ,",proceedings of the acm sigmod international conference on,
2517,chip-secured data access : reconciling access rights with data encryption,"l bouganim , fd ngoc , p pucheral , l wu","proceedings of the international conference on very large & hellip ; ,",2003.0
2518,updating relational databases through xml views,v braganholo,,
2523,information management for genome level bioinformatics,"nw paton , ca goble","proceedings of the 27th international conference on very & hellip ; ,",2001.0
