species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order,flavor_text,name
s_b97010c0,1.0,id-77,32,10.0,8.0,3.0,4,60,50,0,20,0,2,0,0.0,0.0,,"This Pokémon can be seen galloping throughfields at speeds of up to 150 mph, its fiery manefluttering in the wind.",Rapidash
s_b97010c0,1.0,id-77,32,10.0,8.0,3.0,4,60,50,0,20,0,2,0,0.0,0.0,,"The fastest runner becomes the leader, and itdecides the herd’s pace and direction of travel.",Rapidash
s_d931c7de,1.0,,33,6.0,8.0,9.0,4,190,50,0,20,0,2,0,0.0,0.0,,"Slow-witted and oblivious, this Pokémon won’tfeel any pain if its tail gets eaten. It won’t noticewhen its tail grows back, either.",Slowpoke
s_d931c7de,1.0,,33,6.0,8.0,9.0,4,190,50,0,20,0,2,0,0.0,0.0,,"When this Pokémon’s tail is soaked in water,sweetness seeps from it. Slowpoke uses this traitto lure in and fish up other Pokémon.",Slowpoke
s_835a78c6,7.0,id-747,385,2.0,10.0,,4,75,50,0,20,0,2,0,0.0,0.0,,"To survive in the cold waters of Galar, thisPokémon forms a dome with its legs, enclosingits body so it can capture its own body heat.",Toxapex
s_835a78c6,7.0,id-747,385,2.0,10.0,,4,75,50,0,20,0,2,0,0.0,0.0,,Within the poison sac in its body is a poison sotoxic that Pokémon as large as Wailord will stillbe suffering three days after it first takes effect.,Toxapex
s_adef8a85,8.0,id-816,432,2.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"A clever combatant, this Pokémon battles usingwater balloons created with moisture secretedfrom its palms.",Drizzile
s_adef8a85,8.0,id-816,432,2.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"Highly intelligent but also very lazy,it keeps enemies out of its territoryby laying traps everywhere.",Drizzile
s_e9c54a88,1.0,id-111,50,4.0,6.0,6.0,4,60,50,0,20,1,1,0,0.0,0.0,161.0,It begins walking on its hind legs after evolution.It can punch holes through boulders with its horn.,Rhydon
s_e9c54a88,1.0,id-111,50,4.0,6.0,6.0,4,60,50,0,20,1,1,0,0.0,0.0,161.0,"Protected by an armor-like hide, it is capable ofliving in molten lava of 3,600 degrees Fahrenheit.",Rhydon
s_f96a37da,1.0,id-63,27,3.0,6.0,8.0,2,100,50,0,20,1,4,0,0.0,0.0,128.0,"Using its psychic power, Kadabra levitates as itsleeps. It uses its springy tail as a pillow.",Kadabra
s_f96a37da,1.0,id-63,27,3.0,6.0,8.0,2,100,50,0,20,1,4,0,0.0,0.0,128.0,"This Pokémon’s telekinesis is immensely powerful.To prepare for evolution, Kadabra stores uppsychic energy in the star on its forehead.",Kadabra
s_3b77c5ae,1.0,id-440,51,6.0,6.0,8.0,8,30,140,0,40,0,3,0,0.0,0.0,,The egg Chansey carries is not only deliciousbut also packed with nutrition. It’s used as ahigh-class cooking ingredient.,Chansey
s_3b77c5ae,1.0,id-440,51,6.0,6.0,8.0,8,30,140,0,40,0,3,0,0.0,0.0,,"This species was once very slow. To protect theireggs from other creatures, these Pokémonbecame able to flee quickly.",Chansey
s_78c39ef7,7.0,,412,7.0,4.0,,-1,3,50,0,15,0,1,0,1.0,0.0,,The dense fog it creates brings the downfalland destruction of its confused enemies.Ocean currents are the source of its energy.,Tapu Fini
s_3dc06c96,1.0,,52,2.0,7.0,3.0,4,45,50,0,20,0,2,0,0.0,0.0,,"Hidden beneath a tangle of vines that growsnonstop even if the vines are torn off, thisPokémon’s true appearance remains a mystery.",Tangela
s_3dc06c96,1.0,,52,2.0,7.0,3.0,4,45,50,0,20,0,2,0,0.0,0.0,,"The vines of a Tangela have a distinct scent.In some parts of Galar, Tangela vines are usedas herbs.",Tangela
s_222cd0af,1.0,,53,3.0,6.0,3.0,8,45,50,0,20,0,2,1,0.0,0.0,,"Although it’s carrying its baby in a pouch onits belly, Kangaskhan is swift on its feet. Itintimidates its opponents with quick jabs.",Kangaskhan
s_222cd0af,1.0,,53,3.0,6.0,3.0,8,45,50,0,20,0,2,1,0.0,0.0,,There are records of a lost human child beingraised by a childless Kangaskhan.,Kangaskhan
s_4ebb5fde,1.0,,2,8.0,6.0,4.0,1,45,50,0,20,0,4,0,0.0,0.0,109.0,"It has a preference for hot things. When it rains,steam is said to spout from the tip of its tail.",Charmander
s_4ebb5fde,1.0,,2,8.0,6.0,4.0,1,45,50,0,20,0,4,0,0.0,0.0,109.0,"From the time it is born, a flame burns at the tipof its tail. Its life would end if the flame were togo out.",Charmander
s_5ede63b7,1.0,id-4,2,8.0,6.0,4.0,1,45,50,0,20,0,4,0,0.0,0.0,110.0,"It has a barbaric nature. In battle, it whips itsfiery tail around and slashes away with sharp claws.",Charmeleon
s_5ede63b7,1.0,id-4,2,8.0,6.0,4.0,1,45,50,0,20,0,4,0,0.0,0.0,110.0,"If it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings.",Charmeleon
s_90465d1c,1.0,id-5,2,8.0,6.0,4.0,1,45,50,0,20,0,4,1,0.0,0.0,111.0,It spits fire that is hot enough to melt boulders.It may cause forest fires by blowing flames.,Charizard
s_90465d1c,1.0,id-5,2,8.0,6.0,4.0,1,45,50,0,20,0,4,1,0.0,0.0,111.0,"Its wings can carry this Pokémon close to analtitude of 4,600 feet. It blows out fire at veryhigh temperatures.",Charizard
s_4c7d4db5,1.0,,3,2.0,6.0,9.0,1,45,50,0,20,0,4,0,0.0,0.0,,"When it retracts its long neck into its shell, itsquirts out water with vigorous force.",Squirtle
s_4c7d4db5,1.0,,3,2.0,6.0,9.0,1,45,50,0,20,0,4,0,0.0,0.0,,"When it feels threatened, it draws its limbs insideits shell and sprays water from its mouth.",Squirtle
s_75fe6168,1.0,,1,5.0,8.0,3.0,1,45,50,0,20,0,4,0,0.0,0.0,,There is a plant seed on its back right from theday this Pokémon is born. The seed slowlygrows larger.,Bulbasaur
s_75fe6168,1.0,,1,5.0,8.0,3.0,1,45,50,0,20,0,4,0,0.0,0.0,,"While it is young, it uses the nutrients that arestored in the seed on its back in order to grow.",Bulbasaur
s_3e7ee11c,1.0,id-1,1,5.0,8.0,3.0,1,45,50,0,20,0,4,0,0.0,0.0,,"When the bulb on its back grows large, itappears to lose the ability to stand on itshind legs.",Ivysaur
s_3e7ee11c,1.0,id-1,1,5.0,8.0,3.0,1,45,50,0,20,0,4,0,0.0,0.0,,Exposure to sunlight adds to its strength.Sunlight also makes the bud on its backgrow larger.,Ivysaur
s_1b2044f1,1.0,id-2,1,5.0,8.0,3.0,1,45,50,0,20,1,4,1,0.0,0.0,,Its plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.,Venusaur
s_1b2044f1,1.0,id-2,1,5.0,8.0,3.0,1,45,50,0,20,1,4,1,0.0,0.0,,A bewitching aroma wafts from its flower.The fragrance becalms those engagedin a battle.,Venusaur
s_657a7df7,8.0,,432,2.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"When scared, this Pokémon cries. Its tears packthe chemical punch of 100 onions, and attackerswon’t be able to resist weeping.",Sobble
s_657a7df7,8.0,,432,2.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"When it gets wet, its skin changes color,and this Pokémon becomes invisible as ifit were camouflaged.",Sobble
s_6f6b245f,1.0,id-116,54,2.0,5.0,7.0,4,75,50,0,20,0,2,0,0.0,0.0,,"It’s the males that raise the offspring. WhileSeadra are raising young, the spines on theirbacks secrete thicker and stronger poison.",Seadra
s_6f6b245f,1.0,id-116,54,2.0,5.0,7.0,4,75,50,0,20,0,2,0,0.0,0.0,,"Seadra’s mouth is slender, but its suction poweris strong. In an instant, Seadra can suck in foodthat’s larger than the opening of its mouth.",Seadra
s_405b1864,1.0,id-7,3,2.0,6.0,9.0,1,45,50,0,20,0,4,0,0.0,0.0,,"It is recognized as a symbol of longevity. If itsshell has algae on it, that Wartortle is very old.",Wartortle
s_405b1864,1.0,id-7,3,2.0,6.0,9.0,1,45,50,0,20,0,4,0,0.0,0.0,,It cleverly controls its furry ears and tail tomaintain its balance while swimming.,Wartortle
s_bf854439,1.0,id-8,3,2.0,6.0,9.0,1,45,50,0,20,0,4,1,0.0,0.0,,"It crushes its foe under its heavy body to causefainting. In a pinch, it will withdraw inside its shell.",Blastoise
s_bf854439,1.0,id-8,3,2.0,6.0,9.0,1,45,50,0,20,0,4,1,0.0,0.0,,The rocket cannons on its shell fire jets of watercapable of punching holes through thick steel.,Blastoise
s_f846a3d0,2.0,,102,4.0,1.0,2.0,4,190,70,0,20,0,2,0,0.0,0.0,56.0,It likes to makeits shell thickerby adding layersof tree bark. Theadditional weightdoesn't bother it.,Pineco
s_1bf6704e,1.0,,55,8.0,3.0,9.0,4,225,50,0,20,1,2,0,0.0,0.0,,"Its dorsal, pectoral, and tail fins wave elegantlyin water. That is why it is known as the Water Dancer.",Goldeen
s_1bf6704e,1.0,,55,8.0,3.0,9.0,4,225,50,0,20,1,2,0,0.0,0.0,,Its dorsal and pectoral fins are strongly developedlike muscles. It can swim at a speed of five knots.,Goldeen
s_62796e63,2.0,,103,10.0,2.0,1.0,4,190,50,0,20,0,2,0,0.0,0.0,,This Pokémon’s tiny wings have some scientistssaying that Dunsparce used to fly through the skyin ancient times.,Dunsparce
s_62796e63,2.0,,103,10.0,2.0,1.0,4,190,50,0,20,0,2,0,0.0,0.0,,The nests Dunsparce live in are mazes of tunnels.They never get lost in their own nests—they cantell where they are by the scent of the dirt.,Dunsparce
s_ac38b9f5,2.0,,104,7.0,9.0,4.0,4,60,70,0,20,1,4,0,0.0,0.0,,It flies straightat its target'sface then clampsdown on the star­tled victim toinject poison.,Gligar
s_c26cf86a,2.0,,98,4.0,1.0,1.0,4,45,35,0,25,0,3,0,0.0,0.0,183.0,It likes playingmischievous trickssuch as screamingand wailing tostartle people atnight.,Misdreavus
s_faa078bf,2.0,,99,1.0,1.0,5.0,-1,225,70,0,40,0,2,0,0.0,0.0,,Their shapes looklike hieroglyphson ancient tab­lets. It is saidthat the two aresomehow related.,Unown
s_9560c165,2.0,id-360,100,2.0,5.0,1.0,4,45,50,0,20,1,2,0,0.0,0.0,,"It hates light and shock. If attacked, it inflates itsbody to pump up its counterstrike.",Wobbuffet
s_9560c165,2.0,id-360,100,2.0,5.0,1.0,4,45,50,0,20,1,2,0,0.0,0.0,,"To keep its pitch-black tail hidden, it lives quietlyin the darkness. It is never first to attack.",Wobbuffet
s_bb1b7d4c,1.0,id-118,55,8.0,3.0,9.0,4,60,50,0,20,1,2,0,0.0,0.0,,"In autumn, its body becomes more fatty inpreparing to propose to a mate. It takes onbeautiful colors.",Seaking
s_bb1b7d4c,1.0,id-118,55,8.0,3.0,9.0,4,60,50,0,20,1,2,0,0.0,0.0,,"Using its horn, it bores holes in riverbedboulders, making nests to prevent its eggs fromwashing away.",Seaking
s_05fd9f89,5.0,id-616,312,8.0,4.0,,4,75,50,0,15,0,2,0,0.0,0.0,,It moves with blinding speed and lobs poison atfoes. Featuring Accelgor as a main character isa surefire way to make a movie or comic popular.,Accelgor
s_05fd9f89,5.0,id-616,312,8.0,4.0,,4,75,50,0,15,0,2,0,0.0,0.0,,"Discarding its shell made it nimble. To keepitself from dehydrating, it wraps its body inbands of membrane.",Accelgor
s_0f911739,5.0,,312,8.0,1.0,,4,200,50,0,15,0,2,0,0.0,0.0,,"When attacked, it tightly shuts the lid of its shell.This reaction fails to protect it from Karrablast,however, because they can still get into the shell.",Shelmet
s_0f911739,5.0,,312,8.0,1.0,,4,200,50,0,15,0,2,0,0.0,0.0,,"It has a strange physiology that responds toelectricity. When together with Karrablast,Shelmet evolves for some reason.",Shelmet
s_b370a92c,5.0,,311,2.0,1.0,,-1,25,50,0,25,0,2,0,0.0,0.0,,"With its icy chains, Cryogonal freezes those itencounters. It then takes its victims away tosomewhere unknown.",Cryogonal
s_b370a92c,5.0,,311,2.0,1.0,,-1,25,50,0,25,0,2,0,0.0,0.0,,"When the weather gets hot, these Pokémon turninto water vapor. Cryogonal are almost neverseen during summer.",Cryogonal
s_1d1dd1b4,5.0,id-613,310,9.0,8.0,,4,60,50,0,20,0,2,0,0.0,0.0,105.0,"It swims through frigid seas, searching for prey.From its frozen breath, it forms icy fangs thatare harder than steel.",Beartic
s_1d1dd1b4,5.0,id-613,310,9.0,8.0,,4,60,50,0,20,0,2,0,0.0,0.0,105.0,"It swims energetically through frigid seas.When it gets tired, it freezes the seawaterwith its breath so it can rest on the ice.",Beartic
s_c108e4ee,2.0,id-95,41,4.0,2.0,1.0,4,25,50,0,25,1,2,1,0.0,0.0,176.0,"It is said that if an Onix lives for over 100 years,its composition changes to become diamond-like.",Steelix
s_c108e4ee,2.0,id-95,41,4.0,2.0,1.0,4,25,50,0,25,1,2,1,0.0,0.0,176.0,It is thought its body transformed as a result ofiron accumulating internally from swallowing soil.,Steelix
s_8bbe5d4d,2.0,,105,6.0,12.0,8.0,6,190,70,0,20,0,3,0,0.0,0.0,,"Although it looksfrightening, it isactually kind andaffectionate. Itis very popularamong women.",Snubbull
s_0d5912d9,5.0,id-610,309,5.0,6.0,,4,60,35,0,40,0,1,0,0.0,0.0,145.0,"After battle, this Pokémon carefully sharpens itstusks on river rocks. It needs to take care of itstusks—if one breaks, it will never grow back.",Fraxure
s_0d5912d9,5.0,id-610,309,5.0,6.0,,4,60,35,0,40,0,1,0,0.0,0.0,145.0,"Its skin is as hard as a suit of armor. Fraxure’sfavorite strategy is to tackle its opponents,stabbing them with its tusks at the same time.",Fraxure
s_4f27b543,5.0,,309,5.0,6.0,,4,75,35,0,40,0,1,0,0.0,0.0,144.0,These Pokémon nest in the ground and use theirtusks to crush hard berries. Crushing berries isalso how they test each other’s strength.,Axew
s_4f27b543,5.0,,309,5.0,6.0,,4,75,35,0,40,0,1,0,0.0,0.0,144.0,"They play with each other by knocking their largetusks together. Their tusks break sometimes, butthey grow back so quickly that it isn’t a concern.",Axew
s_3d49322c,8.0,id-827,436,3.0,,,4,127,50,0,15,0,3,0,0.0,0.0,,"It secretly marks potential targets with a scent.By following the scent, it stalks its targetsand steals from them when they least expect it.",Thievul
s_3d49322c,8.0,id-827,436,3.0,,,4,127,50,0,15,0,3,0,0.0,0.0,,"With a lithe body and sharp claws, it goesaround stealing food and eggs. Boltundis its natural enemy.",Thievul
s_a1e072ab,7.0,,422,4.0,12.0,,-1,3,0,0,120,0,1,0,0.0,1.0,,"This artificial Pokémon, constructed more than500 years ago, can understand human speechbut cannot itself speak.",Magearna
s_995bd62b,8.0,id-810,430,5.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"The faster a Thwackey can beat out a rhythmwith its two sticks, the more respect it wins fromits peers.",Thwackey
s_995bd62b,8.0,id-810,430,5.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"When it’s drumming out rapid beats in battle, itgets so caught up in the rhythm that it won’t evennotice that it’s already knocked out its opponent.",Thwackey
s_ed735a50,5.0,id-588,299,4.0,4.0,,4,75,50,0,15,0,2,0,0.0,0.0,,They use shells they’ve stolen from Shelmetto arm and protect themselves. They’re verypopular Pokémon in the Galar region.,Escavalier
s_ed735a50,5.0,id-588,299,4.0,4.0,,4,75,50,0,15,0,2,0,0.0,0.0,,"It charges its enemies, lances at the ready.An image of one of its duels is captured in a famouspainting of Escavalier clashing with Sirfetch’d.",Escavalier
s_43effeee,5.0,,299,2.0,12.0,,4,200,50,0,15,0,2,0,0.0,0.0,,Its strange physiology reacts to electrical energyin interesting ways. The presence of a Shelmetwill cause this Pokémon to evolve.,Karrablast
s_43effeee,5.0,,299,2.0,12.0,,4,200,50,0,15,0,2,0,0.0,0.0,,It spits a liquid from its mouth to melt throughShelmet’s shell. Karrablast doesn’t eat the shell—it eats only the contents.,Karrablast
s_e631d237,8.0,,430,5.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"When it uses its special stick to strike up a beat,the sound waves produced carry revitalizingenergy to the plants and flowers in the area.",Grookey
s_e631d237,8.0,,430,5.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"It attacks with rapid beats of its stick.As it strikes with amazing speed, it getsmore and more pumped.",Grookey
s_ce766db6,8.0,id-819,433,3.0,,,4,90,50,0,20,0,2,0,0.0,0.0,,"It stashes berries in its tail—so many berries thatthey fall out constantly. But this Pokémon is a bitslow-witted, so it doesn’t notice the loss.",Greedent
s_ce766db6,8.0,id-819,433,3.0,,,4,90,50,0,20,0,2,0,0.0,0.0,,"Common throughout the Galar region, thisPokémon has strong teeth and can chewthrough the toughest of berry shells.",Greedent
s_6b4390a6,8.0,,434,2.0,,,4,255,50,0,15,0,4,0,0.0,0.0,,"It will bravely challenge any opponent, no matterhow powerful. This Pokémon benefits from everybattle—even a defeat increases its strength a bit.",Rookidee
s_6b4390a6,8.0,,434,2.0,,,4,255,50,0,15,0,4,0,0.0,0.0,,"Jumping nimbly about, this small-bodiedPokémon takes advantage of even the slightestopportunity to disorient larger opponents.",Rookidee
s_97e9b00a,2.0,,61,8.0,6.0,4.0,2,45,50,1,25,0,2,0,0.0,0.0,,"This Pokémon is still small and timid.Whenever Magby gets excited or surprised,flames leak from its mouth and its nose.",Magby
s_97e9b00a,2.0,,61,8.0,6.0,4.0,2,45,50,1,25,0,2,0,0.0,0.0,,"This Pokémon makes its home near volcanoes.At the end of the day, Magby soaks in magma,resting and recovering from the day’s fatigue.",Magby
s_0bd1f6ac,8.0,,431,9.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"A warm-up of running around gets fire energycoursing through this Pokémon’s body. Once thathappens, it’s ready to fight at full power.",Scorbunny
s_0bd1f6ac,8.0,,431,9.0,,,1,45,50,0,20,0,4,0,0.0,0.0,,"It has special pads on the backs of its feet, andone on its nose. Once it’s raring to fight, thesepads radiate tremendous heat.",Scorbunny
s_56724cee,2.0,id-167,85,8.0,14.0,2.0,4,90,70,0,15,0,3,0,0.0,0.0,,It spins stringnot only from itsrear but also fromits mouth. It ishard to tell whichend is which.,Ariados
s_d687eb70,7.0,id-769,397,3.0,2.0,,4,60,50,0,15,0,2,0,0.0,0.0,,"Palossand is known as the Beach Nightmare. Itpulls its prey down into the sand by controllingthe sand itself, and then it sucks out their souls.",Palossand
s_d687eb70,7.0,id-769,397,3.0,2.0,,4,60,50,0,15,0,2,0,0.0,0.0,,"This Pokémon lives on beaches, but it hateswater. Palossand can’t maintain its castle-likeshape if it gets drenched by a heavy rain.",Palossand
s_960a3edc,8.0,id-878,460,5.0,,,4,90,50,0,25,0,2,0,0.0,0.0,,They came over from another region longago and worked together with humans.Their green skin is resistant to water.,Copperajah
s_960a3edc,8.0,id-878,460,5.0,,,4,90,50,0,25,0,2,0,0.0,0.0,,"These Pokémon live in herds. Their trunks haveincredible grip strength, strong enough to crushgiant rocks into powder.",Copperajah
s_f6db9f78,8.0,,460,10.0,,,4,190,50,0,25,0,2,0,0.0,0.0,,"It digs up the ground with its trunk. It’s also verystrong, being able to carry loads of overfive tons without any problem at all.",Cufant
s_f6db9f78,8.0,,460,10.0,,,4,190,50,0,25,0,2,0,0.0,0.0,,"If a job requires serious strength, this Pokémonwill excel at it. Its copper body tarnishes in therain, turning a vibrant green color.",Cufant
s_9eb664f8,8.0,id-872,455,9.0,,,4,75,50,0,20,0,2,0,0.0,0.0,,Icy scales fall from its wings like snow as it fliesover fields and mountains. The temperature of itswings is less than −290 degrees Fahrenheit.,Frosmoth
s_9eb664f8,8.0,id-872,455,9.0,,,4,75,50,0,20,0,2,0,0.0,0.0,,"It shows no mercy to any who desecrate fieldsand mountains. It will fly around on its icy wings,causing a blizzard to chase offenders away.",Frosmoth
s_b96bae61,8.0,,455,9.0,,,4,190,50,0,20,0,2,0,0.0,0.0,,"It spits out thread imbued with a frigid sort ofenergy and uses it to tie its body to branches,disguising itself as an icicle while it sleeps.",Snom
s_b96bae61,8.0,,455,9.0,,,4,190,50,0,20,0,2,0,0.0,0.0,,"It eats snow that piles up on the ground.The more snow it eats, the bigger and moreimpressive the spikes on its back grow.",Snom
s_392b0710,8.0,,454,7.0,,,4,75,50,0,20,0,2,0,0.0,0.0,,"It feeds on seaweed, using its teeth to scrape itoff rocks. Electric current flows from the tips ofits spines.",Pincurchin
s_392b0710,8.0,,454,7.0,,,4,75,50,0,20,0,2,0,0.0,0.0,,"It stores electricity in each spine. Even if one getsbroken off, it still continues to emit electricity forat least three hours.",Pincurchin
s_6428e35d,8.0,,453,10.0,,,-1,45,50,0,25,0,2,0,0.0,0.0,,"Five of them are troopers, and one is the brass.The brass’s orders are absolute.",Falinks
s_6428e35d,8.0,,453,10.0,,,-1,45,50,0,25,0,2,0,0.0,0.0,,"The six of them work together as one Pokémon.Teamwork is also their battle strategy, and theyconstantly change their formation as they fight.",Falinks
s_1e4955b4,8.0,,459,10.0,,,4,180,50,0,10,0,2,0,0.0,0.0,,"As it eats the seeds stored up in its pocket-likepouches, this Pokémon is not just satisfying itsconstant hunger. It’s also generating electricity.",Morpeko
s_1e4955b4,8.0,,459,10.0,,,4,180,50,0,10,0,2,0,0.0,0.0,,"It carries electrically roasted seeds with it as ifthey’re precious treasures. No matter how muchit eats, it always gets hungry again in short order.",Morpeko
s_7d832d4b,8.0,,458,7.0,,,0,30,140,0,40,0,3,0,0.0,0.0,,"It uses the horns on its head to sense theemotions of others. Males will act as valets forthose they serve, looking after their every need.",Indeedee
s_7d832d4b,8.0,,458,7.0,,,0,30,140,0,40,0,3,0,0.0,0.0,,"Through its horns, it can pick up on the emotionsof creatures around it. Positive emotions are thesource of its strength.",Indeedee
s_9caeba2c,8.0,,457,2.0,,,4,60,50,0,25,0,1,0,0.0,0.0,,It drifted in on the flow of ocean waters from afrigid place. It keeps its head iced constantly tomake sure it stays nice and cold.,Eiscue
s_9caeba2c,8.0,,457,2.0,,,4,60,50,0,25,0,1,0,0.0,0.0,,"This Pokémon keeps its heat-sensitive head coolwith ice. It fishes for its food, dangling its singlehair into the sea to lure in prey.",Eiscue
s_7d10f9a9,8.0,,456,4.0,,,4,60,50,0,25,0,1,0,0.0,0.0,,"It stands in grasslands, watching the sun’s descentfrom zenith to horizon. This Pokémon has a talentfor delivering dynamic kicks.",Stonjourner
s_7d10f9a9,8.0,,456,4.0,,,4,60,50,0,25,0,1,0,0.0,0.0,,"Once a year, on a specific date and at a specifictime, they gather out of nowhere and form up ina circle.",Stonjourner
s_d007c411,5.0,,318,3.0,8.0,,4,45,50,0,20,0,2,0,0.0,0.0,,These Pokémon can crush a car with no morethan a headbutt. Bouffalant with more hair ontheir heads hold higher positions within the herd.,Bouffalant
s_d007c411,5.0,,318,3.0,8.0,,4,45,50,0,20,0,2,0,0.0,0.0,,These Pokémon live in herds of about 20individuals. Bouffalant that betray the herd willlose the hair on their heads for some reason.,Bouffalant
s_21eabc83,5.0,,261,7.0,8.0,,4,255,50,0,20,0,2,0,0.0,0.0,,It steals things from people just to amuse itselfwith their frustration. A rivalry exists betweenthis Pokémon and Nickit.,Purrloin
s_21eabc83,5.0,,261,7.0,8.0,,4,255,50,0,20,0,2,0,0.0,0.0,,Opponents that get drawn in by its adorablebehavior come away with stinging scratches fromits claws and stinging pride from its laughter.,Purrloin
s_b820d23c,5.0,id-507,260,4.0,8.0,,4,45,50,0,15,0,4,0,0.0,0.0,,These Pokémon seem to enjoy living with humans.Even a Stoutland caught in the wild will warm upto people in about three days.,Stoutland
s_b820d23c,5.0,id-507,260,4.0,8.0,,4,45,50,0,15,0,4,0,0.0,0.0,,Stoutland is immensely proud of its impressivemoustache. It’s said that moustache length is whatdetermines social standing among this species.,Stoutland
s_a826fedc,5.0,,319,9.0,9.0,,0,190,50,0,20,0,1,0,0.0,0.0,169.0,"If it spies a strong Pokémon, Rufflet can’t resistchallenging it to a battle. But if Rufflet loses,it starts bawling.",Rufflet
s_a826fedc,5.0,,319,9.0,9.0,,0,190,50,0,20,0,1,0,0.0,0.0,169.0,"A combative Pokémon, it’s ready to pick a fightwith anyone. It has talons that can crushhard berries.",Rufflet
s_e3d78c2f,5.0,id-502,258,2.0,8.0,,1,45,70,0,20,0,4,0,0.0,0.0,108.0,One swing of the sword incorporated inits armor can fell an opponent. A simpleglare from one of them quiets everybody.,Samurott
s_ad8df55f,5.0,id-501,258,2.0,6.0,,1,45,70,0,20,0,4,0,0.0,0.0,107.0,Strict training is how it learns itsflowing double-scalchop technique.,Dewott
s_348881b2,5.0,,258,2.0,6.0,,1,45,70,0,20,0,4,0,0.0,0.0,106.0,"It fights using the scalchop on itsstomach. In response to an attack,it retaliates immediately by slashing.",Oshawott
s_e2974573,5.0,id-499,257,8.0,6.0,,1,45,70,0,20,0,4,0,0.0,0.0,123.0,It can throw a fire punch by setting itsfists on fire with its fiery chin. It caresdeeply about its friends.,Emboar
s_6b0189ab,5.0,id-506,260,4.0,8.0,,4,120,50,0,15,0,4,0,0.0,0.0,,Herdier is a very smart and friendly Pokémon.So much so that there’s a theory that Herdier wasthe first Pokémon to partner with people.,Herdier
s_6b0189ab,5.0,id-506,260,4.0,8.0,,4,120,50,0,15,0,4,0,0.0,0.0,,The black fur that covers this Pokémon’s bodyis dense and springy. Even sharp fangs bounceright off.,Herdier
s_b6b42b0d,5.0,,260,3.0,8.0,,4,255,50,0,15,0,4,0,0.0,0.0,,This Pokémon is courageous but also cautious.It uses the soft fur covering its face to collectinformation about its surroundings.,Lillipup
