pokemon,species
p_c77e9ecb,s_3b6c95f9
p_5e73b1a4,s_ec81c406
p_bf8a51a9,s_1aff20e9
p_1f4e0cd6,s_b298d84a
p_1f98be64,s_7f50c4de
p_3afa3b1f,s_93c59ceb
p_32febb4c,s_222c0b4f
p_48c60354,s_f40ef8df
p_dd2fedc0,s_312ed1a3
p_67126bb8,s_d1f10de6
p_42364427,s_d1f10de6
p_2c72f2eb,s_78885468
p_0249651b,s_7571bad9
p_09f90587,s_b585a420
p_6a484dd8,s_68101ada
p_87572f69,s_f488e500
p_dde687c7,s_0da04acf
p_55a6d177,s_adef8a85
p_7d0e028d,s_657a7df7
p_ef70bd61,s_995bd62b
p_685e6ec3,s_e631d237
p_294412cf,s_0bd1f6ac
p_6e74a1c6,s_ad4f4313
p_e5bb7429,s_a9f035d7
p_2bebc7e1,s_1488174c
p_ed62803b,s_1a9096ac
p_02df98a8,s_0f2625ad
p_58aa512e,s_dfbd949f
p_ee33a166,s_77e41fcc
p_d2659a9e,s_7c20d3b9
p_c5595f41,s_4b4a2eb7
p_a3f8a973,s_01afea36
p_ce7164e7,s_aebb0264
p_63cb0f79,s_529d93a1
p_9fa66810,s_eb3e9f94
p_d1ba6da7,s_0022d6bd
p_1f0c3ead,s_2259cb84
p_722351a7,s_939f53bd
p_7905cfda,s_53801eec
p_71f3299e,s_adabe60f
p_4a117d08,s_9cdd23fd
p_d7ed3c9e,s_af5f9619
p_7a2a8881,s_bf3075db
p_2810c77f,s_bf3075db
p_30736fbc,s_8b53aaf4
p_36b645c7,s_53a6c3e7
p_76474bdd,s_5dbec2b8
p_8acd609b,s_835a78c6
p_489c9249,s_2c50ca17
p_425b9571,s_7a9f17fe
p_6b0a270e,s_352222ce
p_5f65cdfe,s_57011ada
p_263617d9,s_a3263103
p_409ec8ef,s_8d1fd247
p_e83f8be5,s_ef9a0c45
p_40107d44,s_760419c4
p_32e4efad,s_2f65999a
p_9f4efaac,s_4ed458af
p_2e4599f4,s_51e17498
p_2132aeab,s_5d983bb9
p_f0d74359,s_e37be817
p_e188761a,s_0fa2e87f
p_23c8309b,s_b40d4e32
p_330e2989,s_7dfaf23a
p_9077d865,s_50f33c91
p_c2fe38c3,s_90465d1c
p_3c1ced89,s_b053a5d7
p_453d353c,s_63f4997c
p_c8d8cfbc,s_69348a96
p_472bdf47,s_cf9021a0
p_b854cc2e,s_6d05c53d
p_9641d857,s_1fae860f
p_0a753ba5,s_70e280e6
p_2594b9b4,s_01eef293
p_058dd15a,s_e5b0f064
p_3cc13e81,s_fe35ff2b
p_6f795e76,s_416b3ab4
p_ef35d918,s_f601f01d
p_e26a87c6,s_e0df33ce
p_7ec30e71,s_dd11391a
p_4521e725,s_2f65999a
p_82478fcc,s_0e556087
p_e980e7a8,s_bb1677ba
p_5a5c86ad,s_37e013c3
p_12a028ab,s_6cf3ce6d
p_5fe9bb83,s_202905f3
p_865a1fff,s_169dc4a1
p_423b61dc,s_dd11391a
p_13d01f9a,s_dd11391a
p_f909329c,s_dd11391a
p_8d219ba4,s_5312917a
p_d078f9e5,s_b69c95bf
p_8918dc2a,s_0cbecda6
p_232d7dbf,s_dd11391a
p_fd52e986,s_dd11391a
p_fc984720,s_1e715d85
p_c138ff94,s_adaf1d09
p_2f372431,s_515f8bbb
p_95672d72,s_e2a93971
p_5825f4e1,s_d47f5bb4
p_88a653a2,s_27f544fb
p_a26fbc55,s_0ee77392
p_cdae6e63,s_13c2debe
p_909d9de8,s_0ee77392
p_4772c9e3,s_1fae860f
p_ffda1da3,s_70719e38
p_fab205e4,s_1f3a2176
p_a4bfb623,s_4035b51a
p_bed61bd7,s_4f99ba89
p_c153f899,s_2bf314b3
p_a8394db2,s_986ca577
p_773613a5,s_986ca577
p_51dab86e,s_dade631f
p_6791e219,s_dade631f
p_ba87b459,s_4981f341
p_a26516bb,s_4cf9af4a
p_7698f7ed,s_35838fac
p_2cde6180,s_f601f01d
p_aba34775,s_dd11391a
p_fc2d0ea8,s_dd11391a
p_b316cd1e,s_7f59cff4
p_c3d19dea,s_dd11391a
p_b83b55f3,s_0b752fcd
p_da739ec5,s_0b752fcd
p_61926aed,s_65e014d1
p_99f14a48,s_7559125f
p_7338299f,s_68101ada
p_9303066c,s_68101ada
p_2147dbe8,s_f0cea787
p_a2552e68,s_f0cea787
p_e88399d1,s_bd8a7e67
p_d967f20b,s_3d49322c
p_3f77527f,s_3e9299bc
p_ae2ba1f1,s_7365355c
p_2e0a4ae3,s_ce766db6
p_285038c2,s_6b4390a6
p_16c44746,s_30192da8
p_b2cef8b5,s_a00aca21
p_3b9d1bb8,s_ed923923
p_b5319255,s_6a22f928
p_0e9167e0,s_219034e5
p_33278401,s_30b6736d
p_cac2e83a,s_32062a76
p_ca20363b,s_46a46d15
p_cbbafb8a,s_529d93a1
p_d8fb29ff,s_2778d8f3
p_e72a0f9a,s_b5fa1fe4
p_5037c562,s_9ef662ce
p_ee4084ab,s_0d427535
p_259a9e14,s_72e0ca3d
p_7aadb02a,s_eaa1e5c0
p_64e5c334,s_1919736b
p_a1af6156,s_bd27cec1
p_a69c3214,s_7565cff4
p_b329e3e4,s_0cb61e66
p_77df0ebd,s_e5341cc7
p_e754a5e4,s_473abc0b
p_b1babd1d,s_7812e1d1
p_e97dfa42,s_ee02ecda
p_ada7ab36,s_8d7e8d46
p_e9fde9f3,s_3e9740b2
p_2a18b3d9,s_b014eb90
p_f9633c1c,s_234be78d
p_2740b16b,s_9f931596
p_71c7056b,s_1c12a3c3
p_97dcf870,s_8a76c2f2
p_8d63bdcb,s_486ec97a
p_0f0804e7,s_5a19a6a0
p_d6753cdd,s_1517314d
p_59ced13c,s_500dda81
p_4318586f,s_5bd39535
p_11f60c38,s_dbd65ab5
p_bf079185,s_ee900f25
p_1dfce879,s_f96a37da
p_51eb4fc7,s_391b555c
p_59218116,s_0432abd3
p_a4fd0c3e,s_eeca1ff9
p_77e70836,s_222761b8
p_744e1884,s_1c86b682
p_a55e2031,s_fd26ddb6
p_14b3f019,s_990b9a2b
p_1964999e,s_9fe9eeb0
p_c228043a,s_e9766258
p_b0f9a90a,s_e9766258
p_72e15826,s_e9766258
p_084c68e1,s_e9766258
p_c2b97f4d,s_e9766258
p_4f7cf831,s_e9766258
p_3810560f,s_3ce98706
p_567194e1,s_3ce98706
p_6beb481a,s_2486a741
p_fbd17c82,s_990b9a2b
p_076ccf88,s_6a7d8bdb
p_8b5fa701,s_9a60d8b5
p_ac8c0316,s_392b7887
p_63b1898c,s_e34f44ad
p_10efd9b6,s_db5626b8
p_782c5cf3,s_4cf9af4a
p_ebfbfabd,s_1e2ceac8
p_b2a7b6f3,s_a1f483e2
p_dead0b4e,s_acfaf0f1
p_9eda7881,s_1ff9166b
p_6d2547fc,s_1ff9166b
p_deb0abb8,s_088196b5
p_e6b9aa69,s_a1e072ab
p_0b6d3984,s_dd11391a
p_e6d8a37a,s_dd11391a
p_7598b3c4,s_dd11391a
p_d32a8511,s_1ff9166b
p_ccf81d76,s_e633d4d1
p_4c1c93cf,s_c5fdffbe
p_96090477,s_3f713328
p_1fb302d0,s_3f713328
p_618bc2f8,s_1517314d
p_c510c8dd,s_3f713328
p_2fe6bba7,s_3ce98706
p_e5d60ad1,s_3ce98706
p_c1d700d1,s_e1fc2411
p_7e4f5e49,s_5a761d61
p_0edfd1ef,s_b97010c0
p_f25bb647,s_4683d62e
p_150bb3c2,s_09954f22
p_e85d495f,s_3f4d517a
p_223d7565,s_babb8a4c
p_ee7e1b87,s_169dc4a1
p_cd3af449,s_4cf9af4a
p_b08174f7,s_b6d1f8b0
p_55bfcd6d,s_5cf2c09e
p_956806b2,s_6d05c53d
p_befd539f,s_a8fb1e0a
p_54ba0b8f,s_5dbec2b8
p_6d67fd73,s_7dc4771b
p_2ae3682d,s_90465d1c
p_c84eb7b2,s_90465d1c
p_376a830e,s_0f682ba1
p_b4f86955,s_5ce1e269
p_3c3e6977,s_5ce1e269
p_d2d65f8f,s_2c10c740
p_6ba7451e,s_87f0729c
p_7cc090f2,s_dd90874c
p_e8ce0640,s_dd90874c
p_d8129c9f,s_47842dbd
p_8b660138,s_47842dbd
p_53658daf,s_8b0d14b4
p_7d66243c,s_8b0d14b4
p_99122174,s_3fd57bc7
p_1d901841,s_4bda13b2
p_197a5393,s_31313ecb
p_43404e6a,s_c83cee9d
p_82636fe8,s_1d9a3394
p_957b9638,s_cacf2e11
p_3e284a6c,s_cacf2e11
p_fc26e850,s_4378f523
p_8126f0ab,s_2b9d0f89
p_dd6a3fca,s_cc8e73ba
p_39bfe34e,s_d6991ff6
p_ab176bcf,s_6b657916
p_188ab6a7,s_fbf996d5
p_484ce831,s_cf9021a0
p_201fdc80,s_1d72f6db
p_f23c049b,s_bea61789
p_38ef26e2,s_115daa98
p_829a9937,s_047c94d3
p_3e099db5,s_00c456e5
p_63646996,s_60a1e19d
p_e440c697,s_5383cd00
p_389067eb,s_becf95c4
p_096f264d,s_70172ee5
p_9227d3c3,s_40a7ec4b
p_73177b96,s_3b754147
p_92b03b56,s_4cb68538
p_99f869fa,s_c661e51e
p_6e52d608,s_e3a4384f
p_72f099cc,s_59531016
p_a5c9b715,s_169dc4a1
p_babeeff6,s_5cd84bfe
p_4485de56,s_adaf1d09
p_9990a3d1,s_adaf1d09
p_fa3363c6,s_d63fba10
p_34eb35b1,s_2f9349cb
p_9dd71ce3,s_c7b0c6e0
p_dd48bdde,s_2c73666f
p_c1ffd7ef,s_beab8418
p_35b9da5e,s_32209f4a
p_8a91119c,s_99860850
p_1fec2936,s_184216e2
p_18fdfece,s_5d3043e2
p_601905ef,s_b1e630f0
p_c0515915,s_73e0c5aa
p_a202cf46,s_2b496071
p_cab87f9c,s_03b9947e
p_f3a4c682,s_cf3e765e
p_d2cd5a35,s_9b1d373c
p_7778b143,s_48a9ae96
p_0dbf3bcb,s_4820b58e
p_d536b7c4,s_bb66d690
p_04003ebb,s_23263453
p_4c204b7b,s_bdf68109
p_c6ccdd5a,s_f6994b83
p_df721367,s_b97010c0
p_3c3c8163,s_d931c7de
p_35e3e28c,s_1d4694e5
p_240dbe3f,s_e9766258
p_cc508049,s_e9766258
p_06a17f5b,s_e9766258
p_77e6af98,s_e9766258
p_f2abfea9,s_e9766258
p_2483e2af,s_e9766258
p_76ebb936,s_2d6b16d3
p_2b2e05a9,s_99860850
p_9c7d8f1c,s_8d7e8d46
p_f4b4a84b,s_02e531ae
p_529822b7,s_dd11391a
p_50e81cfa,s_8eb21cdf
p_6246e21e,s_23263453
p_513f6866,s_23263453
p_7a56476a,s_86cd7aaf
p_8fbeaf54,s_1e715d85
p_10a8ace4,s_cb0e71bd
p_0dfbf219,s_05fd9f89
p_8a8b8e9b,s_0f911739
p_e57dd7af,s_b370a92c
p_a3023f14,s_1d1dd1b4
p_5d9504dd,s_9db486bb
p_a042c523,s_14f32d8e
p_fd2ea492,s_0d5912d9
p_bf42f3ad,s_4f27b543
p_a7c1831e,s_8128c22e
p_89827269,s_4f99ba89
p_b7aecb4b,s_30067ed1
p_cabee6b0,s_a3a5e994
p_d6935ca3,s_37e013c3
p_1333a9b7,s_7bccfbe1
p_acc5c82e,s_f32a9325
p_c09b60d7,s_a8daf2e0
p_f389ec4f,s_84507806
p_36147e3e,s_e9766258
p_936faaaa,s_6574713c
p_5cf18504,s_6c77196c
p_963beed1,s_8c340e59
p_2f4770ed,s_760419c4
p_d79908d6,s_a10858fe
p_1f87756c,s_9a60d8b5
p_4d303174,s_2083aaf5
p_b0b38613,s_160b3ecc
p_026cd7df,s_83a340a4
p_6fb052b6,s_83a340a4
p_4486ed4d,s_f1c673ac
p_60739100,s_f1c673ac
p_5b88f951,s_b599f20d
p_6bca8aa0,s_b599f20d
p_0ae3b98f,s_bb66d690
p_90e451d3,s_857e29cc
p_d215f036,s_75d86a77
p_bb70ca7d,s_1d184354
p_4842cf6d,s_1d184354
p_c713d6d6,s_76b2ccae
p_c64bc4cb,s_7f59cff4
p_e23b0b20,s_b116224d
p_6982eafc,s_2d12005b
p_fedfa699,s_2d12005b
p_0b6da2e2,s_ad633bf0
p_dc8c22f4,s_ad633bf0
p_cc9fff4e,s_b980b443
p_006cbd58,s_ac4d059c
p_50debd56,s_fc73aa6c
p_8a4635d2,s_96d2fa86
p_04018088,s_76bbe341
p_2d982552,s_d32753b0
p_6b0eccff,s_a0280295
p_6febeb23,s_2d44642b
p_0e6ff850,s_2c50ca17
p_f94fdaf8,s_8723f5e5
p_45135e39,s_444a9cf0
p_ed0eadfb,s_17692cec
p_a03b2eb3,s_dd4296fe
p_2f87674d,s_d475cff9
p_c6f743a1,s_cf1c0ca8
p_8c064eae,s_c8062085
p_776419a4,s_738f0fcd
p_e19d803f,s_2e4f7f8f
p_91c09092,s_4b344e1a
p_88e9c5a8,s_86343ca3
p_9f690a13,s_efd9ba39
p_0d5631ae,s_295e1434
p_5e57b9bb,s_75fe6168
p_7182cf07,s_4981f341
p_dedabc81,s_ee02ecda
p_0aca48dc,s_8a1df778
p_8f5f4663,s_a1fb5a5e
p_273e2d4c,s_894c74d0
p_c44616f1,s_0a109f22
p_5312db94,s_505b3578
p_d7d78042,s_a59c25d2
p_ef29d877,s_2d388a54
p_3a2592f8,s_c9d0f40c
p_89667662,s_87f0729c
p_f888734b,s_8531de6b
p_cc28c80c,s_31313ecb
p_ff4d1e4e,s_8875ab88
p_e6f20e53,s_4416a76c
p_083b23ee,s_9670a524
p_36f75a00,s_696f4f05
p_1f8b3b12,s_3fd57bc7
p_5dfc29e2,s_efd8a369
p_565f4e4f,s_60fa9201
p_40ef56c0,s_88524577
p_cc6c4e93,s_fe978049
p_6f5fa1da,s_e8899c57
p_8e66e422,s_d71fe6f8
p_b67ba255,s_cec0ddc5
p_2e4486ce,s_2cba37ef
p_b0ee5bfc,s_f332cd1a
p_b7bd3e09,s_f56885fa
p_85c1c4a0,s_daf29445
p_aa6a22f9,s_dd90874c
p_90771f73,s_596e29ef
p_e46df071,s_a0de0224
p_6478ec98,s_5879c685
p_bc6a749e,s_40a29b02
p_d5df5acf,s_79717875
p_de82105f,s_30067ed1
p_735181e2,s_32c1e7de
p_611b1c4d,s_7f5deafc
p_757aa842,s_3ce98706
p_a2512708,s_e3dc96e4
p_4106f58a,s_9970a4cb
p_d1037b13,s_e9766258
p_6a7eb5e8,s_1fb87815
p_ac98fc65,s_32c1e7de
p_6b6fb291,s_a4dcf17b
p_bc7c63ac,s_d931c7de
p_b3bd6222,s_30067ed1
p_db4e574f,s_a197caf5
p_082a3ac8,s_23ee6f78
p_9cc7e0a1,s_b820d23c
p_4066f3c3,s_68c4ff61
p_e3ba3e2d,s_7670d1fa
p_20888121,s_92756eba
p_9a670085,s_bdb0d1df
p_eaab2be7,s_b617730d
p_126a2048,s_29d1d267
p_e0ae31bf,s_d9ed8e5d
p_b8613810,s_d9ed8e5d
p_1cecd7d3,s_35679292
p_e2a76a4d,s_9c9496e5
p_48ed165a,s_4fe2e38a
p_db0695da,s_4fe2e38a
p_8baedeab,s_cb0e71bd
p_454216cf,s_4cf9af4a
p_09791791,s_2c50ca17
p_fbae352a,s_2c50ca17
p_843e2cac,s_444a9cf0
p_35ed34ec,s_9caeba2c
p_e43dfab0,s_7d832d4b
p_bf469e28,s_1e4955b4
p_eeb3fb90,s_5b98f89e
p_cd98c58e,s_dd11391a
p_88c56d20,s_3dd984a9
p_87258758,s_2d6b16d3
p_5a5af76f,s_2d6b16d3
p_f6ad97b0,s_709be860
p_77c3b77e,s_eef1ede2
p_327ee00f,s_feee3926
p_f1ab1fcc,s_3af877eb
p_61570bd4,s_8859de26
p_c7d74294,s_73d83e5f
p_3ed40554,s_59a2f021
p_64a0e6a6,s_1fc107a6
p_1e116de1,s_bb66d690
p_8270be12,s_8b7bec74
p_26be0430,s_a7ba9545
p_761d35b7,s_6392cd96
p_d4c2ce7f,s_d7c7e637
p_f46ef00f,s_d7c7e637
p_f955620f,s_c9357504
p_53ca299a,s_71405b9b
p_eb27f9f8,s_c6898c10
p_d58ec5f9,s_c6898c10
p_3937b865,s_5292d44c
p_8b331de2,s_5292d44c
p_0e6cbfbf,s_3b618ac3
p_317636e0,s_e9766258
p_d253b18b,s_bf42e369
p_23804fbb,s_51b42ae7
p_9254b2cb,s_62796e63
p_b1bb230e,s_6d98e076
p_d39fb82a,s_23321b9d
p_7759665e,s_71718535
p_f6b7668c,s_9fa57ecb
p_5d927e94,s_522b3b3a
p_a3bd5651,s_7957c3e6
p_f04ca75c,s_c381a309
p_b60c4745,s_aa6f768f
p_9ad812a7,s_11f23032
p_bbdf15eb,s_6658902b
p_6548a46c,s_c7cb0431
p_6e266805,s_c7cb0431
p_1c5b97b2,s_76b3e772
p_a3c2abea,s_fb805db3
p_3ba2c866,s_b3274871
p_b3f1f2ca,s_307ad0f6
p_870be1ee,s_acbd1ce0
p_f62dc024,s_f32bdbad
p_33f48ea4,s_60c409ca
p_660bbb9e,s_ccb1a212
p_cec76c79,s_524f0d5a
p_d9097c4c,s_58c35206
p_7f5f59c6,s_4f719d86
p_0c497dff,s_4f719d86
p_4f8b0122,s_78885468
p_06a12b08,s_dd11391a
p_035dde54,s_e983e129
p_d7f251a7,s_5e0dfe73
p_c75ba952,s_4b9eb3a4
p_ad129141,s_3a362497
p_bac81a50,s_1ff9166b
p_b94c4a50,s_ef1313a5
p_f13b10dc,s_a4dcf17b
p_14c68c06,s_a4dcf17b
p_92b1a1b9,s_4fe2e38a
p_492f61d1,s_26d556c6
p_c088c721,s_2e9d55d6
p_e50540a3,s_2bf314b3
p_67c9d1c8,s_2bf314b3
p_62c2c145,s_d8f29c14
p_f51d937a,s_cc3d9631
p_7c7e59d7,s_aa9283d0
p_abf4ea48,s_681395ce
p_b9c10e38,s_0105e93b
p_4c8fa9a4,s_c7cb0431
p_f6b8126c,s_1fc3d6e1
p_e67b6392,s_247e8e72
p_a924572d,s_872d118f
p_017d6fd1,s_1c95a3b5
p_3ad2b091,s_552bd146
p_10ea2cd6,s_04ce451b
p_df880bcb,s_c2adcf45
p_557a542a,s_2bab24f4
p_1cc20b48,s_3871341a
p_f7e90316,s_a2c4af56
p_96e505a9,s_f022b9dc
p_826bf6d6,s_605e4637
p_2721938f,s_5ced2172
p_646c471b,s_e4da2f65
p_f50aac19,s_e2635484
p_0f6112b0,s_f6299ac9
p_e8403e01,s_584086c6
p_0f82a606,s_4003e267
p_96ddbd3e,s_9fe0110a
p_f636ec5f,s_244f9e96
p_d7608ab1,s_f2c59ac8
p_83af0c39,s_088f8488
p_0e9a4d44,s_b96ac067
p_0de2d509,s_a576ba60
p_3636f88c,s_39003267
p_10db75e9,s_74db1c99
p_45db8d04,s_b75f82f3
p_8563e62e,s_ce4f8432
p_1bcb6686,s_19cb8371
p_1556a1fc,s_dade631f
p_3c10dd0d,s_e17a85e1
p_6e9efc46,s_ff398dac
p_76c7544b,s_42fb9a61
p_0bbc2d23,s_790aa0e7
p_7797b0fb,s_7a9f17fe
p_0251597a,s_3ee86b85
p_93219ad6,s_ff91bd8e
p_edef180e,s_29239732
p_4f9a92c7,s_cec0ddc5
p_94bba9df,s_8e0e13c0
p_7052e755,s_7812e1d1
p_861bf7c8,s_eaa1e5c0
p_629abb38,s_6cf3ce6d
p_59188a72,s_202905f3
p_39daae0c,s_ede6bf4d
p_a2d39e11,s_9970a4cb
p_b1c6eab8,s_7cbeb082
p_9a496336,s_15482d5e
p_37264b34,s_1a9096ac
p_f01160a9,s_4a7d4255
p_c59e8747,s_fdac2163
p_13707f5d,s_54a5fad1
p_0e075c16,s_8bc442a2
p_038d4142,s_59c218de
p_1c99d832,s_28297f46
p_c07cf29c,s_fd26ddb6
p_519049e9,s_d1cfe9e0
p_f3ff9cea,s_3c78fb67
p_095b14bb,s_52813e27
p_2c39f244,s_2d12005b
p_9c1b40de,s_d1cfe9e0
p_3fc28e0d,s_ef10efe5
p_5b42981f,s_c8b8eafc
p_f829df42,s_69ef130b
p_5ca0e957,s_29137604
p_43e2d88c,s_8e0e13c0
p_09159dbf,s_8e0e13c0
p_3df8bef5,s_3601b633
p_39272a14,s_59c218de
p_76573da7,s_8007e35d
p_208d1bfb,s_8007e35d
p_4de7ad1c,s_db23e4d0
p_8bc1f309,s_29137604
p_92ef3a16,s_29137604
p_73944ff0,s_62e72e2e
p_50a86fd6,s_2560e839
p_26f6f1c5,s_1e2ceac8
p_4dd233d9,s_34628d48
p_122d931d,s_b87ea008
p_c1d9b686,s_b87ea008
p_d0a989de,s_3ce23ce8
p_3bfc6080,s_6f6b245f
p_f494bed4,s_cc0df058
p_3333452d,s_b2eb7adb
p_f4b3e1a7,s_4f719d86
p_bf5d16c9,s_b87ea008
p_c35dec28,s_0605a1a4
p_48dd526d,s_0605a1a4
p_c6ec8f64,s_4a92bfd8
p_5e1a4e8b,s_f3fd3df0
p_044681a8,s_0bc1b5f4
p_71ca9670,s_4f143237
p_127d13c3,s_4820b58e
p_3bec042a,s_4820b58e
p_fe6e2ac2,s_08321aa7
p_a3da52c7,s_57a63736
p_6617666d,s_2560e839
p_0a3c571b,s_690e81d5
p_822cd7f5,s_91585ea5
p_688f8a9c,s_9ccd2c5c
p_db512e2e,s_d21a12f2
p_ee85c34a,s_366993b5
p_1a804c5b,s_af67b43b
p_5f90d022,s_65105109
p_09a31d96,s_d5d44b74
p_6bd4cb18,s_3be47623
p_b09c5025,s_e8959011
p_22308fcc,s_8b0d14b4
p_1a371be7,s_6a744163
p_eb011a63,s_6a744163
p_56495143,s_98164ed9
p_d59a3ae0,s_98d60dc8
p_6dd89464,s_f79a4bcd
p_327b708e,s_cab3c625
p_bba44793,s_15dd1bc1
p_41c077fa,s_729e069f
p_7b7e4da3,s_4f15b8c9
p_76c8ee3a,s_d3bdaaf8
p_1d082332,s_ef10efe5
p_30643a25,s_cbe27c53
p_178de45c,s_d1ba20e5
p_509ebd6d,s_cc3c9758
p_694a7703,s_1a116443
p_7999fb59,s_d24439fd
p_c1bbbb42,s_97e9b00a
p_77ccac8c,s_e7b81cf3
p_bdb77fba,s_26b3d763
p_7efa2ba3,s_69ef130b
p_5be788d6,s_86cd7aaf
p_0cd225f3,s_3f21fd6a
p_82918f0b,s_a5709c7a
p_f9c75a11,s_44ae41db
p_538debc7,s_0fa2e87f
p_dc7a6fa4,s_7307e234
p_7fe3a274,s_57b57e1f
p_c404d1e4,s_bb883b71
p_de47a041,s_8b1a49c5
p_7365569d,s_ac9e4519
p_6f2d1ad0,s_6a7d8bdb
p_1abdebcd,s_5cf2c09e
p_9829b5b3,s_3d099aa5
p_0244e014,s_99011fcb
p_3191cd4b,s_17474df0
p_0f172982,s_98d60dc8
p_d0635c2d,s_e9766258
p_4c64f2e6,s_ceae7aab
p_16b62d45,s_d1f10de6
p_d73ef4d8,s_146c1434
p_bb404b90,s_2afafb77
p_c83ff981,s_e1856006
p_f7f3b79f,s_8fa7861f
