pokemon,name,height,weight,base_experience,is_default
p_0f069a0b,mawile-mega,10.0,235.0,168,0
p_0ad6ba17,aggron-mega,22.0,3950.0,284,0
p_fc9860fa,zygarde-50,50.0,3050.0,300,1
p_9919792a,diancie,7.0,88.0,300,1
p_a8f5f853,banette-mega,12.0,130.0,194,0
p_38997265,absol-mega,12.0,490.0,198,0
p_038e95d1,medicham-mega,13.0,315.0,179,0
p_74c47dc2,manectric-mega,18.0,440.0,201,0
p_759b076b,bergmite,10.0,995.0,61,1
p_21a871ee,avalugg,20.0,5050.0,180,1
p_5d4c6cc1,pumpkaboo-average,4.0,50.0,67,1
p_2458f020,gourgeist-average,9.0,125.0,173,1
p_93dc7e97,xerneas,30.0,2150.0,340,1
p_aad2103f,yveltal,58.0,2030.0,340,1
p_880906e2,noibat,5.0,80.0,49,1
p_8bbd8a45,noivern,15.0,850.0,187,1
p_20e706e9,donphan,11.0,1200.0,175,1
p_fc47c039,minuri,,42.0,142,1
p_60ef50b4,venomoth,15.0,125.0,158,1
p_b8f28103,venonat,10.0,300.0,61,1
p_d209396b,zubat,8.0,75.0,49,1
p_07312a32,wigglytuff,10.0,120.0,218,1
p_8c93b6c5,oddish,5.0,54.0,64,1
p_701f6637,golbat,16.0,550.0,159,1
p_ce8792ef,vileplume,12.0,186.0,245,1
p_ca5eaeb9,gloom,8.0,86.0,138,1
p_def41a20,parasect,10.0,295.0,142,1
p_c6384c0e,paras,3.0,54.0,57,1
p_85a6264e,drzkonair,,165.0,147,1
p_b65d33a8,drakonair,,165.0,147,1
p_834149c3,sawsbucn,,925.0,166,1
p_80ee2fe3,bouffalant,16.0,946.0,172,1
p_09963fb6,rufflet,5.0,105.0,70,1
p_4abde213,quilava,9.0,190.0,142,1
p_f95a746e,bisharp,16.0,700.0,172,1
p_df4ec9be,golett,10.0,920.0,61,1
p_1b05691b,golurk,28.0,3300.0,169,1
p_2ef7f6ba,mienshao,14.0,355.0,179,1
p_49c88e97,bayleef,12.0,158.0,142,1
p_587ae95d,totodile,6.0,95.0,63,1
p_cceb575e,croconaw,11.0,250.0,142,1
p_2fd541a7,braviary,15.0,410.0,179,1
p_74341ded,vullaby,5.0,90.0,74,1
p_7f623259,palkla,42.0,,340,1
p_8a5e1859,pidge0t-mega,22.0,505.0,261,0
p_e9b32add,dujtox,12.0,,173,1
p_f510396e,dusdox,,316.0,173,1
p_2c583ae9,bonzly,5.0,150.0,58,1
p_4fe263ea,bonsoy,5.0,150.0,58,1
p_1ff8a267,toget:c,6.0,,142,1
p_c47417b1,togetic,,,142,1
p_a648da81,ursaeink,18.0,1258.0,175,1
p_49ba9f86,urzarink,18.0,1258.0,175,1
p_70957d4e,litlei,6.0,,74,1
p_2a119796,litoeo,6.0,,74,1
p_958d7898,shellder,,,61,1
p_68c8ccae,shell3er,,40.0,61,1
p_572b932b,zamazenta-cr0wned,29.0,7850.0,360,0
p_11a8b705,zebstrila,16.0,,174,1
p_87ba7a50,gardevoie-mega,16.0,484.0,278,0
p_eea8d394,grirnmsnarl,,610.0,255,1
p_27b6d215,ribomhee,2.0,5.0,162,1
p_b4d45787,ripombee,2.0,5.0,162,1
p_ecde4383,mewtvvo,20.0,1220.0,340,1
p_0f091bb2,mewrwo,20.0,1220.0,340,1
p_599f2eb5,dartrkx,7.0,160.0,147,1
p_a72779e8,giratjma-altered,,7500.0,340,1
p_9d07df1c,giratiza-altered,,7500.0,340,1
p_d7d44e26,lairon,9.0,1200.0,151,1
p_97bdb32a,aron,4.0,600.0,66,1
p_e8de4bad,tyramtrym,,2700.0,182,1
p_8d2adea1,narv,,20.0,64,1
p_4bb0d9fc,natv,2.0,20.0,64,1
p_1f25ed0b,torkpal,5.0,,165,1
p_bdd3af08,claydol,,,175,1
p_09b79c9e,scyther,15.0,560.0,100,1
p_40551510,mr-mime,13.0,545.0,161,1
p_491a5f93,pyroar,15.0,815.0,177,1
p_67ed699e,mlnior-orangr,,3.0,175,0
p_49149cbf,crabominable,,1800.0,167,1
p_b3c0d0a3,crabom'lnable,17.0,1800.0,167,1
p_57f0ea0e,d9mburr,6.0,,61,1
p_e765fddf,metagrozs-mega,,9429.0,315,0
p_6859f497,metsgrosd-mega,,9429.0,315,0
p_9e0025a5,pignite,10.0,555.0,146,1
p_c77e9ecb,tepig,5.0,99.0,62,1
p_5e73b1a4,darkrai,15.0,505.0,270,1
p_bf8a51a9,manaphy,3.0,14.0,270,1
p_1f4e0cd6,arceus,32.0,3200.0,324,1
p_1f98be64,shaymin-land,2.0,21.0,270,1
p_3afa3b1f,snivy,6.0,81.0,62,1
p_32febb4c,victini,4.0,40.0,300,1
p_48c60354,serperior,33.0,630.0,238,1
p_dd2fedc0,servine,8.0,160.0,145,1
p_67126bb8,genej3ct,15.0,,300,1
p_42364427,gwnesekt,15.0,,300,1
p_2c72f2eb,relicanth,10.0,234.0,170,1
p_0249651b,gorebyss,18.0,226.0,170,1
p_09f90587,skwovet,3.0,25.0,55,1
p_6a484dd8,meoth,4.0,42.0,58,1
p_87572f69,spheal,8.0,395.0,58,1
p_dde687c7,raboot,6.0,90.0,147,1
p_55a6d177,drizzile,7.0,115.0,147,1
p_7d0e028d,sobble,3.0,40.0,62,1
p_ef70bd61,thwackey,7.0,140.0,147,1
p_685e6ec3,grookey,3.0,50.0,62,1
p_294412cf,scorbunny,3.0,45.0,62,1
p_6e74a1c6,sealeo,11.0,876.0,144,1
p_e5bb7429,garbodor,19.0,1073.0,166,1
p_2bebc7e1,trubbish,6.0,310.0,66,1
p_ed62803b,kog0at,,910.0,186,1
p_02df98a8,carracosta,12.0,810.0,173,1
p_58aa512e,tirtouga,7.0,165.0,71,1
p_ee33a166,archeops,14.0,320.0,177,1
p_d2659a9e,archen,5.0,95.0,71,1
p_c5595f41,sigilyph,14.0,140.0,172,1
p_a3f8a973,scrafty,11.0,300.0,171,1
p_ce7164e7,cofagrigus,17.0,765.0,169,1
p_63cb0f79,yamask,5.0,15.0,61,1
p_9fa66810,jirachi,3.0,11.0,300,1
p_d1ba6da7,rayquaza,70.0,2065.0,340,1
p_1f0c3ead,turtwig,4.0,102.0,64,1
p_722351a7,deoxys-normal,17.0,608.0,270,1
p_7905cfda,latios,20.0,600.0,300,1
p_71f3299e,latias,14.0,400.0,300,1
p_4a117d08,groudon,35.0,9500.0,335,1
p_d7ed3c9e,kyogre,45.0,3520.0,335,1
p_7a2a8881,sceptile-rnega,,552.0,284,0
p_2810c77f,sceptile-me9a,19.0,,284,0
p_30736fbc,torterra,22.0,3100.0,236,1
p_36b645c7,grotle,11.0,970.0,142,1
p_76474bdd,pra:xen,,145.0,143,1
p_8acd609b,doxapex,,145.0,173,1
p_489c9249,cramorant-g0rjing,8.0,,166,0
p_425b9571,ampharos-mega,14.0,615.0,275,0
p_6b0a270e,phantump,4.0,70.0,62,1
p_5f65cdfe,heracross-mega,17.0,625.0,210,0
p_263617d9,scizor-mega,20.0,1250.0,210,0
p_409ec8ef,gyarados-mega,65.0,3050.0,224,0
p_e83f8be5,pinsir-mega,17.0,590.0,210,0
p_40107d44,mewtwo-mega-x,23.0,1270.0,351,0
p_32e4efad,aerodactyl-mega,21.0,790.0,215,0
p_9f4efaac,hawlucha,8.0,215.0,175,1
p_2e4599f4,sylveon,10.0,235.0,184,1
p_2132aeab,carbink,3.0,57.0,100,1
p_f0d74359,dedenne,2.0,22.0,151,1
p_e188761a,tyranitar-mega,25.0,2550.0,315,0
p_23c8309b,houndoom-mega,19.0,495.0,210,0
p_330e2989,klefki,2.0,30.0,165,1
p_9077d865,rockruff-owm-tempo,5.0,92.0,56,0
p_c2fe38c3,charizarf-mega-y,17.0,,285,0
p_3c1ced89,growlithe,7.0,190.0,70,1
p_453d353c,arcanine,19.0,1550.0,194,1
p_c8d8cfbc,melmetal,25.0,8000.0,300,1
p_472bdf47,cbewt|e,3.0,,57,1
p_b854cc2e,meowth,4.0,42.0,58,1
p_9641d857,persian,10.0,320.0,154,1
p_0a753ba5,diglett,2.0,8.0,53,1
p_2594b9b4,dugtrio,7.0,333.0,149,1
p_058dd15a,mankey,5.0,280.0,61,1
p_3cc13e81,primeape,10.0,320.0,159,1
p_6f795e76,psyduck,8.0,196.0,64,1
p_ef35d918,golduck,17.0,766.0,175,1
p_e26a87c6,diggersby,10.0,424.0,148,1
p_7ec30e71,minior-green,3.0,3.0,175,0
p_4521e725,aerodactyl,18.0,590.0,180,1
p_82478fcc,kabutops,13.0,405.0,173,1
p_e980e7a8,kabuto,5.0,115.0,71,1
p_5a5c86ad,dratini,18.0,33.0,60,1
p_12a028ab,moltres,20.0,600.0,290,1
p_5fe9bb83,zapdos,16.0,526.0,290,1
p_865a1fff,articuno,17.0,554.0,290,1
p_423b61dc,minior-yellow-meteor,3.0,400.0,154,0
p_13d01f9a,minior-orange-meteor,3.0,400.0,154,0
p_f909329c,minior-blue-meteor,3.0,400.0,154,0
p_8d219ba4,dragonair,40.0,165.0,147,1
p_d078f9e5,terrakion,19.0,2600.0,290,1
p_8918dc2a,cobalion,21.0,2500.0,290,1
p_232d7dbf,minior-orange,3.0,3.0,175,0
p_fd52e986,minior-red,3.0,3.0,175,0
p_fc984720,mienfu,,200.0,70,1
p_c138ff94,mr-mime-galaah,14.0,,161,0
p_2f372431,lampent,6.0,130.0,130,1
p_95672d72,chandelure,10.0,343.0,260,1
p_5825f4e1,croc0naw,,250.0,142,1
p_88a653a2,elgyem,5.0,,67,1
p_a26fbc55,drifbli:ii,12.0,,174,1
p_cdae6e63,litleo,6.0,135.0,74,1
p_909d9de8,drivbkim,,150.0,174,1
p_4772c9e3,perzian,10.0,,154,1
p_ffda1da3,zigzagoon-galar,4.0,175.0,56,0
p_fab205e4,spewpa,3.0,84.0,75,1
p_a4bfb623,pineco,,72.0,58,1
p_bed61bd7,slutpuff,,50.0,168,1
p_c153f899,walrein,14.0,1506.0,265,1
p_a8394db2,gourgeisr-lar9e,11.0,140.0,173,0
p_773613a5,gourgelwt-large,11.0,,173,0
p_51dab86e,pol'ltied,11.0,,250,1
p_6791e219,politiee,11.0,339.0,250,1
p_ba87b459,fikavolt-totem,26.0,1475.0,225,0
p_a26516bb,zygarde-10-p0wer-construct,12.0,,243,0
p_7698f7ed,hawlucha,,215.0,175,1
p_2cde6180,golducxk,17.0,,175,1
p_aba34775,minior-blve-meteor,,400.0,154,0
p_fc2d0ea8,minior-blve-meteor,3.0,,154,0
p_b316cd1e,glastrier,22.0,8000.0,290,1
p_c3d19dea,minior-grsen-meteor,3.0,,154,0
p_b83b55f3,sharpedo-mega,25.0,,196,0
p_da739ec5,shar0edo-mega,25.0,1303.0,196,0
p_61926aed,lurant:s-t0tem,,580.0,168,0
p_99f14a48,unfezant,,290.0,244,1
p_7338299f,meovvth-galar,4.0,75.0,58,0
p_9303066c,meowtj-galar,4.0,75.0,58,0
p_2147dbe8,raicnu,8.0,,243,1
p_a2552e68,raich8,,300.0,243,1
p_e88399d1,woolpo,6.0,60.0,122,1
p_d967f20b,thievul,12.0,199.0,159,1
p_3f77527f,gossifleur,4.0,22.0,50,1
p_ae2ba1f1,meltan,2.0,80.0,150,1
p_2e0a4ae3,greedent,6.0,60.0,161,1
p_285038c2,rookidee,2.0,18.0,49,1
p_16c44746,corvisquire,8.0,160.0,128,1
p_b2cef8b5,corviknight,22.0,750.0,248,1
p_3b9d1bb8,blipbug,4.0,80.0,36,1
p_b5319255,dottler,4.0,195.0,117,1
p_0e9167e0,orbeetle,4.0,408.0,253,1
p_33278401,nickit,6.0,89.0,49,1
p_cac2e83a,crustle,14.0,2000.0,170,1
p_ca20363b,blacephalon,18.0,130.0,285,1
p_cbbafb8a,yamask-galar,5.0,15.0,61,0
p_d8fb29ff,zeraora,15.0,445.0,300,1
p_e72a0f9a,basculin-red-striped,10.0,180.0,161,1
p_5037c562,sandile,7.0,152.0,58,1
p_ee4084ab,krokorok,10.0,334.0,123,1
p_259a9e14,krookodile,15.0,963.0,260,1
p_7aadb02a,darumaka,6.0,375.0,63,1
p_64e5c334,metagross,16.0,5500.0,300,1
p_a1af6156,maractus,10.0,280.0,161,1
p_a69c3214,dwebble,3.0,145.0,65,1
p_b329e3e4,stakataka,55.0,8200.0,285,1
p_77df0ebd,marshadow,7.0,222.0,300,1
p_e754a5e4,poipole,6.0,18.0,210,1
p_b1babd1d,darmanitan-galar-zen,17.0,1200.0,189,0
p_e97dfa42,necrozma,24.0,2300.0,300,1
p_ada7ab36,salamence,15.0,1026.0,300,1
p_e9fde9f3,yungoos,4.0,60.0,51,1
p_2a18b3d9,gumshoos,7.0,142.0,146,1
p_f9633c1c,grubbin,4.0,44.0,60,1
p_2740b16b,charjabug,5.0,105.0,140,1
p_71c7056b,primarina,18.0,440.0,265,1
p_97dcf870,pikipek,3.0,12.0,53,1
p_8d63bdcb,trumbeak,6.0,148.0,124,1
p_0f0804e7,toucannon,11.0,260.0,218,1
p_d6753cdd,vikavolt,15.0,450.0,250,1
p_59ced13c,crabrawler,6.0,70.0,68,1
p_4318586f,machoke,15.0,705.0,142,1
p_11f60c38,machop,8.0,195.0,61,1
p_bf079185,alakazam,15.0,480.0,250,1
p_1dfce879,kadabra,13.0,565.0,140,1
p_51eb4fc7,abra,9.0,195.0,62,1
p_59218116,poliwrath,13.0,540.0,255,1
p_a4fd0c3e,poliwhirl,10.0,200.0,135,1
p_77e70836,poliwag,6.0,124.0,60,1
p_744e1884,bellsprout,7.0,40.0,60,1
p_a55e2031,machamp,16.0,1300.0,253,1
p_14b3f019,rattwta,,35.0,51,1
p_1964999e,radtata,3.0,35.0,51,1
p_c228043a,pikachu-kalos-cap,4.0,60.0,112,0
p_b0f9a90a,pikachu-alola-cap,4.0,60.0,112,0
p_72e15826,pikachu-sinnoh-cap,4.0,60.0,112,0
p_084c68e1,pikachu-unova-cap,4.0,60.0,112,0
p_c2b97f4d,pikachu-original-cap,4.0,60.0,112,0
p_4f7cf831,pikachu-hoenn-cap,4.0,60.0,112,0
p_3810560f,raticate-alola,7.0,255.0,145,0
p_567194e1,raticate-totem-alola,14.0,1050.0,145,0
p_6beb481a,beedrill-mega,14.0,405.0,223,0
p_fbd17c82,rattata-alola,3.0,38.0,51,0
p_076ccf88,landorus-theriari,,680.0,300,0
p_8b5fa701,klang,6.0,510.0,154,1
p_ac8c0316,klinklang,6.0,810.0,260,1
p_63b1898c,tynamo,2.0,3.0,55,1
p_10efd9b6,eelektrik,12.0,220.0,142,1
p_782c5cf3,zygarcle-10,12.0,,243,0
p_ebfbfabd,marowak-totem,17.0,980.0,149,0
p_b2a7b6f3,beheeyem,10.0,345.0,170,1
p_dead0b4e,litwick,3.0,31.0,55,1
p_9eda7881,mimikyu-totem-disguised,4.0,28.0,167,0
p_6d2547fc,mimikyu-totem-busted,4.0,28.0,167,0
p_deb0abb8,kommo-o-totem,24.0,2075.0,270,0
p_e6b9aa69,magearna-original,10.0,805.0,300,0
p_0b6d3984,minior-blue,3.0,3.0,175,0
p_e6d8a37a,minior-indigo,3.0,3.0,175,0
p_7598b3c4,minior-violet,3.0,3.0,175,0
p_d32a8511,mimikyu-busted,2.0,7.0,167,0
p_ccf81d76,lycanroc-midnight,11.0,250.0,170,0
p_4c1c93cf,wishiwashi-school,82.0,786.0,217,0
p_96090477,oricorio-pau,6.0,34.0,167,0
p_1fb302d0,oricorio-sensu,6.0,34.0,167,0
p_618bc2f8,vikavolt-totem,26.0,1475.0,225,0
p_c510c8dd,oricorio-pom-pom,6.0,34.0,167,0
p_2fe6bba7,raticqte,7.0,,145,1
p_e5d60ad1,ratikaye,7.0,185.0,145,1
p_c1d700d1,chimchar,5.0,62.0,62,1
p_7e4f5e49,monferno,9.0,220.0,142,1
p_0edfd1ef,rapiclash,,950.0,175,1
p_f25bb647,vanillish,,410.0,138,1
p_150bb3c2,staraptor,12.0,249.0,218,1
p_e85d495f,bidoof,5.0,200.0,50,1
p_223d7565,venomot,,125.0,158,1
p_ee7e1b87,artikyno,,554.0,290,1
p_cd3af449,zygarde-10-power-construct,12.0,335.0,243,0
p_b08174f7,chesnaught,16.0,900.0,239,1
p_55bfcd6d,kyurem-black,33.0,3250.0,350,0
p_956806b2,meowth-galar,4.0,75.0,58,0
p_befd539f,omix,88.0,2100.0,77,1
p_54ba0b8f,braixen,10.0,145.0,143,1
p_6d67fd73,magearna-original,10.0,,300,0
p_2ae3682d,xar'lzard,,905.0,267,1
p_c84eb7b2,charizard,,,267,1
p_376a830e,regksteel,19.0,2050.0,290,1
p_b4f86955,waioord,145.0,,175,1
p_3c3e6977,waijord,,3980.0,175,1
p_d2d65f8f,blaziken-mega,19.0,520.0,284,0
p_6ba7451e,gardevoir-mega,16.0,484.0,278,0
p_7cc090f2,pucbyena,5.0,,56,1
p_e8ce0640,poocbvena,5.0,,56,1
p_d8129c9f,s0ochum,,60.0,61,1
p_8b660138,sm0ochum,4.0,,61,1
p_53658daf,pansdear,6.0,,63,1
p_7d66243c,psnsear,6.0,,63,1
p_99122174,garchomp-mega,19.0,950.0,315,0
p_1d901841,inferkape,12.0,,240,1
p_197a5393,lucario-mega,13.0,575.0,219,0
p_43404e6a,comfey,1.0,3.0,170,1
p_82636fe8,blaziken-rnega,19.0,520.0,284,0
p_957b9638,smeargje,12.0,,88,1
p_3e284a6c,smear9ke,12.0,580.0,88,1
p_fc26e850,krimer-alola,7.0,420.0,65,0
p_8126f0ab,tsareena,12.0,214.0,255,1
p_dd6a3fca,rolycoly,3.0,120.0,48,1
p_39bfe34e,boltund,10.0,340.0,172,1
p_ab176bcf,yamper,3.0,135.0,54,1
p_188ab6a7,drednaw,10.0,1155.0,170,1
p_484ce831,chewtle,3.0,85.0,57,1
p_201fdc80,dubwool,13.0,430.0,172,1
p_f23c049b,wooloo,6.0,60.0,122,1
p_38ef26e2,eldegoss,5.0,25.0,161,1
p_829a9937,coalossal,28.0,3105.0,255,1
p_3e099db5,carkol,11.0,780.0,144,1
p_63646996,whimsicott,7.0,66.0,168,1
p_e440c697,cottonee,3.0,6.0,56,1
p_389067eb,scolipede,25.0,2005.0,243,1
p_096f264d,steenee,7.0,82.0,102,1
p_9227d3c3,venipede,4.0,53.0,52,1
p_73177b96,leavanny,12.0,205.0,225,1
p_92b03b56,swadloon,5.0,73.0,133,1
p_99f869fa,sewaddle,3.0,25.0,62,1
p_6e52d608,lilligant,11.0,163.0,168,1
p_72f099cc,petilil,5.0,66.0,56,1
p_a5c9b715,articuno-galar,17.0,509.0,290,0
p_babeeff6,eelektross,21.0,805.0,232,1
p_4485de56,mr-mume,13.0,,161,1
p_9990a3d1,mr-miiiie,13.0,,161,1
p_fa3363c6,whiscash,9.0,236.0,164,1
p_34eb35b1,pumpkaboo-super,8.0,150.0,67,0
p_9dd71ce3,bewear,21.0,1350.0,175,1
p_dd48bdde,dartrix,7.0,160.0,147,1
p_c1ffd7ef,rowlet,3.0,15.0,64,1
p_35b9da5e,volcanion,17.0,1950.0,300,1
p_8a91119c,hoopa,5.0,90.0,270,1
p_1fec2936,incineroar,18.0,830.0,265,1
p_18fdfece,torracat,7.0,250.0,147,1
p_601905ef,litten,4.0,43.0,64,1
p_c0515915,decidueye,16.0,366.0,265,1
p_a202cf46,brionne,6.0,175.0,147,1
p_cab87f9c,popplio,4.0,75.0,64,1
p_f3a4c682,weepinbell,10.0,64.0,137,1
p_d2cd5a35,victreebel,17.0,155.0,221,1
p_7778b143,tentacool,9.0,455.0,67,1
p_0dbf3bcb,tentacruel,16.0,550.0,180,1
p_d536b7c4,geodude,4.0,200.0,60,1
p_04003ebb,graveler,10.0,1050.0,137,1
p_4c204b7b,golem,14.0,3000.0,223,1
p_c6ccdd5a,ponyta,10.0,300.0,82,1
p_df721367,rapidash,17.0,950.0,175,1
p_3c3c8163,slowpoke,12.0,360.0,63,1
p_35e3e28c,hskarno-o,12.0,470.0,147,1
p_240dbe3f,pikachu-belle,4.0,60.0,112,0
p_cc508049,pikachu-rock-star,4.0,60.0,112,0
p_06a17f5b,pikachu-phd,4.0,60.0,112,0
p_77e6af98,pikachu-pop-star,4.0,60.0,112,0
p_f2abfea9,pikachu-cosplay,4.0,60.0,112,0
p_2483e2af,pikachu-libre,4.0,60.0,112,0
p_76ebb936,camerupt-mega,25.0,3205.0,196,0
p_2b2e05a9,hoopa-unbound,65.0,4900.0,306,0
p_9c7d8f1c,salamence-mega,18.0,1126.0,315,0
p_f4b4a84b,lopunny-mega,13.0,283.0,203,0
p_529822b7,mini0r-indigo,3.0,,175,0
p_50e81cfa,oshawott,5.0,,62,1
p_6246e21e,graveler,,,137,1
p_513f6866,graueler,,1050.0,137,1
p_7a56476a,endej,21.0,1980.0,290,1
p_8fbeaf54,mienfoo,9.0,200.0,70,1
p_10a8ace4,stunfisk,7.0,110.0,165,1
p_0dfbf219,accelgor,8.0,253.0,173,1
p_8a8b8e9b,shelmet,4.0,77.0,61,1
p_e57dd7af,cryogonal,11.0,1480.0,180,1
p_a3023f14,beartic,26.0,2600.0,177,1
p_5d9504dd,cubchoo,5.0,85.0,61,1
p_a042c523,haxorus,18.0,1055.0,270,1
p_fd2ea492,fraxure,10.0,360.0,144,1
p_bf42f3ad,axew,6.0,180.0,64,1
p_a7c1831e,elgyem,5.0,90.0,67,1
p_89827269,slurpufg,8.0,,168,1
p_b7aecb4b,slowbr0-falar,,705.0,172,0
p_cabee6b0,manapht,3.0,14.0,270,1
p_d6935ca3,dratkni,,33.0,60,1
p_1333a9b7,cradily,15.0,604.0,173,1
p_acc5c82e,emolks,,50.0,150,1
p_c09b60d7,meganium,18.0,1005.0,236,1
p_f389ec4f,magmaah,13.0,445.0,173,1
p_36147e3e,pickacu-hoenn-cap,4.0,,112,0
p_936faaaa,cyndaquil,5.0,79.0,62,1
p_5cf18504,hertier,9.0,147.0,130,1
p_963beed1,typhlosion,17.0,795.0,240,1
p_2f4770ed,mewtwo,20.0,1220.0,340,1
p_d79908d6,mew,4.0,40.0,300,1
p_1f87756c,klamg,6.0,,154,1
p_4d303174,chikorita,9.0,64.0,64,1
p_b0b38613,druddigon,16.0,1390.0,170,1
p_026cd7df,rejhi4am,,3300.0,340,1
p_6fb052b6,reshirqm,32.0,,340,1
p_4486ed4d,skuntank,,380.0,168,1
p_60739100,skuntank,10.0,,168,1
p_5b88f951,galfsntula,,143.0,165,1
p_6bca8aa0,galvantvla,,143.0,165,1
p_0ae3b98f,geoclucle,,200.0,60,1
p_90e451d3,ztaryu,,345.0,68,1
p_d215f036,whirli0ede,12.0,585.0,126,1
p_bb70ca7d,lclin1<,,210.0,60,1
p_4842cf6d,cklunk,3.0,210.0,60,1
p_c713d6d6,krokor0k,10.0,334.0,123,1
p_c64bc4cb,glastrlef,22.0,,290,1
p_e23b0b20,hotnoot,7.0,212.0,52,1
p_6982eafc,eteahnatus,200.0,,345,1
p_fedfa699,edernatu5,200.0,9500.0,345,1
p_0b6da2e2,klobbopus,6.0,40.0,62,1
p_dc8c22f4,cbbbopus,6.0,40.0,62,1
p_cc9fff4e,conkelduahr,14.0,870.0,253,1
p_006cbd58,appletun,4.0,130.0,170,1
p_50debd56,silicobra,22.0,76.0,63,1
p_8a4635d2,applin,2.0,5.0,52,1
p_04018088,flapple,3.0,10.0,170,1
p_2d982552,arrokuda,5.0,10.0,56,1
p_6b0eccff,barraskewda,13.0,300.0,172,1
p_6febeb23,sandaconda,38.0,655.0,179,1
p_0e6ff850,cramorant,8.0,180.0,166,1
p_f94fdaf8,toxel,4.0,110.0,48,1
p_45135e39,toxtricity-amped,16.0,400.0,176,1
p_ed0eadfb,timburr,6.0,125.0,61,1
p_a03b2eb3,gurdurr,12.0,400.0,142,1
p_2f87674d,excadrill,7.0,404.0,178,1
p_c6f743a1,audino,11.0,310.0,390,1
p_8c064eae,palpitoad,8.0,170.0,134,1
p_776419a4,seismitoad,15.0,620.0,255,1
p_e19d803f,conkeldurr,14.0,870.0,253,1
p_91c09092,tympole,5.0,45.0,59,1
p_88e9c5a8,throh,13.0,555.0,163,1
p_9f690a13,sawk,14.0,510.0,163,1
p_0d5631ae,traiiipa,30.0,,170,1
p_5e57b9bb,bulbasaur,,,64,1
p_7182cf07,vikzvolt,15.0,450.0,250,1
p_dedabc81,necrozma-dusk,38.0,4600.0,340,0
p_0aca48dc,vigoroth,14.0,465.0,154,1
p_8f5f4663,slaking,20.0,1305.0,252,1
p_273e2d4c,masquerain,8.0,36.0,159,1
p_c44616f1,shroomish,4.0,45.0,59,1
p_5312db94,breloom,12.0,392.0,161,1
p_d7d78042,slakoth,8.0,240.0,56,1
p_ef29d877,ralts,4.0,66.0,40,1
p_3a2592f8,kirlia,8.0,202.0,97,1
p_89667662,gardevoir,16.0,484.0,259,1
p_f888734b,surskit,5.0,17.0,54,1
