ability,generation,is_main_series,flavor_text,name
a_00534cdb,8.0,1.0,"When hit by a move that makes direct contact,the Pokémon and the attacker will faint after three turnsunless they switch out of battle.",Perish Body
a_c989b4dc,8.0,1.0,Powers up ally Pokémon’s Steel-type moves.,Steely Spirit
a_2a3cd39d,8.0,1.0,"When the Pokémon enters a battle, the effects ofLight Screen, Reflect, and Aurora Veil are nullified forboth opposing and ally Pokémon.",Screen Cleaner
a_79e035f7,8.0,1.0,Changes the Pokémon’s type depending on the terrain.,Mimicry
a_822f359f,5.0,1.0,Reduces damage done to allies.,Friend Guard
a_49c22bf2,5.0,1.0,Restores a little HP when withdrawn from battle.,Regenerator
a_1edc8b53,5.0,1.0,Restores a little HP when withdrawn from battle.,Regenerator
a_81ba8af2,5.0,0.0,Steals an item from an attacker that madedirect contact.,Pickpocket
a_c9e0ba1c,7.0,1.0,Gives priority to a healing move.,Triage
a_766843a4,5.0,0.0,,High-rise
a_28a19243,5.0,0.0,,Climber
a_a42f0926,5.0,0.0,,Sprint
a_e34203fe,5.0,0.0,,Disgust
a_31121fa7,5.0,0.0,,Run Up
a_f831c467,5.0,0.0,,Conqueror
a_4d08dd3f,5.0,0.0,,Flame Boost
a_6324d18d,5.0,0.0,,Aqua Boost
a_22065b1b,6.0,1.0,Boosts the Pokémons Attack stat sharply when itsstats are lowered.,Defiant
a_11880437,5.0,0.0,,Shackle
a_e1dbeebb,5.0,0.0,,Decoy
a_bdfdf6e5,7.0,1.0,Powers up moves that are super effective.,Neuroforce
a_dec36dbc,5.0,0.0,May poison a target when the Pokémonmakes contact.,Poison Touch
a_ded9a37a,5.0,0.0,,Hero
a_519d7896,7.0,1.0,The Pokémon uses its moves without making contactwith the target.,Long Reach
a_97c2e19b,3.0,1.0,Contact with the Pokémon may burn the attacker.,Flame Body
a_cbb1bad0,3.0,1.0,The Pokémon awakens from sleep twice as fastas other Pokémon.,Early Bird
a_7a8b1757,6.0,1.0,The Pokémon changes its form to Blade Forme whenit uses an attack move and changes to Shield Formewhen it uses King’s Shield.,Stance Change
a_21abe252,3.0,1.0,"The Pokémon is covered with a water veil, whichprevents the Pokémon from getting a burn.",Water Veil
a_a8c57099,3.0,1.0,"The Pokémon is covered with hot magma, whichprevents the Pokémon from becoming frozen.",Magma Armor
a_601c3b4c,3.0,1.0,Soundproofing gives the Pokémon fullimmunity to all sound-based moves.,Soundproof
a_8685a719,3.0,1.0,Prevents Steel-type Pokémon from escaping usingits magnetic force.,Magnet Pull
a_8791c681,3.0,1.0,The Pokémon summons a sandstorm when it entersa battle.,Sand Stream
a_64216c1d,3.0,1.0,The Pokémon gradually regains HP in rain.,Rain Dish
a_9f08fb19,3.0,1.0,"The Pokémon is protected by a layer of thick fat,which halves the damage taken from Fire- andIce-type moves.",Thick Fat
a_725cd6e2,3.0,1.0,"By putting pressure on the opposing Pokémon, itraises their PP usage.",Pressure
a_454bf32c,3.0,0.0,The Pokémon intimidates opposing Pokémon uponentering battle lowering their Attack stat.,Intimidate
a_df4faec7,3.0,1.0,The Pokémon intimidates opposing Pokémon uponentering battle lowering their Attack stat.,Intimidate
a_42dc23e4,3.0,1.0,When it enters a battle the Pokémon copies anopposing Pokémons Ability.,Trace
a_3c856807,3.0,0.0,When it enters a battle the Pokémon copies anopposing Pokémons Ability.,Trace
a_892a94dd,5.0,1.0,"Being hit by a Dark-type move boosts the Attackstat of the Pokémon, for justice.",Justified
a_ea1abf54,5.0,1.0,"Dark-, Ghost-, and Bug-type moves scare thePokémon and boost its Speed stat.",Rattled
a_3d05547e,5.0,1.0,Reflects status moves instead of getting hitby them.,Magic Bounce
a_99018537,5.0,1.0,Boosts the Attack stat if hit by a Grass-type moveinstead of taking damage.,Sap Sipper
a_40f957a0,5.0,1.0,The Pokémon transforms itself into the Pokémonit’s facing.,Imposter
a_d37ac899,5.0,1.0,"Passes through the opposing Pokémon’s barrier,substitute, and the like and strikes.",Infiltrator
a_263683e6,5.0,1.0,Contact with the Pokémon changes the attacker’sAbility to Mummy.,Mummy
a_a88153cd,5.0,1.0,"The Pokémon shows moxie, and that boosts theAttack stat after knocking out any Pokémon.",Moxie
a_6c5d7017,5.0,0.0,,Sequence
a_8d06b98e,5.0,1.0,Gives priority to a status move.,Prankster
a_3c9859b5,5.0,1.0,"Boosts the power of Rock-, Ground-, and Steel-typemoves in a sandstorm.",Sand Force
a_3b8591e0,5.0,0.0,,Shackle
a_4a7d3105,5.0,1.0,When the Pokémon uses Surf or Dive it will come backwith prey. When it takes damage it will spit out the preyto attack.,Gulp Missile
a_fa71c14d,8.0,1.0,When the Pokémon uses Surf or Dive it will come backwith prey. When it takes damage it will spit out the preyto attack.,Gulp Missile
a_0f2182ef,3.0,1.0,Enables a sure getaway from wild Pokémon.,Run Away
a_89f1ba92,5.0,1.0,Moves can be used on the target regardless ofits Abilities.,Turboblaze
a_47d9751f,5.0,1.0,Moves can be used on the target regardless ofits Abilities.,Turboblaze
a_7140f2c0,3.0,0.0,Keen eyes prevent other Pokémon from lowering thisPokémons accuracy.,Keen Eye
a_22da9c7e,7.0,1.0,The Pokémon can poison the target even if itsa Steel or Poison type.,Corrosion
a_22a921f5,7.0,1.0,The Pokémon can poison the target even if itsa Steel or Poison type.,Corrosion
a_e1ad25aa,3.0,1.0,This Pokémon steps on the opposing Pokémonsshadow to prevent it from escaping.,Shadow Tag
a_025ee16d,4.0,1.0,Restores HP if the Pokémon is poisoned instead oflosing HP.,Poison Heal
a_11417157,3.0,1.0,The Pokémons marvelous scales boost the Defensestat if it has a status condition.,Marvel Scale
a_ea16a844,7.0,1.0,The Pokémons attacks become critical hits if thetarget is poisoned.,Merciless
a_4ae71503,,1.0,The Pokémons attacks become critical hits if thetarget is poisoned.,Merciless
a_120ceb8a,5.0,0.0,,Disgust
a_d18757dd,5.0,1.0,,Deep Sleep
a_42eeda2d,5.0,0.0,,Life Force
a_1de2f73a,5.0,1.0,,Life Force
a_80ed7956,6.0,1.0,Reduces damage done to allies.,Friend Guard
a_a419d5b6,5.0,0.0,,Frighten
a_18370397,6.0,1.0,The effects of Aura Abilities are reversedto lower the power of affected moves.,Aura Break
a_36f05c3f,5.0,0.0,,Flame Boost
a_2030c067,8.0,1.0,This Ability combines the effects of both Calyrex’sUnnerve Ability and Glastrier’s Chilling Neigh Ability.,As One
a_105a1d11,8.0,1.0,This Ability combines the effects of both Calyrex’sUnnerve Ability and Spectrier’s Grim Neigh Ability.,As One
a_00d2220d,8.0,1.0,"When the Pokémon knocks out a target, it utters achilling neigh, which boosts its Attack stat.",Chilling Neigh
a_1a87ad1e,8.0,1.0,"When the Pokémon knocks out a target, it utters aterrifying neigh, which boosts its Sp. Atk stat.",Grim Neigh
a_997b777b,4.0,1.0,Powers up punching moves.,Iron Fist
a_418d8454,4.0,1.0,Compares an opposing Pokémon’s Defense andSp. Def stats before raising its own Attack orSp. Atk stat—whichever will be more effective.,Download
a_6a360997,4.0,1.0,"When attacking, the Pokémon ignores the targetPokémon’s stat changes.",Unaware
a_98b80711,4.0,1.0,"When it enters a battle, the Pokémon can tell one ofthe moves an opposing Pokémon has.",Forewarn
a_9f6196d0,4.0,1.0,The heatproof body of the Pokémon halves thedamage from Fire-type moves that hit it.,Heatproof
a_b948aa04,4.0,1.0,Boosts the Speed stat if the Pokémon’s held item isused or lost.,Unburden
a_36617626,4.0,1.0,"Restores HP in rain or when hit by Water-typemoves. Reduces HP in harsh sunlight, and increasesthe damage received from Fire-type moves.",Dry Skin
a_d039d681,4.0,1.0,The stat changes the Pokémon receives are doubled.,Simple
a_3d04f428,4.0,1.0,Boosts evasiveness in a hailstorm.,Snow Cloak
a_cfdfc529,4.0,1.0,The Pokémon’s determination boosts the Speedstat each time the Pokémon flinches.,Steadfast
a_a6de238b,4.0,1.0,"The Pokémon is angered when it takes a critical hit,and that maxes its Attack stat.",Anger Point
a_b2a0c953,4.0,1.0,"Makes the Pokémon eat a held Berry when its HPdrops to half or less, which is sooner than usual.",Gluttony
a_1b4b79d9,7.0,1.0,Doubles the damage dealt to the target’sreplacement if the target switches out.,Stakeout
a_e69f904a,7.0,1.0,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.,Water Bubble
a_4d64eb56,7.0,1.0,Other Cells gather to aid when its HP becomeshalf or less. Then the Pokémon changesits form to Complete Forme.,Power Construct
a_e0e2e944,7.0,1.0,"Defeating an opposing Pokémon strengthens thePokémon’s bond with its Trainer, and it becomesAsh-Greninja. Water Shuriken gets more powerful.",Battle Bond
a_9f0c6ecf,7.0,1.0,Powers up ally Pokémon’s special moves.,Battery
a_c73a9629,7.0,1.0,"When another Pokémon uses a dance move,it can use a dance move following it regardlessof its Speed.",Dancer
a_4ea35598,7.0,1.0,Damages the attacker landing the finishing hitby the amount equal to its last HP.,Innards Out
a_50a96bd1,7.0,1.0,"Its majesty pressures the opposing Pokémon,making it unable to attack using priority moves.",Queenly Majesty
a_761e52bb,6.0,1.0,The Pokémon changes the weather to nullifyWater-type attacks.,Desolate Land
a_6d9e2f27,6.0,1.0,The Pokémon changes the weather to eliminate allof the Flying type’s weaknesses.,Delta Stream
a_df2a2795,5.0,0.0,,Skater
a_20bca705,7.0,1.0,The Pokémon cowardly switches out when its HPbecomes half or less.,Wimp Out
a_1ed24eed,7.0,1.0,"The Pokémon, sensing danger, switches out when itsHP becomes half or less.",Emergency Exit
a_118af9c0,5.0,0.0,,Thrust
a_91eac760,7.0,1.0,The Pokémon’s attacks become critical hits if thetarget is poisoned.,Merciless
a_b22ae8ec,7.0,1.0,"When its HP becomes half or less, the Pokémon’sshell breaks and it becomes aggressive.",Shields Down
a_b319852b,3.0,1.0,Powers up Water-type moves when the Pokémon’sHP is low.,Torrent
a_34112778,3.0,1.0,Powers up Fire-type moves when the Pokémon’s HPis low.,Blaze
a_4b647701,3.0,1.0,Powers up Grass-type moves when the Pokémon’sHP is low.,Overgrow
a_243c8559,3.0,1.0,The Pokémon’s type becomes the type of the moveused on it.,Color Change
a_43354e29,3.0,1.0,The immune system of the Pokémon prevents it fromgetting poisoned.,Immunity
a_b5a89028,3.0,1.0,The Pokémon’s compound eyes boost its accuracy.,Compound Eyes
a_a09b2481,3.0,1.0,The Pokémon is suffering from insomnia and cannotfall asleep.,Insomnia
a_2aeaaf63,3.0,1.0,"The Pokémon is oblivious, and that keeps it frombeing infatuated or falling for taunts.",Oblivious
a_45e057f0,3.0,1.0,Eliminates the effects of weather.,Cloud Nine
a_b2e93c65,3.0,1.0,Restores HP if hit by an Electric-type move insteadof taking damage.,Volt Absorb
a_1293f6dd,3.0,1.0,Restores HP if hit by a Water-type move instead oftaking damage.,Water Absorb
a_76522ade,3.0,1.0,The Pokémon’s marvelous scales boost the Defensestat if it has a status condition.,Marvel Scale
a_e4d1c84b,3.0,1.0,Powers up the Pokémon’s Fire-type moves if it’s hitby one.,Flash Fire
a_fb761663,3.0,1.0,This Pokémon’s dust blocks the additional effects ofattacks taken.,Shield Dust
a_72847a9c,3.0,1.0,The Pokémon may heal its own status conditionsby shedding its skin.,Shed Skin
a_4d29c929,3.0,1.0,Items held by the Pokémon are stuck fast andcannot be removed by other Pokémon.,Sticky Hold
a_d5c9d20c,4.0,1.0,When attacking the Pokémon ignores the targetPokémons stat changes.,Unaware
a_69d50424,4.0,0.0,All the Pokémons moves become Normal type.The power of those moves is boosted a little.,Normalize
a_6c788564,,1.0,The Pokémon is charged with static electricity socontact with it may cause paralysis.,Static
a_80ec435c,3.0,1.0,The Pokémon is charged with static electricity socontact with it may cause paralysis.,Static
a_933ba180,4.0,0.0,Boosts the Sp. Atk stat in harsh sunlight but HPdecreases every turn.,Solar Power
a_e71592f1,3.0,1.0,Raises the likelihood of meeting wild Pokémon byilluminating the surroundings.,Illuminate
a_0c2e4c1a,3.0,1.0,The Pokémons proud of its powerful pincers. Theyprevent other Pokémon from lowering its Attack stat.,Hyper Cutter
a_57940d6c,3.0,1.0,The Pokémon makes it rain when it enters a battle.,Drizzle
a_53a406ed,6.0,1.0,Boosts the Sp. Atk stat sharply when a statis lowered.,Competitive
a_52205b0b,6.0,1.0,The Pokémon’s strong jaw boosts the power of itsbiting moves.,Strong Jaw
a_2cf2dc07,6.0,1.0,The Pokémon steals the held item of a Pokémon ithits with a move.,Magician
a_c8f04904,,1.0,Parent and child each attacks.,Parental Bond
a_517e96bd,6.0,0.0,Parent and child each attacks.,Parental Bond
a_6b7db61a,5.0,0.0,,Stealth
a_93941fdd,5.0,0.0,,Vanguard
a_013edf89,7.0,1.0,Turns the ground into Misty Terrain whenthe Pokémon enters a battle.,Misty Surge
a_147cce21,7.0,1.0,Turns the ground into Grassy Terrain whenthe Pokémon enters a battle.,Grassy Surge
a_a5d09e95,5.0,0.0,,Grass Cloak
a_b172c3e8,5.0,0.0,,Celebrate
a_9504d240,5.0,0.0,,Lullaby
a_66dda3cd,5.0,0.0,,Calming
a_95bf9718,5.0,0.0,,Daze
a_9be8fc0a,7.0,1.0,The Pokémon copies the Ability of a defeated ally.,Power of Alchemy
a_0b317738,7.0,1.0,Boosts its Sp. Atk stat every time a Pokémon faints.,Soul-Heart
a_48b3460a,7.0,1.0,Contact with the Pokémon lowers the attacker’sSpeed stat.,Tangling Hair
a_4ebde9b8,7.0,1.0,Turns the ground into Electric Terrain when thePokémon enters a battle.,Electric Surge
a_7b2052ac,7.0,1.0,Turns the ground into Psychic Terrain whenthe Pokémon enters a battle.,Psychic Surge
a_a5559f8d,7.0,1.0,The Pokémon boosts its most proficient stat eachtime it knocks out a Pokémon.,Beast Boost
a_50d3f308,7.0,1.0,Changes the Pokémon’s type to match thememory disc it holds.,RKS System
a_e20175ec,5.0,,,Gulp
a_b8d344db,6.0,1.0,Normal-type moves become Ice-type moves.The power of those moves is boosted a little.,Refrigerate
a_a0bd1ee1,6.0,1.0,Prevents itself and ally Pokémon from falling asleep.,Sweet Veil
a_a4aa928f,6.0,1.0,The Pokémon changes the weather to nullifyWater-type attacks.,Desolate Land
a_cfa4df63,4.0,1.0,Reduces the HP of sleeping opposing Pokémon.,Bad Dreams
a_046efe5d,4.0,0.0,Reduces the HP of sleeping opposing Pokémon.,Bad Dreams
a_9ceb7db6,3.0,0.0,The Pokémons type becomes the type of the moveused on it.,Color Change
a_d4643660,5.0,0.0,,Explode
a_d544e983,5.0,0.0,,Bonanza
a_820abac4,5.0,0.0,,Share
a_9d9939f8,5.0,0.0,,Omnipotent
a_f6559d2e,5.0,0.0,,Mood Maker
a_6aaa4f64,5.0,0.0,,Interference
a_9509684f,5.0,0.0,,Fortune
a_95abd1e3,5.0,0.0,,Confidence
a_c3abd698,5.0,1.0,Powers up special attacks when the Pokémonis burned.,Flare Boost
a_ecbde767,5.0,0.0,,Shadow Dash
a_65c7cf0f,5.0,0.0,,Black Hole
a_e6abf1ef,3.0,1.0,The Pokémon is protected by a layer of thick fatwhich halves the damage taken from Fire- andIce-type moves.,Thick Fat
a_9706d8eb,5.0,1.0,Reduces the amount of damage the Pokémon takeswhile its HP is full.,Multiscale
a_63b9db3e,5.0,1.0,Powers up physical attacks when the Pokémonis poisoned.,Toxic Boost
a_0b23fb42,5.0,1.0,Doubles the Pokémon’s weight.,Heavy Metal
a_b5724cba,5.0,1.0,Halves the Pokémon’s weight.,Light Metal
a_a7b3047d,5.0,1.0,Reduces damage done to allies.,Friend Guard
a_42a15ba8,5.0,1.0,Physical attacks to the Pokémon lower its Defensestat but sharply raise its Speed stat.,Weak Armor
a_9ff71867,5.0,1.0,May disable a move used on the Pokémon.,Cursed Body
a_50cd1977,5.0,1.0,Sometimes heals an ally’s status condition.,Healer
a_eed17c3b,5.0,0.0,,Celebrate
a_9f9a1c1c,5.0,0.0,,Nomad
a_2b54ea98,5.0,1.0,Powers up special attacks when the Pokémonis burned.,Flare Boost
a_9f64aedf,5.0,1.0,May create another Berry after one is used.,Harvest
a_e7537330,3.0,1.0,Boosts the Sp. Atk stat of the Pokémon if an allywith the Plus or Minus Ability is also in battle.,Minus
a_e338c38e,3.0,1.0,"The Pokémon transforms with the weather to changeits type to Water, Fire, or Ice.",Forecast
a_82338785,3.0,1.0,The Pokémon’s proud of its powerful pincers. Theyprevent other Pokémon from lowering its Attack stat.,Hyper Cutter
a_1c609243,3.0,1.0,"The Pokémon may pick up the item an opposingPokémon used during a battle. It may pick up itemsoutside of battle, too.",Pickup
a_7fb884bb,3.0,1.0,Enables a sure getaway from wild Pokémon.,Run Away
a_bb58525f,3.0,1.0,Keen eyes prevent other Pokémon from lowering thisPokémon’s accuracy.,Keen Eye
a_b490189c,3.0,1.0,Contact with the Pokémon may cause infatuation.,Cute Charm
a_ff9e1d74,3.0,1.0,Boosts the Sp. Atk stat of the Pokémon if an allywith the Plus or Minus Ability is also in battle.,Plus
a_72a87329,3.0,1.0,The Pokémon can’t use a move if it had used a moveon the previous turn.,Truant
a_c62d688b,3.0,1.0,"Boosts the Attack stat, but lowers accuracy.",Hustle
a_a496f747,4.0,1.0,Moves can be used on the target regardless ofits Abilities.,Mold Breaker
a_947904ea,5.0,1.0,May poison a target when the Pokémonmakes contact.,Poison Touch
a_50721e0a,7.0,1.0,The Pokémon copies the Ability of a defeated ally.,Receiver
a_c3550482,5.0,1.0,Raises one stat sharply and lowers anotherevery turn.,Moody
a_2cb30029,5.0,1.0,Anticipates an ally’s attack and dodges it.,Telepathy
a_efab29c1,5.0,1.0,Makes status moves more likely to miss.,Wonder Skin
a_c71c1882,5.0,1.0,Boosts the Pokémon’s Speed stat in a sandstorm.,Sand Rush
a_b5a1613d,5.0,1.0,Protects the Pokémon fromDefense-lowering effects.,Big Pecks
a_652b5f11,5.0,1.0,Restores a little HP when withdrawn from battle.,Regenerator
a_13dc4688,5.0,1.0,Comes out disguised as the Pokémon in the party’slast spot.,Illusion
a_bda23071,5.0,1.0,Boosts move power when the Pokémon moves last.,Analytic
a_fa944206,6.0,1.0,Protects the Pokémon from some ball andbomb moves.,Bulletproof
a_80fafec9,5.0,1.0,,Tenacity
a_11218463,5.0,0.0,,Tenacity
a_ab96829b,6.0,1.0,Powers up each Pokémons Dark-type moves.,Dark Aura
a_7360df9c,3.0,0.0,Powers up Fire-type moves when the Pokémons HPis low.,Blaze
a_896286fe,4.0,1.0,Prevents status conditions in harsh sunlight.,Leaf Guard
a_86085ce4,3.0,0.0,All status conditions heal when the Pokémonswitches out.,Natural Cure
a_e3cfdb1e,7.0,1.0,Turns the ground into Misty Terrain whenthe Pokémon enters a battle.,Misty Surge
a_acdadd70,7.0,0.0,Normal-type moves become Electric-type moves.The power of those moves is boosted a little.,Galvanize
a_2b614496,8.0,0.0,Bounces back only the stat-lowering effects thatthe Pokémon receives.,Mirror Armor
a_93840a34,8.0,1.0,Bounces back only the stat-lowering effects thatthe Pokémon receives.,Mirror Armor
a_0b5cda2a,5.0,0.0,,Sponge
a_742bf7fb,7.0,0.0,,Climber
a_827788d2,6.0,0.0,,Skater
a_38c8fda8,7.0,0.0,,Omnipotent
a_bc8db36d,5.0,1.0,,Perception
a_19b28cf8,8.0,1.0,Powers up Electric-type moves.,Transistor
a_75b6e83f,3.0,1.0,The Pokémon is oblivious and that keeps it frombeing infatuated or falling for taunts.,Oblivious
a_4e03d45d,3.0,1.0,The Pokémon is oblivious and that keeps it frombeing infatuated or falling for taunts.,Oblivious
a_b5d2e0a4,5.0,0.0,,Interference
a_a0d06b80,7.0,0.0,,Interference
a_19a020a9,6.0,1.0,The Pokémons strong jaw boosts the power of itsbiting moves.,Strong Jaw
a_403ccf40,5.0,1.0,The Pokémons strong jaw boosts the power of itsbiting moves.,Strong Jaw
a_47f228a9,6.0,,Normal-type moves become Ice-type moves.The power of those moves is boosted a little.,Refrigerate
a_be62113f,6.0,0.0,Normal-type moves become Ice-type moves.The power of those moves is boosted a little.,Refrigerate
a_cc5649d3,6.0,1.0,Powers up aura and pulse moves.,Mega Launcher
a_bd1cb0f2,6.0,1.0,Boosts the Pokémon’s Defense stat onGrassy Terrain.,Grass Pelt
a_71d496fb,4.0,1.0,The Pokémon only takes damage from attacks.,Magic Guard
a_f95e52f4,4.0,1.0,The Pokémon employs no-guard tactics to ensureincoming and outgoing attacks always land.,No Guard
a_3a52e2d2,4.0,1.0,All the Pokémon’s moves become Normal type.The power of those moves is boosted a little.,Normalize
a_07082d17,4.0,1.0,Powers up moves if they become critical hitswhen attacking.,Sniper
a_a628d4fe,4.0,1.0,"Boosts the Sp. Atk stat in harsh sunlight, but HPdecreases every turn.",Solar Power
a_f0c1322e,4.0,1.0,Boosts the Speed stat if the Pokémon has astatus condition.,Quick Feet
a_b73042c9,4.0,1.0,Maximizes the number of times multistrikemoves hit.,Skill Link
a_35d36244,4.0,1.0,Heals status conditions if it’s raining.,Hydration
a_34aedc30,4.0,1.0,Restores HP if the Pokémon is poisoned instead oflosing HP.,Poison Heal
a_567efb54,4.0,1.0,Powers up moves of the same type as the Pokémon.,Adaptability
a_5ceb6d2c,7.0,1.0,Changes the Pokémons type to match thememory disc it holds.,RKS System
a_f96a8909,7.0,1.0,Changes the Pokémons type to match thememory disc it holds.,RKS System
a_69a7de0e,5.0,0.0,,Vanguard
a_6123e01b,6.0,1.0,Powers up each Pokémon’s Fairy-type moves.,Fairy Aura
a_d5df8862,6.0,1.0,Powers up each Pokémon’s Dark-type moves.,Dark Aura
