move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect,flavor_text,name
m_06480638,1.0,id-1,,10.0,,1.0,7,2,27,,5.0,15.0,15.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Bide
m_25da7a18,1.0,id-15,75.0,15.0,100.0,0.0,10,2,6,10.0,2.0,1.0,17.0,The target is punched with an icy fist. This may alsoleave the target frozen.,Ice Punch
m_01df8340,1.0,id-13,75.0,15.0,100.0,0.0,10,2,7,10.0,1.0,1.0,17.0,The target is punched with an electrified fist.This may also leave the target with paralysis.,Thunder Punch
m_b96072d8,8.0,id-2,,10.0,,0.0,2,2,1,,,,,This is a Fighting-type attack Dynamax Pokémon use.This raises ally Pokémons Attack stats.,Max Knuckle
m_24e7b292,2.0,id-18,,20.0,100.0,0.0,10,1,59,,3.0,23.0,19.0,"The user gazes at the target rather charmingly,making it less wary. This harshly lowers the target’sAttack stat.",Charm
m_d3071402,1.0,id-1,,10.0,,0.0,7,1,84,,3.0,17.0,14.0,The user waggles a finger and stimulates its braininto randomly using nearly any move.,Metronome
m_a1287a36,2.0,id-1,40.0,40.0,100.0,0.0,10,2,102,,1.0,5.0,16.0,A restrained attack that prevents the target fromfainting. The target is left with at least 1 HP.,False Swipe
m_fa20d193,2.0,id-1,,15.0,85.0,0.0,10,1,119,,3.0,27.0,19.0,"The user enrages and confuses the target. However,this also sharply raises the target’s Attack stat.",Swagger
m_adf7abaf,2.0,id-16,120.0,10.0,100.0,0.0,8,2,28,,1.0,6.0,7.0,The user rampages and attacks for two to threeturns. The user then becomes confused.,Outrage
m_ef59ee75,2.0,id-6,,10.0,,0.0,12,1,116,,5.0,21.0,13.0,"A five-turn sandstorm is summoned to hurt allcombatants except Rock, Ground, and Steel types.It raises the Sp. Def stat of Rock types.",Sandstorm
m_188980a6,2.0,id-12,75.0,10.0,100.0,0.0,10,3,4,,4.0,10.0,20.0,A nutrient-draining attack. The user’s HP is restoredby half the damage taken by the target.,Giga Drain
m_464d0646,1.0,id-3,,20.0,,0.0,10,1,10,,4.0,19.0,15.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Mirror Move
m_0eb5295a,6.0,id-18,140.0,5.0,90.0,0.0,10,3,270,,,,,"Drawing power from the Eternal Flower, the userfires a powerful beam of light. This also damages theuser quite a lot.",Light of Ruin
m_098c2371,6.0,id-5,90.0,10.0,100.0,0.0,11,2,1,,,,,The user gathers the energy of the land and focusesthat power on opposing Pokémon to damage them.,Land’s Wrath
m_00e5242b,6.0,id-5,90.0,10.0,100.0,0.0,11,2,374,,,,,The user attacks with a wave that crawls alongthe ground. Those it hits can’t flee from battle.,Thousand Waves
m_2820a608,6.0,id-5,90.0,10.0,100.0,0.0,11,2,373,100.0,,,,This move also hits opposing Pokémon that are inthe air. Those Pokémon are knocked down tothe ground.,Thousand Arrows
m_c4a22398,2.0,id-1,,10.0,,0.0,7,1,33,,3.0,12.0,8.0,The user restores its own HP by up to half of itsmax HP.,Milk Drink
m_7a7a79a6,2.0,id-13,65.0,20.0,100.0,0.0,10,2,7,30.0,1.0,4.0,5.0,The user throws an electrically charged tackle at thetarget. This may also leave the target with paralysis.,Spark
m_7fa8bd5e,6.0,id-7,20.0,20.0,100.0,0.0,10,3,43,100.0,,,,The target is infested and attacked for four to fiveturns. The target can’t flee during this time.,Infestation
m_844a7559,6.0,id-1,40.0,40.0,100.0,0.0,10,2,102,,,,,"The user holds back when it attacks, and the targetis left with at least 1 HP.",Hold Back
m_41b71160,7.0,id-18,,10.0,,0.0,10,1,387,,,,,The user restores the targets HP by up to half of itsmax HP. It restores more HP when the terrainis grass.,Floral Healing
m_991d7b01,3.0,id-10002,80.0,,100.0,0.0,10,2,44,,,,,,Shadow Blast
m_7cb90638,8.0,id-4,90.0,10.0,100.0,0.0,10,3,1,20.0,,,,"This move inflicts physical or special damage,whichever will be more effective. This may also poisonthe target.",Shell Side Arm
m_00acd06e,7.0,id-14,,1.0,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Shattered Psyche
m_68062436,6.0,id-11,,15.0,,0.0,12,1,211,,3.0,1.0,13.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Water Sport
m_3f99f233,8.0,id-2,,10.0,,0.0,13,1,1,100.0,,,,"The user properly coaches its ally Pokémon,boosting their Attack and Defense stats.",Coaching
m_78368dd0,3.0,id-10,150.0,5.0,90.0,,10,3,81,,2.0,6.0,22.0,The target is razed by a fiery explosion. The usercant move on the next turn.,Blast Burn
m_4358fe85,1.0,id-1,,20.0,100.0,0.0,10,1,24,,2.0,22.0,10.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Flash
m_5cf9358b,4.0,id-10,100.0,5.0,75.0,0.0,10,3,43,100.0,5.0,,7.0,The target becomes trapped within a maelstrom offire that rages for four to five turns.,Magma Storm
m_ce81fc54,4.0,id-10,,5.0,75.0,0.0,10,3,43,100.0,5.0,,7.0,The target becomes trapped within a maelstrom offire that rages for four to five turns.,Magma Storm
m_67c87921,5.0,id-10,60.0,15.0,100.0,,11,3,315,,,,,The user attacks opposing Pokémon with fire.If a Pokémon is holding a certain item such as aBerry the item becomes burned up and unusable.,Incinerate
m_0d8dda0b,7.0,id-14,85.0,10.0,100.0,0.0,10,2,187,,,,,The user bites the target with its psychiccapabilities. This can also destroy Light Screenand Reflect.,Psychic Fangs
m_8b517597,7.0,id-14,85.0,10.0,100.0,0.0,10,2,187,,,,,The user bites the target with its psychiccapabilities. This can also destroy Light Screenand Reflect.,Psychic Fangs
m_599d059e,1.0,id-3,60.0,35.0,100.0,,10,2,1,,1.0,12.0,5.0,The target is struck with large imposing wingsspread wide to inflict damage.,Wing Attack
m_b3608a9a,2.0,id-1,,,,0.0,14,1,115,,2.0,14.0,10.0,Any Pokémon that hears this song faints in threeturns unless it switches out of battle.,Perish Song
m_2e914d0a,8.0,id-13,110.0,10.0,100.0,0.0,10,2,437,100.0,,,,Morpeko attacks and raises its Speed with the energystored in its cheeks. This moves type changesdepending on the users form.,Aura Wheel
m_58f26d85,6.0,id-1,,20.0,,0.0,10,1,357,100.0,,,,"The user and the target become friends, and thetarget loses its will to fight. This lowers the target’sAttack stat.",Play Nice
m_ee91272c,2.0,id-13,65.0,20.0,100.0,0.0,10,2,7,30.0,1.0,4.0,5.0,The user throws an electrically charged tackle at thetarget. This may also leave the target with paralysis.,Spark
m_be5e6f2a,3.0,id-10002,75.0,,100.0,0.0,10,2,1,,,,,,Shadow Break
m_f88ec9b0,1.0,id-4,,10.0,,0.0,10,1,34,,4.0,33.0,19.0,A move that leaves the target badly poisoned.Its poison damage worsens every turn.,Toxic
m_cb3ddd04,6.0,id-9,,10.0,,4.0,7,1,356,,,,,The user takes a defensive stance while it protectsitself from damage. It also lowers the Attack stat of anyattacker that makes direct contact.,King’s Shield
m_74873954,8.0,id-4,,40.0,100.0,0.0,9,1,1,,,,,The user surrounds everything around it withhighly acidic gas and melts away items they hold.,Corrosive Gas
m_c3b50a91,7.0,id-2,,1.0,,0.0,10,3,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,All-Out Pummeling
m_d52f3256,7.0,id-2,,1.0,,0.0,10,3,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,All-Out Pummeling
m_c783bbd8,6.0,id-7,,20.0,,0.0,6,1,341,,,,,The user weaves a sticky net around the opposingteam which lowers their Speed stats upon switchinginto battle.,Sticky Web
m_05fbd872,1.0,id-8,,15.0,100.0,,10,3,88,,4.0,23.0,5.0,The user makes the target see a frightening mirage.It inflicts damage equal to the users level.,Night Shade
m_6000bad3,1.0,id-1,,40.0,,0.0,10,1,60,,4.0,5.0,10.0,An earsplitting screech harshly lowers the targetsDefense stat.,Screech
m_5e0eb403,7.0,id-15,,,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Subzero Slammer
m_57c63764,8.0,id-16,150.0,5.0,100.0,0.0,11,3,1,,,,,"Converting its life-force into power, the user attacksopposing Pokémon. The lower the user’s HP, the lowerthe move’s power.",Dragon Energy
m_9679c4a6,2.0,id-2,40.0,15.0,100.0,0.0,10,2,70,50.0,5.0,29.0,18.0,The user attacks with a punch. This may also lowerthe targets Defense stat.,Rock Smash
m_432a87a9,5.0,id-14,80.0,10.0,100.0,,10,3,283,,,,,The user materializes an odd psychic wave to attackthe target. This attack does physical damage.,Psyshock
m_c49e423c,8.0,id-14,90.0,10.0,100.0,0.0,10,3,1,10.0,,,,The user shoots its psychic power from its eyesto attack. This may also leave the target frozen.,Freezing Glare
m_50854205,3.0,id-12,25.0,30.0,100.0,,10,2,30,,1.0,14.0,7.0,The user forcefully shoots seeds at the target twoto five times in a row.,Bullet Seed
m_e7109f7a,3.0,id-15,30.0,20.0,90.0,0.0,10,2,118,,2.0,24.0,7.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Ice Ball
m_e352932b,3.0,id-10002,75.0,,100.0,0.0,10,3,7,10.0,,,,,Shadow Bolt
m_14501733,5.0,id-2,65.0,20.0,100.0,0.0,10,2,21,100.0,,,,The user makes a swift attack on the targets legswhich lowers the targets Speed stat.,Low Sweep
m_189e07b7,2.0,id-11,,5.0,,0.0,12,1,137,,5.0,11.0,13.0,"The user summons a heavy rain that falls for fiveturns, powering up Water-type moves. It lowersthe power of Fire-type moves.",Rain Dance
m_50a23e89,8.0,id-15,20.0,10.0,90.0,0.0,10,2,1,,,,,A consecutive three-kick attack that becomes morepowerful with each successful hit.,Triple Axel
m_d8819512,1.0,id-1,10.0,,100.0,0.0,10,2,71,10.0,5.0,9.0,21.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Constrict
m_1c308d18,2.0,id-17,60.0,25.0,100.0,0.0,10,2,106,,5.0,20.0,12.0,The user attacks and steals the target’s held itemsimultaneously. The user can’t steal anything if italready holds an item.,Thief
m_9e06d008,7.0,id-9,,1.0,,,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Corkscrew Crash
m_9040cb83,8.0,id-6,10.0,10.0,,0.0,2,2,1,,,,,This is a Rock-type attack Dynamax Pokémon use.The user summons a sandstorm lasting five turns.,Max Rockfall
m_19423178,5.0,id-17,,15.0,,,7,1,278,,,,,The user sharpens its claws to boost its Attack statand accuracy.,Hone Claws
m_b4c90b3f,5.0,id-13,,10.0,100.0,0.0,10,3,294,,,,,The user hurls an electric orb at the target. Thefaster the user is than the target the greater themoves power.,Electro Ball
m_df7fce2b,8.0,id-9,,10.0,100.0,0.0,1,2,228,,2.0,,15.0,The user retaliates with much greater force againstthe opponent that last inflicted damage on it.,Metal Burst
m_fa68027c,7.0,id-1,210.0,1.0,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Pulverizing Pancake
m_2f6ea636,3.0,id-10002,120.0,,60.0,0.0,10,2,10002,,,,,,Shadow End
m_b7b7cc9a,3.0,id-1,,20.0,,0.0,10,1,206,,3.0,33.0,19.0,The user tickles the target into laughing reducing itsAttack and Defense stats.,Tickle
m_dd60aac8,3.0,id-1,,20.0,100.0,0.0,10,1,206,,3.0,33.0,19.0,The user tickles the target into laughing reducing itsAttack and Defense stats.,Tickle
m_108785b3,5.0,id-2,,5.0,,0.0,10,3,321,,,,,The user risks everything to attack its target. Theuser faints but does damage equal to its HP.,Final Gambit
m_139a62d6,7.0,id-3,,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Supersonic Skystrike
m_43ebd468,5.0,id-2,60.0,10.0,90.0,-6.0,10,2,314,,,,,"The target is thrown, and a different Pokémon isdragged out. In the wild, this ends a battle againsta single Pokémon.",Circle Throw
m_26d15085,5.0,id-9,,10.0,,0.0,7,1,313,,,,,"The user rotates its gears, raising its Attack stat andsharply raising its Speed stat.",Shift Gear
m_def98bef,7.0,id-3,,1.0,,0.0,10,3,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Supersonic Skystrike
m_863edbfb,5.0,id-11,80.0,15.0,100.0,0.0,10,3,5,30.0,,,,The user shoots boiling hot water at its target.This may also leave the target with a burn.,Scald
m_775189db,5.0,id-14,,15.0,,2.0,7,1,308,,,,,The user teleports using a strange power andswitches places with one of its allies.,Ally Switch
m_10f14cbd,5.0,id-2,,15.0,,3.0,4,1,307,,,,,The user protects itself and its allies frompriority moves.,Quick Guard
m_d7e4bfb6,5.0,id-14,20.0,10.0,100.0,0.0,10,3,306,,,,,"The user attacks the target with stored power.The more the user’s stats are raised, the greaterthe move’s power.",Stored Power
m_1c1a6033,5.0,id-3,60.0,10.0,100.0,0.0,10,2,312,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Sky Drop
m_ba19ec96,5.0,id-8,65.0,10.0,100.0,0.0,10,3,311,,,,,This relentless attack does massive damage to atarget affected by status conditions.,Hex
m_2ec42152,5.0,id-14,,10.0,,0.0,10,1,310,,,,,The user emits a healing pulse that restores thetarget’s HP by up to half of its max HP.,Heal Pulse
m_6aea54d7,5.0,id-1,,15.0,,0.0,7,1,309,,,,,"The user breaks its shell, which lowers Defense andSp. Def stats but sharply raises its Attack, Sp. Atk,and Speed stats.",Shell Smash
m_2c88c798,1.0,id-1,80.0,10.0,100.0,0.0,10,3,37,20.0,2.0,8.0,5.0,"The user strikes with a simultaneous three-beam attack.This may also burn, freeze, or paralyze the target.",Tri Attack
m_95ce8b6f,2.0,id-9,70.0,25.0,90.0,0.0,10,2,139,10.0,1.0,12.0,5.0,The target is hit with wings of steel. This may alsoraise the users Defense stat.,Steel Wing
m_e5e95eb5,7.0,id-2,,1.0,,0.0,10,3,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",All-Out Pummeling
m_0eb8c9cb,8.0,id-1,,10.0,100.0,0.0,12,1,432,,,,,"With its mysterious power, the user swaps the effects oneither side of the field.",Court Change
m_613d1b65,8.0,id-13,70.0,20.0,100.0,0.0,10,3,1,,,,,The user attacks with electric voltage rising fromthe ground. This move’s power doubles when the targetis on Electric Terrain.,Rising Voltage
m_61dcf342,1.0,id-1,,30.0,,0.0,7,1,31,,2.0,12.0,23.0,The user changes its type to become the same typeas the move at the top of the list of moves it knows.,Conversion
m_cf4b74cf,7.0,id-1,,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Breakneck Blitz
m_29bd5536,1.0,id-14,,30.0,,0.0,4,1,36,,2.0,15.0,13.0,A wondrous wall of light is put up to reduce damagefrom special attacks for five turns.,Light Screen
m_41f16f65,3.0,id-10002,75.0,,100.0,0.0,10,3,6,10.0,,,,,Shadow Chill
m_36287175,7.0,id-1,,1.0,,0.0,10,3,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Breakneck Blitz
m_a6d91c12,6.0,id-15,70.0,20.0,,0.0,10,3,380,10.0,,,,The user rapidly cools the target. This may alsoleave the target frozen. This move is super effectiveon Water types.,Freeze-Dry
m_8c22344f,5.0,id-10,50.0,20.0,100.0,0.0,10,2,296,100.0,,,,"Cloaking itself in flame, the user attacks the target.Then, building up more power, the user raises itsSpeed stat.",Flame Charge
m_c2774fb0,5.0,id-4,,20.0,,0.0,7,1,323,,,,,The user coils up and concentrates. This raises itsAttack and Defense stats as well as its accuracy.,Coil
m_cd891790,6.0,id-3,120.0,5.0,100.0,0.0,10,2,230,100.0,,,,"After soaring upward, the user attacks its target bydropping out of the sky at high speeds. But it lowersits own Defense and Sp. Def stats in the process.",Dragon Ascent
m_e09c6c35,1.0,id-1,60.0,20.0,,,11,3,18,,1.0,27.0,17.0,Star-shaped rays are shot at opposing Pokémon.This attack never misses.,Swift
m_16e878bb,5.0,id-4,95.0,10.0,100.0,0.0,9,3,3,10.0,,,,The user strikes everything around it by swampingthe area with a giant sludge wave. This may alsopoison those hit.,Sludge Wave
m_1407cf19,5.0,id-7,,20.0,,0.0,7,1,291,,,,,"The user lightly performs a beautiful, mystic dance.This boosts the user’s Sp. Atk, Sp. Def, andSpeed stats.",Quiver Dance
m_b9b6c445,5.0,id-2,60.0,10.0,100.0,0.0,10,2,289,,,,,The user strikes the target with a fierce blow. Thisattack always results in a critical hit.,Storm Throw
m_c147dcf0,5.0,id-10,70.0,15.0,100.0,0.0,10,3,290,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Flame Burst
m_274fc000,5.0,id-13,,10.0,100.0,0.0,10,3,294,,,,,"The user hurls an electric orb at the target. Thefaster the user is than the target, the greater themove’s power.",Electro Ball
m_69434abb,5.0,id-11,,20.0,100.0,0.0,10,1,295,,,,,The user shoots a torrent of water at the target andchanges the target’s type to Water.,Soak
m_a629a1d1,5.0,id-9,,10.0,100.0,0.0,10,2,292,,,,,"The user slams into the target with its heavy body.The more the user outweighs the target, the greaterthe move’s power.",Heavy Slam
m_6fa42cab,5.0,id-14,120.0,10.0,100.0,0.0,9,3,293,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Synchronoise
m_f5cefa72,7.0,id-17,,10.0,100.0,0.0,10,2,306,,,,,The user boasts its strength and attacks the target.The more the users stats are raised the greater themoves power.,Power Trip
m_5d96b7d5,5.0,id-15,85.0,10.0,90.0,0.0,10,2,32,30.0,,,,The user attacks by harshly dropping large iciclesonto the target. This may also make the target flinch.,Icicle Crash
m_fc1b87e1,,id-14,,30.0,,0.0,4,1,36,,2.0,15.0,13.0,A wondrous wall of light is put up to reduce damagefrom special attacks for five turns.,Light Screen
m_84293fd4,3.0,id-10002,75.0,,,0.0,10,2,1,,,,,,Shadow Break
m_ec121607,5.0,id-15,85.0,,90.0,0.0,10,2,32,30.0,,,,The user attacks by harshly dropping large iciclesonto the target. This may also make the target flinch.,Icicle Crash
m_e506ff81,5.0,id-10,80.0,10.0,100.0,0.0,10,3,277,50.0,,,,"Cloaked in flames, the user attacks the target bydancing and flapping its wings. This may also raise theuser’s Sp. Atk stat.",Fiery Dance
m_206aa0ee,7.0,id-16,185.0,1.0,,0.0,11,3,419,100.0,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Clangorous Soulblaze
m_25630fdb,3.0,id-10002,75.0,,100.0,0.0,10,2,1,,,,,,Shadow Break
m_a3550f3e,5.0,id-14,,15.0,,0.0,10,1,286,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Telekinesis
m_1f783654,5.0,id-7,,20.0,,2.0,7,1,173,,,,,The user scatters a cloud of irritating powder todraw attention to itself. Opposing Pokémon aim only atthe user.,Rage Powder
m_73354748,5.0,id-9,,15.0,,0.0,7,1,285,,,,,The user sheds part of its body to make itself lighterand sharply raise its Speed stat.,Autotomize
m_7fde82b8,5.0,id-4,65.0,10.0,100.0,0.0,10,3,284,,,,,The user drenches the target in a special poisonousliquid. This move’s power is doubled if the targetis poisoned.,Venoshock
m_5948ec1f,4.0,id-1,,5.0,100.0,0.0,10,3,238,,4.0,,22.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Wring Out
m_e4cd5fbb,4.0,id-14,,10.0,,0.0,7,1,239,,1.0,,16.0,The user employs its psychic power to switch itsAttack stat with its Defense stat.,Power Trick
m_7617e38c,5.0,id-14,,10.0,,0.0,10,1,281,,,,,The user employs its psychic power to average itsAttack and Sp. Atk stats with those of the target.,Power Split
m_f5db1fc4,5.0,id-14,,10.0,,0.0,10,1,280,,,,,The user employs its psychic power to average itsDefense and Sp. Def stats with those of the target.,Guard Split
m_199ebb28,4.0,id-17,,10.0,100.0,0.0,10,2,234,,5.0,,23.0,The user flings its held item at the target to attack.This move’s power and effects depend on the item.,Fling
m_3c91430e,4.0,id-14,,10.0,100.0,0.0,10,1,235,,1.0,,16.0,"Using its psychic power of suggestion, the usertransfers its status conditions to the target.",Psycho Shift
m_85184fad,4.0,id-1,,5.0,,0.0,10,3,236,,1.0,,21.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Trump Card
m_9ca38f32,4.0,id-14,,15.0,100.0,0.0,11,1,237,,3.0,,13.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Heal Block
m_c2bc7b5d,4.0,id-2,120.0,5.0,100.0,0.0,10,2,230,100.0,4.0,,22.0,The user fights the target up close without guardingitself. This also lowers the user’s Defense andSp. Def stats.,Close Combat
m_65b2bd08,4.0,id-17,50.0,10.0,100.0,0.0,10,2,231,,1.0,,6.0,"The user stores power, then attacks. If the usermoves after the target, this attack’s power willbe doubled.",Payback
m_830eed90,4.0,id-17,60.0,10.0,100.0,0.0,10,2,232,,2.0,,15.0,"If the target has already taken some damage in thesame turn, this attack’s power is doubled.",Assurance
m_d18afc08,4.0,id-17,,15.0,100.0,0.0,10,1,233,,3.0,,13.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Embargo
m_7e552294,6.0,id-10,75.0,10.0,100.0,,10,3,72,100.0,,,,The user attacks by breathing a special hot fire.This also lowers the targets Sp. Atk stat.,Mystical Fire
m_2db8514a,6.0,id-18,,10.0,,3.0,4,1,350,,,,,The user protects itself and its allies from statusmoves with a mysterious power. This does not stopmoves that do damage.,Crafty Shield
m_ca1083a7,6.0,id-18,,10.0,,0.0,14,1,351,100.0,,,,The user raises the Defense stats of all Grass-typePokémon in battle with a mysterious power.,Flower Shield
m_f22aed25,6.0,id-17,,20.0,,0.0,10,1,348,,,,,All stat changes affecting the target turntopsy-turvy and become the opposite of whatthey were.,Topsy-Turvy
