recording,artist_credit
r464,ac2973
r465,ac1596
r466,ac222
r467,ac1594
r468,ac2243
r469,ac558
r470,ac296
r471,ac1440
r472,ac2099
r473,ac2099
r474,ac738
r475,ac3903
r476,ac3412
r477,ac1832
r478,ac1881
r479,ac1984
r480,ac80
r481,ac300
r482,ac1664
r483,ac2849
r484,ac3859
r485,ac2501
r486,ac3514
r487,ac529
r488,ac2815
r489,ac1034
r490,ac3885
r491,ac1533
r492,ac81
r493,ac2304
r494,ac3183
r495,ac1792
r496,ac3475
r497,ac1919
r498,ac3177
r499,ac3914
r500,ac3121
r501,ac3054
r502,ac4553
r503,ac1908
r504,ac3110
r505,ac144
r506,ac3110
r507,ac2881
r508,ac2217
r509,ac590
r510,ac4169
r511,ac1662
r512,ac3617
r513,ac951
r514,ac3933
r515,ac3489
r516,ac4428
r517,ac3017
r518,ac1541
r519,ac1986
r520,ac4505
r521,ac4563
r522,ac1700
r523,ac2580
r524,ac739
r525,ac3801
r526,ac3317
r527,ac570
r528,ac294
r529,ac4227
r530,ac3679
r531,ac3581
r532,ac3876
r533,ac1846
r534,ac1833
r535,ac4222
r536,ac1252
r537,ac3840
r538,ac3582
r539,ac1421
r540,ac133
r541,ac4074
r542,ac545
r543,ac3529
r544,ac1794
r545,ac2875
r546,ac2056
r547,ac3762
r548,ac3411
r549,ac3411
r550,ac778
r551,ac3063
r552,ac260
r553,ac4323
r554,ac2295
r555,ac263
r556,ac1191
r557,ac911
r558,ac1288
r559,ac1288
r560,ac2323
r561,ac581
r562,ac153
r563,ac153
r564,ac195
r565,ac1822
r566,ac3051
r567,ac1029
r568,ac2492
r569,ac1342
r570,ac3754
r571,ac4094
r572,ac3578
r573,ac4333
r574,ac1068
r575,ac1439
r576,ac1775
r577,ac2744
r578,ac551
r579,ac1350
r580,ac1889
r581,ac4571
r582,ac3243
r583,ac121
r584,ac4405
r585,ac531
r586,ac412
r587,ac1797
r588,ac3899
r589,ac648
r590,ac3743
r591,ac115
r592,ac3674
r593,ac2460
r594,ac2460
r595,ac3065
r596,ac3235
r597,ac3881
r598,ac3542
r599,ac4053
r600,ac174
r601,ac3007
r602,ac2998
r603,ac1740
r604,ac1075
r605,ac4595
r606,ac1857
r607,ac3040
r608,ac2485
r609,ac3688
r610,ac1437
r611,ac2886
r612,ac4063
r613,ac55
r614,ac4334
r615,ac186
r616,ac251
r617,ac3569
r618,ac3167
r619,ac2448
r620,ac2307
r621,ac781
r622,ac390
r623,ac3600
r624,ac3758
r625,ac4593
r626,ac721
r627,ac2757
r628,ac4090
r629,ac2685
r630,ac902
r631,ac2072
r632,ac3162
r633,ac2245
r634,ac3322
r635,ac3346
r636,ac2804
r637,ac1725
r638,ac707
r639,ac3620
r640,ac731
r641,ac731
r642,ac947
r643,ac2917
r644,ac3192
r645,ac3604
r646,ac3604
r647,ac1302
r648,ac2160
r649,ac1164
r650,ac3795
r651,ac2230
r652,ac4590
r653,ac4265
r654,ac848
r655,ac3924
r656,ac4405
r657,ac4299
r658,ac3358
r659,ac2370
r660,ac481
r661,ac1191
r662,ac3339
r663,ac1668
r664,ac326
r665,ac1070
r666,ac403
r667,ac3238
r668,ac4425
r669,ac2607
r670,ac3193
r671,ac2489
r672,ac1936
r673,ac3411
r674,ac1797
r675,ac2367
r676,ac754
r677,ac182
r678,ac3908
r679,ac1665
r680,ac314
r681,ac3867
r682,ac3867
r683,ac3633
r684,ac3634
r685,ac4394
r686,ac3734
r687,ac782
r688,ac2422
r689,ac276
r690,ac3438
r691,ac3438
r692,ac3641
r693,ac1042
r694,ac3647
r695,ac4458
r696,ac1219
r697,ac3561
r698,ac890
r699,ac3510
r700,ac3391
r701,ac3869
r702,ac2220
r703,ac866
r704,ac2189
r705,ac980
r706,ac214
r707,ac2571
r708,ac4459
r709,ac668
r710,ac2692
r711,ac4280
r712,ac2373
r713,ac2373
r714,ac34
r715,ac4415
r716,ac476
r717,ac1598
r718,ac1295
r719,ac2692
r720,ac3183
r721,ac426
r722,ac2229
r723,ac249
r724,ac1610
r725,ac985
r726,ac764
r727,ac2022
r728,ac968
r729,ac2267
r730,ac2267
r731,ac2353
r732,ac2411
r733,ac3844
r734,ac357
r735,ac3858
r736,ac1806
r737,ac2284
r738,ac1526
r739,ac2138
r740,ac3178
r741,ac245
r742,ac3896
r743,ac3272
r744,ac3142
r745,ac3911
r746,ac3857
r747,ac1461
r748,ac647
r749,ac6
r750,ac1334
r751,ac4228
r752,ac754
r753,ac767
r754,ac3760
r755,ac3965
r756,ac2253
r757,ac1204
r758,ac919
r759,ac4410
r760,ac1494
r761,ac4545
r762,ac4161
r763,ac2986
r764,ac2298
r765,ac2556
r766,ac197
r767,ac3718
r768,ac3120
r769,ac1298
r770,ac2420
r771,ac1994
r772,ac3274
r773,ac821
r774,ac3246
r775,ac3049
r776,ac3272
r777,ac3776
r778,ac3084
r779,ac1077
r780,ac2412
r781,ac853
r782,ac2658
r783,ac4410
r784,ac4277
r785,ac322
r786,ac1264
r787,ac3897
r788,ac1157
r789,ac1851
r790,ac3628
r791,ac2387
r792,ac359
r793,ac1810
r794,ac3954
r795,ac156
r796,ac3772
r797,ac3860
r798,ac4155
r799,ac3166
r800,ac3954
r801,ac2272
r802,ac2889
r803,ac2272
r804,ac4384
r805,ac2222
r806,ac712
r807,ac2520
r808,ac4172
r809,ac4390
r810,ac757
r811,ac3176
r812,ac2041
r813,ac2223
r814,ac2224
r815,ac3786
r816,ac9
r817,ac3672
r818,ac3346
r819,ac1737
r820,ac1433
r821,ac1922
r822,ac3929
r823,ac3929
r824,ac3929
r825,ac626
r826,ac3456
r827,ac1722
r828,ac1282
r829,ac671
r830,ac4456
r831,ac218
r832,ac2106
r833,ac1231
r834,ac770
r835,ac3842
r836,ac3558
r837,ac569
r838,ac145
r839,ac2780
r840,ac3534
r841,ac2303
r842,ac2303
r843,ac4115
r844,ac3462
r845,ac824
r846,ac156
r847,ac1883
r848,ac1883
r849,ac1883
r850,ac3928
r851,ac3551
r852,ac4544
r853,ac4309
r854,ac3615
r855,ac3651
r856,ac4326
r857,ac4285
r858,ac1812
r859,ac2820
r860,ac2646
r861,ac3934
r862,ac1216
r863,ac1409
r864,ac3827
r865,ac56
r866,ac3793
r867,ac3085
r868,ac2462
r869,ac810
r870,ac2907
r871,ac1837
r872,ac3278
r873,ac2891
r874,ac2436
r875,ac223
r876,ac4235
r877,ac2117
r878,ac1177
r879,ac34
r880,ac3731
r881,ac130
r882,ac2737
r883,ac691
r884,ac2115
r885,ac4334
r886,ac655
r887,ac3551
r888,ac82
r889,ac4003
r890,ac2038
r891,ac115
r892,ac1373
r893,ac1824
r894,ac210
r895,ac3535
r896,ac121
r897,ac2698
r898,ac328
r899,ac811
r900,ac1288
r901,ac411
r902,ac371
r903,ac2093
r904,ac512
r905,ac4566
r906,ac399
r907,ac4537
r908,ac3171
r909,ac2616
r910,ac2528
r911,ac3577
r912,ac2239
r913,ac1012
r914,ac3497
r915,ac732
r916,ac1796
r917,ac4113
r918,ac2285
r919,ac72
r920,ac2894
r921,ac1577
r922,ac1598
r923,ac3667
r924,ac1401
r925,ac321
r926,ac1552
r927,ac3150
r928,ac1668
r929,ac919
r930,ac919
r931,ac1682
r932,ac2699
r933,ac1835
r934,ac4414
r935,ac1209
r936,ac182
r937,ac2573
r938,ac3869
r939,ac1739
r940,ac4497
r941,ac3331
r942,ac3446
r943,ac3861
r944,ac1423
r945,ac4433
r946,ac558
r947,ac1468
r948,ac1
r949,ac3740
r950,ac160
r951,ac213
r952,ac4606
r953,ac1354
r954,ac4456
r955,ac4456
r956,ac2446
r957,ac4099
r958,ac4621
r959,ac387
r960,ac3590
r961,ac3323
r962,ac1517
r963,ac1060
r964,ac3792
r965,ac3228
r966,ac448
r967,ac4025
r968,ac2896
r969,ac3442
r970,ac2124
r971,ac121
r972,ac3169
r973,ac2749
r974,ac601
r975,ac431
r976,ac1138
r977,ac1666
r978,ac2111
r979,ac844
r980,ac1130
r981,ac4024
r982,ac137
r983,ac2235
r984,ac706
r985,ac4039
r986,ac2471
r987,ac2471
r988,ac2718
r989,ac726
r990,ac3053
r991,ac1723
r992,ac3372
r993,ac1779
r994,ac1242
r995,ac2214
r996,ac4462
r997,ac2661
r998,ac910
r999,ac3985
r1000,ac253
r1001,ac4511
r1002,ac1088
r1003,ac3745
r1004,ac491
r1005,ac2030
r1006,ac2126
r1007,ac2874
r1008,ac694
r1009,ac66
r1010,ac1152
r1011,ac2480
r1012,ac3714
r1013,ac385
r1014,ac2535
r1015,ac2233
r1016,ac1908
r1017,ac1908
r1018,ac3140
r1019,ac3517
r1020,ac3556
r1021,ac4263
r1022,ac1502
r1023,ac4252
r1024,ac4126
r1025,ac1967
r1026,ac1203
r1027,ac3798
r1028,ac1922
r1029,ac52
r1030,ac2347
r1031,ac4361
r1032,ac1595
r1033,ac3954
r1034,ac4122
r1035,ac4516
r1036,ac744
r1037,ac4009
r1038,ac2354
r1039,ac2987
r1040,ac4380
r1041,ac1147
r1042,ac0
r1043,ac2744
r1044,ac3314
r1045,ac2813
r1046,ac3738
r1047,ac107
r1048,ac508
r1049,ac1247
r1050,ac3631
r1051,ac3895
r1052,ac3478
r1053,ac1903
r1054,ac1674
r1055,ac1674
r1056,ac1674
r1057,ac3318
r1058,ac3135
r1059,ac123
r1060,ac4487
r1061,ac682
r1062,ac112
r1063,ac4021
r1064,ac567
r1065,ac2262
r1066,ac336
r1067,ac44
r1068,ac1390
r1069,ac2324
r1070,ac1416
r1071,ac1708
r1072,ac2624
r1073,ac1813
r1074,ac707
r1075,ac769
r1076,ac1286
r1077,ac3719
r1078,ac3439
r1079,ac4545
r1080,ac4458
r1081,ac3359
r1082,ac274
r1083,ac3812
r1084,ac403
r1085,ac736
r1086,ac404
r1087,ac2315
r1088,ac1630
r1089,ac3880
r1090,ac4108
r1091,ac323
r1092,ac350
r1093,ac1440
r1094,ac477
r1095,ac3228
r1096,ac1261
r1097,ac1225
r1098,ac893
r1099,ac12
r1100,ac4154
r1101,ac4284
r1102,ac629
r1103,ac883
r1104,ac2376
r1105,ac3544
r1106,ac541
r1107,ac4584
r1108,ac2000
r1109,ac973
r1110,ac2540
r1111,ac2069
r1112,ac1342
r1113,ac2392
r1114,ac543
r1115,ac1213
r1116,ac3354
r1117,ac3237
r1118,ac3354
r1119,ac3354
r1120,ac3782
r1121,ac4561
r1122,ac2092
r1123,ac3403
r1124,ac3113
r1125,ac175
r1126,ac480
r1127,ac2114
r1128,ac3482
r1129,ac1432
r1130,ac4070
r1131,ac4317
r1132,ac2992
r1133,ac1810
r1134,ac1135
r1135,ac3889
r1136,ac3923
r1137,ac3283
r1138,ac1414
r1139,ac3763
r1140,ac2234
r1141,ac446
r1142,ac3249
r1143,ac576
r1144,ac1869
r1145,ac3348
r1146,ac1187
r1147,ac1187
r1148,ac295
r1149,ac4146
r1150,ac1925
r1151,ac1664
r1152,ac988
r1153,ac2441
r1154,ac1010
r1155,ac3348
r1156,ac1767
r1157,ac3102
r1158,ac220
r1159,ac2676
r1160,ac2865
r1161,ac3588
r1162,ac1343
r1163,ac1497
r1164,ac1492
r1165,ac506
r1166,ac87
r1167,ac422
r1168,ac2573
r1169,ac3206
r1170,ac4476
r1171,ac3909
r1172,ac1181
r1173,ac4620
r1174,ac1371
r1175,ac2957
r1176,ac4112
r1177,ac2884
r1178,ac2784
r1179,ac2893
r1180,ac1735
r1181,ac1078
r1182,ac1587
r1183,ac321
r1184,ac321
r1185,ac321
r1186,ac2504
r1187,ac2934
r1188,ac3652
r1189,ac388
r1190,ac36
r1191,ac2303
r1192,ac378
r1193,ac4495
r1194,ac2432
r1195,ac4496
r1196,ac466
r1197,ac3853
r1198,ac1228
r1199,ac4153
r1200,ac1244
r1201,ac1985
r1202,ac2105
r1203,ac2748
r1204,ac3180
r1205,ac2435
r1206,ac1011
r1207,ac627
r1208,ac77
r1209,ac4435
r1210,ac724
r1211,ac724
r1212,ac1536
r1213,ac3794
r1214,ac1109
r1215,ac3876
r1216,ac1679
r1217,ac4123
r1218,ac2154
r1219,ac138
r1220,ac1125
r1221,ac1430
r1222,ac2124
r1223,ac2861
r1224,ac2861
r1225,ac2861
r1226,ac2365
r1227,ac1080
r1228,ac3899
r1229,ac107
r1230,ac4047
r1231,ac4145
r1232,ac4065
r1233,ac2869
r1234,ac4605
r1235,ac4305
r1236,ac995
r1237,ac1754
r1238,ac1754
r1239,ac2472
r1240,ac1100
r1241,ac4534
r1242,ac4243
r1243,ac622
r1244,ac2971
r1245,ac3449
r1246,ac846
r1247,ac160
r1248,ac4091
r1249,ac547
r1250,ac4273
r1251,ac974
r1252,ac2409
r1253,ac2931
r1254,ac3625
r1255,ac1775
r1256,ac870
r1257,ac2303
r1258,ac3565
r1259,ac1153
r1260,ac4268
r1261,ac3898
r1262,ac694
r1263,ac2001
r1264,ac3865
r1265,ac3716
r1266,ac4181
r1267,ac2935
r1268,ac4590
r1269,ac4097
r1270,ac3551
r1271,ac3314
r1272,ac2191
r1273,ac3398
r1274,ac3809
r1275,ac3570
r1276,ac4362
r1277,ac1660
r1278,ac3757
r1279,ac4025
r1280,ac1045
r1281,ac2207
r1282,ac372
r1283,ac129
r1284,ac4468
r1285,ac745
r1286,ac4375
r1287,ac227
r1288,ac2335
r1289,ac2335
r1290,ac2840
r1291,ac3867
r1292,ac4625
r1293,ac3941
r1294,ac4388
r1295,ac669
r1296,ac281
r1297,ac2042
r1298,ac900
r1299,ac1172
r1300,ac498
r1301,ac772
r1302,ac2613
r1303,ac1487
r1304,ac1600
r1305,ac3570
r1306,ac4465
r1307,ac4481
r1308,ac1600
r1309,ac2564
r1310,ac1144
r1311,ac2775
r1312,ac1351
r1313,ac1351
r1314,ac3454
r1315,ac1210
r1316,ac3836
r1317,ac2988
r1318,ac1657
r1319,ac2179
r1320,ac4064
r1321,ac1312
r1322,ac2341
r1323,ac2682
r1324,ac589
r1325,ac4037
r1326,ac3860
r1327,ac695
r1328,ac3912
r1329,ac2182
r1330,ac4331
r1331,ac4619
r1332,ac877
r1333,ac3047
r1334,ac1195
r1335,ac1491
r1336,ac4418
r1337,ac693
r1338,ac2273
r1339,ac4403
r1340,ac2379
r1341,ac1555
r1342,ac3022
r1343,ac3780
r1344,ac911
r1345,ac911
r1346,ac3733
r1347,ac1180
r1348,ac3698
r1349,ac2086
r1350,ac1667
r1351,ac2207
r1352,ac2917
r1353,ac781
r1354,ac3352
r1355,ac1092
r1356,ac3938
r1357,ac199
r1358,ac4550
r1359,ac731
r1360,ac646
r1361,ac662
r1362,ac2255
r1363,ac658
r1364,ac2744
r1365,ac1247
r1366,ac2482
r1367,ac3229
r1368,ac2705
r1369,ac3243
r1370,ac4059
r1371,ac2754
r1372,ac941
r1373,ac4138
r1374,ac1613
r1375,ac4192
r1376,ac1499
r1377,ac3963
r1378,ac2058
r1379,ac2856
r1380,ac2186
r1381,ac3088
r1382,ac1158
r1383,ac4556
r1384,ac2282
r1385,ac1543
r1386,ac708
r1387,ac74
r1388,ac2256
r1389,ac4061
r1390,ac2065
r1391,ac1965
r1392,ac2742
r1393,ac742
r1394,ac301
r1395,ac4203
r1396,ac1305
r1397,ac3590
r1398,ac3959
r1399,ac485
r1400,ac442
r1401,ac3226
r1402,ac2121
r1403,ac2398
r1404,ac3309
r1405,ac3918
r1406,ac2160
r1407,ac4629
r1408,ac3458
r1409,ac3953
r1410,ac4612
r1411,ac805
r1412,ac509
r1413,ac2417
r1414,ac3328
r1415,ac1689
r1416,ac2724
r1417,ac1652
r1418,ac3140
r1419,ac2028
r1420,ac2974
r1421,ac855
r1422,ac2296
r1423,ac513
r1424,ac1499
r1425,ac2694
r1426,ac797
r1427,ac3119
r1428,ac2643
r1429,ac2450
r1430,ac3049
r1431,ac3049
r1432,ac2102
r1433,ac1287
r1434,ac1812
r1435,ac996
r1436,ac2317
r1437,ac3160
r1438,ac1703
r1439,ac2264
r1440,ac4518
r1441,ac3426
r1442,ac3272
r1443,ac2320
r1444,ac674
r1445,ac3910
r1446,ac1098
r1447,ac3691
r1448,ac1134
r1449,ac1119
r1450,ac3086
r1451,ac3742
r1452,ac3682
r1453,ac2260
r1454,ac1646
r1455,ac838
r1456,ac1776
r1457,ac695
r1458,ac2109
r1459,ac4618
r1460,ac4294
r1461,ac4294
r1462,ac1151
r1463,ac16
r1464,ac3809
r1465,ac661
r1466,ac4070
r1467,ac2427
r1468,ac4174
r1469,ac4174
r1470,ac4577
r1471,ac2425
r1472,ac4049
r1473,ac3939
r1474,ac864
r1475,ac3593
r1476,ac1509
r1477,ac3531
r1478,ac998
r1479,ac3850
r1480,ac2708
r1481,ac1509
r1482,ac2874
r1483,ac3740
r1484,ac3835
r1485,ac2573
r1486,ac2551
r1487,ac2160
r1488,ac1294
r1489,ac4413
r1490,ac3677
r1491,ac652
r1492,ac1859
r1493,ac1859
r1494,ac1714
r1495,ac2361
r1496,ac1407
r1497,ac2244
r1498,ac3775
r1499,ac4120
r1500,ac240
r1501,ac4175
r1502,ac211
r1503,ac2396
r1504,ac4153
r1505,ac1099
r1506,ac3899
r1507,ac236
r1508,ac2495
r1509,ac3384
r1510,ac163
r1511,ac4046
r1512,ac850
r1513,ac4573
r1514,ac3460
r1515,ac3460
r1516,ac1759
r1517,ac3932
r1518,ac2606
r1519,ac4443
r1520,ac1701
r1521,ac2887
r1522,ac2816
r1523,ac2989
r1524,ac1594
r1525,ac2846
r1526,ac3879
r1527,ac2206
r1528,ac3271
r1529,ac1678
r1530,ac1938
r1531,ac1717
r1532,ac4394
r1533,ac3300
r1534,ac3285
r1535,ac1468
r1536,ac1913
r1537,ac1235
r1538,ac1913
r1539,ac4014
r1540,ac4143
r1541,ac2876
r1542,ac1685
r1543,ac2363
r1544,ac1872
r1545,ac3312
r1546,ac4173
r1547,ac4409
r1548,ac4398
r1549,ac4387
r1550,ac1036
r1551,ac1930
r1552,ac3350
r1553,ac2920
r1554,ac2906
r1555,ac2181
r1556,ac3454
r1557,ac682
r1558,ac2982
r1559,ac682
r1560,ac3710
r1561,ac1406
r1562,ac2268
r1563,ac4050
r1564,ac1360
r1565,ac2790
r1566,ac1797
r1567,ac943
r1568,ac3618
r1569,ac3098
r1570,ac3098
r1571,ac1296
r1572,ac275
r1573,ac4298
r1574,ac4057
r1575,ac1510
r1576,ac573
r1577,ac2606
r1578,ac4578
r1579,ac1965
r1580,ac3946
r1581,ac686
r1582,ac2752
r1583,ac2319
r1584,ac921
r1585,ac581
r1586,ac1345
r1587,ac1705
r1588,ac3332
r1589,ac286
r1590,ac1982
r1591,ac2644
r1592,ac185
r1593,ac1642
r1594,ac2525
r1595,ac3983
r1596,ac122
r1597,ac59
r1598,ac3966
r1599,ac3597
r1600,ac3705
r1601,ac3346
r1602,ac1381
r1603,ac4415
r1604,ac160
r1605,ac1298
r1606,ac2211
r1607,ac48
r1608,ac598
r1609,ac667
r1610,ac1909
r1611,ac3907
r1612,ac1395
r1613,ac2567
r1614,ac1923
r1615,ac4218
r1616,ac2996
r1617,ac838
r1618,ac3106
r1619,ac3512
r1620,ac1297
r1621,ac3181
r1622,ac612
r1623,ac2428
r1624,ac386
r1625,ac3265
r1626,ac3773
r1627,ac294
r1628,ac4458
r1629,ac2303
r1630,ac1841
r1631,ac4492
r1632,ac647
r1633,ac688
r1634,ac3381
r1635,ac3825
r1636,ac1140
r1637,ac2371
r1638,ac503
r1639,ac2776
r1640,ac3461
r1641,ac1247
r1642,ac1247
r1643,ac2137
r1644,ac1790
r1645,ac1156
r1646,ac4617
r1647,ac3675
r1648,ac3191
r1649,ac3191
r1650,ac1980
r1651,ac485
r1652,ac313
r1653,ac4561
r1654,ac85
r1655,ac1286
r1656,ac1900
r1657,ac1836
r1658,ac1576
r1659,ac304
r1660,ac1161
r1661,ac3363
r1662,ac1492
r1663,ac4523
r1664,ac3318
r1665,ac425
r1666,ac400
r1667,ac2632
r1668,ac955
r1669,ac3722
r1670,ac3080
r1671,ac3438
r1672,ac2973
r1673,ac4344
r1674,ac3095
r1675,ac4391
r1676,ac3611
r1677,ac608
r1678,ac3429
r1679,ac3194
r1680,ac3430
r1681,ac2109
r1682,ac963
r1683,ac91
r1684,ac861
r1685,ac324
r1686,ac1542
r1687,ac1928
r1688,ac900
r1689,ac1719
r1690,ac2801
r1691,ac3974
r1692,ac2241
r1693,ac1297
r1694,ac1913
r1695,ac4548
r1696,ac3130
r1697,ac223
r1698,ac3689
r1699,ac2291
r1700,ac1165
r1701,ac4336
r1702,ac4219
r1703,ac3809
r1704,ac2909
