artist_credit,position,artist,name
ac825,0,a3591,Grownup Killjoy
ac1905,0,a2035,The Count Basie Orchestra
ac1064,0,a1143,Scrotum
ac2160,0,a2290,Masterplan
ac3215,0,a3366,Intergalactic Faerie Funk
ac4063,0,a4239,Lightning Bolt
ac4090,0,a4050,Jukka Salminen
ac1504,0,a1626,U2
ac2087,0,a1427,21 Savage
ac2087,1,a3347,Metro Boomin
ac862,0,a3635,Force Fed Life
ac1777,0,a2511,Mark Rushton
ac1777,1,a1622,Jon Harnish
ac626,0,a669,Anne Sylvestre
ac1816,0,a4581,Frekkr
ac2817,0,a2959,Les Rita Mitsouko
ac1924,0,a2054,ona
ac3827,0,a3998,Azwan
ac3159,0,a3318,Engineer
ac3936,0,a4118,Marion Harris
ac2542,0,a2702,志方あきこ
ac2269,0,a3201,Anonomous
ac909,0,a981,Burning Spear
ac2427,0,a2599,Def Leppard
ac3138,0,a3289,The Beatles
ac1489,0,a1606,Koji Asano
ac1129,0,a1221,Reality
ac4227,0,a4432,Pernilla Wahlgren
ac3980,0,a2588,Bernd Kohlhepp
ac3980,1,a3267,Jürgen Treyz
ac2098,0,a2218,Doyle Bramhall
ac1610,0,a233,Complys
ac1610,1,a2316,BDS
ac4108,0,a1579,Épictète
ac3558,0,a3715,Murat Yılmazyıldırım
ac1217,0,a1322,Michael Moshan  David Mendelsohn
ac4422,0,a4647,John Hicks
ac3852,0,a4028,The Olivia Tremor Control
ac2061,0,a2185,Monolithic
ac895,0,a1272,Petrus Castrus
ac1163,0,a1265,Eine Oliver Twist Kooperation
ac3657,0,a3815,Dave Specter  The Bluebirds
ac3163,0,a3321,Two Lone Swordsmen
ac2367,0,a2530,Claire Diterzi
ac3268,0,a3414,Neljänsuora
ac1249,0,a1357,Raimundos
ac2210,0,a2348,Wigrid
ac2425,1,a2925,William Dufris
ac2425,0,a1270,D J MacHale
ac891,0,a961,Dead Meadow
ac3311,0,a3464,Tede
ac2215,0,a4342,Jay Farrar
ac1462,0,a4297,The Starlights
ac3641,0,a3796,Elvis Costello  The Attractions
ac503,0,a542,Tammy St John
ac917,0,a992,Philippe Sarde
ac4103,0,a4289,Ammo
ac2002,0,a2140,Jimmy Page  Robert Plant
ac521,0,a1743,Eero Saarinen
ac3235,0,a2186,Richie Branson
ac3120,0,a3577,Indiana
ac1664,0,a1801,Delerium
ac923,0,a999,Flans
ac838,1,a1484,Gavin Ralston
ac838,0,a1486,Harry Long
ac53,0,a54,Tapes
ac3135,0,a3286,Modern Talking
ac3658,0,a4216,Baby
ac3658,1,a2632,Clipse
ac418,0,a445,モーニング娘
ac4448,0,a1107,Bobby Bland
ac4291,0,a1710,Ansiktet
ac3350,0,a3503,Bass Communion
ac2584,0,a2744,Gráda
ac4171,0,a4322,American Noise
ac4587,0,a4825,Warhammer
ac2058,0,a2181,Big Youth
ac3860,0,a4038,Terry DevineKing
ac998,0,a1080,ChaosOrder
ac2634,0,a1832,Jars of Clay
ac2634,1,a375,Gungor
ac2320,0,a2469,Astrid  Freddy Breck
ac1872,0,a2005,Over the Atlantic
ac4165,0,a4365,Hydroplane
ac4339,0,a4551,Tanya Donelly
ac3051,1,a4271,Zakir Hussain
ac3051,0,a2960,George Brooks
ac1335,0,a1453,Back of the Bus
ac328,0,a337,Ee
ac4459,0,a4423,DJ Spair
ac4459,1,a163,Doo Wop
ac2511,0,a2671,Evaldo Braga
ac388,0,a408,Kutless
ac2764,0,a1696,Skogsfrid
ac2971,0,a3107,ORIGA
ac3752,0,a3922,John Mayall
ac187,0,a200,manmachineindustry
ac2765,0,a2902,Super XX Man
ac3040,0,a3188,Praveen
ac4156,0,a4358,Magic Sam
ac1651,0,a1788,Yeni Türkü
ac2845,0,a2985,Jorane
ac3001,0,a3147,Mank
ac1681,0,a1146,Luis Vargas
ac2022,0,a4208,Kent DuChaine
ac3129,0,a3279,Beres Hammond
ac3034,0,a3182,Jody Davis
ac4024,0,a4204,Autumn
ac3180,0,a3768,D Todd Sorensen
ac608,0,a645,Khoiba
ac801,0,a3357,Gemma Hayes
ac1516,0,a3490,Backyard Babies
ac3032,0,a3180,Ellis Paul
ac3454,0,a3607,Robyn Hitchcock
ac898,0,a968,Stanley Clarke
ac4192,0,a4395,James Horner
ac2019,0,a2151,Agathocles
ac4267,0,a4470,mwvm
ac767,0,a825,Spank the Monkey
ac1139,0,a1236,Danny Davies
ac2727,0,a1674,Vyaas Houston 
ac4598,0,a4835,Niños Cantores de Lara
ac541,0,a576,Nirvana
ac1255,0,a1362,Wolfgang Amadeus Mozart
ac4232,0,a4438,Chapterhouse
ac3565,0,a3720,Ana Belén
ac1953,0,a1199,Peter Finger
ac2353,0,a2515,Peter Hammill
ac2295,0,a2441,Active Child
ac4182,0,a3948,revideolized
ac3019,0,a3168,Shearer
ac642,1,a4574,Cigala
ac642,0,a1798,Bebo
ac794,0,a2301,Mad Masterz
ac794,1,a538,Rolf Junior
ac845,0,a902,Big City
ac1628,0,a1760,이수영
ac741,0,a803,After Crying
ac2986,0,a3124,The Royal Scots Dragoon Guards
ac1246,0,a1353,Steven R Smith
ac3928,0,a956,Joseph Manson
ac3285,0,a3435,Pushkar
ac2955,0,a3090,Heintje
ac2034,0,a2160,Lemony Snicket
ac2760,0,a2897,Jerry Clower
ac4186,0,a4389,Enoch Light  Terry Snyder and The All Stars
ac2596,0,a3238,Sudden Death
ac1899,0,a2030,Lorca
ac4243,0,a2389,Laurine Frost
ac3866,0,a4045,James Morrison
ac4194,0,a1025,The CRS Players
ac3952,0,a4137,Mickey Junkies
ac4460,0,a3763,Madball
ac4524,0,a4762,Irany Leme
ac2826,0,a2968,Tatact
ac3828,1,a3076,LomC
ac3828,2,a2315,Tocha Pro
ac3828,0,a3,Dash Shamash
ac1645,0,a1779,Bill Clinton
ac4337,0,a4170,A Hero Named Hope
ac1323,0,a1142,Love4Money
ac3620,0,a3775,Sun Ra
ac761,0,a819,UStreet All Stars
ac3824,0,a3995,Zacier
ac1191,0,a1294,Harry Lubin
ac1041,0,a1120,Victoria Williams
ac531,0,a1638,Orquestra Mediterrânea
ac561,1,a3818,Cattive Abitudini
ac561,0,a3908,Rumatera
ac2493,0,a2843,Fastpoholmen
ac3459,0,a3612,Kenny Rogers
ac866,0,a926,Grooveminister
ac4612,0,a4851,崎元仁
ac1474,0,a1591,Frédéric Chopin
ac4261,0,a4466,The Streets
ac568,0,a604,Mr Big
ac2290,0,a2435,Lunik
ac1699,0,a1112,Tourist
ac4153,0,a4354,Los Kjarkas
ac2708,0,a2858,XP8
ac3917,0,a4097,OJM
ac4365,0,a1599,Jeff Loomis
ac1156,0,a1256,Lola Lago Detective
ac3812,0,a3983,Cool Cavemen
ac277,0,a285,Teoman
ac3760,0,a3930,Die Allergie
ac990,0,a1074,Pendragon
ac2420,0,a2070,Step Softly Ghost
ac712,0,a4388,Nick Cave
ac3886,0,a4065,Spanky  Our Gang
ac2748,0,a2886,Heatmiser
ac2202,0,a512,Bruce Springsteen
ac2202,1,a3148,The E Street Band
ac4253,0,a4458,Пилот
ac443,0,a470,Erik Satie
ac3647,0,a3801,Nebular Moon
ac3617,0,a499,In the Summer of the Mushroom Honey
ac2204,0,a2344,Robert Schumann
ac861,0,a921,Downy Mildew
ac1878,0,a1303,SRange
ac935,0,a1005,Born Without a Face
ac567,0,a602,The Idea of North
ac4278,0,a4281,Natrach
ac3598,0,a3459,Montag
ac1566,0,a3158,Koan
ac1566,1,a4519,Tatyana Kalmykova
ac893,0,a963,Ennio Morricone
ac2751,0,a3914,TI
ac2751,1,a1716,Rihanna
ac4385,0,a4599,אריק איינשטיין
ac2411,0,a2577,Maria Muldaur
ac4382,0,a4595,The Avalanches
ac476,0,a517,Annie Ross
ac2169,0,a2300,Annisteen Allen
ac3367,0,a3522,飯島真理
ac2446,0,a2615,David Shire
ac2670,0,a2820,Nathan Hofheins
ac1201,0,a2861,Shinkasta
ac3065,0,a3218,Hecenia
ac3356,0,a3509,Nordcore GmbH
ac1820,0,a3821,La puerta de los sueños
ac1003,0,a1153,Ida Elina
ac421,0,a448,The Duke Ellington Trio
ac1149,0,a36,Six of Swords
ac1712,0,a1846,Bernard Minet
ac3613,0,a3771,Kim Stockwood
ac3412,0,a3566,Zaufke Thomas
ac2527,0,a1669,Tsuneo Imahori
ac674,1,a4024,Tina Quallo
ac674,0,a708,K Sparks
ac487,0,a529,Saccoman
ac1836,0,a1965,Модест Петрович Мусоргский
ac185,0,a907,Ligita KursišaPataša
ac2101,0,a2223,Juanita Williams
ac574,0,a613,Marilyn Scott
ac2841,0,a2980,Gerald Clayton
ac3615,0,a2687,Lyra All Stars
ac3615,1,a1038,Johanna Iivanainen
ac1660,0,a1796,Benny Goodman and His Orchestra
ac1772,0,a1906,Ruffnexx Sound System
ac2145,0,a4491,David  the High Spirit
ac4372,0,a4583,Furry Lewis
ac2816,0,a4433,A‐Trak
ac4357,0,a4567,The Helpful Soul
ac4571,0,a4810,Eppu Normaali
ac812,0,a868,Freddie King
ac4619,0,a4858,Henry Purcell
ac1584,0,a1721,James Lavino
ac930,1,a3248,Tim Mays
ac930,0,a1829,Sal Salvador
ac1557,0,a1688,4Voice
ac1109,0,a1201,Wilco
ac3068,0,a2455,Massive Attack
ac4069,0,a4244,Everlost
ac2035,0,a2161,Monique Kessous
ac2284,0,a2428,THE PINK☆PANDA
ac399,0,a424,Ivan Lins
ac2605,0,a2766,Baxter Pat
ac2489,1,a4106,Souleye
ac2489,0,a3563,Blvd
ac4607,0,a4844,Don Ross
ac4195,0,a4397,Landser
ac2795,0,a2936,Beegie Adair Trio
ac2992,0,a3134,Robert Wolf
ac3141,0,a3293,Gilles Droulez
ac1211,0,a1316,Memphis Slim
ac237,0,a249,Susumu Yokota
ac2243,0,a2383,Annette Moreno
ac1576,0,a1714,The Green and Yellow TV
ac1565,0,a4692,The Breaks Collective
ac1247,0,a1355,Controlled Bleeding
ac2232,2,a1239,Herb Ellis
ac2232,0,a2914,Monty Alexander
ac2232,1,a1243,Ray Brown
ac3934,0,a1529,Randy Newman
ac3807,0,a3979,Christopher Young
ac4084,0,a14,The Chaperals
ac36,0,a37,Son Kite
ac3344,0,a3498,Pimmon
ac3567,0,a2061,Ross Lynch
ac3142,0,a3294,Cliff Richard
ac2926,0,a3065,Kim Robertson
ac2432,1,a1295,Jesse Loren Josefsson
ac2432,2,a193,Denis Dobrenz
ac2432,0,a4386,Phraze
ac2673,0,a2824,山中千尋
ac1541,0,a1667,Lawrence
ac2152,0,a2279,Wes Montgomery
ac2147,0,a2273,Blissed
ac387,0,a407,Johnny Cosy
ac35,0,a35,Vomitous
ac385,0,a404,GoGoGo Airheart
ac1158,0,a1259,TAMUSIC
ac1666,0,a1803,Wildchild
ac2279,0,a2424,Le Modem
ac1104,0,a1195,Jason Mraz
ac201,0,a220,Freddie Jackson
ac3372,0,a4624,Sean Justice
ac3646,0,a2532,サイダーガール
ac292,0,a299,Riccardo Cocciante
ac3734,0,a3902,Robert Etoll
ac4318,0,a4521,Easy Street
ac681,0,a732,La Ruda
ac972,0,a1053,Holger Czukay
ac2828,0,a2969,Олег Погудин
ac407,0,a433,KSU
ac4158,0,a4360,John Fred  His Playboy Band
ac622,0,a663,Five for Fighting
ac2996,0,a347,Stu Larsen
ac2256,0,a4666,X Fade
ac529,0,a563,Malignant Eternal
ac2185,0,a2314,Bernabe de Moron
ac3898,0,a4074,Guy Gross
ac572,0,a4848,Jsbl
ac4207,0,a3740,KNX Crew
ac730,0,a2341,Imagination Society
ac1226,0,a1333,Insingizi
ac4534,0,a4772,Ann Christy
ac912,0,a987,Apiary
ac3167,0,a3323,RL Burnside
ac2573,0,a2736,AOK
ac2624,0,a2780,Solanos
ac3497,0,a1694,Fries Jeugdkoor
ac3497,1,a4093,Meindert Bosklopper
ac2304,0,a2454,林子祥
ac4292,0,a3091,Basil Kirchin
ac4292,1,a4116,John Coleman
ac4310,0,a3575,The Painted World
ac3394,0,a3544,Älskade barnvisor
ac1383,0,a1505,Kalua Beach Boys
ac1700,0,a1833,TOK
ac3865,0,a4044,Salad
ac848,0,a906,Tori Amos
ac3264,0,a3411,Randy Edelman
ac1650,0,a1787,高木正勝
ac4203,0,a4498,biff0r
ac1739,0,a1874,Wings
ac2875,0,a1568,Empyreal
ac2360,0,a2522,Mark McGuire
ac2370,0,a2533,Giovanni Battista Vitali
ac1638,0,a1771,Space
ac4144,0,a4338,Jon A Kull
ac4510,0,a4745,Bill Nelson
ac868,0,a929,DJ Pope
ac3182,0,a2210,RAINBOW
ac3805,0,a1657,Yggdrasil
ac21,0,a22,Clive Cussler
ac4501,0,a4737,Mieka Pauley
ac1859,0,a1992,Marion
ac138,0,a141,The Year Of
ac536,0,a571,Simon Etchell
ac1040,0,a1675,deLillos
ac3357,0,a3510,Kaimiņi
ac2616,0,a2773,Sam Brown
ac1067,0,a888,Juicy J
ac1067,1,a2679,Project Pat
ac1047,0,a3644,百蚊
ac2591,0,a1517,Nigel Bates
ac2591,1,a2719,Ben Fenner
ac4379,0,a4591,Liane Carroll
ac1812,0,a1944,Jimi Hendrix
ac518,0,a1260,Martin and Company
ac4056,0,a4233,Hedvig Hanson
ac3509,0,a3675,Ten 33
ac1729,0,a1863,The Prodigy
ac2653,0,a2799,つしまみれ
ac522,0,a559,Inspiral Carpets
ac4433,0,a4658,Nine Inch Nails
ac1482,0,a1598,Edward H Dafis
ac3903,0,a679,Manolo Guardia
ac1901,0,a2032,The Brains
ac1119,0,a1213,The Human Expression
ac1241,0,a1348,Любэ
ac1842,0,a1974,Mick Parker
ac808,0,a2715,Disciplina kičme
ac2257,0,a2398,Black Flight
ac2957,0,a3092,They Would Be Happy People
ac3076,0,a3228,Mudmen
ac437,0,a463,Ben Somer
ac3122,0,a3272,Unlogistic
ac3618,0,a3387,Erik Koskinen
ac130,0,a129,AZ
ac3660,0,a3819,Mose Allison
ac3868,0,a4047,Basic Soul
ac2914,0,a3053,Gaither Carlton
ac4541,0,a4424,Resistance D
ac1656,0,a1792,Mistakes
ac1238,0,a1345,Army of Freshmen
ac2868,0,a3009,Hope College Chapel
ac846,0,a904,Modest Mouse
ac3911,0,a1856,Night Nurse
ac1467,0,a135,OxygenStar
ac1032,0,a1111,Ken R Incorporated
ac2603,0,a2695,High n Heavy
ac3410,0,a3565,Ludwig van Beethoven
ac562,0,a596,Lotto King Karl
ac2847,0,a2988,Janet Evanovich
ac135,0,a137,Salif Keita
ac4475,0,a4709,Heather Nova
ac643,0,a687,Clay Fav
ac2315,0,a2465,The Count Basie Trio
ac888,0,a958,The Plimsouls
ac2738,0,a2878,Johnny Pearson
ac2568,0,a2733,Plácido Domingo
ac256,0,a268,Go West
ac3792,0,a3964,Negronis Trio
ac3502,0,a3666,Kristin Chenoweth
ac4088,0,a1431,Lalo Schifrin
ac4172,0,a4373,GTO
ac3692,0,a3854,Panzer AG
ac698,0,a751,Geir Egil Larsen og tjukke slekta
ac2556,0,a2718,Therion
ac2570,0,a2735,The Romantic Strings and Orchestra
ac3265,0,a3413,The Bourbon Street Paraders
ac3516,0,a1724,Spawn
ac2286,0,a2430,Papsmear
ac223,0,a240,Jerry Goldsmith
ac318,0,a326,Les Reines Prochaines
ac1984,0,a2117,SFP
ac4070,0,a1324,Crimpshrine
ac1505,1,a3812,Otto Sander
ac1505,0,a2255,Charles Bukowski
ac3155,0,a3314,Värttinä
ac2174,0,a2305,Betty Davis
ac3179,0,a3335,Luigi Cherubini
ac2151,0,a2278,Blind Guardian
ac1234,0,a4190,Frankie Cicala
ac2299,0,a2447,Ace Troubleshooter
ac3455,0,a60,FREEATLAST
ac4320,0,a2505,Glykeria
ac1855,0,a400,Hugh Marsh
ac1143,0,a1241,Fila Brazillia
ac1969,0,a2103,Pasqualet de VilaReal
ac1955,0,a2090,Frankie Paul
ac2429,0,a2601,Steve Cole
ac3342,0,a619,Steve Jansen
ac3342,1,a2682,Claudio Chianura
ac1796,0,a2753,Gentry Morris
ac2884,0,a3021,Jukka Kuoppamäki
ac2830,0,a2971,Spencer P Jones
ac3905,0,a4081,Andrés Calamaro
ac4107,0,a4296,Slusnik Luna
ac4623,0,a4862,Meat Puppets
ac4057,0,a446,Prowler
ac37,0,a1406,Randy Wachtler
ac37,1,a828,Billy Kidd
ac1583,0,a1720,Kirka
ac3985,0,a835,The EDLOS
ac220,0,a236,Bryan Adams
ac1282,0,a1399,Merrill Jenson
ac1709,0,a3597,Naked City
ac1709,1,a1531,Mike Patton
ac782,0,a843,Lobão
ac1152,0,a1252,Stephen L Allen
ac4545,0,a4786,Cignol
ac564,0,a598,Hannah
ac2567,0,a2732,Cosmic Rough Riders
ac3842,0,a4014,Resonance
ac4147,1,a1642,Lillian Stokes
ac4147,0,a2231,Donald
ac4147,2,a115,Kevin Colver
ac757,0,a816,AlienSix13
ac4562,0,a3216,Tommy Coomes Band
ac3413,0,a4169,Sea Dweller
ac1037,0,a1118,Precious Wax Drippings
ac1329,0,a1447,Nicole
ac1336,1,a1784,Walter Sittler
ac1336,0,a1321,Wolfgang Schorlau
ac3601,0,a3760,Ernest Gold
ac3184,0,a3340,Mod Con
ac2342,0,a2495,Paul Dukas
ac829,0,a885,Dětský sbor Prážata
ac3282,0,a3432,Mobylettes
ac1643,0,a1776,Cyberfit
ac1552,0,a1679,In Flames
ac584,0,a622,Matthew Sweet
ac4054,0,a4232,Jan Pieterszoon Sweelinck
ac1705,0,a1840,Lenny Williams
ac200,0,a219,Stockholms Negrer
ac65,0,a68,Stendal Blast
ac3708,0,a3869,Amp
ac1347,0,a1466,Nimbus Luna
ac2404,0,a2572,Sver
ac213,0,a230,Farside
ac668,0,a2647,Goodbye
ac1922,0,a2052,Da Hellweazle
ac1076,0,a197,Antonín Dvořák
ac2505,0,a2667,Los Crudos
ac1594,0,a1729,Coleman Hawkins
ac1888,0,a2021,Murha Murha Itsemurha
ac4476,0,a4710,CJ Buchanan
ac4234,0,a1495,Boksch
ac3637,0,a3793,Noisear
ac74,0,a4189,Karel Svoboda
ac734,0,a1601,Allen Stone
ac1451,1,a1181,Andreas Fröhlich
ac1451,0,a3865,Christopher Paolini
ac4003,0,a4186,Eddie Money
ac4334,0,a2597,Cate Kanell
ac4334,1,a4321,Adrian  Raz
ac2913,0,a3051,Grobschnitt
ac2418,0,a2587,John Hammond
ac121,0,a119,James Joseph Kalamasz
ac3104,0,a3253,Noel McLoughlin
ac2359,1,a1617,Bill Baylis
ac2359,0,a674,Dave Hewson
ac1981,0,a2112,Here and There
ac2742,0,a3667,Groovy Godzilla
ac2742,1,a4506,Desired
ac207,0,a1701,Philippe Pascale
ac4161,0,a4362,Elmore James
ac569,0,a1752,Von Bingen
ac1134,0,a1229,Bahiano
ac4106,0,a4295,Deepside
ac3767,0,a1010,Seba
ac3767,1,a2556,Lotek
ac772,0,a830,Odd Nosdam
ac70,0,a72,Needle
ac2021,0,a2641,Eauson
ac107,1,a1181,Andreas Fröhlich
ac107,0,a3704,Tad Williams
ac3588,0,a2437,Georges Gasquy
ac3588,1,a3202,Sauveur Mallia
ac2696,0,a2844,Raul Seixas
ac3178,0,a3334,Roy D Mercer
ac4425,0,a4650,五月天
ac1945,0,a2079,Jacques Loussier
ac4386,0,a4602,שלום חנוך
ac2566,0,a2731,Malignant Tumour
ac3938,0,a2086,Майя Кристалинская
ac4061,0,a4236,Babylon AD
ac3364,0,a3520,Michale Graves
ac1465,0,a1435,Prozac Mtn Boys
ac2460,0,a2626,Dan Deacon
ac2724,0,a2866,Circle Storm
ac139,0,a142,Clam Chowder
ac1533,0,a1656,Jef Lee Johnson
ac4441,0,a4669,dEUS
ac3679,0,a3841,Jesse Somfay
ac3489,0,a3652,3x Krazy
ac1459,0,a1576,Bee Gees
ac3347,0,a3500,Y La Bamba
ac2862,0,a3003,Hzero
ac3710,0,a3871,Dwight Twilley
ac1402,0,a1523,666
ac3442,0,a1515,4lung
ac2354,0,a2516,Exhumed
ac3492,0,a3657,Danny Elfman
ac2186,0,a1244,MartinMolloy
ac3107,0,a4441,Theoretics
