pokemon,name,species,height,weight,base_experience,is_default
67,manectric-mega,id-310,18,440,201,0
68,bergmite,id-712,10,995,61,1
69,avalugg,id-713,20,5050,180,1
70,pumpkaboo-average,id-710,4,50,67,1
71,gourgeist-average,id-711,9,125,173,1
72,xerneas,id-716,30,2150,340,1
73,yveltal,id-717,58,2030,340,1
74,noibat,id-714,5,80,49,1
75,noivern,id-715,15,850,187,1
76,donphan,id-232,11,1200,175,1
77,minuri,id-312,,42,142,1
78,venomoth,id-49,15,125,158,1
79,venonat,id-48,10,300,61,1
80,zubat,id-41,8,75,49,1
81,wigglytuff,id-40,10,120,218,1
82,oddish,id-43,5,54,64,1
83,golbat,id-42,16,550,159,1
84,vileplume,id-45,12,186,245,1
85,gloom,id-44,8,86,138,1
86,parasect,id-47,10,295,142,1
87,paras,id-46,3,54,57,1
88,drzkonair,id-148,,165,147,1
89,drakonair,id-148,,165,147,1
90,sawsbucn,id-586,,925,166,1
91,bouffalant,id-626,16,946,172,1
92,rufflet,id-627,5,105,70,1
93,quilava,id-156,9,190,142,1
94,bisharp,id-625,16,700,172,1
95,golett,id-622,10,920,61,1
96,golurk,id-623,28,3300,169,1
97,mienshao,id-620,14,355,179,1
98,bayleef,id-153,12,158,142,1
99,totodile,id-158,6,95,63,1
100,croconaw,id-159,11,250,142,1
101,braviary,id-628,15,410,179,1
102,vullaby,id-629,5,90,74,1
103,palkla,id-484,42,,340,1
104,pidge0t-mega,rec-18-dup-0,22,505,261,0
105,dujtox,id-269,12,,173,1
106,dusdox,id-269,,316,173,1
107,bonzly,rec-438-dup-0,5,150,58,1
108,bonsoy,rec-438-dup-1,5,150,58,1
109,toget:c,id-176,6,,142,1
110,togetic,id-176,,,142,1
111,ursaeink,id-217,18,1258,175,1
112,urzarink,id-217,18,1258,175,1
113,litlei,id-667,6,,74,1
114,litoeo,id-667,6,,74,1
115,shellder,id-90,,,61,1
116,shell3er,id-90,,40,61,1
117,zamazenta-cr0wned,rec-889-dup-0,29,7850,360,0
118,zebstrila,id-523,16,,174,1
119,gardevoie-mega,rec-282-dup-0,16,484,278,0
120,grirnmsnarl,id-861,,610,255,1
121,ribomhee,rec-743-dup-0,2,5,162,1
122,ripombee,rec-743-dup-0,2,5,162,1
123,mewtvvo,rec-150-dup-1,20,1220,340,1
124,mewrwo,rec-150-dup-0,20,1220,340,1
125,dartrkx,rec-723-dup-0,7,160,147,1
126,giratjma-altered,id-487,,7500,340,1
127,giratiza-altered,id-487,,7500,340,1
128,lairon,id-305,9,1200,151,1
129,aron,id-304,4,600,66,1
130,tyramtrym,id-697,,2700,182,1
131,narv,id-177,,20,64,1
132,natv,id-177,2,20,64,1
133,torkpal,id-324,5,,165,1
134,claydol,id-344,,,175,1
135,scyther,id-123,15,560,100,1
136,mr-mime,id-122,13,545,161,1
137,pyroar,id-668,15,815,177,1
138,mlnior-orangr,id-774,,3,175,0
139,crabominable,rec-740-dup-0,,1800,167,1
140,crabom'lnable,rec-740-dup-0,17,1800,167,1
141,d9mburr,id-532,6,,61,1
142,metagrozs-mega,id-376,,9429,315,0
143,metsgrosd-mega,id-376,,9429,315,0
144,pignite,id-499,10,555,146,1
145,tepig,id-498,5,99,62,1
146,darkrai,id-491,15,505,270,1
147,manaphy,id-490,3,14,270,1
148,arceus,id-493,32,3200,324,1
149,shaymin-land,id-492,2,21,270,1
150,snivy,id-495,6,81,62,1
151,victini,id-494,4,40,300,1
152,serperior,id-497,33,630,238,1
153,servine,id-496,8,160,145,1
154,genej3ct,id-649,15,,300,1
155,gwnesekt,id-649,15,,300,1
156,relicanth,id-369,10,234,170,1
157,gorebyss,id-368,18,226,170,1
158,skwovet,id-819,3,25,55,1
159,meoth,rec-52-dup-1,4,42,58,1
160,spheal,id-363,8,395,58,1
161,raboot,id-814,6,90,147,1
162,drizzile,id-817,7,115,147,1
163,sobble,id-816,3,40,62,1
164,thwackey,id-811,7,140,147,1
165,grookey,id-810,3,50,62,1
166,scorbunny,id-813,3,45,62,1
167,sealeo,id-364,11,876,144,1
168,garbodor,id-569,19,1073,166,1
169,trubbish,id-568,6,310,66,1
170,kog0at,id-673,,910,186,1
171,carracosta,id-565,12,810,173,1
172,tirtouga,id-564,7,165,71,1
173,archeops,id-567,14,320,177,1
174,archen,id-566,5,95,71,1
175,sigilyph,id-561,14,140,172,1
176,scrafty,id-560,11,300,171,1
177,cofagrigus,id-563,17,765,169,1
178,yamask,id-562,5,15,61,1
179,jirachi,id-385,3,11,300,1
180,rayquaza,id-384,70,2065,340,1
181,turtwig,id-387,4,102,64,1
182,deoxys-normal,id-386,17,608,270,1
183,latios,id-381,20,600,300,1
184,latias,id-380,14,400,300,1
185,groudon,id-383,35,9500,335,1
186,kyogre,id-382,45,3520,335,1
187,sceptile-rnega,id-254,,552,284,0
188,sceptile-me9a,id-254,19,,284,0
189,torterra,id-389,22,3100,236,1
190,grotle,id-388,11,970,142,1
191,pra:xen,id-654,,145,143,1
192,doxapex,id-748,,145,173,1
193,cramorant-g0rjing,id-845,8,,166,0
194,ampharos-mega,id-181,14,615,275,0
195,phantump,id-708,4,70,62,1
196,heracross-mega,id-214,17,625,210,0
197,scizor-mega,id-212,20,1250,210,0
198,gyarados-mega,id-130,65,3050,224,0
199,pinsir-mega,id-127,17,590,210,0
200,mewtwo-mega-x,id-150,23,1270,351,0
201,aerodactyl-mega,id-142,21,790,215,0
202,hawlucha,id-701,8,215,175,1
203,sylveon,id-700,10,235,184,1
204,carbink,id-703,3,57,100,1
205,dedenne,id-702,2,22,151,1
206,tyranitar-mega,id-248,25,2550,315,0
207,houndoom-mega,id-229,19,495,210,0
208,klefki,id-707,2,30,165,1
209,rockruff-owm-tempo,rec-744-dup-0,5,92,56,0
210,charizarf-mega-y,id-6,17,,285,0
211,growlithe,id-58,7,190,70,1
212,arcanine,id-59,19,1550,194,1
213,melmetal,id-809,25,8000,300,1
214,cbewt|e,id-833,3,,57,1
215,meowth,id-52,4,42,58,1
216,persian,id-53,10,320,154,1
217,diglett,id-50,2,8,53,1
218,dugtrio,id-51,7,333,149,1
219,mankey,id-56,5,280,61,1
220,primeape,id-57,10,320,159,1
221,psyduck,id-54,8,196,64,1
222,golduck,id-55,17,766,175,1
223,diggersby,id-660,10,424,148,1
224,minior-green,id-774,3,3,175,0
225,aerodactyl,id-142,18,590,180,1
226,kabutops,id-141,13,405,173,1
227,kabuto,id-140,5,115,71,1
228,dratini,id-147,18,33,60,1
229,moltres,id-146,20,600,290,1
230,zapdos,id-145,16,526,290,1
231,articuno,id-144,17,554,290,1
232,minior-yellow-meteor,id-774,3,400,154,0
233,minior-orange-meteor,id-774,3,400,154,0
234,minior-blue-meteor,id-774,3,400,154,0
235,dragonair,id-148,40,165,147,1
236,terrakion,id-639,19,2600,290,1
237,cobalion,id-638,21,2500,290,1
238,minior-orange,id-774,3,3,175,0
239,minior-red,id-774,3,3,175,0
240,mienfu,id-619,,200,70,1
241,mr-mime-galaah,id-122,14,,161,0
242,lampent,id-608,6,130,130,1
243,chandelure,id-609,10,343,260,1
244,croc0naw,id-159,,250,142,1
245,elgyem,rec-605-dup-0,5,,67,1
246,drifbli:ii,id-426,12,,174,1
247,litleo,id-667,6,135,74,1
248,drivbkim,id-426,,150,174,1
249,perzian,id-53,10,,154,1
250,zigzagoon-galar,id-263,4,175,56,0
251,spewpa,id-665,3,84,75,1
252,pineco,rec-204-dup-0,,72,58,1
253,slutpuff,id-685,,50,168,1
254,walrein,id-365,14,1506,265,1
255,gourgeisr-lar9e,id-711,11,140,173,0
256,gourgelwt-large,id-711,11,,173,0
257,pol'ltied,id-186,11,,250,1
258,politiee,id-186,11,339,250,1
259,fikavolt-totem,rec-738-dup-0,26,1475,225,0
260,zygarde-10-p0wer-construct,id-718,12,,243,0
261,hawlucha,rec-701-dup-0,,215,175,1
262,golducxk,id-55,17,,175,1
263,minior-blve-meteor,id-774,,400,154,0
264,minior-blve-meteor,id-774,3,,154,0
265,glastrier,id-896,22,8000,290,1
266,minior-grsen-meteor,id-774,3,,154,0
267,sharpedo-mega,rec-319-dup-0,25,,196,0
268,shar0edo-mega,rec-319-dup-0,25,1303,196,0
269,lurant:s-t0tem,id-754,,580,168,0
270,unfezant,rec-521-dup-0,,290,244,1
271,meovvth-galar,rec-52-dup-1,4,75,58,0
272,meowtj-galar,rec-52-dup-1,4,75,58,0
273,raicnu,id-26,8,,243,1
274,raich8,id-26,,300,243,1
275,woolpo,rec-831-dup-1,6,60,122,1
276,thievul,id-828,12,199,159,1
277,gossifleur,id-829,4,22,50,1
278,meltan,id-808,2,80,150,1
279,greedent,id-820,6,60,161,1
280,rookidee,id-821,2,18,49,1
281,corvisquire,id-822,8,160,128,1
282,corviknight,id-823,22,750,248,1
283,blipbug,id-824,4,80,36,1
284,dottler,id-825,4,195,117,1
285,orbeetle,id-826,4,408,253,1
286,nickit,id-827,6,89,49,1
287,crustle,id-558,14,2000,170,1
288,blacephalon,id-806,18,130,285,1
289,yamask-galar,id-562,5,15,61,0
290,zeraora,id-807,15,445,300,1
291,basculin-red-striped,id-550,10,180,161,1
292,sandile,id-551,7,152,58,1
293,krokorok,id-552,10,334,123,1
294,krookodile,id-553,15,963,260,1
295,darumaka,id-554,6,375,63,1
296,metagross,id-376,16,5500,300,1
297,maractus,id-556,10,280,161,1
298,dwebble,id-557,3,145,65,1
299,stakataka,id-805,55,8200,285,1
300,marshadow,id-802,7,222,300,1
301,poipole,id-803,6,18,210,1
302,darmanitan-galar-zen,id-555,17,1200,189,0
303,necrozma,id-800,24,2300,300,1
304,salamence,id-373,15,1026,300,1
305,yungoos,id-734,4,60,51,1
306,gumshoos,id-735,7,142,146,1
307,grubbin,id-736,4,44,60,1
308,charjabug,id-737,5,105,140,1
309,primarina,id-730,18,440,265,1
310,pikipek,id-731,3,12,53,1
311,trumbeak,id-732,6,148,124,1
312,toucannon,id-733,11,260,218,1
313,vikavolt,id-738,15,450,250,1
314,crabrawler,id-739,6,70,68,1
315,machoke,id-67,15,705,142,1
316,machop,id-66,8,195,61,1
317,alakazam,id-65,15,480,250,1
318,kadabra,id-64,13,565,140,1
319,abra,id-63,9,195,62,1
320,poliwrath,id-62,13,540,255,1
321,poliwhirl,id-61,10,200,135,1
322,poliwag,id-60,6,124,60,1
323,bellsprout,id-69,7,40,60,1
324,machamp,id-68,16,1300,253,1
325,rattwta,id-19,,35,51,1
326,radtata,rec-19-dup-0,3,35,51,1
327,pikachu-kalos-cap,id-25,4,60,112,0
328,pikachu-alola-cap,id-25,4,60,112,0
329,pikachu-sinnoh-cap,id-25,4,60,112,0
330,pikachu-unova-cap,id-25,4,60,112,0
331,pikachu-original-cap,id-25,4,60,112,0
332,pikachu-hoenn-cap,id-25,4,60,112,0
333,raticate-alola,id-20,7,255,145,0
334,raticate-totem-alola,id-20,14,1050,145,0
335,beedrill-mega,id-15,14,405,223,0
336,rattata-alola,id-19,3,38,51,0
337,landorus-theriari,id-645,,680,300,0
338,klang,id-600,6,510,154,1
339,klinklang,id-601,6,810,260,1
340,tynamo,id-602,2,3,55,1
341,eelektrik,id-603,12,220,142,1
342,zygarcle-10,id-718,12,,243,0
343,marowak-totem,id-105,17,980,149,0
344,beheeyem,id-606,10,345,170,1
345,litwick,id-607,3,31,55,1
346,mimikyu-totem-disguised,id-778,4,28,167,0
347,mimikyu-totem-busted,id-778,4,28,167,0
348,kommo-o-totem,id-784,24,2075,270,0
349,magearna-original,id-801,10,805,300,0
350,minior-blue,id-774,3,3,175,0
351,minior-indigo,id-774,3,3,175,0
352,minior-violet,id-774,3,3,175,0
353,mimikyu-busted,id-778,2,7,167,0
354,lycanroc-midnight,id-745,11,250,170,0
355,wishiwashi-school,id-746,82,786,217,0
356,oricorio-pau,id-741,6,34,167,0
357,oricorio-sensu,id-741,6,34,167,0
358,vikavolt-totem,id-738,26,1475,225,0
359,oricorio-pom-pom,id-741,6,34,167,0
360,raticqte,id-20,7,,145,1
361,ratikaye,id-20,7,185,145,1
362,chimchar,id-390,5,62,62,1
363,monferno,id-391,9,220,142,1
364,rapiclash,id-78,,950,175,1
365,vanillish,rec-583-dup-0,,410,138,1
366,staraptor,id-398,12,249,218,1
367,bidoof,id-399,5,200,50,1
368,venomot,id-49,,125,158,1
369,artikyno,id-144,,554,290,1
370,zygarde-10-power-construct,id-718,12,335,243,0
371,chesnaught,id-652,16,900,239,1
372,kyurem-black,id-646,33,3250,350,0
373,meowth-galar,id-52,4,75,58,0
374,omix,rec-95-dup-0,88,2100,77,1
375,braixen,id-654,10,145,143,1
376,magearna-original,rec-801-dup-1,10,,300,0
377,xar'lzard,id-6,,905,267,1
378,charizard,id-6,,,267,1
379,regksteel,rec-379-dup-0,19,2050,290,1
380,waioord,id-321,145,,175,1
381,waijord,id-321,,3980,175,1
382,blaziken-mega,id-257,19,520,284,0
383,gardevoir-mega,id-282,16,484,278,0
384,pucbyena,id-261,5,,56,1
385,poocbvena,id-261,5,,56,1
386,s0ochum,id-238,,60,61,1
387,sm0ochum,id-238,4,,61,1
388,pansdear,id-513,6,,63,1
389,psnsear,id-513,6,,63,1
390,garchomp-mega,id-445,19,950,315,0
391,inferkape,id-392,12,,240,1
392,lucario-mega,id-448,13,575,219,0
393,comfey,id-764,1,3,170,1
394,blaziken-rnega,rec-257-dup-0,19,520,284,0
395,smeargje,id-235,12,,88,1
396,smear9ke,id-235,12,580,88,1
397,krimer-alola,rec-88-dup-1,7,420,65,0
398,tsareena,id-763,12,214,255,1
399,rolycoly,id-837,3,120,48,1
400,boltund,id-836,10,340,172,1
401,yamper,id-835,3,135,54,1
402,drednaw,id-834,10,1155,170,1
403,chewtle,id-833,3,85,57,1
404,dubwool,id-832,13,430,172,1
405,wooloo,id-831,6,60,122,1
406,eldegoss,id-830,5,25,161,1
407,coalossal,id-839,28,3105,255,1
408,carkol,id-838,11,780,144,1
409,whimsicott,id-547,7,66,168,1
410,cottonee,id-546,3,6,56,1
411,scolipede,id-545,25,2005,243,1
412,steenee,id-762,7,82,102,1
413,venipede,id-543,4,53,52,1
414,leavanny,id-542,12,205,225,1
415,swadloon,id-541,5,73,133,1
416,sewaddle,id-540,3,25,62,1
417,lilligant,id-549,11,163,168,1
418,petilil,id-548,5,66,56,1
419,articuno-galar,id-144,17,509,290,0
420,eelektross,id-604,21,805,232,1
421,mr-mume,id-122,13,,161,1
422,mr-miiiie,id-122,13,,161,1
423,whiscash,id-340,9,236,164,1
424,pumpkaboo-super,id-710,8,150,67,0
425,bewear,id-760,21,1350,175,1
426,dartrix,id-723,7,160,147,1
427,rowlet,id-722,3,15,64,1
428,volcanion,id-721,17,1950,300,1
429,hoopa,id-720,5,90,270,1
430,incineroar,id-727,18,830,265,1
431,torracat,id-726,7,250,147,1
432,litten,id-725,4,43,64,1
433,decidueye,id-724,16,366,265,1
434,brionne,id-729,6,175,147,1
435,popplio,id-728,4,75,64,1
436,weepinbell,id-70,10,64,137,1
437,victreebel,id-71,17,155,221,1
438,tentacool,id-72,9,455,67,1
439,tentacruel,id-73,16,550,180,1
440,geodude,id-74,4,200,60,1
441,graveler,id-75,10,1050,137,1
442,golem,id-76,14,3000,223,1
443,ponyta,id-77,10,300,82,1
444,rapidash,id-78,17,950,175,1
445,slowpoke,id-79,12,360,63,1
446,hskarno-o,id-783,12,470,147,1
447,pikachu-belle,id-25,4,60,112,0
448,pikachu-rock-star,id-25,4,60,112,0
449,pikachu-phd,id-25,4,60,112,0
450,pikachu-pop-star,id-25,4,60,112,0
451,pikachu-cosplay,id-25,4,60,112,0
452,pikachu-libre,id-25,4,60,112,0
453,camerupt-mega,id-323,25,3205,196,0
454,hoopa-unbound,id-720,65,4900,306,0
455,salamence-mega,id-373,18,1126,315,0
456,lopunny-mega,id-428,13,283,203,0
457,mini0r-indigo,id-774,3,,175,0
458,oshawott,rec-501-dup-0,5,,62,1
459,graveler,id-75,,,137,1
460,graueler,id-75,,1050,137,1
461,endej,id-244,21,1980,290,1
462,mienfoo,id-619,9,200,70,1
463,stunfisk,id-618,7,110,165,1
464,accelgor,id-617,8,253,173,1
465,shelmet,id-616,4,77,61,1
466,cryogonal,id-615,11,1480,180,1
467,beartic,id-614,26,2600,177,1
468,cubchoo,id-613,5,85,61,1
469,haxorus,id-612,18,1055,270,1
470,fraxure,id-611,10,360,144,1
471,axew,id-610,6,180,64,1
472,elgyem,id-605,5,90,67,1
473,slurpufg,id-685,8,,168,1
474,slowbr0-falar,id-80,,705,172,0
475,manapht,rec-490-dup-0,3,14,270,1
476,dratkni,id-147,,33,60,1
477,cradily,id-346,15,604,173,1
478,emolks,id-587,,50,150,1
479,meganium,id-154,18,1005,236,1
480,magmaah,rec-126-dup-0,13,445,173,1
481,pickacu-hoenn-cap,id-25,4,,112,0
482,cyndaquil,id-155,5,79,62,1
483,hertier,rec-507-dup-0,9,147,130,1
484,typhlosion,id-157,17,795,240,1
485,mewtwo,id-150,20,1220,340,1
486,mew,id-151,4,40,300,1
487,klamg,id-600,6,,154,1
488,chikorita,id-152,9,64,64,1
489,druddigon,id-621,16,1390,170,1
490,rejhi4am,id-643,,3300,340,1
491,reshirqm,id-643,32,,340,1
492,skuntank,rec-435-dup-1,,380,168,1
493,skuntank,rec-435-dup-1,10,,168,1
494,galfsntula,id-596,,143,165,1
495,galvantvla,id-596,,143,165,1
496,geoclucle,id-74,,200,60,1
497,ztaryu,id-120,,345,68,1
498,whirli0ede,rec-544-dup-0,12,585,126,1
499,lclin1<,id-599,,210,60,1
500,cklunk,id-599,3,210,60,1
501,krokor0k,rec-552-dup-0,10,334,123,1
502,glastrlef,id-896,22,,290,1
503,hotnoot,rec-163-dup-0,7,212,52,1
504,eteahnatus,id-890,200,,345,1
505,edernatu5,id-890,200,9500,345,1
506,klobbopus,rec-852-dup-0,6,40,62,1
507,cbbbopus,rec-852-dup-0,6,40,62,1
508,conkelduahr,rec-534-dup-0,14,870,253,1
509,appletun,id-842,4,130,170,1
510,silicobra,id-843,22,76,63,1
511,applin,id-840,2,5,52,1
512,flapple,id-841,3,10,170,1
513,arrokuda,id-846,5,10,56,1
514,barraskewda,id-847,13,300,172,1
515,sandaconda,id-844,38,655,179,1
516,cramorant,id-845,8,180,166,1
517,toxel,id-848,4,110,48,1
518,toxtricity-amped,id-849,16,400,176,1
519,timburr,id-532,6,125,61,1
520,gurdurr,id-533,12,400,142,1
521,excadrill,id-530,7,404,178,1
522,audino,id-531,11,310,390,1
523,palpitoad,id-536,8,170,134,1
524,seismitoad,id-537,15,620,255,1
525,conkeldurr,id-534,14,870,253,1
526,tympole,id-535,5,45,59,1
527,throh,id-538,13,555,163,1
528,sawk,id-539,14,510,163,1
529,traiiipa,id-780,30,,170,1
530,bulbasaur,id-1,,,64,1
531,vikzvolt,rec-738-dup-0,15,450,250,1
532,necrozma-dusk,id-800,38,4600,340,0
533,vigoroth,id-288,14,465,154,1
534,slaking,id-289,20,1305,252,1
535,masquerain,id-284,8,36,159,1
536,shroomish,id-285,4,45,59,1
537,breloom,id-286,12,392,161,1
538,slakoth,id-287,8,240,56,1
539,ralts,id-280,4,66,40,1
540,kirlia,id-281,8,202,97,1
541,gardevoir,id-282,16,484,259,1
542,surskit,id-283,5,17,54,1
543,lucario,id-448,12,540,184,1
544,hippopotas,id-449,8,495,66,1
545,munchlax,id-446,6,1050,78,1
546,riolu,id-447,7,202,57,1
547,gabite,id-444,14,560,144,1
548,garchomp,id-445,19,950,300,1
549,spiritomb,id-442,10,1080,170,1
550,gible,id-443,7,205,60,1
551,happiny,id-440,6,244,110,1
552,chatot,id-441,5,19,144,1
553,silcoon,id-266,6,100,72,1
554,beautifly,id-267,10,284,178,1
555,linoone,id-264,5,325,147,1
556,wurmple,id-265,3,36,56,1
557,muk,id-89,12,300,175,1
558,grimer,id-88,9,300,65,1
559,swampert,id-260,15,819,268,1
560,poochyena,id-261,5,136,56,1
561,dodrio,id-85,18,852,165,1
562,doduo,id-84,14,392,62,1
563,dewgong,id-87,17,1200,166,1
564,seel,id-86,11,900,65,1
565,magnemite,id-81,3,60,65,1
566,slowbro,id-80,16,785,172,1
567,farfetchd,id-83,8,150,132,1
568,magneton,id-82,10,600,163,1
569,rat'lcate-a1ola,id-20,7,,145,0
570,murkrow,id-198,5,21,81,1
571,slowking,id-199,20,795,172,1
572,pikachu-world-cap,id-25,4,60,112,0
573,flabebe,id-669,1,1,61,1
574,farfetchd-galar,id-83,8,420,132,0
575,weezing-galar,id-110,30,160,172,0
576,slowpoke-galar,id-79,12,360,63,0
577,slowbro-galar,id-80,16,705,172,0
578,aipom,id-190,8,115,72,1
579,sunkern,id-191,3,18,36,1
580,sdoutland,id-508,,610,250,1
581,yanma,id-193,12,380,78,1
582,wooper,id-194,4,85,42,1
583,quagsire,id-195,14,750,151,1
584,espeon,id-196,9,265,184,1
585,umbreon,id-197,10,270,184,1
586,oddi5b,id-43,5,,64,1
587,riolu,rec-447-dup-0,,202,57,1
588,riolv,rec-447-dup-0,7,202,57,1
589,zacian-crowned,id-888,28,3550,360,0
590,zamazenta-crowned,id-889,29,7850,360,0
591,mudbrai,id-749,10,,77,1
592,mudh4ay,id-749,,1100,77,1
593,stunfisk-galar,id-618,7,205,165,0
594,zygarde-10,id-718,12,335,243,0
595,cramorant-gulping,id-845,8,180,166,0
596,cramorant-gorging,id-845,8,180,166,0
597,toxtricity-low-key,id-849,16,400,176,0
598,eiscue-noice,id-875,14,890,165,0
599,indeedee-female,id-876,9,280,166,0
600,morpeko-hangry,id-877,3,30,153,0
601,spr8tzee,rec-682-dup-0,2,5,68,1
602,minior-orange-meteor,id-774,,,154,0
603,sanclile,rec-551-dup-0,7,152,58,1
604,camerupt-keka,id-323,,3205,196,0
605,camerupt-ne9a,id-323,,3205,196,0
606,drac0zo1t,id-880,18,1900,177,1
607,xatu,id-178,15,150,165,1
608,steelix,rec-208-dup-0,,4000,179,1
609,mareep,id-179,6,78,56,1
610,krabby,id-98,4,65,65,1
611,kingler,id-99,13,600,166,1
612,swirl:x,id-684,4,,68,1
613,pichu,id-172,3,20,41,1
614,geodude-alola,id-74,4,203,60,0
615,kliacor,id-472,,425,179,1
616,gastly,id-92,13,1,62,1
617,haunter,id-93,16,1,142,1
618,mantirie,rec-226-dup-0,21,2200,170,1
619,mantine,rec-226-dup-0,21,,170,1
620,jangmo-0,id-782,,297,60,1
621,slowpoje,rec-79-dup-0,12,360,63,1
622,fomanti5,id-753,3,,50,1
623,fomant'ks,id-753,,15,50,1
624,espurr,rec-677-dup-0,,35,71,1
625,espvrr,rec-677-dup-0,3,35,71,1
626,cutiefly,id-742,1,2,61,1
627,pikachu-partner-cap,id-25,4,60,112,0
628,ckyurem-white,rec-646-dup-0,36,3250,350,0
629,buzzwole,rec-794-dup-0,,3336,285,1
630,turisparce,id-206,15,,145,1
631,centiskorch,id-851,30,1200,184,1
632,sizzlipede,id-850,7,10,61,1
633,grapploct,id-853,16,390,168,1
634,clobbopus,id-852,6,40,62,1
635,polteageist,id-855,2,4,178,1
636,sinistea,id-854,1,2,62,1
637,hattrem,id-857,6,48,130,1
638,hatenna,id-856,4,34,53,1
639,impidimp,id-859,4,55,53,1
640,hatterene,id-858,21,51,255,1
641,makvhita,id-296,10,,47,1
642,makuhuta,id-296,,864,47,1
643,unfezant,id-521,12,290,244,1
644,tranquill,id-520,6,150,125,1
645,zebstrika,id-523,16,795,174,1
646,blitzle,id-522,8,298,59,1
647,boldore,id-525,9,1020,137,1
648,roggenrola,id-524,4,180,56,1
649,woobat,id-527,4,21,65,1
650,gigalith,id-526,17,2600,258,1
651,drilbur,id-529,3,85,66,1
652,swoobat,id-528,9,105,149,1
653,zweikous,id-634,14,,147,1
654,zweil9us,id-634,14,,147,1
655,rejicangh,id-369,,234,170,1
656,minior-red-meteor,id-774,3,400,154,1
657,komala,id-775,4,199,168,1
658,bunbelby,id-659,4,,47,1
659,pinsir-jega,rec-127-dup-0,17,590,210,0
660,gahimer-alola,rec-88-dup-0,7,420,65,0
661,mimikyu-disguised,id-778,2,7,167,1
662,bruxish,id-779,9,190,166,1
663,weexing-galar,id-110,30,,172,0
664,weejing-galar,id-110,,160,172,0
665,mudbray,id-749,10,1100,77,1
666,nosepass,id-299,10,970,75,1
667,azurill,id-298,2,20,38,1
668,alrein,id-365,,1506,265,1
669,alrin,id-365,14,,265,1
670,whismur,id-293,6,163,48,1
671,shedinja,id-292,8,12,83,1
672,ninjask,id-291,8,120,160,1
673,nincada,id-290,5,55,53,1
674,hariyama,id-297,23,2538,166,1
675,makuhita,id-296,10,864,47,1
676,exploud,id-295,15,840,245,1
677,loudred,id-294,10,405,126,1
678,snover,id-459,10,505,67,1
679,mantyke,id-458,10,650,69,1
680,carnivine,id-455,14,270,159,1
681,toxicroak,id-454,13,444,172,1
682,lumineon,id-457,12,240,161,1
683,finneon,id-456,4,70,66,1
684,skorupi,id-451,8,120,66,1
685,hippowdon,id-450,20,3000,184,1
686,croagunk,id-453,7,230,60,1
687,drapion,id-452,13,615,175,1
688,shiftry,id-275,13,596,240,1
689,nuzleaf,id-274,10,280,119,1
690,swellow,id-277,7,198,159,1
