pokemon,version,item,rarity
2,25,i1282,50
536,27,i2014,5
266,29,i1030,5
1317,28,i586,5
1235,13,i1163,100
106,25,i2395,5
13,25,i1163,5
1447,24,i1163,100
385,21,i18,5
1221,23,i2014,5
1210,11,i2169,5
1435,13,i2164,5
459,18,i1836,5
1534,22,i1231,50
905,28,i899,5
1535,12,i887,5
269,30,i2002,5
460,11,i2003,5
1524,29,i843,50
0,13,i423,5
1338,12,i1759,5
261,29,i859,5
496,18,i1836,5
87,27,i2015,5
273,15,i222,5
757,18,i1740,5
1338,14,i1760,5
1541,17,i2305,5
140,27,i1662,5
86,12,i2015,5
1337,21,i2137,100
855,25,i2003,5
1254,17,i1463,1
1621,28,i1500,50
1201,17,i18,5
118,21,i1662,50
1634,16,i181,5
1524,29,i2015,5
1289,13,i1030,5
1063,27,i682,5
811,22,i2002,5
1067,29,i2078,5
1349,27,i899,5
496,30,i1836,5
848,27,i681,5
1623,30,i1499,5
1349,17,i899,5
581,24,i1109,5
1208,26,i725,5
1161,21,i18,50
501,29,i2001,5
1530,7,i222,5
1024,30,i422,5
77,30,i2318,5
1432,29,i2236,5
690,15,i1249,5
1216,30,i1162,5
1420,27,i1841,5
703,30,i887,5
989,15,i1761,50
86,29,i2015,5
498,17,i18,50
754,29,i899,5
1035,26,i222,50
0,12,i422,5
459,17,i1836,5
848,28,i222,50
782,22,i2171,5
989,13,i1761,50
116,30,i887,5
971,24,i1896,5
2,10,i1282,50
1474,22,i1761,50
1459,24,i2014,5
273,14,i222,5
1516,22,i1759,5
1348,28,i899,5
115,22,i887,5
989,24,i844,5
476,29,i1740,5
1289,7,i1030,5
89,10,i1895,5
1447,25,i1163,100
1221,18,i518,1
1002,26,i2004,5
853,18,i1841,5
1208,30,i725,5
854,23,i2003,5
87,16,i2015,5
486,18,i2137,100
1348,24,i899,5
1582,10,i222,5
476,13,i1740,5
1335,15,i1761,5
159,13,i1756,5
443,13,i2239,5
87,17,i2014,5
489,23,i1895,5
1212,15,i1525,5
1264,28,i586,5
793,25,i1756,5
755,28,i899,5
1527,10,i17,5
989,30,i844,5
556,27,i18,50
1267,23,i1141,50
880,18,i1406,5
460,12,i1836,5
159,30,i1756,5
1210,14,i2169,5
1432,24,i2236,5
1535,29,i887,5
1190,18,i2072,100
1235,28,i1162,5
621,25,i1342,5
489,22,i1895,5
1447,9,i1163,100
13,28,i1162,5
497,7,i1030,5
853,12,i1841,5
105,26,i2395,5
968,16,i1896,5
497,27,i1030,5
106,17,i2395,5
1533,30,i887,5
1036,10,i887,5
1289,18,i1029,50
1238,17,i1163,100
837,29,i18,5
1303,15,i1499,5
1092,13,i2167,5
1172,14,i2165,5
1420,18,i1841,5
1459,22,i518,1
2,9,i1281,50
1162,22,i17,50
913,15,i2312,5
1063,21,i887,5
1325,23,i2004,5
1432,8,i2236,5
418,28,i1509,5
1377,23,i262,5
1338,15,i1760,5
1582,18,i222,5
763,10,i1498,100
1008,21,i859,5
1612,21,i1463,1
1171,12,i2165,5
852,28,i1841,5
971,12,i1895,5
385,18,i18,5
1380,27,i1591,5
274,13,i222,5
368,22,i2395,5
274,7,i222,5
386,12,i1526,100
1414,13,i2242,5
1542,30,i2001,50
1000,27,i1756,5
881,18,i1406,5
115,9,i837,50
384,10,i18,5
1199,17,i899,5
1524,18,i2330,5
703,8,i887,5
1024,26,i423,5
459,7,i1836,5
388,22,i181,5
1036,8,i887,5
945,28,i2014,5
1315,30,i18,5
608,22,i2312,5
36,12,i1895,5
1624,27,i18,5
1036,16,i887,5
1154,11,i1661,100
497,8,i1030,5
754,18,i899,5
1308,30,i422,5
1337,30,i2137,5
1289,29,i1030,5
115,28,i887,5
1273,29,i1163,5
336,29,i18,5
317,18,i2169,5
1324,14,i2004,5
1533,28,i837,50
1431,26,i1422,5
756,8,i1502,5
159,25,i1756,5
1154,25,i1873,100
1238,12,i1162,100
1306,16,i682,5
498,17,i17,50
1534,7,i1756,5
493,18,i18,5
1044,26,i2169,5
1035,24,i222,5
1598,28,i222,50
142,26,i2312,5
412,29,i1435,5
149,16,i2137,100
754,25,i899,5
1107,30,i1756,5
317,25,i2169,5
298,22,i1878,1
1238,18,i1162,100
1207,13,i2169,5
1165,13,i725,5
1524,27,i843,50
989,18,i1463,1
12,17,i2395,5
581,28,i1109,5
0,21,i423,5
660,30,i1340,5
1044,25,i2169,5
159,10,i919,5
1459,17,i2015,5
660,27,i1340,5
1624,28,i18,5
1308,15,i422,5
526,21,i18,50
1629,11,i1837,5
2,12,i1282,50
655,8,i645,5
1212,10,i1525,5
443,14,i2239,5
989,25,i844,5
496,16,i1836,5
486,28,i2137,5
1520,21,i2003,5
1507,8,i222,50
811,17,i2002,5
115,11,i887,5
1330,18,i2162,5
384,22,i18,5
1056,30,i2395,5
790,25,i1109,5
486,26,i2137,100
1036,26,i222,50
1527,15,i18,5
756,25,i1502,5
1221,21,i2014,5
754,8,i899,5
12,26,i2395,5
1074,11,i2244,5
361,13,i2166,5
486,23,i2137,100
1318,25,i1340,5
784,27,i899,5
1204,15,i1406,5
1217,29,i1163,5
1210,7,i2169,5
1063,26,i681,5
1207,18,i2169,5
1612,22,i1761,50
1267,29,i1140,50
459,10,i2003,5
1238,26,i1162,100
1337,10,i2137,100
1207,27,i2169,5
84,29,i1509,5
1535,28,i837,50
1324,29,i2004,5
493,13,i17,5
1546,25,i835,5
782,21,i222,50
981,10,i1500,5
149,14,i2137,100
1546,10,i1499,5
554,23,i2395,5
1330,29,i899,5
1157,21,i2163,5
1306,9,i682,5
1024,29,i423,5
989,17,i1462,1
1036,10,i887,5
1000,28,i1756,5
1541,26,i2305,5
306,28,i18,5
1348,18,i899,5
1535,10,i643,5
761,29,i899,5
1198,27,i899,5
1634,21,i181,5
326,18,i2166,5
1524,21,i2330,5
1264,16,i586,5
1035,25,i222,50
486,15,i2137,100
1330,17,i2162,5
759,29,i1162,5
36,22,i1895,5
1035,21,i887,5
755,8,i899,5
1074,15,i2244,5
1035,29,i681,5
89,13,i1740,5
1120,30,i2066,50
1533,25,i887,5
1637,17,i1340,5
769,13,i1499,5
1547,23,i835,5
527,18,i1850,1
1236,15,i1163,100
87,17,i518,1
1634,21,i181,5
642,25,i1851,5
1097,21,i873,5
1459,25,i2015,5
1530,9,i222,5
1000,23,i1231,50
556,27,i2078,5
1307,30,i422,5
25,18,i1851,5
1264,14,i586,5
881,21,i18,50
555,21,i682,5
0,16,i422,5
317,12,i2169,5
1267,26,i1140,50
2,7,i1281,50
793,28,i1756,5
1313,26,i2312,5
1416,15,i2162,5
551,15,i1140,5
1208,14,i725,50
1208,25,i725,5
1036,18,i887,5
1097,22,i873,5
1154,28,i1873,5
1236,26,i1162,100
267,27,i1841,5
86,29,i2014,5
159,24,i1756,5
1474,18,i1462,1
860,30,i1499,5
1438,30,i2002,5
2,24,i1282,50
1210,27,i2169,5
1264,21,i586,5
116,29,i887,5
854,26,i2003,5
1254,21,i1463,1
1263,17,i1463,1
1414,16,i2242,5
115,14,i837,50
1325,29,i2004,5
2,30,i1282,50
1035,11,i887,5
1337,13,i2137,100
365,27,i1500,5
77,27,i2318,5
703,23,i887,5
492,22,i18,5
497,26,i1030,5
115,16,i837,50
115,15,i887,5
1304,22,i1499,5
497,13,i1029,50
1074,23,i2244,5
481,29,i1735,5
258,30,i859,5
974,25,i2004,5
106,9,i2305,5
8,13,i1661,5
393,30,i1398,5
1290,17,i1029,50
754,22,i899,5
393,30,i1399,5
1440,18,i2305,5
1337,25,i2137,100
422,17,i1761,5
1221,21,i843,50
1505,12,i1756,5
84,25,i1509,5
480,29,i1656,5
1416,26,i899,5
1290,30,i1030,5
389,22,i222,50
989,10,i844,5
1524,27,i2015,5
88,16,i1740,5
476,8,i1740,5
1524,28,i2014,5
1319,17,i919,1
105,26,i2395,5
2,16,i1282,50
837,28,i17,5
1399,22,i2137,100
1204,13,i1406,5
1438,26,i2002,100
1036,25,i681,5
613,17,i222,50
994,27,i873,5
1092,22,i2167,5
851,22,i1661,5
608,14,i2312,5
1612,16,i1761,50
1063,29,i222,50
971,24,i1895,5
1267,18,i1140,50
769,21,i1499,5
989,15,i1761,50
1337,24,i2137,100
387,9,i1526,100
642,27,i1851,5
781,18,i2171,5
756,23,i1502,5
1593,30,i17,5
317,15,i2169,5
1318,27,i1497,5
545,16,i1873,100
493,15,i17,5
460,15,i1836,5
1000,27,i1756,5
968,17,i1895,5
1210,9,i2169,5
1210,21,i2169,5
974,12,i2004,5
703,14,i887,5
1399,15,i2137,100
1208,25,i725,5
662,28,i1226,5
971,27,i1895,5
1074,29,i2244,5
811,18,i2002,5
1307,29,i423,5
86,15,i2015,5
1373,21,i586,5
1337,9,i2137,100
1426,17,i2163,5
317,16,i2169,5
841,17,i1878,1
1098,17,i2305,5
1541,29,i2305,5
1236,30,i1163,5
87,24,i2014,5
1289,24,i1030,5
1431,13,i2165,5
1190,13,i2072,100
36,15,i1895,5
1337,26,i2137,100
111,10,i222,50
489,28,i1896,5
1527,11,i18,5
837,29,i17,5
274,18,i222,50
968,10,i1740,5
1036,30,i222,50
476,25,i1740,5
264,29,i1030,5
1306,22,i682,5
1206,12,i222,100
496,14,i1836,5
1214,12,i262,5
608,9,i2312,5
1527,8,i17,5
1533,28,i887,5
971,15,i1896,5
1201,12,i18,5
1238,7,i1163,100
759,30,i1163,5
501,27,i2001,5
1533,15,i887,5
13,27,i1162,5
116,10,i887,5
841,17,i1877,1
1338,17,i1760,5
89,22,i1740,5
116,18,i887,5
417,29,i1509,5
1289,12,i1029,50
88,24,i1740,5
1221,22,i2014,5
336,28,i18,5
655,10,i645,5
1074,17,i2244,5
1206,28,i875,5
790,22,i948,5
1190,22,i2072,100
1511,29,i1180,5
1533,22,i887,5
1524,12,i2330,5
460,9,i1836,5
762,11,i1498,100
1628,30,i1837,5
853,28,i1841,5
1236,8,i1163,100
1432,9,i2236,5
116,12,i837,50
115,18,i837,50
1348,25,i899,5
1235,23,i1162,100
59,30,i586,5
492,21,i18,5
159,13,i1756,5
1290,16,i1030,5
0,17,i422,5
1056,29,i2395,5
756,13,i1502,5
691,14,i1249,5
1338,14,i1759,5
1414,12,i2242,5
1207,15,i2169,5
192,30,i1499,5
1459,24,i2015,5
1008,12,i859,5
1221,18,i2015,5
989,22,i1761,50
1235,7,i1163,100
1214,26,i262,5
1330,11,i899,5
1547,18,i835,5
1206,25,i875,100
86,13,i2014,5
1221,21,i518,1
111,11,i222,50
791,29,i725,5
683,14,i2242,5
880,22,i18,50
1044,28,i2169,5
848,17,i681,5
1238,28,i1163,5
388,22,i181,5
389,17,i181,5
1210,21,i2169,5
1510,15,i1756,5
793,13,i1756,5
790,25,i948,5
385,14,i18,5
1198,24,i899,5
1420,12,i1841,5
982,22,i2165,5
459,27,i1836,5
306,27,i18,5
374,11,i2003,5
26,21,i1850,1
855,26,i1836,50
1264,8,i586,5
1637,13,i1340,5
87,22,i518,1
1547,28,i835,5
1612,18,i1462,1
88,14,i1740,5
1324,15,i2004,5
1448,10,i899,5
621,13,i1342,5
1134,17,i760,5
1197,21,i2328,5
1530,27,i950,5
836,29,i1668,5
1193,10,i1895,5
1612,13,i1761,50
1199,18,i899,5
997,17,i682,5
246,22,i2374,1
881,17,i1406,5
621,30,i1342,5
848,27,i222,50
1533,16,i887,5
874,10,i899,5
1637,14,i1340,5
89,30,i1740,5
579,18,i1688,5
556,25,i2078,5
841,17,i1877,1
1533,25,i837,50
115,25,i837,50
1008,24,i859,5
851,10,i1661,5
555,7,i682,5
1337,18,i2137,100
1171,21,i2165,5
1064,26,i2078,5
971,12,i1896,5
861,28,i1499,5
1262,29,i2395,5
1063,25,i681,5
1224,30,i1182,5
556,30,i17,50
36,21,i1896,5
1036,7,i887,5
913,23,i2312,5
769,17,i1499,5
1267,30,i1140,50
498,24,i1499,5
1306,7,i222,50
443,15,i2239,5
1000,13,i1231,50
703,16,i887,5
26,22,i1850,1
1197,15,i2328,5
8,9,i1661,5
0,26,i422,5
860,23,i1499,5
754,13,i899,5
1593,28,i17,5
989,7,i1761,50
1002,13,i2004,5
556,30,i2077,5
1426,13,i2163,5
1527,12,i17,5
105,24,i2395,5
326,13,i2166,5
1289,30,i1029,50
1063,8,i887,5
1204,22,i17,50
1637,24,i1340,5
1064,28,i2077,5
1547,9,i1499,5
1207,22,i2169,5
2,10,i1282,50
555,8,i682,5
848,17,i222,50
87,15,i2014,5
1474,17,i1462,1
149,24,i2137,100
387,12,i1526,100
1190,14,i2072,100
116,10,i837,50
1207,29,i2169,5
1290,8,i1029,50
261,23,i859,5
1107,29,i1756,5
389,17,i181,5
361,10,i222,50
1338,13,i1760,5
2,10,i1281,50
1312,25,i2312,5
476,30,i1740,5
1267,29,i1141,50
1415,27,i1735,5
857,30,i1340,50
2,26,i1281,50
2,26,i1281,50
1236,25,i1163,100
1533,26,i837,50
1307,15,i422,5
1373,14,i586,5
755,18,i899,5
1289,16,i1030,5
1190,28,i2072,5
397,30,i1340,5
781,21,i222,50
848,24,i222,50
621,24,i1342,5
1459,28,i2015,5
1435,17,i2164,5
1207,29,i2169,5
1530,10,i222,5
914,15,i2312,5
1431,16,i2165,5
1162,21,i18,50
1542,29,i2001,50
1024,22,i422,5
997,17,i681,5
1517,26,i1846,5
586,27,i1509,5
87,28,i2014,5
1431,22,i2165,5
852,23,i1841,5
1133,13,i760,5
1264,9,i586,5
1235,18,i1162,100
86,16,i2014,5
1432,13,i2236,5
555,11,i682,5
852,30,i1841,5
1036,29,i222,50
1447,16,i1162,100
116,29,i837,50
1527,22,i18,5
737,23,i2312,5
498,18,i17,50
989,14,i1761,50
397,28,i1340,5
446,27,i2066,5
258,22,i859,5
755,14,i899,5
1535,16,i887,5
1533,21,i887,5
1541,14,i2305,5
1035,22,i887,5
267,29,i1841,5
757,13,i1740,5
754,9,i899,5
1235,17,i1162,100
1527,21,i18,5
1530,18,i222,5
1377,27,i262,5
1238,14,i1163,100
1515,12,i1760,5
149,13,i2137,100
364,17,i2239,5
1273,28,i1162,5
579,18,i1691,5
116,25,i837,50
778,18,i2242,5
116,23,i887,5
1637,27,i1340,5
1163,13,i2171,5
851,13,i1661,5
105,22,i2395,5
143,28,i2312,5
1064,27,i2077,5
368,26,i2395,5
755,24,i899,5
88,13,i1740,5
1580,27,i262,5
1432,12,i2236,5
1210,17,i2169,5
913,16,i2312,5
386,22,i1526,100
480,26,i1656,5
149,23,i2137,100
1530,12,i222,5
1347,28,i1435,5
1349,26,i899,5
1154,15,i1873,100
1623,23,i1499,5
768,22,i1499,5
1261,16,i1756,5
497,30,i1030,5
87,24,i2015,5
0,24,i423,5
1432,11,i2236,5
1216,24,i1162,100
87,11,i2015,5
1158,22,i2163,5
1238,24,i1163,100
1063,27,i222,50
851,7,i1661,5
142,29,i2312,5
249,18,i1756,5
1002,10,i2004,5
793,17,i1231,50
1533,23,i887,5
115,17,i837,50
492,16,i17,5
89,11,i1896,5
273,17,i222,50
1324,23,i2004,5
1207,9,i2169,5
1000,26,i1756,5
1534,30,i1756,5
115,16,i887,5
106,22,i2395,5
1348,26,i899,5
1432,23,i2236,5
1510,23,i1756,5
1290,7,i1029,50
987,28,i835,5
1306,15,i222,50
112,10,i682,5
257,25,i859,5
1263,22,i1462,1
1236,22,i1162,100
1201,18,i18,5
852,24,i1841,5
1307,14,i423,5
1063,30,i682,5
361,11,i681,5
1515,16,i1759,5
26,17,i1851,5
422,8,i1761,5
1338,18,i1760,5
455,27,i1895,5
1035,23,i222,5
989,12,i1761,50
1415,29,i1735,5
621,29,i1342,5
1210,8,i2169,5
1036,22,i887,5
971,28,i1895,5
1459,23,i2015,5
557,21,i688,1
497,28,i1030,5
608,23,i2312,5
385,17,i17,5
1074,14,i2244,5
1319,18,i919,1
855,27,i1836,50
790,22,i1109,5
1447,11,i1163,100
1466,30,i1231,5
1399,16,i2137,100
460,21,i1836,5
489,21,i1895,5
1063,11,i887,5
854,18,i1836,50
317,8,i2169,5
1377,24,i262,5
1505,26,i1231,5
1325,13,i2004,5
874,10,i899,5
106,13,i2395,5
258,18,i859,5
1235,12,i1162,100
116,7,i887,5
881,13,i1406,5
317,9,i2169,5
398,30,i1435,50
459,29,i1836,5
476,24,i1740,5
105,8,i2305,5
613,7,i222,5
1236,26,i1163,100
914,23,i2312,5
881,12,i1406,5
1445,30,i899,5
360,18,i2166,5
87,9,i2015,5
1516,17,i1759,5
1373,22,i586,5
997,15,i222,50
997,12,i682,5
989,13,i1761,50
880,18,i1406,5
1214,7,i262,5
1416,16,i2162,5
478,17,i1662,100
1210,22,i2169,5
1312,29,i2312,5
551,14,i1141,5
781,21,i2171,5
1206,23,i875,100
86,9,i2015,5
1236,17,i1163,100
1634,12,i181,5
364,15,i2239,5
336,30,i17,5
989,21,i1463,1
1306,10,i682,5
545,15,i1873,100
1317,27,i586,5
36,25,i1896,5
258,8,i859,5
1171,13,i2165,5
1092,18,i2167,5
1289,24,i1029,50
1008,30,i859,5
1307,29,i422,5
1205,12,i1406,5
421,7,i1761,5
853,15,i1841,5
1435,16,i2164,5
1063,26,i222,50
1204,17,i1406,5
1161,9,i1761,5
932,28,i2014,5
360,11,i681,5
1000,12,i1756,5
84,27,i1509,5
608,13,i2312,5
971,13,i1896,5
87,10,i2014,5
1036,27,i681,5
361,18,i2166,5
115,10,i837,50
1190,7,i2072,100
1447,13,i1162,100
36,30,i1896,5
1171,15,i2165,5
1416,8,i899,5
115,23,i837,50
1063,29,i681,5
860,25,i1499,5
1044,27,i2169,5
267,26,i1841,5
1432,11,i2236,5
836,30,i17,5
1530,17,i222,5
1204,21,i17,50
768,28,i1499,5
1134,12,i761,5
0,28,i422,5
1157,17,i2163,5
1214,21,i262,5
311,28,i682,5
837,30,i18,5
1628,28,i1837,5
1214,27,i262,5
364,13,i2239,5
1541,25,i2305,5
1216,28,i1163,5
737,29,i2312,5
1541,21,i2305,5
791,13,i725,5
752,29,i262,5
1416,17,i2162,5
971,10,i1740,5
1329,28,i899,5
586,27,i1509,5
1439,27,i2002,5
1289,8,i1029,50
971,27,i1896,5
498,23,i1499,5
1348,29,i899,5
1549,16,i2164,5
1534,8,i1756,5
159,16,i1756,5
968,29,i1895,5
1505,22,i1756,5
1431,12,i2165,5
1337,15,i2137,100
1546,9,i1499,5
1414,14,i2242,5
261,30,i859,5
545,14,i1873,100
586,25,i1509,5
1510,17,i1756,5
1114,30,i1025,5
1221,17,i2014,5
1530,21,i222,5
159,12,i1756,5
1008,17,i859,5
790,26,i948,5
1623,17,i18,50
