recording,artist
rec-4683354-dup-0,rec-60-dup-1
id-14396641,id-339821
rec-4683354-dup-2,rec-60-dup-0
id-573048,id-47204
rec-8937342-dup-0,rec-413539-dup-0
id-12043275,id-781299
id-11604171,id-1107091
id-14223734,id-1084086
rec-3310840-dup-0,id-37938
id-26567295,id-2648746
id-14253722,id-836854
id-3373776,id-214449
id-15335933,id-216930
id-13466204,id-733558
id-10495686,id-640303
id-10211898,id-808037
id-24230601,id-430245
id-11566018,id-714190
id-10909525,id-8345
id-1125448,id-86412
id-32287528,id-754661
id-10622836,id-14410
id-4175675,id-113554
id-13760652,id-3140050
id-14376888,id-1103944
id-13268448,id-173449
id-12953423,id-483363
id-21963848,id-2131356
id-4038317,id-49173
id-24295345,id-1201585
rec-20980520-dup-0,rec-2006738-dup-0
id-7980625,id-427141
rec-12154691-dup-1,id-187
rec-12154691-dup-0,id-187
rec-17807935-dup-0,rec-1213310-dup-0
rec-12154691-dup-2,id-187
id-10870990,id-2535
rec-7554581-dup-1,id-154323
id-5498173,id-148908
id-3664526,id-229488
rec-14579317-dup-0,id-892042
rec-4830550-dup-0,id-90086
id-14640945,id-440483
id-8093129,id-433619
id-4795343,id-300592
id-1159813,id-89565
rec-8049815-dup-1,id-357268
id-10475136,id-684275
rec-12426777-dup-0,id-658627
id-8676518,id-43238
id-29121600,id-1507941
id-21977163,id-246591
id-3517288,id-66983
rec-11486571-dup-0,rec-432499-dup-0
id-4933178,id-235368
rec-1685268-dup-0,rec-127268-dup-0
id-6794148,id-227237
id-8528156,id-1097
id-21953741,id-1245090
rec-541467-dup-1,id-36594
id-14868413,id-49606
id-22994666,id-888572
id-5198063,id-322000
id-27970689,id-2820974
id-7420311,id-89955
rec-32290653-dup-0,id-3306794
id-24281093,id-1567722
id-6063049,id-175626
id-2575202,id-8431
rec-10475468-dup-1,id-74857
rec-7104111-dup-0,id-452943
id-9917692,id-223910
rec-7516154-dup-2,rec-1549733-dup-0
rec-7516154-dup-0,rec-1549733-dup-1
rec-7516154-dup-1,rec-1549733-dup-0
id-10532106,id-41381
id-11228868,id-685848
id-15702493,id-1261808
id-24284404,id-2379200
rec-5927003-dup-1,id-52544
rec-13387425-dup-0,id-98202
id-12101661,id-785736
id-24279528,id-464772
id-3532023,id-72092
rec-9267321-dup-0,id-94745
id-7477490,id-131684
rec-7694477-dup-1,id-117130
id-2791501,id-565227
id-807801,id-24331
id-11777918,id-36472
id-298004,id-24575
id-5564603,id-342774
id-8422771,id-550430
id-5714961,id-2062097
id-13299972,id-286382
id-31563078,id-137877
rec-6431558-dup-2,id-1174528
id-11554591,id-888610
id-5022911,id-343
id-12320375,id-642954
rec-1749591-dup-1,id-40230
id-2274945,id-155692
id-32269124,id-2428499
id-6693842,id-424089
id-29111418,id-2426485
id-9647223,id-427696
id-874738,id-65368
id-14776432,id-187268
id-6705609,id-7725
rec-7071118-dup-0,id-450416
id-12727339,id-856381
id-14554787,id-1124886
rec-9067191-dup-1,id-61915
id-8549796,id-1327240
id-13510200,id-16360
rec-7268985-dup-0,id-339055
rec-7268985-dup-1,id-339055
id-8898593,id-588561
rec-10134222-dup-0,id-1081208
id-7723829,id-12
id-12770558,id-860931
id-5837352,id-135353
rec-12426777-dup-1,id-658627
id-13853495,id-1025435
rec-10879020-dup-0,id-35999
id-8777375,id-60161
id-9331480,id-617011
id-164854,id-60
rec-1396868-dup-0,id-15090
rec-9419394-dup-1,id-78251
rec-4730581-dup-1,id-267212
rec-4730581-dup-0,id-267212
rec-4730581-dup-2,id-267212
id-14879311,id-1161128
id-3786440,id-180143
rec-7578162-dup-2,id-491218
id-24294770,id-1394346
id-3048169,id-74665
id-7637438,id-496193
rec-27925276-dup-0,id-2815207
id-2478889,id-104720
id-11131827,id-49169
id-9013912,id-596961
rec-9419394-dup-2,id-78251
rec-7737972-dup-0,id-34797
id-4536486,id-156233
id-9670661,id-99187
id-5083819,id-1958
id-11160074,id-142192
rec-674525-dup-2,id-67853
id-2552484,id-88237
id-26540438,id-2259335
id-10791427,id-417266
rec-4152141-dup-1,id-1890
rec-4152141-dup-0,id-1890
id-2944254,id-91552
id-14417950,id-245106
id-3801435,id-40349
id-14503277,id-42415
id-14369252,id-1269532
rec-5632640-dup-0,id-174088
rec-14581528-dup-0,id-96222
rec-21653396-dup-0,id-385963
id-1122771,id-86139
id-7734995,id-2807734
rec-13760652-dup-0,rec-3140050-dup-0
id-26541211,id-2490429
rec-9729634-dup-1,id-641792
id-10093863,id-20886
id-8456284,id-557753
rec-11367027-dup-2,id-106040
rec-11367027-dup-1,id-106040
id-31595959,id-1564697
rec-14483156-dup-0,rec-1116858-dup-0
rec-12922713-dup-1,id-1158038
rec-12922713-dup-0,id-1158038
rec-24253437-dup-0,rec-2207471-dup-0
id-9700289,id-168859
id-9833592,id-142903
id-13481841,id-971621
id-7309621,id-31136
rec-1138720-dup-0,rec-379-dup-0
id-1881213,id-136445
rec-11950503-dup-0,id-60783
rec-11950503-dup-1,rec-60783-dup-0
rec-11950503-dup-2,rec-60783-dup-0
rec-26525448-dup-0,id-2647816
id-12413943,id-2606130
id-2386947,id-23489
id-8686282,id-1656297
rec-11061766-dup-2,id-114073
id-14075724,id-124739
rec-11061766-dup-0,id-114073
id-4893823,id-3942
rec-4730123-dup-1,id-188064
rec-4730123-dup-0,id-188064
id-11358731,id-811672
rec-15091328-dup-0,id-713233
id-11006924,id-652448
id-29112011,id-2938179
id-13045199,id-451770
id-5593787,id-39892
id-4063832,id-1655
rec-10475468-dup-0,id-74857
rec-9807659-dup-0,id-7999
id-7714990,id-440728
id-10284590,id-15177
id-31608662,id-43172
id-12756096,id-33371
rec-13065581-dup-2,id-105384
rec-13065581-dup-1,id-105384
id-44911,id-4294
id-13515966,id-32020
rec-2984638-dup-1,id-1517
id-9743297,id-642657
id-24751769,id-365377
rec-1663014-dup-1,id-1968
id-8839605,id-15667
id-27947002,id-1689130
id-12834091,id-110490
id-4446984,id-279069
rec-6881199-dup-0,id-323846
id-24281202,id-1956044
id-1150949,id-1040715
id-1748010,id-35601
id-2211617,id-36414
id-12622404,id-92121
rec-3176127-dup-0,rec-231417-dup-0
id-6627565,id-258159
id-7874998,id-33551
id-10930300,id-242481
id-8060585,id-2059611
id-594812,id-48262
id-14650514,id-1134179
id-13878394,id-854602
id-10145081,id-1108248
id-4740185,id-297088
rec-6705609-dup-0,id-7725
rec-24284018-dup-0,id-536653
rec-2200110-dup-0,id-8818
id-8616568,id-569503
id-643721,id-1347
id-13441798,id-885277
id-13104969,id-908693
rec-1826093-dup-2,id-133691
rec-1826093-dup-0,id-133691
id-10170021,id-141658
id-15087009,id-1191347
id-11132229,id-721925
rec-4818590-dup-0,id-160408
id-12914303,id-873177
id-4620376,id-181362
id-26551117,id-2650747
id-11467731,id-132237
rec-1294649-dup-2,id-2236
id-6706980,id-390837
id-13690836,id-1004174
id-22044176,id-208141
id-8344177,id-3643
id-10618805,id-218240
rec-16208157-dup-0,id-1135
id-12101286,id-52904
id-10027571,id-43516
id-27884,id-3591
id-2990350,id-81933
id-12753683,id-170587
rec-6749002-dup-0,id-325071
rec-13738023-dup-0,id-441240
id-25289818,id-125022
id-14036644,id-513696
rec-3129925-dup-0,rec-2122-dup-0
rec-3129925-dup-1,id-2122
id-9624948,id-1104
id-25819942,id-608462
id-31555924,id-1399941
id-6556509,id-6083
rec-10380834-dup-0,id-678280
id-11313781,id-440891
rec-10380834-dup-2,id-678280
id-5736818,id-81539
id-3456628,id-34824
id-27982310,id-15745
id-14072412,id-1062364
rec-12834091-dup-0,id-110490
id-17847249,id-1486252
id-8475269,id-559390
rec-15238851-dup-0,rec-3332-dup-1
id-7817883,id-168029
id-8167173,id-535738
id-634636,id-50617
rec-5984007-dup-0,id-168462
id-1953225,id-22492
id-13490303,id-972994
id-4272718,id-268632
id-2665759,id-39319
id-13514402,id-2092189
rec-3954665-dup-0,id-508224
id-1221323,id-95664
id-11225087,id-728375
id-6528869,id-325744
rec-1738659-dup-0,id-129490
id-6391590,id-62373
id-14464576,id-318712
rec-7794736-dup-0,id-40924
rec-3627243-dup-0,id-227517
id-1485535,id-3126
id-14306713,id-1328677
id-9385031,id-187316
id-4864145,id-14410
id-9757978,id-115618
id-6658205,id-68998
id-7841713,id-150682
id-17788612,id-191481
rec-8803023-dup-0,rec-290640-dup-0
rec-32255296-dup-0,rec-3039727-dup-0
rec-4052168-dup-0,id-250744
id-4059529,id-99
id-31568171,id-3221725
id-16396417,id-1337456
rec-2611391-dup-1,id-61854
rec-7368629-dup-0,id-887026
rec-7368629-dup-1,id-887026
rec-2909528-dup-0,id-111548
id-6198754,id-8807
id-9624892,id-634733
id-9815366,id-466339
id-12690827,id-703010
id-1180089,id-35718
rec-10736089-dup-2,id-162647
id-8044618,id-281507
rec-11309172-dup-0,id-4863
rec-11309172-dup-1,id-4863
id-32276250,id-2871282
id-10559249,id-97880
rec-8422771-dup-0,id-550430
rec-8422771-dup-1,id-550430
id-12253943,id-510782
id-604387,id-1343717
rec-5733016-dup-1,id-868655
id-11598292,id-4356
id-262927,id-55858
rec-9558401-dup-0,id-630404
id-7695456,id-1194804
rec-541467-dup-0,id-36594
rec-13256695-dup-0,id-51507
rec-13306614-dup-0,id-950456
id-19649,id-2986
id-10648267,id-695946
id-4636401,id-63903
rec-5750841-dup-2,id-805693
id-8412598,id-31535
id-9327668,id-203575
rec-2450161-dup-0,rec-165834-dup-0
id-9724114,id-10931
rec-6593507-dup-2,id-160210
id-12201716,id-789072
id-7009856,id-9681
id-13750384,id-1013218
id-14146999,id-61099
rec-25241633-dup-1,id-93
rec-8161303-dup-1,id-535220
id-12006697,id-189421
id-6342835,id-1699
id-9433743,id-411882
id-13140731,id-836810
rec-8093129-dup-1,id-433619
rec-8093129-dup-0,id-433619
id-10643493,id-695643
id-24291298,id-1310104
id-4168255,id-71557
id-24741005,id-10440
id-918440,id-33184
id-13759299,id-2115138
rec-31563971-dup-1,id-1685547
id-9397326,id-821495
id-11542688,id-346436
rec-12279690-dup-0,rec-795534-dup-1
id-14994474,id-1155807
id-7750908,id-430470
id-10287051,id-242255
rec-7937006-dup-1,id-174573
id-24229709,id-2373545
id-6975975,id-442678
rec-2161543-dup-0,rec-991-dup-0
id-1640008,id-81955
id-5746638,id-157138
id-14776871,id-1148277
id-7762786,id-87098
rec-10582897-dup-0,id-144617
id-8089239,id-62359
rec-27973844-dup-0,id-3769
id-22641945,id-2122925
id-12160333,id-789077
rec-25653706-dup-1,id-453522
rec-8870941-dup-0,rec-586504-dup-0
id-7218075,id-247481
id-14471023,id-51158
id-5986040,id-147404
rec-8870941-dup-1,id-586504
rec-12112456-dup-2,id-56408
id-15303341,id-1218359
id-7176630,id-373689
rec-6685496-dup-0,id-183568
id-4672213,id-85414
rec-15728482-dup-0,rec-919462-dup-0
id-11034419,id-812367
id-6468023,id-407269
id-11937543,id-97546
id-11273323,id-64142
id-33038528,id-3395282
rec-1788277-dup-1,id-22420
id-7041880,id-32116
rec-14917656-dup-1,id-1166337
rec-14917656-dup-0,id-1166337
rec-4838971-dup-1,id-133560
id-10829698,id-705359
id-4165218,id-818983
rec-13271077-dup-0,id-512508
rec-13271077-dup-1,id-512508
rec-13574455-dup-0,id-842423
rec-6693462-dup-1,id-60661
id-9457875,id-64025
id-12998156,id-891918
rec-9729634-dup-0,id-641792
id-7104111,id-452943
rec-4849772-dup-0,rec-209615-dup-1
id-4683354,id-60
id-1990068,id-42333
id-5036083,id-9681
rec-5249192-dup-1,rec-145514-dup-1
rec-3516806-dup-1,id-175568
id-5923973,id-38339
rec-5819676-dup-0,rec-141756-dup-0
id-10736089,id-162647
id-5056232,id-12333
rec-7500032-dup-0,id-405796
id-10155031,id-809546
rec-2977500-dup-1,id-191673
id-16274388,id-334801
rec-8269234-dup-1,id-71770
id-7286153,id-146068
id-7640077,id-53264
id-6234007,id-235523
id-21948039,id-2129480
rec-164854-dup-0,rec-60-dup-1
id-7368629,id-887026
id-25241633,id-93
id-14458072,id-353887
rec-10343614-dup-1,id-675814
id-10198939,id-659338
rec-19003824-dup-0,rec-1622468-dup-1
id-1788606,id-56786
id-14681030,id-1137639
rec-7321958-dup-0,id-12640
rec-7321958-dup-1,id-12640
rec-7020102-dup-1,rec-207751-dup-0
rec-7020102-dup-0,rec-207751-dup-1
rec-14874652-dup-1,id-1165039
id-10709061,id-682511
id-14749513,id-256643
id-15675393,id-1258418
id-14173894,id-1035304
rec-6848705-dup-1,id-433936
rec-6848705-dup-0,id-433936
rec-14707118-dup-0,id-67633
id-9759459,id-622491
id-2567762,id-171495
rec-11824125-dup-1,id-404810
id-7237024,id-242193
id-17878919,id-1490472
id-30259748,id-1120214
rec-11118211-dup-0,rec-11684-dup-0
id-478873,id-41118
id-4276134,id-268765
id-5613731,id-147652
id-3473776,id-187683
id-8298029,id-545963
rec-9672336-dup-0,rec-5028-dup-0
id-31580703,id-72962
id-27951722,id-625842
id-7734218,id-1121176
id-13092393,id-907110
id-29090164,id-406868
id-7845021,id-118402
rec-576229-dup-2,id-47437
rec-576229-dup-1,id-47437
rec-14721635-dup-2,id-35917
rec-9714719-dup-0,id-353796
id-1138863,id-4304
id-9726431,id-38915
rec-29097630-dup-0,rec-406868-dup-0
rec-29097630-dup-1,id-406868
id-6749002,id-325071
rec-1830464-dup-0,rec-133851-dup-0
id-6629359,id-36683
id-10995593,id-713638
id-2680719,id-1123774
id-6093801,id-173457
id-14202069,id-1081113
id-14818014,id-1118619
rec-4492078-dup-2,id-281816
rec-11390942-dup-2,id-2125709
rec-11390942-dup-1,id-2125709
rec-9425620-dup-2,id-41728
id-7055231,id-8718
id-29115586,id-2739113
rec-22629603-dup-0,rec-937552-dup-1
id-11725850,id-97192
id-26530163,id-2648444
id-6533954,id-385786
id-26573481,id-2490460
id-8733621,id-399604
id-957380,id-34632
id-21976283,id-196127
id-4485746,id-281401
rec-112489-dup-1,id-4991
id-8417671,id-123
id-14958623,id-1171813
id-10692651,id-50527
id-13171137,id-289946
rec-7114824-dup-0,id-140460
rec-26557842-dup-0,id-2535045
id-9865396,id-649189
id-32269929,id-3081202
id-10343614,id-675814
id-6079691,id-153687
id-2945338,id-190329
id-4848724,id-204015
rec-20947381-dup-0,rec-1527372-dup-0
id-12049660,id-781649
id-14614304,id-786776
id-7661735,id-3815
rec-13061185-dup-1,id-578737
id-16230228,id-425389
id-10667306,id-3755
id-4548046,id-202528
id-9419925,id-622089
rec-2375325-dup-1,id-4825
id-5269714,id-325535
rec-1375590-dup-0,id-5033
id-16188793,id-1314909
id-12327087,id-798566
id-2719441,id-178932
id-13126168,id-308397
id-825818,id-2101
rec-5741516-dup-0,rec-59312-dup-0
rec-369392-dup-0,id-35217
id-9439699,id-490857
rec-112489-dup-2,id-4991
id-12472058,id-122939
id-1981793,id-24287
id-3765131,id-131230
id-8925608,id-69537
id-3539912,id-120909
id-1166592,id-74007
rec-7661735-dup-1,id-3815
id-5285451,id-816111
rec-1646912-dup-0,id-45799
id-1396868,id-15090
id-9054396,id-281402
id-9310922,id-199733
id-8393488,id-552995
id-13077391,id-84818
id-6911209,id-437624
id-13811451,id-36722
id-412989,id-187
rec-5173309-dup-1,id-37180
rec-7554581-dup-0,id-154323
id-29103539,id-238387
id-10873468,id-666844
id-17822521,id-1483051
id-10065317,id-814438
rec-5173309-dup-0,id-37180
rec-752101-dup-2,id-1261448
id-7359375,id-175306
rec-752101-dup-0,id-1261448
id-29106077,id-1422610
id-673089,id-34833
id-5655368,id-2202
rec-3135179-dup-0,rec-1655-dup-0
id-11669161,id-48009
id-4713337,id-21454
id-4476101,id-188882
id-380190,id-143
id-2270488,id-66158
id-5291267,id-76579
id-10756202,id-701679
id-14078447,id-457907
rec-16207683-dup-0,id-370733
id-2179323,id-150547
id-12233210,id-97546
id-11746328,id-5613
id-15199540,id-711029
rec-10379205-dup-0,id-678164
rec-6941319-dup-0,id-116489
rec-6941319-dup-1,id-116489
rec-6941319-dup-2,id-116489
id-3179198,id-88515
id-5342795,id-1114
id-8124605,id-155775
id-10633904,id-11598
id-9017039,id-597146
id-591471,id-34914
id-5058832,id-14917
rec-14717551-dup-0,id-197001
rec-3528167-dup-1,rec-41711-dup-1
rec-3528167-dup-0,rec-41711-dup-0
id-5642992,id-121642
id-6101889,id-380280
id-11839654,id-769178
id-7797055,id-92623
id-4389429,id-275556
id-251460,id-2914
rec-27980299-dup-1,id-2822231
rec-27980299-dup-2,id-2822231
id-11736161,id-144525
id-8210373,id-34311
rec-2314699-dup-1,id-250495
id-7554581,id-154323
rec-9695073-dup-0,id-912714
rec-9695073-dup-1,id-912714
rec-9695073-dup-2,id-912714
id-12607059,id-829731
rec-164854-dup-2,rec-60-dup-0
id-14306490,id-1095797
rec-12171027-dup-0,rec-789457-dup-0
id-14834450,id-1155328
rec-2318403-dup-0,id-39801
id-10080783,id-34990
id-13764081,id-532607
rec-3231664-dup-0,id-184
id-6359833,id-401220
id-5917420,id-141153
rec-2414569-dup-1,id-1197
id-8578110,id-3103
id-12720396,id-854819
id-4530250,id-284133
rec-3856529-dup-1,id-101230
id-4175123,id-70682
id-32286369,id-1677442
id-4232381,id-10220
id-3689288,id-230696
rec-2791501-dup-0,rec-565227-dup-0
id-22654847,id-1709974
id-31556487,id-6592
rec-1570224-dup-1,rec-1224-dup-0
id-31868119,id-3395088
id-4981468,id-1338
id-10419255,id-681064
id-14847954,id-952267
id-14142249,id-40
id-14721635,id-35917
id-2852156,id-186079
id-653411,id-9871
id-5259559,id-74828
id-9278485,id-613918
id-4156099,id-140966
rec-14776871-dup-0,id-1148277
id-13946303,id-1044403
rec-164854-dup-1,rec-60-dup-0
rec-3166073-dup-0,id-304175
id-9288335,id-1479
id-5551867,id-145082
rec-9433743-dup-0,id-411882
id-11707025,id-199209
id-710518,id-10170
id-26531319,id-678834
rec-20981660-dup-1,id-610960
rec-12201716-dup-0,id-789072
id-29101379,id-1187766
id-11357176,id-126774
id-17831537,id-260042
id-11309172,id-4863
id-33039460,id-3395376
id-14741947,id-549205
rec-6553916-dup-0,id-413655
rec-11957296-dup-0,id-293699
id-20942212,id-291593
id-8740824,id-81239
id-13925267,id-1041328
id-29718717,id-3006570
id-1555819,id-49648
id-12894957,id-384022
id-15036293,id-1182325
id-17143005,id-169483
rec-31570903-dup-0,id-853346
id-19003824,id-1622468
rec-11167256-dup-0,id-724224
id-8180957,id-536888
id-2246478,id-356
rec-15145623-dup-0,id-46373
id-9012447,id-235823
id-7189405,id-1137900
rec-983189-dup-0,id-4876
rec-9726431-dup-0,id-38915
id-1090680,id-82896
rec-14223734-dup-0,rec-1084086-dup-0
id-7728762,id-503520
id-8436035,id-10984
rec-3032026-dup-1,id-194931
id-7500032,id-405796
rec-14614304-dup-1,id-786776
rec-14614304-dup-0,id-786776
id-10271960,id-671306
rec-939382-dup-0,id-15917
id-8101154,id-2207574
id-1168973,id-1643
id-9841246,id-464980
id-10200199,id-659338
rec-7322702-dup-2,id-469503
rec-4276134-dup-1,id-268765
rec-6977028-dup-0,id-359679
id-13218968,id-939828
id-8055720,id-527430
id-29135354,id-2940180
rec-9790125-dup-1,rec-298176-dup-0
rec-4588632-dup-2,rec-33040-dup-0
id-387547,id-347
id-1038409,id-1347
rec-27979559-dup-0,id-89
id-5981249,id-111402
rec-8342028-dup-1,id-69475
rec-12883862-dup-1,id-3331
id-3368204,id-35007
id-29708673,id-3005240
id-7673211,id-1063197
rec-591471-dup-1,id-34914
rec-591471-dup-0,id-34914
id-7346105,id-51209
rec-9689202-dup-2,id-194305
rec-2669778-dup-0,rec-176025-dup-0
rec-2669778-dup-1,id-176025
id-7588790,id-492027
id-4727919,id-126909
id-12700920,id-688548
id-13451628,id-67835
rec-11986050-dup-0,id-574766
id-11886090,id-7262
id-3579512,id-20638
rec-9197815-dup-0,id-609056
id-7211945,id-45841
id-24286182,id-1992144
rec-9379419-dup-0,id-338980
rec-12201716-dup-1,id-789072
id-14288581,id-1092383
id-2559965,id-981430
rec-14847954-dup-0,rec-952267-dup-1
id-9794261,id-645508
id-21995912,id-4690
id-10040508,id-2234
rec-14405720-dup-0,id-1107697
id-12992808,id-891223
id-49921,id-4453
id-7109311,id-299034
id-3201415,id-139354
id-2002839,id-123387
id-5068255,id-295268
id-5017344,id-120455
rec-6334790-dup-1,id-193257
rec-6334790-dup-0,id-193257
rec-8196085-dup-0,rec-296923-dup-0
id-22649830,id-2213780
id-4907222,id-125917
id-13404860,id-961429
id-13970850,id-1048259
id-3272374,id-146374
rec-5618952-dup-0,id-346433
id-6541240,id-234102
id-15109983,id-1174415
id-1016499,id-77021
id-1887647,id-34644
id-7140028,id-455739
id-29707406,id-2034539
id-13835266,id-887724
id-6989446,id-34283
id-12074971,id-502362
id-2239582,id-47079
id-7996612,id-340748
rec-11391563-dup-0,id-244
rec-25255955-dup-1,id-388
rec-20989299-dup-0,id-385113
id-9505199,id-1528
id-11071035,id-655141
id-27944073,id-904602
rec-409913-dup-0,id-36961
id-5497299,id-93814
id-3288317,id-113439
id-6705405,id-1212567
rec-6556509-dup-1,id-6083
rec-6556509-dup-0,id-6083
rec-3672847-dup-0,id-229912
id-20997467,id-3515
id-14400624,id-1106930
rec-27967248-dup-0,rec-2820346-dup-0
id-9045688,id-101940
id-6349737,id-400561
id-6449322,id-2128102
id-1923074,id-63196
rec-9550869-dup-1,id-629949
id-3917543,id-47031
id-10379205,id-678164
id-9210506,id-609850
id-5236559,id-98202
rec-24294770-dup-1,id-1394346
id-4042236,id-131920
id-5173309,id-37180
id-396693,id-2461
id-2339734,id-2920
id-7320725,id-469343
id-8993617,id-595688
id-3944173,id-5679
rec-9398314-dup-1,id-620714
