artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
a90,コエンマ,Koenma,,,,,,,f,Character,Male,id-107,Anime Yu Yu Hakusho character
a91,Persiana Jones,Persiana Jones,1988,2,,,,,f,Group,,id-105,
a92,Bob Evans,Evans Bob,1976,10,1,,,,f,Person,Male,id-13,Australian singersongwriter AKA Kevin Mitchell
a93,Relevant Few,Relevant Few,2000,,,,,,f,Group,,,
a94,Charlie Sepukveda,Sepulveda Chariie,1962,,,,,,f,Person,Male,,
a95,Charlie Sepulveta,Sepuiveda Charlie,1962,,,,,,f,Person,Male,,
a96,Jesse Rhodes,Rhodes Jesse,,,,,,,f,Person,Male,id-7503,Songwriter Production Composer
a97,Piero Piccioni,Piccioni Piero,1921,12,6,2004,7,23,t,Person,Male,id-105,
a98,Marianne  Michael,Marianne  Michael,1973,,,,,,f,Group,,id-81,
a99,Richard M Sherman,Sherman Richard M,1928,6,12,,,,f,Person,Male,id-222,
a100,A Warcla,Wardz A,,,,,,,f,Person,,,Production music vomposer
a101,Franz Krommer,Krommer Franz,1759,11,27,1831,1,8,t,Person,Male,id-56,composer
a102,Ellen Dijkhuizen,Dijkhuizen Ellen,,,,,,,f,Person,Female,id-150,
a103,Briari Eno,Eno Bryan,1948,5,15,,,,f,Person,Male,rec-221-dup-0,
a104,Shandon,Shandon,1994,,,2006,2,13,t,Group,,id-105,Italian punk rock band
a105,Alexander Kla3s,Klaws Alrxander,1983,9,3,,,,f,Person,Male,id-81,
a106,BeeBee,BeeBee,1997,,,,,,f,Group,,id-72,90s Finnish allfemale pop rock band
a107,Joe Walsh,Walsh Joe,1947,11,20,,,,f,Person,Male,id-222,EaglesJames Gang
a108,Admiral D,Admiral D,,,,,,,f,,,,
a109,Columbia Symphony Orchestra,Columbia Shmphony Orchestra,,,,,,,f,Orchestra,,id-222,
a110,Hollywood Studio Symphony,Hollywood Studio Symphony,,,,,,,f,Orchestra,,id-222,
a111,Hatebreed,Hatebreed,1995,,,,,,f,Group,,id-222,
a112,Justeeri,Justeeri,1916,4,5,1983,4,8,t,Person,Male,id-72,
a113,The Gatvrs,Gaturs The,,,,,,,f,Group,,id-222,
a114,Duane Eddy,Eddy Duane,1938,4,26,,,,f,Person,Male,id-222,
a115,Kevin J Colver,Colver Kevin J,,,,,,,f,Person,Male,,
a116,Autechre,Autechre,1991,,,,,,f,Group,,id-432,electronic music duo
a117,Nash Ensemble,Nash Ensemble,1964,,,,,,f,Group,,id-221,
a118,Samson François,François Samson,1924,5,18,1970,10,22,t,Person,Male,id-73,pianist
a119,James Joseph Kalamasz,Kalamasz James Joseph,,,,,,,f,Person,Male,id-222,
a120,LAST ALLIANCE,LAST ALLIANCE,2002,,,,,,f,Group,,id-107,
a121,Shenaniganj,Shenwnigans,,,,,,,f,Group,,id-13,Ausdralian educational troupe
a122,Joe Jackson,Jackson Joe,1954,8,11,,,,f,Person,Male,id-432,English musician
a123,Jo Jamato,Jamato Jo,,,,,,,f,Person,,,
a124,Dougie D,D Dougie,,,,,,,f,Person,,id-222,
a125,Théotime Langlois de Swarte,Langlois de Swarte Théotime,,,,,,,f,Person,Male,id-73,
a126,The Notorioust BIG,Notoriovs BIG The,1972,5,21,1997,3,9,t,Person,Male,id-222,
a127,The Corris,Coahries The,1962,,,1990,,,t,Group,,id-434,
a128,Aerosmith,Aerosmith,1970,,,,,,f,Group,,id-222,
a129,AZ,AZ,1972,3,9,,,,f,Person,Male,id-43994,US rapper
a130,Aphrodesia,Aphrodesia,,,,,,,f,Group,,,
a131,The C0rries,Corriez The,1962,,,1990,,,t,Group,,id-434,
a132,The Archipeoago Singers,Archjpelago Singers The,,,,,,,f,Group,,id-8162,Finnish male khoir
a133,Patrick Sébastien,Sébastien Patrick,1953,11,14,,,,f,Person,Male,id-73,
a134,Jody Watley,Watley Jody,1959,1,30,,,,f,Person,Female,id-222,
a135,OxygenStar,OxygenStar,,,,,,,f,Person,Male,id-222,
a136,Gerold Huber,Huber Gerold,1969,,,,,,f,Person,Male,id-81,pianist
a137,Salif Keita,Keita Salif,1949,8,25,,,,f,Person,Male,id-131,
a138,Epsylon,Epsylon,2006,,,,,,f,Group,,id-73,French group
a139,Goldie Lookin Chain,Goldie Lookin Chain,2000,,,,,,f,Group,,id-221,Welsh comedic rap group
a140,ErciE,ErciE,1973,,,,,,f,Person,Male,id-81,Erci Ergün
a141,The Year Of,Year Of The,,,,,,,f,Group,,,
a142,Clam Chowder,Clam Chowder,1977,,,2013,11,30,t,Group,,id-222,
a143,Various Artists,Various Artists,,,,,,,f,Other,,,add compilations to this artist
a144,Scrot8m,Skrotum,,,,,,,f,,,,French pvnk
a145,Ben Ri1ey,Rilwy Ben,1933,7,17,2017,11,18,t,Person,Male,id-222,American jazz trummer
a146,Vanessa Daou,Daou Vanessa,1967,10,4,,,,f,Person,Female,id-222,
a147,Klaus Harmony,Harmony Klaus,1941,1,21,1984,1,21,t,Person,Male,id-81,fictional musician created by Matthew Strachan
a148,Liane Foly,Foly Liane,1962,12,16,,,,f,Person,Female,id-73,
a149,Glen Campbell,Campbell Glen,1936,4,22,2017,8,8,t,Person,Male,id-222,US country singer guitarist  actor
a150,WILLOW,WILLOW,2000,10,31,,,,f,Person,Female,id-222,punk rock singrr Willow Smith
a151,WILLOW,WILLOW,2000,10,31,,,,f,Person,Female,id-222,pun1< rock singer Willow Smith
a152,Chris Weeks,Weeks Chris,,,,,,,f,Person,Male,id-221,
a153,CygnosiC,CygnosiC,2006,,,,,,f,Person,Male,id-84,
a154,Norah Jones,Jones Norah,1979,3,30,,,,f,Person,Female,id-222,
a155,Orcbestra of the Swan,Swan Orchestra of the,1995,,,,,,f,Orchestra,,rec-221-dup-0,StratforduoonAvon England
a156,Katherines Favorites,Katherines Favorites,1992,,,,,,f,Group,,,
a157,Savage,Savage,,,,,,,f,Person,,id-73,French house music producer Géraud Lafarge
a158,Triumfirat,Triumv'lrat,1969,,,1980,,,t,Group,,id-81,progressive rock band formed in 1969 in Cologne Germany
a159,Van Coke Kardel,Van Coke Kwrtel,2007,,,2017,,,t,Group,,id-193,
a160,324,324,1999,,,,,,f,Group,,id-107,Japanese grindcore band
a161,Senmuth,Senmuth,,,,,,,f,Person,Male,id-176,Russian experimental musician
a162,Les Basses Réunies,Les Basses Réunies,1996,,,,,,f,Group,,,
a163,Doo Wop,Doo Wop,,,,,,,f,Person,Male,id-222,American hip hop artist
a164,Michał Bajor,Bajor Michał,1957,6,13,,,,f,Person,Male,id-170,
a165,Sergej Auto,Sergej Auto,,,,,,,f,,,,
a166,Little Richard,Little Richard,1932,12,5,2020,5,9,t,Person,Male,id-222,
a167,Django Reinhardt,Reinhardt Django,1910,1,23,1953,5,16,t,Person,Male,id-73,French jazz guitarist and composer
a168,Danças Ocultas,Danças Ocultas,,,,,,,f,Group,,id-171,
a169,The Pianoheads,Pianoheadz Tbe,,,,,,,f,Group,,,
a170,Gemma Hayws,Hayej Gemma,1977,8,11,,,,f,Person,Female,rec-103-dup-0,
a171,Χρόνης Αηδονίδης,Aidonidis Chronis,1928,12,23,,,,f,Person,Male,id-84,
a172,Elsa Sakue,Saque El5a,,,,,,,f,Person,Female,,
a173,Sterzc,St3rac,1969,11,19,,,,f,Person,Male,id-150,
a174,Sterak,Stetac,1969,11,19,,,,f,Person,Male,id-150,
a175,Sderac,Sderac,1969,11,19,,,,f,Person,Male,id-150,
a176,Bad Haggist,Bar Haggis,,,,,,,f,Group,,id-222,
a177,Bad Ha9gis,Bad Haggi5,,,,,,,f,Group,,id-222,
a178,Christopher E Hajian,Hajian Christopher E,,,,,,,f,Person,Male,,
a179,Anthony Goldstone,Goldstone Anthony,1944,7,25,2017,1,2,t,Person,Male,id-221,British classical pianist and broadcaster
a180,Château Flight,Château Flight,,,,,,,f,Group,,id-4434,
a181,Little Skmz,L'lttle Simz,1994,2,23,,,,f,Person,Female,rec-221-dup-0,
a182,Litt|e Simz,Littie Simz,1994,2,23,,,,f,Person,Female,rec-221-dup-0,
a183,坂本龍一,Sakarnoto Ryuichi,1952,1,17,,,,f,Person,Male,id-107,Japanese composer pianist singer songqriter
a184,Alexander Rudd,Rudd Alexander,1981,9,22,,,,f,Person,Male,id-221,British composer
a185,林康,Hayashi Kou,,,,,,,f,Person,Male,id-107,
a186,Charlie Clouser,Clouser Charlie,1963,6,28,,,,f,Person,Male,id-222,
a187,dead prez,dead prez,1996,,,,,,f,Group,,id-222,US hiphop duo
a188,Guem,Guem,1947,3,9,2021,1,22,t,Person,Male,id-3,
a189,Giant Claw,Giant Claw,,,,,,,f,Person,Male,id-222,
a190,C S Lewis,Lewis C S,1898,11,29,1963,11,22,t,Person,Male,id-221,
a191,Mozarteum Orchester Salzburg,Mozarteum Orchester Salzburg,1841,,,,,,f,Orchestra,,id-14,
a192,Die Toten Hojen,Toten Hoswn Die,1982,,,,,,f,Group,,id-81,
a193,Denis Dobrenz,Dobrenz Denis,,,,,,,f,Person,,,
a194,Quadra,Quadra,,,,,,,f,Person,Male,id-7703,Trance artist Ido Liran
a195,Beaver Creek,Beaver Creek,,,,,,,f,Group,,,
a196,Laurent Garnier,Garnier Laurent,1966,2,1,,,,f,Person,Male,id-73,
a197,Antonín Dvořák,Dvořák Antonín,1841,9,8,1904,5,1,t,Person,Male,id-56,composer
a198,Dark at Dawn,Dark at Dawn,1993,,,,,,f,Group,,id-81,
a199,Cate Kanel,Kanelj Cate,,,,,,,f,,,,
a200,manmachineindustry,manmachineindustry,2000,,,,,,f,Group,,id-202,industrial rock
a201,Roh,Ro1>,1978,,,,,,f,Person,Male,id-73,French artiwt real name Robin Coudert
a202,Rol>,Rop,1978,,,,,,f,Person,Male,id-73,French artist real name Ropin Coudert
a203,Orchestra of the Welsh National Opera,Orchestra of the Welsh National Opera,1943,,,,,,f,Orchestra,,id-435,
a204,Pealc,Pealc,,,,,,,f,,,,
a205,増子司,Masuko Tsukqsa,1963,4,3,,,,f,Person,Male,id-107,v'ldeo game music composer
a206,The Bluerunners,Bluerunners The,1988,,,,,,f,Group,,id-222,
a207,Nitzer Egb,Nitzer El>b,1982,,,,,,f,Group,,rec-221-dup-0,
a208,Nitzef Ebb,Nitser Ebb,1982,,,,,,f,Group,,rec-221-dup-0,
a209,Nitzwr Ebb,Nitze4 Ebb,1982,,,,,,f,Group,,rec-221-dup-0,
a210,Emilia,Emilia,1978,1,5,,,,f,Person,Female,id-202,Swedish singer Emilia Rydberg Mitiku Big Big World Twist of Fate
a211,Lazzi,Lazzi,,,,,,,f,Group,,id-73,
a212,Deadliner,Deadliner,,,,,,,f,Person,Male,id-5099,
a213,Sevendust,Sevendust,1994,,,,,,f,Group,,id-222,
a214,Zachary Allen,Allen Zachary,,,,,,,f,Person,,,
a215,Devin th3 Dude,Devin te Dude,1970,6,4,,,,f,Person,Male,id-7326,
a216,Tyrfing,Thyrving,1995,,,,,,f,Group,,id-202,
a217,Liberty Christian Church,Liberty Christian Church,,,,,,,f,,,,
a218,De La Sou|,De Lw Soul,1987,,,,,,f,Group,,id-222,
a219,Stockholms Negrer,Stockholms Negrer,1984,,,1994,,,t,Group,,id-202,
a220,Freddie Jackson,Jackson Freddie,1956,10,2,,,,f,Person,Male,id-222,
a221,Della Bosiers,Bosiers Della,1946,11,11,,,,f,Person,Female,id-21,
a222,Hefenia,Hecenya,,,,,,,f,Group,,id-73,
a223,Slapshot,Slapshot,1985,,,,,,f,Group,,id-222,
a224,Vince Gabriel,Gabriel Vince,,,,,,,f,Person,,,
a225,Billy Fury,Fury Billy,1940,4,17,1983,1,28,t,Person,Male,id-221,
a226,Flulce,Fluke,1986,,,,,,f,Group,,rec-221-dup-0,UK electronic mustic group
a227,Flulce,Fluke,1986,,,,,,f,Group,,rec-221-dup-0,UK elektronic music group
a228,Jufge Dredd,Judge Dr4dd,,,,,,,f,Character,Male,,
a229,Annihilator,Annihilator,1984,,,,,,f,Group,,id-38,Canadian thrash metal band
a230,Farside,Farside,1989,,,2000,,,t,Group,,id-222,
a231,Tripod,Tripod,1997,,,,,,f,Group,,id-13,Australian comedy trio
a232,Gossos,Gossos,1993,,,,,,f,Group,,id-1818,Spanish poprock
a233,Complys,Complys,,,,,,,f,Group,,id-322,
a234,Los Fabulosos Cadillacs,Fabulosos Cadillacs Los,1985,1,19,,,,f,Group,,id-10,
a235,The Bovs,Boys Te,1964,,,1999,,,t,Group,,id-72,Finnish rock group Eero  Jussk  Eero ja Jussi  The Boys
a236,Bryan Adams,Adams Bryan,1959,11,5,,,,f,Person,Male,id-38,Canadian singersongwriter
a237,Vermin,Vermin,,,,,,,f,Group,,id-202,Swedish death metal band
a238,Thyrving,Thyrfirig,1995,,,,,,f,Group,,id-202,
a239,Supabond,Supabond,2001,,,,,,f,Group,,id-81,
a240,Jerry Goldsmith,Goldsmith Jerry,1929,2,10,2004,7,21,t,Person,Male,id-222,American score composer
a241,Dollar,Dollar,1978,,,1988,,,t,Group,,id-221,UK pop group
a242,Shakira,Shakira,1977,2,2,,,,f,Person,Female,id-47,Colombian pop vocalist
a243,Echo Orbiter,Echo Orbiter,1996,,,,,,f,Group,,id-222,
a244,Beat Servoce,Beat Sefvice,,,,,,,f,Person,Male,rec-67-dup-0,
a245,Jars od Clay,Jars of Clav,1993,9,,,,,f,Group,,id-222,
a246,Kate MacLeocl,MacLeor Kate,,,,,,,f,Person,Female,id-222,
a247,The Shamen,Shamen The,1986,,,1999,,,t,Group,,id-221,
a248,増子司,Masuko Tsukasa,1963,4,3,,,,f,Person,Male,id-107,video game music composer
a249,Susumu Yokota,Yokota Susumu,1961,,,2015,3,27,t,Person,Male,id-107,
a250,Carouge,Carouge,,,,,,,f,,,,
a251,Sirneon ten Holt,Holt ten Sirneon,1923,1,24,2012,11,25,t,Person,Male,id-150,compozer
a252,Lucas P0pe,Po0e Lucas,,,,,,,f,Person,Male,id-222,
a253,Deep Dish,Deep Dish,1992,,,,,,f,Group,,id-222,
a254,Norvik,Norvik,,,,,,,f,Person,Male,,
a255,Conrad Schnitzler,Schnitzler Conrad,1937,3,17,2011,8,4,t,Person,Male,id-81,German experimental electronic musician
a256,Kodály Quartet,Kodály Quartet,1965,,,,,,f,Group,,id-97,
a257,Hélène Bleskine,Bleskine Hélène,,,,,,,f,Person,,,
a258,NǽnøĉÿbbŒrğ VbëřřĦōlökäävsŦ,Nanocyborg Uberholocaust,2006,,,,,,f,Group,,,Ambient Cosmic Extreme Funeral Drone Doom Metal band
a259,Manikin,Manijin,,,,,,,f,Group,,id-222,
a260,Grooueminister,Gruveminister,,,,,,,f,Group,,id-81,
a261,Under,Under,2001,,,,,,f,Group,,id-176,Russian Death Metal
a262,Marlango,Marlango,2002,,,,,,f,Group,,id-194,
a263,Ajking Abby,Asiing Abby,,,,,,,f,Group,,,
a264,横山菁児,Yokoyama Seiji,1935,3,17,2017,7,8,t,Person,Male,id-107,
a265,Loircord,Loircord,,,,,,,f,Group,,,
a266,氷上恭子,Hikami Kyoko,1969,1,11,,,,f,Person,Female,id-107,
a267,Jacques Loussier et son orchestre,Loussier Jacques et son orchestre,,,,,,,f,,,,
a268,Go West,Go West,1982,,,,,,f,Group,,id-221,
a269,A Flock of Seagulls,Flock of Seagulls A,1980,,,,,,f,Group,,id-221,
a270,Johanson  Vennad,Johanson  Vennad,,,,,,,f,Group,,id-67,
a271,Victor Young,Young Victor,1900,8,8,1956,11,10,t,Person,Male,id-222,American composer arranger violinist  conductor
a272,Da Yoopwrs,Yo0pers Da,1975,,,,,,f,Group,,id-87369,
a273,Beat Happening,Beat Happening,1982,,,,,,f,Group,,id-222,
a274,Steven Wray Lobdell,Wray Lobdell Steven,,,,,,,f,Person,,,
a275,Haust Arafna,Hauz Arafna,1993,,,,,,f,Group,,id-81,
a276,David Wise,Wise David,1967,,,,,,f,Person,Male,id-221,video game composer
a277,Haus Arafna,Haus Arafma,1993,,,,,,f,Group,,id-81,
a278,Thieves Like Us,Thieves Like Us,2002,,,,,,f,Group,,,
a279,Willi Weitzel,Weitzel Willi,1972,12,13,,,,f,Person,Male,,
a280,Andrew Parrott,Parrott Andrew,1947,3,10,,,,f,Person,Male,id-221,conductor
a281,Jean‐Franç0is Dandrieu,Dandriu Jean‐François,1682,,,1738,1,17,t,Person,Male,id-73,
a282,Contramarca,Contramarca,,,,,,,f,Group,,,
a283,Sonna Rele,Rele Sonna,1988,,,,,,f,Person,Female,id-221,
a284,Avey Tare,Avey Tare,1979,4,24,,,,f,Person,Male,id-222,
a285,Teoman,Teoman,1967,11,20,,,,f,Person,Male,id-214,
a286,周杰倫,Chou Jay,1979,1,18,,,,f,Person,Male,,
a287,Big Ministries,Big Ministries,,,,,,,f,Group,,,
a288,Los Dos y Compañeros,Dos y Compañeros Los,1996,,,,,,f,Group,,id-81,
a289,Caribou,Caribou,1978,,,,,,f,Person,Male,id-38,Canadian composer and musician
a290,Jan Eggum,Eggum Jan,1951,12,8,,,,f,Person,Male,id-160,
a291,Joseph Haydn,Haydn Joseph,1732,3,31,1809,5,31,t,Person,Male,id-14,composer
a292,Stojan Knežević,Knežević Stojan,,,,,,,f,,,,
a293,Harem,Harem,,,,,,,f,Group,,id-214,
a294,Operation Ivy,Operation Ivy,1987,5,,1989,5,29,t,Group,,id-222,
a295,David Newman,Newman David,1954,3,11,,,,f,Person,Male,id-222,film composer
a296,Κώστας Τουρνάς,Tournas Kostas,1949,9,23,,,,f,Person,Male,id-84,
a297,Anberlin,Anberlin,2002,,,,,,f,Group,,id-222,
a298,Unity One,Unity One,2011,,,,,,f,Group,,,futurepopsynthpop
a299,Riccardo Cocciante,Cocciante Riccardo,1946,2,20,,,,f,Person,Male,id-105,
a300,Air Fornation,Air F0rmation,1998,,,,,,f,Group,,rec-221-dup-0,
a301,Rainer,Rainer,1951,6,7,1997,11,12,t,Person,Male,id-81,
a302,Lowell Sly Dunbar,Dunbar Lowell Sly,1952,5,10,,,,f,Person,Male,id-106,
a303,Jon Harmish,Harnijh Jon,,,,,,,f,Person,Male,id-222,
a304,AG F|ek,AG Flel,1977,,,,,,f,Group,,id-56,
a305,Young Mozart,Young Mozart,,,,,,,f,Person,,,
a306,Kate Wokf,Wolf Kwte,1942,1,27,1986,12,10,t,Person,Female,id-222,
a307,Rosannas Raiders,Rosannas Raiders,,,,,,,f,,,,
a308,The Bakers,Bakers The,,,,,,,f,Group,,,
a309,Marian Anderson,Anderson Marian,1897,2,27,1993,4,8,t,Person,Female,id-222,classical contralto singer
a310,Le Rok,Le Rok,,,,,,,f,Person,,,
a311,Hey Negritq,Hey Negrlta,2000,,,,,,f,Group,,rec-221-dup-0,
a312,Megacleth,Megadetb,1983,6,,,,,f,Group,,id-222,
a313,Megaddth,Megadetb,1983,6,,,,,f,Group,,id-222,
a314,Me9adeth,Mekadeth,1983,6,,,,,f,Group,,id-222,
a315,Nordwestdeutscbe Philharmonie,Nordwestdeutsche Philharmonie,1950,,,,,,f,Orchestra,,id-81,
a316,Fred LonbergHolm,LonbergHolm Fred,1962,,,,,,f,Person,Male,id-222,
a317,Mr Long,Long Mr,1978,3,19,,,,f,Person,Male,id-81,
a318,Jean‐Philippe Rameau,Rameau Jean‐Philippe,1683,9,25,1764,9,12,t,Person,Male,id-73,French composer of the Baroque era
a319,Stephen Janetzko,Janetzko Stephen,1966,,,,,,f,Person,Male,,
a320,Musical Youth,Musical Youth,1979,,,,,,f,Group,,id-221,
a321,Justin Taylor,Taylor Justin,1992,6,16,,,,f,Person,Male,id-73,harpsichordist
a322,Philippe Roprecht,Robrect Philippe,1966,1,2,,,,f,Person,Male,id-21,Belgian sinber
a323,Andreas Scholl,Scholl Andreas,1967,11,10,,,,f,Person,Male,id-81,countertenor
a324,Andre Perry,Perry Andre,,,,,,,f,Person,,,
a325,Jørn Stenzel,Jørn Stenzel,,,,,,,f,,,,
a326,Les Reines Prochaines,Reines Prochaines Les,1987,,,,,,f,Group,,id-203,
