track,recording,medium,position,number,name,length,is_data_track
rec-767599-dup-2,id-871069,id-886878,7,7,Hunger Stnke,78493.0,f
id-8765534,id-10200199,id-620430,6,6,Carumba,60000.0,f
id-30700009,id-26557842,id-2870565,6,6,You Should Know,156000.0,f
id-1010301,id-1180089,id-174774,9,9,Revolution Come and Gone,256560.0,f
rec-8678959-dup-0,id-10108993,id-612521,103,103,Globai Market Ee,12000.0,f
rec-8678959-dup-2,id-10108993,id-612521,103,103,Global Marke6 Ee,12000.0,f
rec-14038920-dup-2,id-14471023,id-1277115,8,8,Poloytsian Dances,503000.0,f
id-10793,id-19649,id-342960,2,2,Overflow,283253.0,f
id-10900064,id-12645300,id-1053759,15,15,Chanson pour ma ville,142000.0,f
rec-7159054-dup-2,rec-8470280-dup-0,id-442552,2,2,S0y Peñero,164373.0,f
rec-13378411-dup-0,id-10661067,rec-668173-dup-0,10,10,Ijl Be Here,251000.0,f
rec-15228933-dup-0,id-12575563,id-1360307,7,7,TSUBASA,298000.0,f
id-9392398,id-10870646,id-683741,47,47,Happy Go full mix,15000.0,f
rec-2230935-dup-0,id-2665759,id-920667,14,14,Seems ws If,224066.0,f
rec-15310823-dup-2,id-15236858,rec-1368229-dup-0,5,5,Gemini Concerto V Vinna Polytonal Polka and Wiener Wein Waltz,389000.0,f
id-11613929,id-8675977,id-465907,9,9,¡Ay amor,185000.0,f
rec-30655623-dup-0,id-26523254,id-2865583,4,4,Symphonv no 2 – Allegro non troppo,887000.0,f
id-10646824,id-12245581,id-814943,2,A2,Deep,,f
rec-4906243-dup-1,id-6029120,id-902470,4,4,Incantatiins,203000.0,f
rec-6659011-dup-2,id-7936564,id-378572,7,7,Ce qui trouble les hommes se ne sont pas les choses mais,46546.0,f
id-38702863,id-32290653,id-3770685,8,8,A Sick and Abandoned Heart,68490.0,f
rec-12795962-dup-0,rec-1030421-dup-0,id-1197767,7,B2,The Hardest Tim3,192000.0,f
id-12216093,id-4063832,id-895681,4,4,Whiskey and Wimmen,162626.0,f
rec-9475106-dup-0,id-10957859,id-690675,32,32,Satkh,29000.0,f
id-2939564,id-3536999,id-484071,8,8,Chitty Chitty Bang Bang 3,71493.0,f
id-12686924,id-13704556,id-1191974,3,3,Part I  Bones and Thrones  Chapter 02,1204924.0,f
rec-7682389-dup-0,id-9036714,id-504719,10,10,One For Dqllas,183053.0,f
rec-7682389-dup-1,id-9036714,id-504719,10,10,One Foah Dallas,183053.0,f
id-620647,id-695760,id-4382,4,4,Lazybones,186400.0,f
id-6906364,id-8202718,id-1024813,5,5,Promote Your Scherbenhaufen,93000.0,f
rec-8309085-dup-0,rec-9714719-dup-0,rec-579039-dup-2,13,13,Sie kann wunterbar lächeln,167000.0,f
rec-3000456-dup-0,id-700892,id-169812,3,3,God Is God God Zillz mix,313933.0,f
id-13952975,id-14417950,id-1271063,2,2,Hän lähtee tanssiin,225000.0,f
id-13310347,id-2182561,id-463972,8,8,Wake Up Dead,200800.0,f
rec-10344385-dup-0,id-11914377,id-792792,13,13,La Fifuereta,136000.0,f
id-1569509,id-1853774,id-662531,6,B2,Right Side of the Wall,183520.0,f
id-2922555,id-3516806,id-183476,8,8,Du kannst mir mal ein kleines bißchen treu sein,152093.0,f
rec-7709855-dup-1,rec-9067191-dup-1,id-507900,11,11,Scene 27  intro to the voice behind the wal|paper trellick tower 3am,281866.0,f
rec-12738060-dup-0,id-8450239,id-440217,1,A,The Big Blaclc Plastic Explosion Its Alright Its Alright Dance Mix,,f
id-6868939,id-8161303,id-407147,1,1,Niño 0,98000.0,f
id-1697648,id-2010293,id-81668,1,1,Ho Ka Hey,247800.0,f
id-841343,id-957380,id-11395,8,8,Bad Popcorn,223973.0,f
id-3728343,id-4529462,id-916996,11,11,Im the King,,f
id-2605291,id-3126250,id-17866,5,5,Gone,207306.0,f
id-3238419,id-3909672,id-894938,14,14,Rain,226720.0,f
rec-5800600-dup-0,id-7009856,id-915908,12,12,Loose Str8ng,228000.0,f
id-9524102,id-11009510,id-694512,43,43,Train to Tijuana,30000.0,f
rec-4289379-dup-2,rec-5280314-dup-0,id-98550,4,4,白線～スタートライン jnstrumental,298000.0,f
rec-14971740-dup-1,rec-14984300-dup-0,id-1336530,1,1,Colorst,,f
rec-14971740-dup-0,rec-14984300-dup-0,id-1336530,1,1,Col0rs,,f
rec-14971740-dup-2,rec-14984300-dup-0,id-1336530,1,1,Col9rs,,f
rec-8011500-dup-2,rec-9388499-dup-0,rec-542998-dup-0,8,8,Zillertaler Hochzitsmarsch,199000.0,f
id-27560629,id-24246711,id-2556029,6,6,Vibe to Vibe,335100.0,f
id-13041535,id-3368204,id-930439,2,2,Page,239960.0,f
id-4423935,id-5453130,id-111169,2,2,zombie disco,141000.0,f
id-11852348,id-13256695,id-1137187,5,5,Minuet in Am,59293.0,f
id-12389375,id-3868403,id-499548,13,13,Excuses,351506.0,f
id-5709659,id-6911981,id-265424,10,10,What Am I Living For,175000.0,f
id-11006206,id-12608314,id-1064768,25,25,I Done Done It,154000.0,f
id-9400542,id-10879020,id-684236,5,5,12b,250000.0,f
rec-1292648-dup-0,id-1526514,id-890609,4,4,Backyaahd Jam,267786.0,f
id-8704892,id-10136499,id-614902,29,29,I Do Like to Be Beside the Seaside 1,115000.0,f
id-39746281,id-33029487,id-3900720,7,7,Lobster Quadrille,164000.0,f
id-6721897,id-7985566,id-393844,6,6,Its the Only One Youve Got,263906.0,f
id-13440253,id-14102531,id-1236235,76,76,silence,4000.0,f
rec-5801253-dup-0,id-7010667,rec-277194-dup-0,5,5,Thiz Time,242706.0,f
rec-4826847-dup-0,id-5938247,id-899778,9,9,Si de contara,217733.0,f
id-12956168,id-13823443,id-1206232,3,3,Everything Is Broken,289320.0,f
id-11756375,id-13195787,id-1130018,1,1,Brownskin Mama,110000.0,f
id-3231629,id-3901192,id-54934,8,8,Lil Jon Interview,22426.0,f
id-9477716,id-10960443,id-690745,28,28,Fiesta,134000.0,f
id-12602223,id-13668126,id-1187725,4,4,Autrement quetre,296000.0,f
id-2714792,id-3260130,id-505979,1,1,Feeling Snakey,331306.0,f
id-12561373,id-13642614,id-1185635,15,15,Nobrand Heroes,235666.0,f
rec-3484435-dup-0,id-4222655,id-49146,11,11,Oceari,228120.0,f
rec-5411624-dup-0,rec-6589713-dup-0,rec-230903-dup-0,11,11,Te Tracks of My Tears live,241000.0,f
id-217746,id-262927,id-988749,9,9,The Boogie Man,208226.0,f
id-24542250,id-14868413,id-2256046,10,10,Schäfers Abendlied,166000.0,f
id-2648981,id-3179198,id-1021166,21,21,Vole haut,133866.0,f
rec-5411624-dup-1,rec-6589713-dup-1,rec-230903-dup-0,11,11,The Tracks 0f My Tears live,241000.0,f
id-17728513,id-17104652,id-1601375,2,2,Satu Jiwa,326000.0,f
id-5708923,id-6911209,id-265344,6,6,Glorify the Lord,168000.0,f
id-4114230,id-5035436,id-84163,1,1,Beneath the Skin chamber mix,275000.0,f
id-30674278,id-26537634,id-2867820,4,4,Bodya Sporttia Tsemppistä,,f
rec-5411624-dup-2,rec-6589713-dup-0,rec-230903-dup-0,11,11,The Tracks of My Tearw live,241000.0,f
id-12773390,id-13750384,id-1196756,9,9,Ballu Lestru,233000.0,f
id-12704202,id-13722426,id-1193405,5,5,The Day My Body Vaporized,84000.0,f
id-1226117,id-1450354,id-732391,4,4,Madre dolcissima,437600.0,f
rec-1670535-dup-0,rec-1974828-dup-0,id-310428,10,10,No Saf3 Place,310680.0,f
id-12313770,id-2152919,id-111867,20,20,Twenty,142933.0,f
id-28180853,id-24723181,id-2617120,7,7,Witchcraft,196000.0,f
id-9278908,id-10750652,id-674875,3,3,Seasons,358000.0,f
id-5188942,id-6342835,id-874792,9,9,Resurrection,471000.0,f
rec-9123084-dup-2,id-10585204,id-660060,3,3,Tin papa,177000.0,f
rec-9123084-dup-0,id-10585204,id-660060,3,3,Ton papa,177000.0,f
rec-12798107-dup-0,id-9054396,rec-506685-dup-2,1,A1,Galandi,,f
rec-7715367-dup-1,id-9073473,rec-787278-dup-0,8,8,The So7nd of San Francisco short Progressive mix,218000.0,f
id-9810693,id-11318922,id-723304,7,7,Speak to the Sky,171813.0,f
id-15408931,id-15311663,id-1377816,7,7,Fine and Mellow,314000.0,f
id-6972717,id-8274276,id-780966,2,2,Heat of the Night,356000.0,f
id-3858138,id-4694639,id-411394,4,4,Bacchanal Time,388906.0,f
rec-7979378-dup-0,id-9354232,rec-1041385-dup-1,4,4,Batge,420000.0,f
rec-9352922-dup-1,rec-10829698-dup-1,rec-868838-dup-0,7,7,Rzuć zą Johny,92000.0,f
rec-7979378-dup-2,id-9354232,rec-1041385-dup-1,4,4,Baclge,420000.0,f
id-1328193,id-1568419,id-877208,27,27,Hangin Out 1988 energy demos,78826.0,f
id-3529157,id-4278698,id-910708,9,9,Shotgun Kiss live,263000.0,f
id-12977624,id-13835149,id-1207458,35,35,A Long Time Ago main,61000.0,f
id-3137765,id-3786440,id-937392,4,4,Kelly Grand Forks,209320.0,f
id-9827819,id-11337889,id-839120,13,13,Goodnight Now,,f
id-4208018,id-5173309,id-973441,8,8,Los dos contra mí,229133.0,f
id-7363890,id-8692017,id-467794,1,1,V,355346.0,f
id-5102645,id-6249327,id-688890,1,1,All Dressed Up,219640.0,f
rec-4406235-dup-0,id-5429711,id-1121546,2,2,ride,329066.0,f
rec-7225120-dup-0,id-8541815,id-900291,19,19,Dagoloah System,108040.0,f
id-5195318,id-6349737,id-207402,4,4,If I Could Move Mountains  Majesty and Awe,461000.0,f
id-3524871,id-4272718,id-953456,8,8,Bad Ass Beat,177053.0,f
id-1670535,id-1974828,id-310428,10,10,No Safe Place,310680.0,f
id-13162419,id-13944318,id-1217984,2,2,Voices,199000.0,f
id-7579522,id-8925608,id-492311,12,12,Is That the Way You Look,95506.0,f
id-8201547,id-9596159,id-565381,14,14,Soundtrack of Entertainment,151000.0,f
rec-3266324-dup-1,id-3944173,id-693305,5,5,The Eecsquisite Flavor of GastroAnal Tripe,174426.0,f
id-32660205,id-27942497,id-3082921,5,5,Clouds,196000.0,f
id-2953729,id-3554723,id-239533,12,12,Åt samma håll,,f
id-37696336,id-31570903,id-3653272,6,6,Which Way to Turn,206000.0,f
rec-25363348-dup-0,rec-22625236-dup-1,rec-2337838-dup-0,11,11,Sekond Fiddle,139000.0,f
id-11181631,id-12756096,id-1080881,2,2,Blue Lester,203000.0,f
rec-2843080-dup-0,id-9350,rec-1008312-dup-0,1,1,Candle in the Winc,229000.0,f
rec-9123084-dup-1,id-10585204,id-660060,3,3,Tori papa,177000.0,f
rec-6814326-dup-0,id-8101154,id-400291,2,2,Bessere Zeuten,174720.0,f
id-3742460,id-4548046,id-186203,12,12,Erins Green Shore,253000.0,f
id-23022678,id-20943814,id-2106101,74,74,Zweiter Teil „Die gewundene Straße Kapitel 18 „Der Fuchshandel Teil 1,470000.0,f
id-12813314,id-8093129,id-399511,1,A,The Crystal Cat,228000.0,f
id-11223487,id-12685426,id-1085189,7,7,Radioactive extended edit,283000.0,f
id-3934391,id-4793090,id-69689,5,5,Here I Go Again,,f
id-13816407,id-11231541,id-712503,3,THIS SIDE 3,You Wont Let Me Down,280000.0,f
id-4919713,id-6043922,id-174159,12,12,Gan jau,216000.0,f
rec-32671973-dup-1,id-27950291,id-3084225,11,11,Giraffe Hynt,694736.0,f
id-12085317,id-13403296,id-1154430,4,4,Tandeta w modzie,152293.0,f
rec-28179939-dup-1,rec-24722471-dup-1,id-2617000,4,4,The Posie  Scoytish Brawl,330000.0,f
id-9775234,id-11281031,id-718670,8,8,Pod oblakom,253000.0,f
id-7929976,id-9301253,id-533578,6,6,Sonnet 46,115866.0,f
id-9484108,id-10967291,id-690897,11,11,Technotrance,374000.0,f
rec-1852160-dup-1,id-2207324,id-13998,6,6,Sotom  Begorra,216266.0,f
id-3041429,id-3664526,id-954027,7,7,Trace2house,318106.0,f
rec-12390966-dup-0,rec-13574455-dup-0,id-1174902,2,2,Its Over nix,529760.0,f
rec-2973421-dup-0,rec-3579512-dup-0,id-286036,1,1,Wining Machine,181000.0,f
id-9352922,id-10829698,id-868838,7,7,Rzuć ją Johny,92000.0,f
id-5520696,id-6708283,id-1213707,10,10,My Word My Way,54560.0,f
id-9352846,id-10687847,id-681114,3,3,Work It Out,168000.0,f
rec-2357211-dup-2,id-2818405,id-384788,7,7,Ran Away to the Top of the Worlt Today,398266.0,f
id-13786240,id-14305307,id-1259426,20,20,One・Two・Three  The 摩天楼ショー 15秒30秒スポット,,f
rec-4093210-dup-1,id-5005582,id-192337,1,1,Fun Kdy,459560.0,f
id-600299,id-674525,id-879445,10,10,Tank,248600.0,f
id-30655623,id-26523254,id-2865583,4,4,Symphony no 2 – Allegro non troppo,887000.0,f
id-16820816,id-16376421,id-1511178,12,12,Cheers to Us,190000.0,f
rec-12350653-dup-1,rec-11454715-dup-0,rec-738554-dup-0,17,17,Zor katin,228626.0,f
id-5411624,id-6589713,id-230903,11,11,The Tracks of My Tears live,241000.0,f
rec-473544-dup-0,rec-544783-dup-0,id-263106,11,11,Uneasy Doss It,250013.0,f
id-13613834,id-14202069,id-1247704,8,8,Push remix,248446.0,f
id-11377317,id-8521856,id-1100779,2,2,給我一首歌的時間,252000.0,f
id-13033838,id-13792874,id-1209869,16,16,Rock Head Man,152000.0,f
id-9635115,id-11128199,id-701126,9,9,Chapter 19,315666.0,f
rec-3418991-dup-1,id-4137482,rec-963597-dup-0,4,4,Keep It To9ether,,f
id-18831299,id-859579,id-1705584,6,B1,Where Are They Now,250827.0,f
id-5356853,id-6528869,id-996067,4,4,Wish I Never Knew You,207000.0,f
id-4666198,id-5754622,id-687243,25,25,Busy Signal,186720.0,f
id-11625783,id-2211056,id-1120921,10,B5,Le Cimetière des éléphants version Los Angeles,242026.0,f
id-10123375,id-11669161,id-757555,6,6,Love Is Everywhere Garage mix,358000.0,f
id-11236617,id-12804160,id-1086567,12,12,Der Samihas und der Brummklaus,446000.0,f
id-30719358,id-26571124,id-2872488,8,8,Our Last Meeting,65985.0,f
rec-32659847-dup-1,id-3289644,id-3082877,38,38,Up to the Wilclstyle radio edit,236000.0,f
id-9883190,id-11397721,id-732294,10,10,Mörker,,f
rec-28209871-dup-2,id-24746461,rec-2620238-dup-0,1,A1,Sound of Happineas,176000.0,f
rec-8383130-dup-1,id-9794261,rec-587169-dup-0,4,4,Imi plase dati drumu,198373.0,f
rec-8383130-dup-0,id-9794261,rec-587169-dup-0,4,4,Imi pjace dati drumu,198373.0,f
rec-24390037-dup-2,id-21933836,id-2241433,12,12,Itst a Shame,206693.0,f
id-4855034,id-11746328,id-165828,3,3,יד ענוגה,324000.0,f
rec-24390037-dup-0,id-21933836,id-2241433,12,12,Itz a Shame,206693.0,f
id-10122233,id-11667893,id-757414,9,9,Creation,197000.0,f
rec-23072234-dup-2,id-8429833,rec-2110826-dup-0,7,7,Next Yeaah In Zion,,f
id-13716178,id-14262882,id-1254759,16,16,My New Best Friend,148000.0,f
id-15904464,id-15688087,id-1423980,4,4,4Jan,176000.0,f
id-12501628,id-13630012,id-1182618,19,19,Falling Away Armin van Buuren remix,,f
rec-2456497-dup-1,id-2944254,id-41996,7,7,Hip Hop Be B0p Dont Stop,183200.0,f
id-24386042,id-21930592,id-2241075,3,3,Make Up Your Mind,196173.0,f
id-5162253,id-6313783,id-207139,2,2,La Vie dartiste,190000.0,f
rec-24460299-dup-0,id-170321,rec-2248504-dup-0,10,B4,Secretz,200026.0,f
id-10698928,id-12304686,id-822037,2,2,Undying,365000.0,f
id-4499981,id-5561137,id-119668,3,3,Blackdot,235666.0,f
id-8828131,id-10265882,id-626489,2,2,Anta,322906.0,f
rec-3729056-dup-0,id-4530250,rec-960850-dup-1,13,13,Cocovunkanut,271933.0,f
id-9845142,id-11357176,id-841054,14,14,silence,4120.0,f
id-12830547,id-5106657,id-88172,9,9,Devri Alem İstanbul Türküsü Katip,304440.0,f
id-877901,id-1017425,id-885141,20,20,Writing Session,172214.0,f
id-14455171,id-14742557,id-1307099,13,13,Dixit Dominus RV 594 Psalm 109 for soli 2 choirs and 2 orchestras IV Tecum principium,146000.0,f
id-7159054,id-8470280,id-442552,2,2,Soy Peñero,164373.0,f
id-24417436,id-21953741,id-2244207,9,9,Picture In Picture,773000.0,f
rec-2493053-dup-0,id-2990350,id-364160,10,10,Only Woman DJ With Degri,208494.0,f
rec-8932539-dup-0,rec-10379205-dup-0,id-638827,20,20,The 2rid War in Heaven,242000.0,f
rec-6215457-dup-0,rec-7456554-dup-0,rec-323898-dup-0,2,B,Sbift,,f
id-8227651,id-9624892,id-1150065,2,2,Eeter,208000.0,f
rec-107388-dup-0,id-128403,id-880214,11,11, anf Then,36000.0,f
id-3662846,id-4446984,id-955347,5,5,A Night in Tunisia,315000.0,f
