id,title,venue,year
343,"qcluster : relevance feedback using adaptive clustering for content-based image retrieval d kim , c chung sigmod conference",,2003.0
344,oracle xml db repository sigmod conference,,2003.0
345,vldb workshop on technologies in e-services ( tes ),,2000.0
346,sigmod program review 2000,,
347,oracle rac : architecture and performance sigmod conference,,2003.0
348,the future of web services - i a bosworth sigmod conference,,2003.0
349,"using quantitative information for efficient association rule generation b pєssas , w jr. , m carvalho , r resende sigmod record 2000",,
350,the future of web services - ii f cabrera 2003,sigmod conference,
351,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,2000.0
352,"processing set expressions over continuous update streams s ganguly , m garofalakis , r rastogi sigmod conference",,2003.0
353,editor 's notes sigmod record,,2000.0
354,"cache invalidation scheme for mobile computing systems with real-time data j yuen , e chan , k lam , h leung 2000",sigmod record,
355,"robust and efficient fuzzy match for online data cleaning s chaudhuri , k ganjam , v ganti , r motwani sigmod conference 2003",,
356,mapping data in peer-to-peer systems : semantics and algorithmic issues,sigmod conference,2003.0
357,"a vision of management of complex models p bernstein , a halevy , r pottinger",sigmod record,2000.0
358,scientific data repositories : designing for a moving target sigmod conference 2003,,
359,chair 's message 2000,,
360,"stream processing of xpath queries with predicates a gupta , d suciu sigmod conference 2003",,
361,xml and information retrieval : a sigir 2000 workshop,,2001.0
362,report on the fourth international conference on flexible query answering systems,,2001.0
363,xpath queries on streaming data 2003,sigmod conference,
364,location-based spatial queries sigmod conference 2003,,
365,"sql and management of external data j melton , j michels , v josifovski , k kulkarni , p schwarz , k zeidenstein 2001",sigmod record,
366,the clio project : managing heterogeneity sigmod record,,2001.0
367,the design of an acquisitional query processor for sensor networks 2003,sigmod conference,
368,xpress : a queriable compression for xml data sigmod conference 2003,,
369,"quality of service in multimedia digital libraries e bertino , a elmagarmid , m hacid",sigmod record,2001.0
370,d ( k ) - index : an adaptive structural summary for graph-structured data,sigmod conference,2003.0
371,"towards knowledge-based digital libraries l feng , m jeusfeld , j hoppenbrouwers",sigmod record,2001.0
372,"temporal coalescing with now , granularity , and incomplete information c dyreson 2003",sigmod conference,
373,reminiscences on influential papers 2001,,
374,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,,2001.0
375,"warping indexes with envelope transforms for query by humming y zhu , d shasha sigmod conference 2003",,
376,chair 's message,,2001.0
377,"rondo : a programming platform for generic model management s melnik , e rahm , p bernstein sigmod conference 2003",,
378,"on schema matching with opaque column names and data values j kang , j naughton 2003",sigmod conference,
379,re-designing distance functions and distance-based applications for high dimensional data,sigmod record,2001.0
380,statistical schema matching across web query interfaces 2003,sigmod conference,
381,"querying multi-dimensional data indexed using the hilbert space-filling curve j lawder , p king sigmod record",,2001.0
382,"spectral bloom filters s cohen , y matias 2003",sigmod conference,
383,"infosphere project : system support for information flow applications c pu , k schwan , j walpole 2001",sigmod record,
384,the asilomar report on database research,sigmod record,1998.0
385,"a scalable hash ripple join algorithm g luo , c ellmann , p haas , j naughton sigmod conference",,2002.0
386,"executing sql over encrypted data in the database-service-provider model h hacigќmќs , b iyer , c li , s mehrotra sigmod conference",,2002.0
387,"electronic market : the roadmap for university libraries and members to survive in the information jungle m christoffel , s pulkowski , b schmitt , p lockemann sigmod record 1998",,
388,"covering indexes for branching path queries r kaushik , p bohannon , j naughton , h korth 2002",sigmod conference,
389,xml and electronic commerce : enabling the network economy,sigmod record,1998.0
390,apex : an adaptive path index for xml data sigmod conference 2002,,
391,component-based e-commerce : assesment of current practices and future directions sigmod record 1998,,
392,accelerating xpath location steps t grust 2002,sigmod conference,
393,editor 's notes,sigmod record,1998.0
394,"efficient evaluation of queries in a mediator for websources v zadorozhny , l raschid , m vidal , t urhan , l bright sigmod conference",,2002.0
395,"sqlj part 0 , now known as sql/olb ( object-language bindings ) a eisenberg , j melton",sigmod record,1998.0
396,the middleware muddle d ritter sigmod record,,1998.0
397,"best-effort cache synchronization with source cooperation c olston , j widom sigmod conference",,2002.0
398,reminiscences on influential papers,,1998.0
399,"continuously adaptive continuous queries over streams s madden , m shah , j hellerstein , v raman",sigmod conference,2002.0
400,"an adaptive peer-to-peer network for distributed caching of olap results p kalnis , w ng , b ooi , d papadias , k tan sigmod conference",,2002.0
401,"design and implementation of rmp - a virtual electronic market place s boll , w klas , b battaglin sigmod record",,1998.0
402,"a componentized architecture for dynamic electronic markets b reich , i ben-shaul sigmod record 1998",,
403,"efficient integration and aggregation of historical information m riedewald , d agrawal , a abbadi 2002",sigmod conference,
404,"archiving scientific data p buneman , s khanna , k tajima , w tan sigmod conference 2002",,
405,adept : an agent-based approach to business process management sigmod record,,1998.0
406,xquery : a query language for xml,,2003.0
407,a workflow-based electronic marketplace on the web sigmod record,,1998.0
408,guest editor 's introduction,,1998.0
