pub_id,author_list
45,"['a7e412df-587b-4f8c-83ed-a4ad949aaf76', '7edf46af-8c09-4c2c-ba6b-762ebecbd7fe']"
47,['1b58a3b4-bfc3-48c9-9b6e-41051aaef9b5']
49,"['4c49449b-cc58-45bf-8a46-1eec2eaee1e7', '40d0bc63-622f-441d-a83a-819c0d0611fa']"
51,"['9790187c-b351-4e15-a3fb-8227e2ddd8b5', '2f84c79b-17bf-428a-b042-fd9e31ce7ff4']"
56,"['9e911622-66a5-447b-8173-9a80190b10d6', 'e746181f-143a-4aa8-8aa3-ef907c1ca8f3', '07388b92-aa96-4e4d-966d-6fd02b029016', '38faa351-8043-4d57-a6dd-b2818bc63805']"
57,"['0faf321f-3467-4668-8a27-282555a1bd5a', '986a73b6-e2c8-4b3c-a35c-929199f8d727', '0dc78b38-c6ff-44a6-ac27-9dcdfc1fea95', '953c495e-6787-4cf8-a667-fe16875a2641']"
58,"['ae4d496e-8d30-4eac-b378-e538d4726bbf', 'ce592f33-1a2f-45cb-83d2-1897875f0b8d']"
59,['aac06dec-8315-4f69-92a8-4d61932f273e']
61,"['81b2c936-765e-4d87-9e5a-e3da2e6143b5', '54f816d1-3eb2-4bdd-9acb-62e82293324d', '929c4249-00d7-43d5-824b-0df64d0d092c', 'c12fd606-7a49-4d4a-ae08-a9bc2470ffa9']"
62,"['6572d2b2-171b-4300-8cd0-a9ca57d29ebd', '4b625a8e-346e-4ec5-b30c-67ababdae94a']"
64,['7ace3b5e-1c6f-4f07-8a76-6f8a9b9e9b87']
66,"['b0371a7e-c064-4196-83e3-b90e09105ecf', '894d534c-c488-46eb-bb5e-85ab059e8892']"
67,"['76aa7299-1ce4-441e-9d0c-f372a650f7ba', 'a0d9dfdc-2e6b-4e09-aa96-ba778a784da2', '304390f5-1c60-4e0f-9c55-26674ab20aaf', '0b9a6a8f-b3db-48f4-8b6a-69a22b16f490', '3d23895d-bc81-4880-ad7f-8708fe55affa']"
69,"['3b1416f5-8fc1-4a0a-affe-327d8f72894f', '905c8a8a-e541-4fc7-9f9a-402c378c0cdf', 'ed0e0ca9-cd82-4a06-a1b5-783185b38a70']"
71,"['bb6f8d4e-db46-4471-9859-6f487e5c32da', '7dbb4f6a-ae11-4c8c-b7f1-4d6e1af1c5a6']"
73,['a0a72b63-606d-473e-85e8-ca2a86b212f3']
75,"['306cf3de-fe58-49a8-8352-d7562c50ed27', '82e7a498-ddf6-47d4-ab9b-03f042e2f331', '76b74204-27e7-4ee2-ad46-247041a79980']"
80,"['8d9cfa8e-777c-421d-aba3-c97ca16c1b0e', '7d5650aa-af73-4f18-aaf5-1e6ba500d85b', '34dfb69f-42bf-4e1c-819b-ca34cf207968']"
86,"['0b3aea76-37a5-45b9-bcab-d614f2d0f78e', '39c6caad-d4b9-471b-98a4-9dc2e92097cc']"
87,"['03cf8652-0fd1-4dba-a6ec-666e861e80b3', '55df5422-a965-4636-9d51-73114b6708f9', 'eded6833-82f3-48c7-9051-ca0ce2fbfe6a', '38198c96-7617-4aa3-9415-7a44c56029ae', '3c33e4ac-9d99-4760-8dc1-9ee78d86e97a']"
88,['827afaa7-a2d7-4952-8755-c8d95844ea05']
89,"['ad568594-e59b-4c86-be21-fec1925f0c14', 'd84d6285-4e1d-41f2-9971-0af0c5b297f0']"
90,"['df4bde9f-df68-41db-bed0-390656bded58', '80fef4ad-9d92-4ff9-8441-d541f20cef2d', '431323c0-29a2-4e20-8474-1e2c036d1bbe', 'e1bab6d6-6077-4081-872a-2cb29787ac9b', '898b5ead-b065-4942-8ab2-6b4fb96cd9ac']"
95,"['e4b8972b-1d94-4793-b59c-40d1d733c8da', 'd4aaa210-b745-4b24-9572-51e786612ded']"
101,"['fb92494d-bde3-4697-b459-00f71f1f429d', '049ba07e-b531-4310-9b6e-1aadb3af9fa2', '101a0538-9e8d-456e-a272-26679d6abdfb']"
105,"['1db0ff82-957d-4af2-be9c-a871fdbd9c60', 'b9bfc81b-0867-44d6-952b-1de230492556']"
107,['c4944059-7aee-4219-b5f7-94356e151760']
108,"['d378e717-8702-4eaf-96de-569434bf344d', '895090f7-fb79-4f78-84f1-6e7eb59f2875', 'f1489076-7e72-4e6f-8259-abcd8b21586c', '6926ba2a-44e1-44ac-88bf-3f6fc09bade7', '1f658428-a3c9-46f1-b3c2-e070faa55f53', 'd28c11aa-ba98-4293-973c-648170b628b8']"
112,"['b780a897-3cd6-4872-a82b-ee02013e3645', 'e3a05b9a-cf27-4c1a-be0f-b15a333efbf3', '6bb0e4a0-1d4b-410e-9832-d7672b80b98a', 'f3190779-973a-46e9-ac2e-1afd4c4ac640']"
113,"['c4e208fe-60a8-4612-ba2d-6b955a467062', '8bab48e5-fa19-4120-aafa-ae17977201ce', '8ecd7812-68a4-471e-a915-a920aac1ba55']"
114,['e93881a4-62d4-46d3-969f-6ac9fd1a1d16']
115,['0e25524e-be2b-4ca7-ad2f-e81cd8089bc9']
116,"['a72f112a-e24d-4fb7-8f13-a2d4c0b847cd', 'e14194b8-d8ba-4def-b252-2298d5670341', 'be6b84ee-31cb-4292-a231-f1d7a8946724', 'a01295cd-1eb0-473a-8a33-9dbf8919dd60', '3814705f-1999-4c3a-b128-f396187541e8']"
117,['ddff063b-6344-416a-aaef-da9508bfba95']
119,"['d7d9de6f-734a-4bda-afeb-9c1bc6f564b6', 'b33d852f-9a22-437e-8ab0-5986dac4e39e', '4e764b75-2caa-4cdb-a981-850bb73011bb']"
123,['cc26b8b6-77b8-430f-9f1c-9c284677392d']
125,"['91a4d0dd-db98-451b-9a97-f6fe53c58a59', '90941685-585b-48f0-ab25-f412843e271d']"
126,['032c78bd-370a-4338-b046-8b6cea7ccb4d']
127,['7796b1e4-7c2e-4f58-aae1-9d3d5cc3c3e3']
129,"['1ec7ffc0-744c-4f6f-8cac-1f2e294f3cfa', '56c071bc-82d4-4589-a871-59bca9e1a23d', '75640fb2-be01-481b-b6d5-341b4a593e4a', '1ae9d0ab-f94f-4417-ba59-ed63f71a95e4']"
130,"['2c27c833-20eb-4ee7-ae27-2bc59f37d698', '98b83fa0-cdf9-48fb-a270-df1449df8ff0', 'fe15c80c-d912-4b40-8c01-7f11386bee50']"
131,['85abd42f-8915-4f31-91fa-2b499e6e72a8']
136,"['7a1fdff4-1b20-4d96-86d0-f6ff307f85df', '199b25bc-09d4-472b-9802-13da789f0454', '3c1a11b9-92da-4024-a104-d20d672b8fc2']"
140,"['022b6474-25e0-43a0-b4eb-46e7a1f4c555', '06e06338-241d-486c-84cc-a5072a939480']"
142,"['fb2a0e3e-a091-4144-aba7-62f14a6a3ac6', '288f2591-5b58-49d0-8523-e95df33292ee', '63a24d49-49ff-41b0-ac47-e0d51f2fc056']"
146,"['a2a5f1ba-64f0-4669-a466-f83805c85c75', 'abdebb05-52b7-490a-b5ff-905c884ef04c', 'ecd21678-96a3-4fd1-8f39-96bf99c4966c']"
151,"['a8fe63cf-f378-4c0f-a99a-b251a09281f5', 'e4cbb412-5f54-481c-b4db-ef6bf11f6a90', '40b10733-7d0c-4003-994a-e5f9702c5623']"
153,"['8591d5ff-ff4b-4e4a-af95-3a91ec3ce45e', 'd5a872e6-950d-46fc-88d1-4c6ca94febda', 'a2bbbf12-b1e2-43f4-9212-71f0226aaafe', '3054627d-8bc2-4bd4-93a7-3ae7ef69adb0']"
158,"['55924191-a7b8-432c-8cb5-72b0a65c2fe7', 'a4871ba8-c3d1-4de8-98b7-0acfc7030801']"
159,"['1247ec66-caf0-48af-8fc7-b5c0451e70a5', '4ba9c7c3-5744-4cea-bfa1-000bb8fbe981', 'fb836394-d6d8-4fb4-8d58-8f6a913c6053']"
160,"['9e87bf07-d022-4d7f-b6e8-8c531e0fcb77', '762d0ff5-7fef-45b6-8224-25565c1a8452']"
164,"['e0bae129-3207-4b6c-b32c-f58bbb19c0ee', 'cfeec1f8-8d32-4110-bf0f-71222820abfa', '05c51f6f-2f65-4e0b-8daf-b2fc95540c4e', 'a4b4b507-937c-420e-8f46-3b34a40ba8a1']"
165,"['2172afb9-f083-4a37-be98-17ee2395b01e', 'cfe3bb46-6081-4647-a032-aaff2e61e3da']"
166,"['6399591e-5f8e-4470-815d-5786c0a5700f', '9afe4b62-dd7a-48ec-ad9f-43cbac1a484f', '635f772d-c745-4f05-b0c8-3b3bba3f8098', '1911e211-2a45-489d-adda-c38436fed36e']"
169,['21d1e7a7-f020-4443-8522-7fd7b74deef7']
171,"['5fba1385-6835-47a0-ab6a-f57ef9dde065', '7057fa35-600c-4549-b539-e58cd00fc008', '9dc15e01-97c6-4528-8b9b-90da23e0b507', '24396765-169b-45f6-85a5-5e1eb129f931', 'cfc85e52-b914-433e-8e9d-118012419e11']"
176,['71dc450c-3665-49a5-8d6c-73b8b324ca24']
180,"['2f050442-5085-47ed-8c8f-5f2effb2b967', '69a277a3-cf5b-4759-8fc1-3a2161fec43b', '7e9c6b44-f623-4323-9703-4ab2e8ab9db9']"
181,"['5cf44646-6d8e-43d7-867c-5f7ff1e3b8f9', '9d16d908-1441-4dc8-afa7-fa0a5e81443d']"
182,"['57048c04-e66a-4147-9abb-16299b39b40c', 'e3e39c8b-7b7e-40b1-a90c-59ea2bad1ccd', '32169bf6-9cab-4af0-bd16-c6fcf8adef2e', '78b9cbd3-94ed-42fa-bb70-6b5337925559', '448ced76-8da2-4c23-8fc9-5c2b7a7be95b', '61ff07f4-5f46-4ac8-ad17-7ee953e7de05', 'adf2be26-788b-454a-9f02-6a07eb3d8698']"
184,['81b4bd53-b953-4ed3-8453-7ad98ab18e01']
185,"['7332128c-a5cf-4e58-a693-4724f6fe58c0', 'fc73872b-aab0-4181-9472-a9408be7238f']"
186,['65336a08-ea14-40d0-ae31-0fa13dbde821']
188,"['c94d06f3-ef88-4d4b-bbd2-731b1eea1fd8', '26da8ff5-5089-4dc5-aa6c-1fc90dbbb244', '9c289853-b571-4f04-b19a-578ddddb4d49']"
192,['a3b59082-626f-43fb-913b-e24982564cde']
194,['50229d57-661d-4d66-a50c-3f28a6216948']
196,"['ca11484c-b296-4472-946d-f8e5bd98557b', '7ab5b5a2-2e2a-4457-81ef-613625b105cf']"
197,"['e22fc48d-04ff-4087-91da-1b00cae13dfe', '5c7176da-ca80-4ef6-b219-427a9ca0aa77', 'a85428c0-e480-49a3-ac22-a344a5b9c0a0']"
198,"['8780f737-9b79-4f9c-87dd-b3734322f496', '728d1328-4f19-4cb7-a59e-1f383aeab695', 'fa073a51-18ac-4c51-9549-721b42d1452e', 'f66f2d9d-f769-4105-be8c-b406a225b16c']"
199,"['df054e4d-d123-4dd9-998e-94e38a1d88f9', '6156cda2-2fb9-4951-ab34-4bbb36bebe3f', 'dd880a60-8e33-499a-86a2-85aa17dc05a9']"
200,"['a6da4d45-c3ef-41e8-a0aa-30998b25711a', '66c05d55-63c8-40ea-9d19-aa7df62125bc', '3b3bce3f-60f3-4f78-9905-31a3b1df4972', '475a88fb-6015-48ce-a287-de4d3d2f5898']"
202,['be0880e4-85a6-4005-a9ce-f53eef8044d2']
203,"['97205efb-115d-4992-b545-91854016a84e', 'a7dd97b2-9d3f-4e96-bbcb-c083dc5d6a58']"
204,['e8d0b480-3d07-48b4-9988-c12319572441']
206,['806206aa-7992-401c-b0f9-c1897b2f5215']
208,"['d5d45dc5-8ffe-4ef9-8872-d55d6146608a', 'e03568de-162d-4754-8ba4-8bcfd0fe6bfa']"
210,"['a730ad2c-06ac-4ce2-8eb0-4614232791c9', 'a5776421-100a-4507-8f54-451a6230ed1e', '3a8f60fd-3042-4d9e-89fe-00d4c2465130']"
213,"['9d066b7e-ed95-459d-9486-b44b687e0184', 'cbc5cb93-f68f-4b68-8040-1083d01ffaf3', 'eecc169e-fcb9-4b15-ad3c-1d66bfa59f15']"
223,"['b72b88dd-f39a-441c-801e-e4092a2800c3', '3d9ad2e9-f8df-4976-b880-a541a77b48b4', '2bef18d9-1755-4f97-b4b3-9da94ace33e5', '2dce3703-d0a5-4252-8631-2c8f8ce89c9c', 'ed8e4c67-b948-4629-a7cf-c050595bf1ec']"
225,"['faf7a814-5e69-4f4c-a818-f09de932549d', 'd6837d16-6d71-4b2c-9c23-4ba206f69a38', '814a211d-2d9b-461b-b2f8-8f431af6661a', 'de575ca7-d851-4a79-81e5-91e687ef8d5c', 'c12629e3-d210-4d3c-b5b9-93ac6ecee4b9']"
227,"['ef1fddec-9654-4867-8be1-e1265c266b7d', '96fc3fce-c4e6-4a5b-8f5d-2b971629c562', 'cf1ae9be-aed9-4887-8fbf-a50bd3aaeb38', 'a1d57f6e-3afc-43e2-bde8-24f797527d6c']"
229,"['7a17406a-b92b-4c16-9b20-a7e30a535d93', '5382c520-aad1-46b1-a3f5-53e2f42050aa']"
235,"['d0185fc6-6f5e-4420-9452-ab6de391e7a7', '1a083ea5-cced-4476-b09d-539a21fd41c5', 'ba790b8b-13c5-4b55-be03-c3888dbdbe78']"
237,"['544e9285-274d-45a0-aa88-eccd22a5942b', '4b70cc2d-7e5b-490c-82d7-ab9503231e8a', '1182d1b7-7eac-4acc-b000-b328f419b31e']"
239,['de707fe1-0bfe-44dd-938c-d5e14d012c54']
240,"['babb44b0-0f00-41a3-ae46-3a7d9a147cbf', 'bb5e3156-9340-4f13-a12c-58163e74be27', '7789ce08-e1f8-427f-a4dc-21fa51b852f1', 'ee8af476-7a32-42e7-8e59-b291ab47b616']"
243,"['d9320769-f0c4-482e-a171-81bf3991c740', '3e887f2a-8a28-48cb-b00b-06d7acc900de', '65af31f8-e2e7-4fdd-85f6-08e36f2d9b22']"
247,['c5bd0fe9-12ea-4266-be51-95cc781c801b']
248,"['88e6e044-358e-4806-8557-1cb03cd08ecf', 'd4c9adf3-fa13-4e8a-9145-bc39bb168993', 'aaff7bbe-ee67-4350-b93d-7dbbd67e738c', '68080ab3-f96b-44e1-9a82-64994bfe50ae']"
249,['fcab3781-eb80-41b0-bdb3-a18174cd87ca']
251,"['bd8e77da-e2ae-4a9f-99ce-e587ba7fc6b1', '40bd44cd-8704-46bc-887f-a09be66e256d']"
257,['7600631a-7549-4bde-a486-25f164e4c643']
258,"['febecc70-6cec-4c96-a59b-fb8cc797b546', '5f3ffc4c-20c2-4779-87b1-43190a054f00']"
259,"['f0678396-9fcd-4bbc-ba7f-6093a2e892d1', '90e84502-5082-4cde-8c77-a7c3a07b9121', '472f9d1f-dcde-4254-97bd-72e7bbff1a26']"
260,"['ed3580cd-11da-4c1f-a873-4d877340e10f', 'e881c13e-fdc4-4d4f-a666-41f7a467630b']"
266,"['7d059a0b-1234-4f06-90da-8ba99df3848c', 'd6baacde-f4cf-4ad6-994e-6a5e2a9997ae', 'f5a6b0d0-155d-48c9-9d75-2ea281c49d62', '1990385c-2597-48ad-9efd-ca9e56013222']"
268,"['c81771b9-8899-4c60-88ed-45919a2ccfd8', '3f3ea5b5-aebd-4980-9c8d-6e5e97c050ed', '863bb5cb-6e51-46e7-bf49-0fafc0f506a6']"
271,"['46b6a530-1948-4324-99d9-1ebfb02ab587', '9528722f-f84c-461e-961d-833101fab56b', '2e0b7c80-375e-4cf5-a08d-a023de5d930e']"
274,"['a236163c-38b7-4c99-aaf7-36635e8b76b7', '7b7b750d-e56a-40ea-b61f-0fd0b4d0ed95']"
280,"['99f49cbd-24ac-402e-bebb-ac328055446e', 'e20e4ccf-1b74-4758-904d-d9b08ff53bd9', '46ae67e7-2c56-4c34-9ad1-4c471366530f', 'bb92d0a9-aac9-4a48-8c8f-d4cf436228c9', 'd4583495-ff0a-4ab2-a632-17cc4e602836', '5c17f59b-af17-4fbc-9910-d76a84204926', 'bca6b34a-bfc5-4723-bc11-a7713a6d286b', 'a645873b-b2de-40e9-9458-76d2c855dbc2', 'b893eb29-576f-4a66-ad98-55b948cf7835', 'dcaf296d-287e-41aa-81a2-b60c7df3c6e2', 'b941fd54-fee6-49e3-9b48-1568f6ffb057', '7e2d1f71-2189-4155-9e6c-6544dad4364f', '501a2232-01bb-4211-93ca-4549f8f38732', '053085a7-929c-4471-bcb9-7a667d95023e', 'a987d5fb-41a3-4026-a11f-a9f3b11612c7', '4a809822-851c-440b-801d-95306bccc5d1']"
282,"['f3dfd26c-34f4-492b-bfa9-fa8104d93cfa', 'aa75bbce-5bc5-4509-9a02-ca6f64b99bad']"
283,"['50ad9c18-3c68-4f42-88ac-9d6a3202c0d0', '43e7ba9b-fe16-4672-b1b2-f257a7365a9c']"
287,"['492239a3-c2e3-491e-84f8-edaba1eaee1c', '5458a401-e8af-4ec7-8617-8215f1f16def']"
290,"['f719dfcc-48ab-4aa7-ad0d-6ac9cf04d0dd', '33a3aa65-59ba-4840-a7e9-4a3047d1ca42', 'f1ebc9da-66ee-4443-85cd-575ab48230b0', '0d179285-8099-4d11-b800-250714d73453', 'cd000e9d-c514-4e31-8752-eb1bc160b7a8', '8f5d992d-0aa9-45b5-acfa-c2b6adfe7026', '7811e434-b5c2-4091-b368-57f8fc4dcb5b', '6b7bc8d8-6bef-401d-ae88-11e702af2a83', '96072d7b-8776-41df-b420-f759df97a560', '302b3ad8-1c9e-48b5-a095-91654a5f5f7d', 'dcf7dbbd-20c2-4aa7-b2cc-22d4a600c966', '4d17509c-3874-4c6f-8995-ead6e49f7cbc']"
292,"['3676c4e7-4d7a-4daf-8ca3-25fc9c150397', '5bf1560f-ccfd-4f9e-b224-c4fae0f3af02']"
293,['f75af991-d1e2-4ae8-93ac-9cd93390ed96']
298,"['28293dda-3efc-4b78-a2bd-18cc1bd97873', '8fc094ce-068c-4606-b14a-e0011202536c', 'fb3c8ef7-315d-49b0-acec-44d6cdb7df83', 'e8c32994-c83a-44fe-af1d-4e556849a87b']"
304,"['b066ff31-fd3d-4de9-9e5d-b9cf1e607f4f', 'ad6c4b6b-4a1f-4723-b423-4a026ebfb09a', 'b61264c0-7439-4247-b134-2a5f8ac51000', 'c3ec4afc-3f8b-4318-91f6-5f1cea0ddf77']"
305,['1756498e-e0c8-4d44-800b-a9a7415725c2']
315,"['47d21087-312e-4289-b034-bdb3deae520b', '826dacbb-e18f-46f4-8a5a-35a50c2e6447', 'd062994a-e9e9-4074-b4f4-09c8a64329c7', '17337f29-3153-4703-89bd-07b2bc8b4c87']"
317,"['9eeb20a4-58ce-480b-8201-4ca1ae67b458', 'ddc62b52-6583-49b1-9308-abe9a2fe6b25', 'a5e5408a-97d0-4462-b812-3bf38f910eb1', '914e8dac-dd21-46d9-898e-fa3a611a1280']"
322,['3dc77104-f86c-4dda-9cc7-a006253a9fb7']
325,['4ebb2a40-c6b6-445a-a2ae-45ff5d8006c1']
327,['14129b31-6ffe-4375-b5c3-99b04eb39342']
328,['b1ffe447-3e79-466d-8d7c-f692ba26656b']
329,['e49ae7e4-d3b6-4c38-867c-c768d65d8dc1']
330,['4f4f6b47-88d3-48e4-aa95-4f5a3ca73d6c']
331,"['26cf0182-fa4d-4ae4-b34b-e6392825d398', '5819a341-73a9-4ed7-bffb-ccdce9541e05']"
333,['0ee13fed-fd3a-43df-aa8b-4fccedb6ae83']
339,['544badff-ecc2-4f34-9b4b-5ee60bc249bf']
340,"['9b439dbd-8a43-4fb4-b4ce-e844adece844', 'd6cc6dcc-3f01-4f35-a95a-ef108e3c5186', '9ab0f80f-bb9f-4370-a289-cdebd7f9cb83']"
341,['9b9affa9-5f3e-41a8-af24-22a81188522b']
344,['1717e248-0f83-4a62-82ee-4e61de196d93']
347,['e037ba21-97d9-4269-a172-6c404e3963e3']
353,['97c63973-e3ff-40fa-adef-658119d555f4']
356,"['7ebe891c-d16e-4082-af2b-36838dd14f2e', '1348c570-29d0-4941-94ee-a28409757ba1', '5ff9843d-78b6-4d33-b5af-ea677ce9dab5']"
358,"['9377e6ce-bd17-40be-9c5a-bf7c1a21521a', '2ecd12d4-bac7-4874-b15c-d5ae07fcbe86', '09d7118d-bee6-4180-ac24-75e162acd493', '2c46317f-4e8a-4770-8bfb-780317438e2a']"
363,"['1f0fd51c-5013-4a13-8dce-046e45be43a9', '4c33b28e-ea62-46fe-9e2b-c5bdd40596e8']"
364,"['fb2e252b-d19d-43a8-808b-4ea04870afb3', 'adb37726-7803-4ec1-a656-1ed9c130d87c', '3e42e10b-3768-42d1-a535-7645c907180e', 'a14723d8-353c-4f39-8b28-bdc16f360974', 'd2d3adc8-c5d7-41cb-913b-ebc82a46e52f']"
366,"['c94b34d2-394b-4c2e-8f06-6134a3187acf', '41539915-e310-422f-8e6e-6c6c4cd770d0', '2c6d282f-40a9-44ff-807a-4209110f6dc6', '2bd5461e-abbe-4a82-9825-b3b20c813141', '40c203a7-cbd3-4818-89b0-41ecc9b40d79', '574cf84c-14c7-4f41-8e08-7c383edba4ce', '190948a7-f168-4eca-b727-178de840d6fc']"
367,"['8eccd544-bed6-485e-be71-42ef08eb582c', 'c0bf8bd0-a7e0-4364-896f-5d603fa60686', '081a11f4-d06d-4787-9bae-18f43b87e989', '0041677c-0d73-4e6b-b805-1b0e567edddc']"
368,"['d8f63ea9-04a0-4750-8a47-b9f892d61b8c', '6526bc8b-dfb2-4894-b7c7-9bbfb61586a0', 'ce2305e8-3326-4cfe-9024-b0fdffea68b6']"
370,"['b9ffc01c-1f79-4490-9318-f22c556978c2', 'a9ca497d-349e-4311-a255-bb93951fba93', '607f547b-2499-4aa4-89b6-de665b87a124']"
379,['be3e8661-14a4-488f-9291-249c607f48cb']
380,"['4a6444c4-89ab-4ef9-90fc-bbc299856f68', '736cb5c2-19eb-4f56-90b7-099c369892c5']"
384,"['ea13ce28-7ccd-4410-b2fe-a252d8c80dce', '735088f1-132a-42ed-bc5b-61b2a6e079e2', '655cad79-19ac-4dda-bd1f-fc3d35131642', '72498800-4a10-41a3-bfa0-f9861a374ed9', 'd03d8181-a228-40b1-9405-a8e44334e44f', '6d2452c8-4696-4d24-ae24-3f21777547c3', '7e48398d-2f79-4eae-b57f-d5f65157290b', '7b72c4aa-f0dd-4599-abe6-a6d347acc3a4', 'd33fcc1e-2edc-4b2a-a9d8-4b68271198d2', '16ef1eeb-c957-403c-97d2-8c3439497915', 'd589893d-9829-44a5-ae94-d9385874eead', '34b33547-863b-44d4-8356-3b65fe0fd024', '65f3bdda-ca3a-49ff-9801-044fde3b6847', '53e685d0-a80c-4dee-8426-107e649947e3', '27266cae-62e2-45b1-a7ce-61235cc423d1', 'db35592e-ddd7-44c8-9cd5-1daa8bdf90b8']"
389,"['ba8f5e6f-5306-42a4-85e6-5730c58409d5', 'e566b663-a170-4616-94fa-b3293a596420']"
390,"['c3085d69-d16f-48f3-936c-e7f38dc56483', '6ef112ee-5846-4e1e-81ee-1fa1eb00c79d', '5fd79a72-fb17-44cc-91d7-903e0a2d94cc']"
391,"['28e30e3f-274f-4929-9970-733e71f3fbcd', '026d7cca-f70f-424f-afc0-00b72b9fab83', 'bdf5bec5-ce1f-4371-9298-f84a8448f183']"
393,['c8b3a13e-9cd2-4da9-b07b-c5b5735f4a6c']
405,"['ebb3ff94-8b66-4a94-beb9-046b6782eb87', '9fd7ecab-aad7-45a7-9c66-07ba7beced7c', 'c70c65b7-8d15-481b-826f-e1116a033f94']"
407,"['656a8b96-5916-4e63-83ac-b195e605d3ce', 'df3d2b96-0623-4e17-a608-d4c6f372146c', '226cc23e-535e-4894-b6f1-a63d8ff0ea02', '8e90bb8e-ea83-4b8a-b1c8-e83a6fd0c61c', '4d7f8381-85ff-4aaa-96d1-e39eae014689', '148c4132-d3be-43eb-8610-db96458371cd', '9c23cd8b-1111-49f3-b060-bb26c47cda44']"
413,"['f2509342-db4d-4640-9494-6a72f4f0ac2d', '4969a0d7-cdd0-44ab-a7a7-b76898609171']"
415,"['1157cf95-f0be-489e-a9ed-52d21d09691a', '6f6ee263-ac08-4a27-8f9c-77452d9f65a3']"
417,"['a44d3976-9801-4b4e-b67b-11dcbdeae69b', '36cc0a06-103c-4d5e-97a6-9780c6ba1422', 'a8e75bf1-cbc4-494c-95a7-4cd5778327b5']"
420,"['053bc69a-14b7-40e2-96af-437db185510a', 'ca7fc803-2f3e-4433-9d96-c6997da14c95', 'ceea6d30-046c-4edc-8248-0815f0d4430e', '62bb5d58-88ca-48d9-964d-e876089a710c', 'd00c9984-678e-4137-8287-b20d4acdb466', '1cf3156a-cac7-4034-ba41-4daca3021112', '5d815e42-c7bb-44c0-8193-c8ec8a5c6251', '88fedf6f-4dfd-476c-8a09-dc8490ca0c9c', 'f6a1be56-6932-4713-beae-18f71bf99e09']"
