COL primaryName VAL Tina Bates COL primaryProfession VAL wri COL id VAL nm21966749	COL primaryName VAL Tnia Bates COL primaryProfession VAL  COL id VAL nm8311413	1
COL primaryName VAL Harry Baker COL primaryProfession VAL editor-director-writer COL id VAL nm6936379	COL primaryName VAL Harry H Corbett COL primaryProfession VAL actor-writer-soundtrack COL id VAL nm21959683	0
COL primaryName VAL Tamás Dobosk COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm21963859	COL primaryName VAL Tamás Dobos COL primaryProfession VAL cinematographer-camera_department-writer COL id VAL nm2732854	1
COL primaryName VAL Carol Castro COL primaryProfession VAL aess COL id VAL nm1365217	COL primaryName VAL Pelle Falk Krusbæk COL primaryProfession VAL actor COL id VAL nm21966354	0
COL primaryName VAL Helena TrestíkováN COL primaryProfession VAL director-writer-actress COL id VAL nm21959006	COL primaryName VAL Helena TrestÃ­kovÃ¡ COL primaryProfession VAL director-writer-actress COL id VAL nm0872281	1
COL primaryName VAL Bill McLaughlin COL primaryProfession VAL  COL id VAL nm21968321	COL primaryName VAL Bill McLaughlin COL primaryProfession VAL actor COL id VAL nm0572279	1
COL primaryName VAL Emmanuèle Bernheimk COL primaryProfession VAL animation_department-actress COL id VAL nm21955228	COL primaryName VAL Jen Brown COL primaryProfession VAL producer-production_manager-director COL id VAL nm3295338	0
COL primaryName VAL Marsha May COL primaryProfession VAL actress COL id VAL nm7267076	COL primaryName VAL Donald Novis COL primaryProfession VAL actor-soundtrack-music_department COL id VAL nm0637161	0
COL primaryName VAL Tamara BrukettaX COL primaryProfession VAL actress-writer-producer COL id VAL nm21955651	COL primaryName VAL Tamara Bruketta COL primaryProfession VAL actress-writer-producer COL id VAL nm4705487	1
COL primaryName VAL Guy Maddink COL primaryProfession VAL actress-writer-cinematographer COL id VAL nm21955270	COL primaryName VAL Guy Maddin COL primaryProfession VAL director-writer-cinematographer COL id VAL nm0534665	1
COL primaryName VAL  COL primaryProfession VAL writer-director-editor COL id VAL nm0187256	COL primaryName VAL Martin Cosgro COL id VAL nm4851741	0
COL primaryName VAL Mat Powell COL primaryProfession VAL producer-actor COL id VAL nm6449795	COL primaryName VAL Mat Powell COL primaryProfession VAL producer-actor COL id VAL nm21964947	1
COL primaryName VAL Stuart Anthony COL primaryProfession VAL  COL id VAL nm21958303	COL primaryName VAL Lucia Pecrul COL primaryProfession VAL acss COL id VAL nm2707874	0
COL primaryName VAL  COL primaryProfession VAL actress COL id VAL nm0590210	COL primaryName VAL Igor Kosmachyov COL primaryProfession VAL composer COL id VAL nm0467206	0
COL primaryName VAL Aleko Begalishvili COL primaryProfession VAL ar COL id VAL nm21960855	COL primaryName VAL Klara Rumyanova COL primaryProfession VAL actress-music_department COL id VAL nm21964911	0
COL primaryName VAL Chuck Dukowski COL primaryProfession VAL soundtrack-actor-producer COL id VAL nm21965851	COL primaryName VAL  COL primaryProfession VAL soundck-actor-producer COL id VAL nm1584863	1
COL primaryName VAL John P Wheatley COL primaryProfession VAL camera_department-cinematographer-director COL id VAL nm21960783	COL primaryName VAL  COL primaryProfession VAL actor-soundtrack-writer COL id VAL nm21965632	0
COL primaryName VAL Kareena Kapoor COL primaryProfession VAL actress-soundtrack-music_department COL id VAL nm0004626	COL primaryName VAL Simon Beaufils COL primaryProfession VAL cinematographer-camera_department COL id VAL nm21963983	0
COL primaryName VAL Davi dSmart COL primaryProfession VAL producer-writer-director COL id VAL nm0806656	COL primaryName VAL Camille ParentG COL primaryProfession VAL  COL id VAL nm21967423	0
COL primaryName VAL Howard Rosenman COL primaryProfession VAL producer-actor-writer COL id VAL nm0742651	COL primaryName VAL Danielle Damásio COL id VAL nm21966524	0
COL primaryName VAL Sishwa COL primaryProfession VAL  COL id VAL nm21968754	COL primaryName VAL Valentina Corti COL primaryProfession VAL actress COL id VAL nm4563744	0
COL primaryName VAL Ada Solomon COL primaryProfession VAL producer-production_manager-actress COL id VAL nm1127536	COL primaryName VAL James Luisi COL primaryProfession VAL actor COL id VAL nm21969504	0
COL primaryName VAL Simon BeaufilsS COL primaryProfession VAL editorial_department-camera_department COL id VAL nm21963981	COL primaryName VAL Simon Beaufils COL primaryProfession VAL cinematographer-camera_department COL id VAL nm21963983	1
COL primaryName VAL Paul Sloane COL primaryProfession VAL writer-director-producer COL id VAL nm0806061	COL primaryName VAL Paul Sloane_ COL primaryProfession VAL writer-director-producer COL id VAL nm21969490	1
COL primaryName VAL  COL primaryProfession VAL cinematographer-camera_department-actor COL id VAL nm4052377	COL primaryName VAL Joseph Brutsmane COL primaryProfession VAL art_department-actor-writer COL id VAL nm21964940	0
COL primaryName VAL Renato BaldiniM COL primaryProfession VAL script_department COL id VAL nm21961523	COL primaryName VAL Ackerb Amy COL primaryProfession VAL actress COL id VAL nm21969623	0
COL primaryName VAL Dhumal COL primaryProfession VAL  COL id VAL nm0223607	COL primaryName VAL Melissa Molinaro COL primaryProfession VAL actress-soundtrack-miscellaneous COL id VAL nm21964329	0
COL primaryName VAL Stern Bigot COL primaryProfession VAL editor-camera_department-director COL id VAL nm1879199	COL primaryName VAL Sam Eidson COL primaryProfession VAL actor-producer-writer COL id VAL nm3246363	0
COL primaryName VAL  COL primaryProfession VAL deitor-editorial_department COL id VAL nm21966920	COL primaryName VAL Jaromir Kacer COL primaryProfession VAL cinematographer-writer COL id VAL nm0434141	0
COL primaryName VAL Terry Jernigan COL primaryProfession VAL  COL id VAL nm21964357	COL primaryName VAL Devin Daleys COL primaryProfession VAL producer-casting_department-editor COL id VAL nm21958575	0
COL primaryName VAL Christopher Bevins COL primaryProfession VAL actor-sound_department-miscellaneous COL id VAL nm1215197	COL primaryName VAL Christopher Bevins COL primaryProfession VAL actor-sound_department-miscellaneous COL id VAL nm21967535	1
COL primaryName VAL Al Morrow COL primaryProfession VAL producer COL id VAL nm4006340	COL primaryName VAL Sára Lázsló COL primaryProfession VAL producer-actress-writer COL id VAL nm1300771	0
COL primaryName VAL Michael Ansara COL primaryProfession VAL actor-director-producer COL id VAL nm21965306	COL primaryName VAL Michael Ansara COL primaryProfession VAL actor-director-producer COL id VAL nm0030516	1
COL primaryName VAL Cecilia Madorno COL primaryProfession VAL cinematographer-camera_department-producer COL id VAL nm2159607	COL primaryName VAL rDagana Micalovic COL primaryProfession VAL  COL id VAL nm21956109	0
COL primaryName VAL Don Stroud COL primaryProfession VAL actor-producer COL id VAL nm21957179	COL primaryName VAL Ellie Haddington COL primaryProfession VAL actress-soundtrack COL id VAL nm21958160	0
COL primaryName VAL Guy Dufaux COL primaryProfession VAL cinematographer-camera_department-director COL id VAL nm21967425	COL primaryName VAL Guy Dufaux COL primaryProfession VAL cinematographer-camera_department-director COL id VAL nm0240338	1
COL primaryName VAL Scott Masters COL primaryProfession VAL producer-director-writer COL id VAL nm21963004	COL primaryName VAL Scott Masters COL primaryProfession VAL producer-director-writer COL id VAL nm0557712	1
COL primaryName VAL David Rimawi COL primaryProfession VAL producer-actor-writer COL id VAL nm21962188	COL primaryName VAL David Rimawi COL primaryProfession VAL producer-actor-writer COL id VAL nm0727235	1
COL primaryName VAL Axel Milberg COL primaryProfession VAL actor COL id VAL nm21963306	COL primaryName VAL Axel Milberg COL primaryProfession VAL actor COL id VAL nm21963301	1
COL primaryName VAL Philip Palmer COL primaryProfession VAL writer-script_department-producer COL id VAL nm21958028	COL primaryName VAL Roveran Maria COL primaryProfession VAL actress-composer-musicpartment COL id VAL nm21964948	0
COL primaryName VAL Jacques Tourneur COL primaryProfession VAL director-assistant_director-editor COL id VAL nm21969126	COL primaryName VAL Jacques Tourneur COL primaryProfession VAL director-assistant_director-editor COL id VAL nm0869664	1
COL primaryName VAL Mark Sears COL primaryProfession VAL actor-stunts-writer COL id VAL nm6458405	COL primaryName VAL Rahel Grunder COL primaryProfession VAL writer-director-script_department COL id VAL nm2685177	0
COL primaryName VAL Valley KeeneR COL primaryProfession VAL animation_department COL id VAL nm21960201	COL primaryName VAL Davenport Nigel COL primaryProfession VAL actor-assistant_director-soundtrack COL id VAL nm0202638	0
COL primaryName VAL Terence Dunn COL primaryProfession VAL composer-music_department COL id VAL nm21966153	COL primaryName VAL Alan Tang COL primaryProfession VAL actor-producer-miscellaneous COL id VAL nm21965656	0
COL primaryName VAL Camila Toker COL primaryProfession VAL actress-director-writer COL id VAL nm0865740	COL primaryName VAL Albin Pettersson COL primaryProfession VAL producer-writer-casting_department COL id VAL nm3147440	0
COL primaryName VAL JB Moore COL primaryProfession VAL soundtrack-composer-music_department COL id VAL nm2267629	COL primaryName VAL Karin Cvaalli COL id VAL nm21966528	0
COL primaryName VAL Candi Milo COL primaryProfession VAL actress-music_department-producer COL id VAL nm0590430	COL primaryName VAL Gene Beley COL id VAL nm3242949	0
COL primaryName VAL Giulia Gualano_ COL primaryProfession VAL stunts COL id VAL nm21964084	COL primaryName VAL Giulia Gualano COL primaryProfession VAL actress COL id VAL nm5816469	1
COL primaryName VAL Jacques Penot COL primaryProfession VAL actor-writer COL id VAL nm21960768	COL primaryName VAL Betelihem Zelealeme COL primaryProfession VAL editor-camera_department-production_manager COL id VAL nm21959549	0
COL primaryName VAL Rico Strong COL primaryProfession VAL actor-director COL id VAL nm2273064	COL primaryName VAL Nick Adams COL primaryProfession VAL actor-writer-soundtrack COL id VAL nm21962419	0
COL primaryName VAL Jerry Watson COL primaryProfession VAL camera_department-cinematographer-miscellaneous COL id VAL nm21961191	COL primaryName VAL Jerry Watson COL primaryProfession VAL camera_department-cinematographer-miscellaneous COL id VAL nm0914697	1
COL primaryName VAL Camila TokerO COL primaryProfession VAL actress-director-writer COL id VAL nm21963367	COL primaryName VAL Melanie Lee COL primaryProfession VAL producer-assistant_director-editor COL id VAL nm3815171	0
COL primaryName VAL Max Klevent COL primaryProfession VAL stunts-actor-assistant_director COL id VAL nm21957751	COL primaryName VAL aMx Kleven COL primaryProfession VAL stunts-actor-assistant_director COL id VAL nm0459369	1
COL primaryName VAL Ashraf Kashani COL primaryProfession VAL actress COL id VAL nm1165523	COL primaryName VAL Sanjeev COL primaryProfession VAL actor-publicist COL id VAL nm21956001	0
COL primaryName VAL Giulia Boverio COL primaryProfession VAL actress COL id VAL nm2686873	COL primaryName VAL Giulia Boverioq COL primaryProfession VAL make_up_department COL id VAL nm21964850	1
COL primaryName VAL Angela Bov COL primaryProfession VAL miscellaneous COL id VAL nm21964011	COL primaryName VAL  COL primaryProfession VAL actor-assistant_director-director COL id VAL nm0006618	0
COL primaryName VAL Larry Gaudettei COL primaryProfession VAL talent_agent-cinematographer-miscellaneous COL id VAL nm21967784	COL primaryName VAL Gerald Fried COL primaryProfession VAL composer-music_department-soundtrack COL id VAL nm0006086	0
COL primaryName VAL James Batley COL primaryProfession VAL producer-director-editor COL id VAL nm4191435	COL primaryName VAL Rboert Cairns COL primaryProfession VAL camera_department-cinematographer-director COL id VAL nm5178362	0
COL primaryName VAL Peskok COL primaryProfession VAL assistant-editor-camera_department COL id VAL nm21969641	COL primaryName VAL Cheyenne Pesko COL primaryProfession VAL miscellaneous-editor-camera_department COL id VAL nm1743585	1
COL primaryName VAL Miodrag Andric COL primaryProfession VAL actor-writer COL id VAL nm0028965	COL primaryName VAL  COL primaryProfession VAL prodion_designer-art_director-writer COL id VAL nm21968500	0
COL primaryName VAL Jutte COL primaryProfession VAL actress COL id VAL nm0206459	COL primaryName VAL Chris Walden COL primaryProfession VAL music_department-composer-soundtrack COL id VAL nm0907065	0
COL primaryName VAL Paul Centopani COL primaryProfession VAL actor COL id VAL nm0148355	COL primaryName VAL Soizic Bourvil COL primaryProfession VAL actress COL id VAL nm2581303	0
COL primaryName VAL Giorgi Abashidzeh COL primaryProfession VAL actor COL id VAL nm21960854	COL primaryName VAL Paige Howard COL primaryProfession VAL actress-writer COL id VAL nm2796645	0
COL primaryName VAL Andreas Zisimatosf COL primaryProfession VAL actor COL id VAL nm21961811	COL primaryName VAL Edouard Logereau COL primaryProfession VAL director-writer COL id VAL nm0517705	0
COL primaryName VAL Terry Prewitt_ COL primaryProfession VAL sound_department COL id VAL nm21959111	COL primaryName VAL Terry Prewitt COL id VAL nm6577319	1
COL primaryName VAL Indira Bansal COL primaryProfession VAL actress COL id VAL nm0052492	COL primaryName VAL Rico Strong COL primaryProfession VAL  COL id VAL nm21967844	0
COL primaryName VAL Jirásek Samuel COL id VAL nm21959007	COL primaryName VAL Brian Murphyz COL primaryProfession VAL make_up_department-soundtrack-writer COL id VAL nm21958162	0
COL primaryName VAL Richardson Ralph COL primaryProfession VAL actor-director-producer COL id VAL nm0724732	COL primaryName VAL Alex Pop COL primaryProfession VAL producer-sound_department-writer COL id VAL nm4193003	0
COL primaryName VAL Per Schwenzen COL primaryProfession VAL writer COL id VAL nm0777886	COL primaryName VAL Michel Martensz COL primaryProfession VAL writer COL id VAL nm21959384	0
COL primaryName VAL Kitarô Muro COL primaryProfession VAL producer-writer-director COL id VAL nm3496977	COL primaryName VAL Igor KosmachyovC COL primaryProfession VAL composer COL id VAL nm21964913	0
COL primaryName VAL James Bushe COL primaryProfession VAL director-producer-writer COL id VAL nm21966386	COL primaryName VAL Robby D COL primaryProfession VAL director-camera_department-cinematographer COL id VAL nm0195996	0
COL primaryName VAL Erik J Cornelius COL primaryProfession VAL actor-camera_department-producer COL id VAL nm8307808	COL primaryName VAL Devin Daley COL primaryProfession VAL producer-casting_department-editor COL id VAL nm2191135	0
COL primaryName VAL Paul Weitzm COL primaryProfession VAL producer-writer-director COL id VAL nm21960665	COL primaryName VAL Sean Cruser COL primaryProfession VAL cinematographer-editor-producer COL id VAL nm3680655	0
COL primaryName VAL Bernard Hill COL primaryProfession VAL actor-miscellaneous-soundtrack COL id VAL nm21968497	COL primaryName VAL Kent Hovind COL primaryProfession VAL writer-producer-camera_department COL id VAL nm2379457	0
COL primaryName VAL Garnet Campbello COL primaryProfession VAL composer-director-writer COL id VAL nm21961208	COL primaryName VAL JB Rogers COL primaryProfession VAL  COL id VAL nm21968544	0
COL primaryName VAL Bhoomika Chawla COL primaryProfession VAL actress-miscellaneous COL id VAL nm21957288	COL primaryName VAL Tnia Bates COL primaryProfession VAL  COL id VAL nm8311413	0
COL primaryName VAL Antonio Burke Jry COL primaryProfession VAL writer-director COL id VAL nm21965243	COL primaryName VAL mDitriy OrlovB COL primaryProfession VAL editorial_department COL id VAL nm21960611	0
COL primaryName VAL Towers Leith COL primaryProfession VAL actor-mislaneous COL id VAL nm6522631	COL primaryName VAL Alexia Bell COL primaryProfession VAL actress COL id VAL nm3349504	0
COL primaryName VAL Doobs Nick COL primaryProfession VAL cinematographer-director-camera_department COL id VAL nm21963345	COL primaryName VAL Melissa Molinaro COL primaryProfession VAL actress-soundtrack-miscellaneous COL id VAL nm21964327	0
COL primaryName VAL Michae lBrosnanx COL primaryProfession VAL producer-director-writer COL id VAL nm21961868	COL primaryName VAL Mcihael Brosnanp COL primaryProfession VAL editorial_department-director-writer COL id VAL nm21961866	1
COL primaryName VAL José Luis ColinaI COL primaryProfession VAL writer-director-soundtrack COL id VAL nm21962887	COL primaryName VAL José Luis Colina COL primaryProfession VAL writer-director-soundtrack COL id VAL nm0171534	1
COL primaryName VAL Patrick Le Bon COL primaryProfession VAL manager-writer-actor COL id VAL nm21964246	COL primaryName VAL Joseph COL primaryProfession VAL actor-writer-director COL id VAL nm21960875	0
COL primaryName VAL Duhmal COL primaryProfession VAL actor COL id VAL nm21956814	COL primaryName VAL Dhumal COL primaryProfession VAL actor COL id VAL nm21956818	1
COL primaryName VAL  COL primaryProfession VAL acts COL id VAL nm21960610	COL primaryName VAL Nadezhda Kamenkovich COL primaryProfession VAL actress COL id VAL nm2778763	1
COL primaryName VAL  COL primaryProfession VAL actor-stunts COL id VAL nm1844999	COL primaryName VAL Alexandra Burke COL primaryProfession VAL soundtrack-actress COL id VAL nm21966638	0
COL primaryName VAL Thomas MichaelB COL primaryProfession VAL special_effects-writer-producer COL id VAL nm21955628	COL primaryName VAL Håkan von Eichwald COL primaryProfession VAL composer-music_department-actor COL id VAL nm0902220	0
COL primaryName VAL Paige Howard COL primaryProfession VAL actress-writer COL id VAL nm2796645	COL primaryName VAL Banzar Damchaa COL primaryProfession VAL actor COL id VAL nm0198688	0
COL primaryName VAL Marija Karan COL primaryProfession VAL actress COL id VAL nm21956111	COL primaryName VAL Edwina Northcott COL id VAL nm2930526	0
COL primaryName VAL Rakuto Tochihara COL primaryProfession VAL actor COL id VAL nm21956912	COL primaryName VAL  COL primaryProfession VAL composer-soundtrack-sound_department COL id VAL nm1213110	0
COL primaryName VAL Ralf Moeller COL primaryProfession VAL actor-producer COL id VAL nm0005241	COL primaryName VAL  COL primaryProfession VAL actress COL id VAL nm0802997	0
COL primaryName VAL Paulo Branco COL primaryProfession VAL producer-actor-miscellaneous COL id VAL nm0104418	COL primaryName VAL Diane Martel COL primaryProfession VAL director-miscellaneous-soundtrack COL id VAL nm0551477	0
COL primaryName VAL Mick Blue COL primaryProfession VAL actor-director-camera_department COL id VAL nm1120190	COL primaryName VAL Joseph ODonnell COL primaryProfession VAL writer-miscellaneous-script_department COL id VAL nm0640784	0
COL primaryName VAL Eduardo Flores Torres COL primaryProfession VAL cinematographer-camera_department-director COL id VAL nm0282802	COL primaryName VAL Gerard Damiano COL primaryProfession VAL director-writer-producer COL id VAL nm0198790	0
COL primaryName VAL Kazimierz Opalinski COL primaryProfession VAL or COL id VAL nm21961321	COL primaryName VAL Dan Robinson COL primaryProfession VAL editor-producer COL id VAL nm1925640	0
COL primaryName VAL Samantha StephensV COL primaryProfession VAL actress COL id VAL nm21963697	COL primaryName VAL Mat Lucas COL primaryProfession VAL actor-editorial_department-editor COL id VAL nm1103468	0
COL primaryName VAL Stefano Fregni COL primaryProfession VAL actor-producer-writer COL id VAL nm2308815	COL primaryName VAL Stefano Fregnih COL primaryProfession VAL actor-producer-writre COL id VAL nm21964083	1
COL primaryName VAL Mark Brescianoq COL primaryProfession VAL cinematographer COL id VAL nm21959192	COL primaryName VAL Ralph Sanford COL primaryProfession VAL actor-soundtrack COL id VAL nm21956209	0
COL primaryName VAL Eric Belgau COL primaryProfession VAL writer-actor COL id VAL nm21962781	COL primaryName VAL Philip Careyf COL primaryProfession VAL assistant-soundtrack COL id VAL nm21956702	0
COL primaryName VAL Virginia Bowen COL primaryProfession VAL production_designer COL id VAL nm1602276	COL primaryName VAL Harry Keller COL primaryProfession VAL director-editor-producer COL id VAL nm0445650	0
COL primaryName VAL Al Martin COL primaryProfession VAL writer-director-soundtrack COL id VAL nm0551869	COL primaryName VAL Sishwa COL primaryProfession VAL  COL id VAL nm21968754	0
COL primaryName VAL Simon BeaufilsS COL primaryProfession VAL editorial_department-camera_department COL id VAL nm21963981	COL primaryName VAL Antonio Urdapilleta COL primaryProfession VAL producer-production_manager-assistant_director COL id VAL nm1692647	0
COL primaryName VAL Thompson COL id VAL nm21960591	COL primaryName VAL Charles Thompson COL primaryProfession VAL  COL id VAL nm21960592	1
COL primaryName VAL Joan Valerie COL primaryProfession VAL actress-soundtrack-miscellaneous COL id VAL nm0884542	COL primaryName VAL Joseph ODonnell COL primaryProfession VAL writer-miscellaneous-script_department COL id VAL nm0640784	0
COL primaryName VAL Hanneke Schutte COL primaryProfession VAL writer-director-producer COL id VAL nm3491007	COL primaryName VAL Thompsonz Linda COL primaryProfession VAL animation_department COL id VAL nm21959083	0
COL primaryName VAL Ugo LiberatoreL COL primaryProfession VAL cinematographer-director-actor COL id VAL nm21958402	COL primaryName VAL Bob Mosher COL primaryProfession VAL writer-producer-soundtrack COL id VAL nm0608658	0
COL primaryName VAL Ann Mary Jackson COL primaryProfession VAL actress-stunts-soundtrack COL id VAL nm0413843	COL primaryName VAL Eric Gurney COL primaryProfession VAL writer-animation_department COL id VAL nm0348687	0
COL primaryName VAL Wladyslaw Terlecki COL primaryProfession VAL  COL id VAL nm0855612	COL primaryName VAL Christine Kaufmann COL primaryProfession VAL actress-soundtrcak COL id VAL nm0442304	0
COL primaryName VAL Ricardo Mosquera COL primaryProfession VAL miscellaneous-actor-producer COL id VAL nm1468359	COL primaryName VAL Ricardo Mosquerai COL primaryProfession VAL special_effects-actor-producer COL id VAL nm21965823	1
COL primaryName VAL Matthew Gray Gubler COL primaryProfession VAL actor-director-producer COL id VAL nm1131557	COL primaryName VAL  COL primaryProfession VAL actress COL id VAL nm9311956	0
COL primaryName VAL Rudolf Eger COL primaryProfession VAL writer-producer-production_manager COL id VAL nm0250832	COL primaryName VAL Juan Peláez COL primaryProfession VAL actor COL id VAL nm0671436	0
COL primaryName VAL Leon Bourikos COL primaryProfession VAL actor COL id VAL nm3511555	COL primaryName VAL Ali B COL primaryProfession VAL actor-writer-soundtrack COL id VAL nm1716507	0
COL primaryName VAL Jaysen Lewis COL primaryProfession VAL casting_department-actor-music_department COL id VAL nm21959607	COL primaryName VAL Kayla Lauzier COL primaryProfession VAL actor COL id VAL nm21965209	0
COL primaryName VAL Robert Malcolm COL primaryProfession VAL actor COL id VAL nm0539136	COL primaryName VAL Drew VaupenQ COL primaryProfession VAL art_department-writer-miscellaneous COL id VAL nm21965161	0
COL primaryName VAL Patrick Collins COL primaryProfession VAL producer-director-actor COL id VAL nm0101288	COL primaryName VAL Ave Ninchi COL primaryProfession VAL actress-miscellaneous COL id VAL nm21960189	0
COL primaryName VAL Molly Rome COL primaryProfession VAL actress COL id VAL nm1007991	COL primaryName VAL Justin Strydom COL primaryProfession VAL actor-producer-writer COL id VAL nm1340051	0
COL primaryName VAL Al Morrow COL primaryProfession VAL producer COL id VAL nm4006340	COL primaryName VAL Paola Pascolini COL primaryProfession VAL writer COL id VAL nm0664416	0
