item,category,cost,fling_power,fling_effect
i148,26,10000,30,
i149,26,10000,30,
i150,12,4000,80,
i151,28,4500,30,
i152,28,3000,30,
i153,27,200,30,
i154,30,350,30,
i155,26,10000,30,
i156,29,50000,30,
i157,26,10000,30,
i158,26,10000,30,
i159,37,1000,,
i160,2,80,10,
i161,2,80,10,
i162,49,,,
i163,12,4000,10,
i164,,4000,10,
i165,24,0,30,
i166,24,60000,30,
i167,8,20,10,
i168,24,0,30,
i169,24,40000,130,
i170,24,20000,30,
i171,22,0,,
i172,8,20,10,
i173,49,20,,
i174,49,20,,
i175,49,20,,
i176,49,20,,
i177,8,20,10,
i178,8,20,10,
i179,24,0,30,
i180,24,0,30,
i181,7,80,10,
i182,37,1000,,
i183,21,0,,
i184,45,1000,50,
i185,,20,,
i186,35,7000,100,
i187,37,,,
i188,37,1000,,
i189,47,20,,
i190,42,200,,
i191,,200,,
i192,,0,,
i193,49,20,,
i194,,20,,
i195,,0,,
i196,23,,,
i197,51,2200,20,
i198,23,0,,
i199,51,400,50,
i200,51,400,50,
i201,47,20,,
i202,49,,,
i203,49,20,,
i204,,0,,
i205,2,80,10,
i206,,20,,
i207,41,0,,
i208,23,,,
i209,22,0,,
i210,49,20,,
i211,49,20,,
i212,21,0,,
i213,49,20,,
i214,49,20,,
i215,49,20,,
i216,49,20,,
i217,49,20,,
i218,49,20,,
i219,49,20,,
i220,49,20,,
i221,51,15000,50,
i222,3,80,10,3
i223,49,20,,
i224,49,20,,
i225,49,20,,
i226,49,20,,
i227,49,20,,
i228,49,20,,
i229,49,20,,
i230,49,20,,
i231,49,20,,
i232,49,20,,
i233,42,200,,
i234,22,0,,
i235,37,6000,10,
i236,37,1000,,
i237,23,0,,
i238,23,0,,
i239,23,0,,
i240,23,0,,
i241,23,0,,
i242,23,0,,
i243,23,0,,
i244,23,0,,
i245,23,0,,
i246,23,0,,
i247,17,1000,90,
i248,,1000,90,
i249,22,0,,
i250,,0,,
i251,22,0,,
i252,22,0,,
i253,22,0,,
i254,22,0,,
i255,9,20,30,
i256,22,0,,
i257,26,20,,
i258,22,20,,
i259,,0,,
i260,21,0,,
i261,51,400,10,
i262,18,1000,90,
i263,51,150,10,
i264,41,0,,
i265,41,0,,
i266,49,20,,
i267,41,0,,
i268,41,0,,
i269,41,0,,
i270,41,0,,
i271,41,0,,
i272,41,0,,
i273,41,0,,
i274,41,0,,
i275,49,20,,
i276,37,1000,,
i277,37,1000,,
i278,46,0,,
i279,46,0,,
i280,37,100000,,
i281,21,0,,
i282,46,0,,
i283,21,0,,
i284,44,0,80,
i285,44,0,80,
i286,37,30000,,
i287,37,30000,,
i288,25,50,,
i289,25,50,,
i290,18,0,70,
i291,18,0,70,
i292,27,3000,30,
i293,18,0,70,
i294,22,0,,
i295,22,0,,
i296,18,0,70,
i297,20,0,,
i298,37,1000,,
i299,37,1000,,
i300,37,100000,,
i301,37,1000,,
i302,37,1000,,
i303,37,10000,,
i304,37,1000,,
i305,37,1000,,
i306,37,1000,,
i307,37,1000,,
i308,,20,10,
i309,50,20,10,
i310,37,1000,,
i311,37,1000,,
i312,,1000,,
i313,47,20,,
i314,44,0,80,
i315,44,0,80,
i316,23,0,,
i317,44,0,80,
i318,44,0,80,
i319,44,0,80,
i320,44,0,80,
i321,44,0,80,
i322,44,0,80,
i323,44,0,80,
i324,44,0,80,
i325,1,2000,30,
i326,1,1000,30,
i327,,20,10,
i328,50,20,10,
i329,26,10000,30,
i330,26,10000,30,
i331,26,10000,30,
i332,26,10000,30,
i333,1,1000,30,
i334,1,1000,30,
i335,30,350,30,
i336,1,1500,30,
i337,42,200,,
i338,47,20,,
i339,49,20,,
i340,8,200,10,
i341,8,20,10,
i342,8,200,10,
i343,49,20,,
i344,2,80,10,
i345,2,80,10,
i346,8,200,10,
i347,8,20,10,
i348,49,20,,
i349,49,20,,
i350,2,80,10,
i351,2,80,10,
i352,43,0,,
i353,49,20,,
i354,49,20,,
i355,49,20,,
i356,37,1000,,
i357,49,20,,
i358,49,20,,
i359,42,200,,
i360,37,10000,85,
i361,26,300,20,
i362,23,0,,
i363,22,0,,
i364,23,0,,
i365,23,,,
i366,22,0,,
i367,42,200,,
i368,37,6000,80,
i369,12,4000,30,
i370,,0,80,
i371,44,0,80,
i372,23,0,,
i373,49,20,,
i374,49,20,,
i375,49,20,,
i376,49,20,,
i377,49,20,,
i378,49,20,,
i379,49,20,,
i380,49,20,,
i381,,200,,
i382,42,200,,
i383,49,20,,
i384,49,20,,
i385,,80,10,3
i386,,20,,
i387,45,1000,50,
i388,49,20,,
i389,,100000,,
i390,49,20,,
i391,49,20,,
i392,49,20,,
i393,49,20,,
i394,49,20,,
i395,49,20,,
i396,49,20,,
i397,49,20,,
i398,49,20,,
i399,49,20,,
i400,12,4000,60,
i401,37,,,
i402,37,10000,,
i403,40,200,10,
i404,22,0,,
i405,22,0,,
i406,22,0,,
i407,22,0,,
i408,23,0,,
i409,23,0,,
i410,21,0,,
i411,23,0,,
i412,23,0,,
i413,23,0,,
i414,23,0,,
i415,23,0,,
i416,23,0,,
i417,23,0,,
i418,23,0,,
i419,23,0,,
i420,51,150,10,
i421,51,150,10,
i422,12,4000,30,
i423,12,4000,30,
i424,50,20,10,
i425,22,0,,
i426,,4000,100,
i427,46,0,,
i428,46,0,,
i429,49,20,,
i430,48,5000,10,
i431,46,0,,
i432,46,0,,
i433,46,0,,
i434,46,0,,
i435,46,0,,
i436,46,0,,
i437,46,0,,
i438,46,0,,
i439,21,0,,
i440,21,0,,
i441,23,0,,
i442,21,0,,
i443,21,0,,
i444,21,0,,
i445,22,0,,
i446,22,0,,
i447,37,50000,,
i448,20,0,,
i449,20,0,,
i450,44,0,80,
i451,22,0,,
i452,44,0,80,
i453,37,4000,20,
i454,44,0,80,
i455,5,80,10,
i456,5,,10,
i457,49,20,,
i458,44,0,80,
i459,48,1000,10,
i460,37,1000,,
i461,21,0,,
i462,22,0,,
i463,22,0,,
i464,21,0,,
i465,35,7000,100,
i466,42,200,,
i467,21,0,,
i468,22,0,,
i469,22,0,,
i470,21,0,,
i471,38,20,30,
i472,38,20,30,
i473,38,20,30,
i474,11,100,30,
i475,11,300,30,
i476,1,2000,30,
i477,1,1000,30,
i478,1,1000,30,
i479,11,20,30,
i480,11,20,30,
i481,49,20,,
i482,30,,30,
i483,,200,30,
i484,43,0,,
i485,49,20,,
i486,49,20,,
i487,49,20,,
i488,42,200,,
i489,42,200,,
i490,42,200,,
i491,42,200,,
i492,42,200,,
i493,26,300,20,
i494,26,300,20,
i495,26,300,20,
i496,49,20,,
i497,49,20,,
i498,49,20,,
i499,49,20,,
i500,49,20,,
i501,49,20,,
i502,49,20,,
i503,49,,,
i504,,20,,
i505,49,20,,
i506,16,10000,30,
i507,,20,,
i508,28,4500,30,
i509,,20,,
i510,23,0,,
i511,49,20,,
i512,49,20,,
i513,49,20,,
i514,49,20,,
i515,26,20,,
i516,49,20,,
i517,10,,80,
i518,24,15000,30,
i519,26,10000,30,
i520,10,38000,80,
i521,37,6000,10,
i522,49,20,,
i523,51,950,10,
i524,51,950,10,
i525,22,0,,
i526,24,0,30,
i527,41,0,,
i528,41,0,,
i529,49,20,,
i530,23,0,,
i531,49,20,,
i532,49,20,,
i533,49,20,,
i534,49,20,,
i535,49,20,,
i536,49,20,,
i537,49,20,,
i538,49,20,,
i539,32,,30,
i540,32,200,30,
i541,10,2200,30,
i542,23,0,,
i543,37,6000,10,
i544,33,1000,,
i545,,1000,50,
i546,,0,,
i547,,6000,95,
i548,,20,,
i549,49,20,,
i550,43,0,,
i551,49,20,,
i552,49,20,,
i553,49,20,,
i554,49,20,,
i555,49,20,,
i556,49,20,,
i557,49,20,,
i558,47,20,,
i559,49,20,,
i560,49,20,,
i561,,0,,
i562,47,20,,
i563,,700,30,
i564,12,4000,60,
i565,49,20,,
i566,49,20,,
i567,9,3000,30,
i568,9,20,30,
i569,23,0,,
i570,23,0,,
i571,23,0,,
i572,23,0,,
i573,22,0,,
i574,21,0,,
i575,23,0,,
i576,23,0,,
i577,23,0,,
i578,23,0,,
i579,23,0,,
i580,23,0,,
i581,23,0,,
i582,23,0,,
i583,23,0,,
i584,47,20,,
i585,47,20,,
i586,12,4000,30,
i587,33,,,
i588,26,10000,30,
i589,24,10000,30,
i590,24,5000,30,
i591,46,0,,
i592,46,0,,
i593,37,6000,85,
i594,37,4000,10,
i595,46,0,,
i596,46,0,,
i597,26,3000,30,
i598,26,1000,30,
i599,26,0,30,
i600,26,10000,30,
i601,12,4000,60,
i602,12,4000,100,
i603,26,240,30,
i604,26,20,30,
i605,22,0,,
i606,22,0,,
i607,22,0,,
i608,22,0,,
i609,22,0,,
i610,21,0,,
i611,22,0,,
i612,22,0,,
i613,17,1000,90,
i614,21,0,,
i615,22,0,,
i616,21,0,,
i617,21,0,,
i618,25,50,,
i619,25,50,,
i620,44,0,80,
i621,50,20,10,
i622,50,20,10,
i623,44,0,80,
i624,44,0,80,
i625,24,3000,30,
i626,24,20,10,
i627,4,80,10,3
i628,4,80,10,3
i629,50,20,10,
i630,50,20,10,
i631,50,20,10,
i632,30,350,30,
i633,50,20,10,
i634,50,20,10,
i635,50,20,10,
i636,50,20,10,
i637,22,0,,
i638,22,0,,
i639,49,20,,
i640,9,20,30,
i641,9,20,30,
i642,9,1000,30,
i643,9,1000,30,
i644,9,1000,30,
i645,9,1000,30,
i646,11,700,30,
i647,11,900,30,
i648,11,300,30,
i649,11,400,30,
i650,22,0,,
i651,22,0,,
i652,37,2000,10,
i653,49,20,,
i654,49,20,,
i655,49,20,,
i656,49,20,,
i657,49,20,,
i658,49,20,,
i659,49,20,,
i660,49,20,,
i661,26,10000,,
i662,49,20,,
i663,49,20,,
i664,10,500,10,
i665,35,5000,100,
i666,35,5000,100,
i667,35,5000,100,
i668,35,5000,100,
i669,18,0,,
i670,21,0,,
i671,11,100,30,
i672,33,0,,
i673,12,200,30,
i674,20,0,,
i675,35,7000,100,
i676,35,7000,100,
i677,24,1000,20,
i678,26,300,20,
i679,26,300,20,
i680,26,10000,,
i681,3,80,10,3
i682,3,80,10,3
i683,49,20,,
i684,49,20,,
i685,50,20,10,
i686,46,0,,
i687,25,50,,
i688,15,4000,30,1
i689,2,80,10,
i690,2,80,10,
i691,37,1000,,
i692,23,0,,
i693,49,20,,
i694,8,20,10,
i695,8,20,10,
i696,18,300,10,
i697,24,25000,30,
i698,8,20,10,
i699,49,20,,
i700,2,80,10,
i701,2,80,10,
i702,8,20,10,
i703,24,15000,30,
i704,47,20,,
i705,37,1000,,
i706,37,1000,,
i707,49,20,,
i708,49,20,,
i709,49,20,,
i710,26,20,,
i711,49,20,,
i712,26,20,,
i713,49,20,,
i714,37,10000,90,
i715,12,4000,10,4
i716,49,20,,
i717,49,20,,
i718,49,20,,
i719,,0,80,
i720,22,,,
i721,36,100,10,
i722,36,100,10,
i723,23,0,,
i724,23,0,,
i725,10,2000,80,
i726,5,80,10,3
i727,23,0,,
i728,23,0,,
i729,49,20,,
i730,49,20,,
i731,30,200,30,
i732,30,200,30,
i733,49,20,,
i734,49,20,,
i735,49,20,,
i736,49,20,,
i737,49,20,,
i738,49,20,,
i739,49,20,,
i740,49,20,,
i741,26,10000,30,
i742,22,0,,
i743,35,5000,100,
i744,49,20,,
i745,49,20,,
i746,49,20,,
i747,49,20,,
i748,49,20,,
i749,49,20,,
i750,49,20,,
i751,49,20,,
i752,49,20,,
i753,49,20,,
i754,49,20,,
i755,49,20,,
i756,,50,,
i757,49,20,,
i758,,20,,
i759,22,20,,
i760,,80,10,
i761,7,80,10,
i762,18,300,10,
i763,18,300,10,
i764,25,50,,
i765,44,0,80,
i766,44,0,80,
i767,37,20000,,
i768,46,0,,
i769,46,0,,
i770,46,0,,
i771,46,0,,
i772,46,0,,
i773,46,0,,
i774,46,0,,
i775,46,0,,
i776,37,10000,90,
i777,37,10000,90,
i778,37,10000,90,
i779,37,16000,110,
i780,37,10000,90,
i781,37,16000,110,
i782,37,16000,110,
i783,37,6000,10,
i784,21,0,,
i785,22,0,,
i786,22,0,,
i787,21,0,,
i788,21,0,,
i789,22,0,,
i790,20,0,,
i791,22,0,,
i792,22,0,,
i793,22,0,,
i794,22,0,,
i795,37,6000,85,
i796,37,6000,80,
i797,37,10000,90,
i798,37,10000,85,
i799,37,10000,95,
i800,37,6000,80,
i801,37,6000,80,
i802,37,10000,85,
i803,43,0,,
i804,37,10000,,
i805,50,20,10,
i806,17,1000,90,
i807,17,1000,90,
i808,17,1000,90,
i809,17,1000,90,
i810,17,1000,90,
i811,17,1000,90,
i812,17,1000,90,
i813,17,1000,90,
i814,17,1000,90,
i815,17,1000,90,
i816,23,0,,
i817,23,0,,
i818,23,0,,
i819,23,0,,
i820,23,0,,
i821,23,0,,
i822,22,0,,
i823,39,0,,
i824,21,0,,
i825,21,0,,
i826,20,0,,
i827,20,0,,
i828,18,0,60,
i829,21,0,,
i830,22,0,,
i831,22,0,,
i832,14,3000,70,
i833,14,3000,70,
i834,13,4000,10,
i835,15,4000,80,
i836,24,8000,30,
i837,24,2000,30,
i838,12,4000,10,
i839,12,4000,60,
i840,10,3000,30,
i841,10,3000,30,
i842,24,5000,30,
i843,24,500,30,
i844,10,3000,30,
i845,10,3000,30,
i846,10,3000,30,
i847,10,3000,30,
i848,45,1000,50,
i849,49,20,,
i850,49,20,,
i851,49,20,,
i852,49,20,,
i853,49,20,,
i854,49,20,,
i855,49,20,,
i856,49,20,,
i857,49,20,,
i858,49,20,,
i859,12,5000,30,7
i860,10,2200,30,
i861,12,4000,30,
i862,42,4000,,
i863,10,500,10,
i864,10,500,10,
i865,10,500,10,
i866,10,500,10,
i867,12,4000,10,
i868,12,4000,10,4
i869,14,3000,60,
i870,16,0,,
i871,12,4000,80,
i872,16,4000,10,
i873,12,4000,10,4
i874,13,4000,10,
i875,27,,30,
i876,37,,,
i877,43,,,
i878,25,50,,
i879,37,4000,10,
i880,37,5000,,
i881,37,,,
i882,22,0,,
i883,,0,,
i884,24,0,30,
i885,21,,,
i886,21,0,,
i887,24,8000,30,
i888,47,20,,
i889,49,20,,
i890,39,0,,
i891,39,0,,
i892,34,300,,
i893,34,0,,
i894,23,0,,
i895,49,20,,
i896,49,20,,
i897,49,20,,
i898,39,0,,
i899,,1000,30,
i900,35,,100,
i901,39,0,,
i902,39,0,,
i903,39,0,,
i904,23,0,,
i905,49,20,,
i906,23,0,,
i907,23,0,,
i908,49,20,,
i909,49,20,,
i910,13,,10,
i911,26,300,20,
i912,32,200,30,
i913,35,7000,100,
i914,17,1000,90,
i915,47,20,,
i916,49,20,,
i917,49,20,,
i918,21,0,,
i919,24,10000,30,
i920,9,100,30,
i921,37,1000,,
i922,23,0,,
i923,23,0,,
i924,49,20,,
i925,37,10000,90,
i926,37,10000,90,
i927,49,,,
i928,49,20,,
i929,49,20,,
i930,,0,,
i931,26,10000,30,
i932,26,10000,30,
i933,37,4000,10,
i934,47,20,,
i935,47,20,,
i936,49,20,,
i937,49,20,,
i938,11,,30,
i939,11,400,30,
i940,49,20,,
i941,49,20,,
i942,49,20,,
i943,49,20,,
i944,49,20,,
i945,49,20,,
i946,49,20,,
i947,49,20,,
i948,12,,10,
i949,1,2000,30,
i950,29,2000,30,
i951,49,20,,
i952,49,20,,
i953,,20,,
i954,49,20,,
i955,49,20,,
i956,49,20,,
i957,49,20,,
i958,49,20,,
i959,49,20,,
i960,49,20,,
i961,49,20,,
i962,37,30000,,
i963,37,30000,,
i964,5,80,10,3
i965,44,0,80,
i966,5,80,10,3
i967,1,6000,30,
i968,29,4000,30,
i969,49,20,,
i970,25,50,,
i971,49,20,,
i972,49,20,,
i973,9,20,30,
i974,49,20,,
i975,25,50,,
i976,25,50,,
i977,25,50,,
i978,25,50,,
i979,25,50,,
i980,25,50,,
i981,21,0,,
i982,25,0,,
i983,21,0,,
i984,21,0,,
i985,37,4000,10,
i986,47,20,,
i987,49,20,,
i988,37,1000,,
i989,37,1000,,
i990,21,0,,
i991,22,0,,
i992,37,5000,,
i993,10,2000,80,
i994,10,2000,80,
i995,15,5000,10,
i996,19,2000,10,
i997,19,2000,10,
i998,17,1000,90,
i999,16,6000,10,
i1000,16,11000,10,
i1001,19,2000,10,
i1002,19,2000,10,
i1003,40,200,10,
i1004,40,200,10,
i1005,23,0,,
i1006,23,0,,
i1007,23,0,,
i1008,23,0,,
i1009,23,0,,
i1010,23,0,,
i1011,23,0,,
i1012,23,0,,
i1013,23,0,,
i1014,23,0,,
i1015,17,1000,90,
i1016,13,4000,10,
i1017,17,1000,90,
i1018,17,1000,90,
i1019,14,3000,70,
i1020,14,3000,70,
i1021,12,4000,10,
i1022,12,4000,10,
i1023,32,200,30,
i1024,32,200,30,
i1025,35,900,30,
i1026,32,200,30,
i1027,17,1000,90,
i1028,17,1000,90,
i1029,24,3000,30,
i1030,24,12000,30,
i1031,51,400,80,
i1032,5,80,10,
i1033,5,80,10,3
i1034,4,80,10,
i1035,5,80,10,3
i1036,5,80,10,3
i1037,5,80,10,3
i1038,49,20,,
i1039,49,20,,
i1040,49,20,,
i1041,21,0,,
i1042,49,20,,
i1043,49,20,,
i1044,49,20,,
i1045,49,20,,
i1046,4,80,10,
i1047,4,80,10,
i1048,22,0,,
i1049,22,0,,
i1050,21,0,,
i1051,21,0,,
i1052,51,950,80,
i1053,51,400,10,
i1054,51,400,80,
i1055,51,950,80,
i1056,51,150,10,
i1057,51,150,10,
i1058,21,0,,
i1059,21,0,,
i1060,21,0,,
i1061,22,0,,
i1062,22,0,,
i1063,47,20,,
i1064,11,20,30,
i1065,47,,,
i1066,47,,,
i1067,47,20,,
i1068,21,,,
i1069,11,20,30,
i1070,49,20,,
i1071,11,20,30,
i1072,37,4000,10,
i1073,37,4000,10,
i1074,21,0,,
i1075,37,0,,
i1076,37,0,,
i1077,22,,,
i1078,49,,,
i1079,37,,90,
i1080,47,,,
i1081,46,0,,
i1082,46,0,,
i1083,28,2000,30,
i1084,,300,10,
i1085,49,20,,
i1086,47,20,,
i1087,12,4000,10,
i1088,49,20,,
i1089,17,1000,90,
i1090,49,,,
i1091,49,20,,
i1092,26,1000,30,
i1093,12,4000,10,
i1094,21,0,,
i1095,49,20,,
i1096,49,20,,
i1097,49,20,,
i1098,49,20,,
i1099,49,20,,
i1100,49,20,,
i1101,49,20,,
i1102,49,20,,
i1103,49,20,,
i1104,,20,,
i1105,49,20,,
i1106,49,20,,
i1107,49,20,,
i1108,44,0,80,
i1109,12,4000,10,
i1110,,1000,90,
i1111,21,0,,
i1112,21,0,,
i1113,49,20,,
i1114,21,0,,
i1115,49,20,,
i1116,21,0,,
i1117,21,0,,
i1118,21,0,,
i1119,49,20,,
i1120,49,20,,
i1121,21,0,,
i1122,47,20,,
i1123,49,20,,
i1124,49,20,,
i1125,49,20,,
i1126,21,0,,
i1127,49,20,,
i1128,49,20,,
i1129,49,20,,
i1130,49,20,,
i1131,23,0,,
i1132,41,0,,
i1133,41,,,
i1134,49,20,,
i1135,49,20,,
i1136,49,20,,
i1137,49,20,,
i1138,49,20,,
i1139,25,50,,
i1140,18,1000,40,
i1141,18,1000,40,
i1142,25,50,,
i1143,25,50,,
i1144,23,0,,
i1145,25,50,,
i1146,25,50,,
i1147,25,50,,
i1148,41,0,,
i1149,41,0,,
i1150,41,0,,
i1151,23,0,,
i1152,22,0,,
i1153,22,0,,
i1154,44,0,80,
i1155,,50,,
i1156,,0,80,
i1157,21,0,,
i1158,21,0,,
i1159,22,0,,
i1160,22,0,,
i1161,20,0,,
i1162,19,1000,30,
i1163,19,1000,30,
i1164,22,0,,
i1165,22,0,,
i1166,40,200,10,
i1167,40,200,10,
i1168,40,200,10,
i1169,40,200,10,
i1170,40,200,10,
i1171,21,0,,
i1172,21,350,30,
i1173,22,0,,
i1174,36,100,10,
i1175,36,100,10,
i1176,12,4000,10,
i1177,12,4000,10,
i1178,12,4000,10,
i1179,12,4000,10,
i1180,12,4000,30,
i1181,12,4000,30,
i1182,12,4000,10,
i1183,15,4000,30,1
i1184,,0,80,
i1185,11,900,30,
i1186,11,900,30,
i1187,43,0,,
i1188,43,0,,
i1189,43,0,,
i1190,43,0,,
i1191,43,0,,
i1192,49,20,,
i1193,43,0,,
i1194,43,0,,
i1195,49,20,,
i1196,49,20,,
i1197,49,20,,
i1198,49,20,,
i1199,49,20,,
i1200,49,20,,
i1201,49,20,,
i1202,49,20,,
i1203,23,0,,
i1204,33,0,,
i1205,21,0,,
i1206,10,3000,30,
i1207,22,0,,
i1208,12,4000,30,
i1209,22,0,,
i1210,21,10,,
i1211,51,950,10,
i1212,51,400,10,
i1213,51,950,30,
i1214,51,400,10,
i1215,51,2200,20,
i1216,51,2200,20,
i1217,30,350,30,
i1218,51,2200,10,
i1219,35,7000,100,
i1220,22,0,,
i1221,10,3000,80,
i1222,22,0,,
i1223,,0,,
i1224,37,0,,
i1225,12,5000,30,7
i1226,12,5000,30,7
i1227,22,0,,
i1228,44,0,80,
i1229,44,,80,
i1230,7,80,10,
i1231,12,4000,90,
i1232,44,0,80,
i1233,22,0,,
i1234,22,0,,
i1235,21,0,,
i1236,22,0,,
i1237,35,7000,100,
i1238,50,20,10,
i1239,37,10000,,
i1240,22,0,,
i1241,23,0,,
i1242,,0,,
i1243,51,2200,20,
i1244,51,2200,20,
i1245,39,0,,
i1246,39,0,,
i1247,44,0,80,
i1248,44,0,80,
i1249,,80,10,
i1250,47,20,,
i1251,12,4000,30,
i1252,49,20,,
i1253,,0,,
i1254,35,7000,100,
i1255,35,7000,100,
i1256,49,20,,
i1257,37,1000,,
i1258,22,0,,
i1259,49,20,,
i1260,49,20,,
i1261,49,20,,
i1262,49,20,,
i1263,49,20,,
i1264,49,20,,
i1265,49,20,,
i1266,49,20,,
i1267,21,0,,
i1268,49,20,,
i1269,49,20,,
i1270,21,0,,
i1271,34,200,,
i1272,34,0,,
i1273,33,1000,,
i1274,33,1000,,
i1275,34,0,,
i1276,34,800,,
i1277,34,600,,
i1278,33,1000,,
i1279,33,1000,,
i1280,17,,90,
i1281,9,100,30,
i1282,9,100,30,
i1283,24,3000,30,
i1284,24,3000,30,
i1285,22,0,,
i1286,22,,,
i1287,49,20,,
i1288,49,20,,
i1289,49,20,,
i1290,37,16000,100,
i1291,48,5000,10,
i1292,48,5000,10,
i1293,49,20,,
i1294,49,20,,
i1295,47,20,,
i1296,21,0,,
i1297,21,0,,
i1298,21,0,,
i1299,46,0,,
i1300,41,0,,
i1301,41,0,,
i1302,41,0,,
i1303,41,0,,
i1304,41,0,,
i1305,41,0,,
i1306,41,0,,
i1307,41,0,,
i1308,41,0,,
i1309,41,0,,
i1310,2,80,10,
i1311,47,20,,
i1312,,0,,
i1313,47,20,,
i1314,,0,,
i1315,21,0,,
i1316,49,20,,
i1317,44,0,80,
i1318,,0,80,
i1319,49,20,,
i1320,22,0,,
i1321,22,0,,
i1322,22,0,,
i1323,22,0,,
i1324,23,0,,
i1325,21,0,,
i1326,21,0,,
i1327,48,1000,10,
i1328,48,5000,10,
i1329,48,1000,10,
i1330,48,5000,10,
i1331,48,1000,10,
i1332,23,0,,
i1333,23,0,,
i1334,23,0,,
i1335,23,0,,
i1336,,20,,
i1337,47,20,,
i1338,49,20,,
i1339,12,4000,40,
i1340,12,4000,30,
i1341,12,4000,10,
i1342,15,4000,10,
i1343,15,4000,130,
i1344,12,4000,30,
i1345,12,4000,10,
i1346,12,4000,10,
i1347,18,1000,10,
i1348,15,4000,30,2
i1349,43,0,,
i1350,43,0,,
i1351,43,0,,
i1352,43,0,,
i1353,22,0,,
i1354,43,0,,
i1355,43,0,,
i1356,43,0,,
i1357,37,1000,,
i1358,22,0,,
i1359,22,0,,
i1360,22,0,,
i1361,47,20,,
i1362,47,20,,
i1363,18,300,10,
i1364,18,300,10,
i1365,22,0,,
i1366,18,300,10,
i1367,47,20,,
i1368,47,20,,
i1369,47,20,,
i1370,47,20,,
i1371,47,20,,
i1372,47,20,,
i1373,47,20,,
i1374,47,20,,
i1375,23,0,,
i1376,37,6000,10,
i1377,21,0,,
i1378,,50,,
i1379,46,0,,
i1380,39,0,,
i1381,30,300,30,
i1382,37,2000,10,
i1383,37,16000,110,
i1384,37,4000,10,
i1385,37,4000,10,
i1386,37,6000,80,
i1387,37,4000,10,
i1388,37,10000,90,
i1389,37,4000,10,
i1390,37,16000,130,
i1391,37,10000,90,
i1392,10,500,10,
i1393,37,4000,10,
i1394,37,10000,90,
i1395,37,1000,,
i1396,49,20,,
i1397,45,1000,50,
i1398,12,4000,10,
i1399,12,4000,10,
i1400,49,20,,
i1401,49,20,,
i1402,44,0,80,
i1403,46,0,,
i1404,47,20,,
i1405,12,4000,50,
i1406,,80,10,
i1407,21,0,,
i1408,21,,,
i1409,49,20,,
i1410,49,20,,
i1411,49,20,,
i1412,49,20,,
i1413,49,20,,
i1414,12,4000,30,
i1415,49,20,,
i1416,49,20,,
