move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect
m70,3,id-10002,75,,100,0,10,2,1,,,,
m71,1,id-4,,10,,0,10,1,34,,4,33,19
m72,6,id-9,,10,,4,7,1,356,,,,
m73,8,id-4,,40,100,0,9,1,1,,,,
m74,7,id-2,,1,,0,10,3,1,,,,
m75,7,id-2,,1,,0,10,3,1,,,,
m76,6,id-7,,20,,0,6,1,341,,,,
m77,1,id-8,,15,100,,10,3,88,,4,23,5
m78,1,id-1,,40,,0,10,1,60,,4,5,10
m79,7,id-15,,,,0,10,2,1,,,,
m80,8,id-16,150,5,100,0,11,3,1,,,,
m81,2,id-2,40,15,100,0,10,2,70,50,5,29,18
m82,5,id-14,80,10,100,,10,3,283,,,,
m83,8,id-14,90,10,100,0,10,3,1,10,,,
m84,3,id-12,25,30,100,,10,2,30,,1,14,7
m85,3,id-15,30,20,90,0,10,2,118,,2,24,7
m86,3,id-10002,75,,100,0,10,3,7,10,,,
m87,5,id-2,65,20,100,0,10,2,21,100,,,
m88,2,id-11,,5,,0,12,1,137,,5,11,13
m89,8,id-15,20,10,90,0,10,2,1,,,,
m90,1,id-1,10,,100,0,10,2,71,10,5,9,21
m91,2,id-17,60,25,100,0,10,2,106,,5,20,12
m92,7,id-9,,1,,,10,2,1,,,,
m93,8,id-6,10,10,,0,2,2,1,,,,
m94,5,id-17,,15,,,7,1,278,,,,
m95,5,id-13,,10,100,0,10,3,294,,,,
m96,8,id-9,,10,100,0,1,2,228,,2,,15
m97,7,id-1,210,1,,0,10,2,1,,,,
m98,3,id-10002,120,,60,0,10,2,10002,,,,
m99,3,id-1,,20,,0,10,1,206,,3,33,19
m100,3,id-1,,20,100,0,10,1,206,,3,33,19
m101,5,id-2,,5,,0,10,3,321,,,,
m102,7,id-3,,1,,0,10,2,1,,,,
m103,5,id-2,60,10,90,-6,10,2,314,,,,
m104,5,id-9,,10,,0,7,1,313,,,,
m105,7,id-3,,1,,0,10,3,1,,,,
m106,5,id-11,80,15,100,0,10,3,5,30,,,
m107,5,id-14,,15,,2,7,1,308,,,,
m108,5,id-2,,15,,3,4,1,307,,,,
m109,5,id-14,20,10,100,0,10,3,306,,,,
m110,5,id-3,60,10,100,0,10,2,312,,,,
m111,5,id-8,65,10,100,0,10,3,311,,,,
m112,5,id-14,,10,,0,10,1,310,,,,
m113,5,id-1,,15,,0,7,1,309,,,,
m114,1,id-1,80,10,100,0,10,3,37,20,2,8,5
m115,2,id-9,70,25,90,0,10,2,139,10,1,12,5
m116,7,id-2,,1,,0,10,3,1,,,,
m117,8,id-1,,10,100,0,12,1,432,,,,
m118,8,id-13,70,20,100,0,10,3,1,,,,
m119,1,id-1,,30,,0,7,1,31,,2,12,23
m120,7,id-1,,1,,0,10,2,1,,,,
m121,1,id-14,,30,,0,4,1,36,,2,15,13
m122,3,id-10002,75,,100,0,10,3,6,10,,,
m123,7,id-1,,1,,0,10,3,1,,,,
m124,6,id-15,70,20,,0,10,3,380,10,,,
m125,5,id-10,50,20,100,0,10,2,296,100,,,
m126,5,id-4,,20,,0,7,1,323,,,,
m127,6,id-3,120,5,100,0,10,2,230,100,,,
m128,1,id-1,60,20,,,11,3,18,,1,27,17
m129,5,id-4,95,10,100,0,9,3,3,10,,,
m130,5,id-7,,20,,0,7,1,291,,,,
m131,5,id-2,60,10,100,0,10,2,289,,,,
m132,5,id-10,70,15,100,0,10,3,290,,,,
m133,5,id-13,,10,100,0,10,3,294,,,,
m134,5,id-11,,20,100,0,10,1,295,,,,
m135,5,id-9,,10,100,0,10,2,292,,,,
m136,5,id-14,120,10,100,0,9,3,293,,,,
m137,7,id-17,,10,100,0,10,2,306,,,,
m138,5,id-15,85,10,90,0,10,2,32,30,,,
m139,,id-14,,30,,0,4,1,36,,2,15,13
m140,3,id-10002,75,,,0,10,2,1,,,,
m141,5,id-15,85,,90,0,10,2,32,30,,,
m142,5,id-10,80,10,100,0,10,3,277,50,,,
m143,7,id-16,185,1,,0,11,3,419,100,,,
m144,3,id-10002,75,,100,0,10,2,1,,,,
m145,5,id-14,,15,,0,10,1,286,,,,
m146,5,id-7,,20,,2,7,1,173,,,,
m147,5,id-9,,15,,0,7,1,285,,,,
m148,5,id-4,65,10,100,0,10,3,284,,,,
m149,4,id-1,,5,100,0,10,3,238,,4,,22
m150,4,id-14,,10,,0,7,1,239,,1,,16
m151,5,id-14,,10,,0,10,1,281,,,,
m152,5,id-14,,10,,0,10,1,280,,,,
m153,4,id-17,,10,100,0,10,2,234,,5,,23
m154,4,id-14,,10,100,0,10,1,235,,1,,16
m155,4,id-1,,5,,0,10,3,236,,1,,21
m156,4,id-14,,15,100,0,11,1,237,,3,,13
m157,4,id-2,120,5,100,0,10,2,230,100,4,,22
m158,4,id-17,50,10,100,0,10,2,231,,1,,6
m159,4,id-17,60,10,100,0,10,2,232,,2,,15
m160,4,id-17,,15,100,0,10,1,233,,3,,13
m161,6,id-10,75,10,100,,10,3,72,100,,,
m162,6,id-18,,10,,3,4,1,350,,,,
m163,6,id-18,,10,,0,14,1,351,100,,,
m164,6,id-17,,20,,0,10,1,348,,,,
m165,6,id-18,50,10,100,0,10,3,349,,,,
m166,6,id-18,40,15,,0,11,3,381,,,,
m167,6,id-17,,20,100,0,10,1,347,100,,,
m168,6,id-12,90,15,100,0,9,2,379,,,,
m169,6,id-15,70,20,100,0,10,3,380,10,,,
m170,6,id-13,65,20,100,0,9,3,346,,,,
m171,6,id-12,,20,100,0,10,1,376,,,,
m172,4,id-2,80,20,,0,10,3,18,,2,,17
m173,4,id-6,,20,,0,7,1,53,,5,,1
m174,4,id-10,120,15,100,0,10,2,254,10,4,,22
m175,4,id-2,60,10,100,0,10,2,7,30,1,,18
m176,4,id-11,,20,,0,7,1,252,,2,,8
m177,4,id-13,,10,,0,7,1,253,,3,,13
m178,3,id-17,,15,100,0,10,1,166,,5,18,16
m179,3,id-15,,10,,0,12,1,165,,2,5,13
m180,3,id-10,95,10,90,0,11,3,5,10,2,1,17
m181,3,id-1,,10,,0,7,1,163,,5,32,8
m182,3,id-1,,10,100,0,10,3,162,,5,1,18
m183,3,id-1,,20,,0,7,1,161,,5,16,11
m184,3,id-1,90,10,100,0,8,3,160,,3,21,10
m185,3,id-1,40,10,100,3,10,2,159,100,3,23,17
m186,2,id-17,,10,100,0,10,2,155,,4,14,7
m187,2,id-11,35,15,85,0,10,3,262,100,2,24,21
m188,6,id-12,,,,4,7,1,362,,,,
m189,3,id-17,,10,,4,7,1,196,,4,14,12
m190,6,id-11,110,10,85,0,11,3,1,,,,
m191,7,id-1,,20,,,10,1,412,100,,,
m192,6,id-1,,20,,0,10,1,412,100,,,
m193,1,id-1,10,35,100,0,10,2,71,10,5,9,21
m194,7,id-16,,1,,0,10,3,1,,,,
m195,7,id-16,,1,,0,10,2,1,,,,
m196,7,id-15,,1,,0,10,3,1,,,,
m197,7,id-15,,1,,0,10,2,1,,,,
m198,7,id-18,,1,,0,10,3,1,,,,
m199,7,id-18,,1,,0,10,2,1,,,,
m200,7,id-17,,1,,0,10,3,1,,,,
m201,2,id-6,30,20,90,0,10,2,118,,5,24,7
m202,7,id-5,,10,,0,7,1,382,,,,
m203,7,id-13,210,1,,0,10,2,1,,,,
m204,7,id-16,185,1,,0,11,3,419,100,,,
m205,8,id-13,85,10,100,0,10,2,431,,,,
m206,7,id-4,,10,,4,7,1,384,,,,
m207,5,id-4,,10,,4,7,1,384,,,,
m208,6,id-2,,10,,0,4,1,377,,,,
m209,7,id-1,120,10,100,0,10,2,269,,,,
m210,7,id-13,195,1,,0,10,3,1,,,,
m211,2,id-8,,15,100,0,10,1,108,,4,5,19
m212,1,id-5,,5,30,0,10,2,39,,5,14,9
m213,2,id-2,10,10,90,,10,2,105,,1,1,7
m214,7,id-8,90,10,100,0,10,2,410,,,,
m215,7,id-9,100,5,100,0,10,2,411,,,,
m216,7,id-11,85,10,100,0,10,2,70,20,,,
m217,7,id-14,160,10,100,0,10,3,81,,,,
m218,7,id-13,80,10,100,0,10,2,32,30,,,
m219,7,id-18,,10,90,0,10,3,41,,,,
m220,7,id-8,100,5,100,0,10,3,411,,,,
m221,7,id-1,,20,,0,10,1,412,100,,,
m222,5,id-4,40,20,100,0,10,3,297,100,,,
m223,6,id-5,120,10,85,0,11,2,1,,,,
m224,8,id-9,100,5,,0,10,2,436,,,,
m225,2,id-2,,15,100,0,10,2,100,,1,28,15
m226,2,id-1,,10,,4,7,1,117,,5,16,13
m227,1,id-1,,20,90,0,10,3,131,,1,12,5
m228,1,id-1,,20,55,0,10,1,50,,4,21,19
m229,2,id-1,,30,,0,10,1,94,,2,12,23
m230,7,id-13,,1,,0,10,3,1,,,,
m231,7,id-17,60,20,100,0,9,2,406,,,,
m232,1,id-7,25,20,100,0,10,2,78,20,1,9,7
m233,1,id-4,15,35,100,0,10,2,3,30,4,9,19
m234,1,id-1,,30,100,0,11,1,20,100,1,24,19
m235,1,id-7,25,20,95,0,10,2,30,,1,10,7
m236,1,id-1,,40,100,0,11,1,19,,3,28,19
m237,1,id-17,60,25,100,0,10,2,32,30,5,5,5
m238,1,id-1,,15,55,0,10,1,2,,3,18,19
m239,1,id-1,,20,,-6,10,1,29,,1,21,19
m240,2,id-1,80,5,100,2,10,2,104,,1,30,1
m241,2,id-1,80,5,100,2,10,2,104,,1,30,1
m242,7,id-13,60,20,,0,10,3,1,100,,,
m243,1,id-1,,20,85,0,10,2,49,,5,3,5
m244,6,id-3,80,10,100,0,10,3,349,,,,
m245,8,id-18,90,10,95,,10,3,77,20,,,
m246,5,id-7,,,,0,7,1,291,,,,
m247,6,id-2,40,20,100,0,10,2,375,100,,,
m248,1,id-1,18,15,80,0,10,2,30,,5,10,7
m249,1,id-5,50,10,90,0,10,2,45,,5,1,7
m250,1,id-14,,10,,0,7,1,38,,3,16,8
m251,1,id-6,75,10,90,0,11,2,32,30,5,5,5
m252,1,id-1,,40,,0,7,1,86,,3,28,16
m253,1,id-4,,20,,0,7,1,52,,5,32,11
m254,1,id-11,100,10,90,0,10,2,44,,5,2,18
m255,1,id-1,250,5,100,0,9,2,8,,2,7,9
m256,5,id-9,50,15,85,0,10,2,45,,,,
m257,8,id-13,10,10,,0,2,2,1,,,,
m258,1,id-1,80,15,90,0,10,2,32,10,1,4,18
m259,1,id-1,,30,,0,7,1,11,,3,32,11
m260,7,id-4,,1,,0,10,2,1,,,,
m261,7,id-4,,1,,0,10,3,1,,,,
m262,8,id-12,70,20,100,0,10,2,1,,,,
m263,4,id-17,,15,100,0,10,1,233,,3,,13
m264,4,id-14,,10,,0,10,1,245,,3,,16
m265,8,id-11,85,10,100,0,10,2,431,,,,
m266,2,id-10,,5,,0,12,1,138,,2,11,13
m267,3,id-10002,75,,100,,10,3,7,10,,,
m268,6,id-2,40,20,100,,10,2,375,100,,,
m269,6,id-1,,15,,0,10,1,301,,,,
m270,8,id-1,,10,,0,7,1,424,100,,,
m271,1,id-1,150,5,90,0,10,3,81,,1,6,22
m272,3,id-1,90,10,100,0,11,3,1,,1,5,5
m273,4,id-2,75,10,,0,10,2,4,,2,,20
m274,1,id-13,,,90,0,10,1,68,,1,14,19
m275,7,id-13,175,1,,0,10,3,7,100,,,
m276,7,id-14,100,5,100,0,10,3,1,,,,
m277,8,id-16,25,20,90,0,10,2,1,,,,
m278,3,id-11,,15,,0,12,1,211,,3,1,13
m279,1,id-2,,20,100,-5,1,2,90,,5,16,15
m280,6,id-1,,40,,0,3,1,371,,,,
m281,6,id-1,,40,,0,3,1,371,,,,
m282,5,id-10,80,10,100,0,10,3,277,50,,,
m283,5,id-10,80,10,100,,10,3,277,50,,,
m284,4,id-2,75,10,100,0,10,2,4,,2,,20
m285,1,id-1,70,20,,0,10,2,44,,1,2,5
m286,3,id-14,,15,,,7,1,184,,2,15,15
m287,2,id-1,,30,,0,10,1,94,,2,12,23
m288,2,id-1,,,100,0,10,1,121,,3,18,19
m289,2,id-1,,15,90,0,10,2,123,,3,17,16
m290,2,id-1,,15,90,,10,2,123,,3,17,16
m291,3,id-12,150,5,90,0,10,3,81,,1,6,22
m292,3,id-2,60,10,100,-4,10,2,186,,5,31,15
m293,7,id-5,95,10,95,,10,2,1,,,,
m294,6,id-1,,30,,0,4,1,368,,,,
m295,5,id-1,,30,,0,4,1,368,,,,
m296,1,id-5,,5,,0,10,2,39,,5,14,9
m297,7,id-3,90,15,95,0,10,2,1,30,,,
m298,5,id-12,75,10,100,0,10,2,4,,,,
m299,5,id-2,90,15,100,0,10,2,304,,,,
m300,4,id-6,150,5,90,0,10,2,81,,5,,22
m301,4,id-12,120,10,85,0,10,2,1,,2,,5
m302,5,id-12,65,10,90,0,10,3,74,50,,,
m303,5,id-7,65,20,100,0,10,2,151,30,,,
m304,5,id-11,75,10,95,0,10,2,70,50,,,
m305,5,id-10,,10,100,0,10,2,292,,,,
m306,4,id-14,,5,,-7,12,1,260,,3,,14
m307,4,id-3,,15,,0,10,1,259,,2,,13
m308,4,id-1,90,20,85,0,10,2,77,20,1,,18
m309,4,id-9,80,10,100,0,10,3,73,10,4,,17
m310,4,id-12,130,5,90,0,10,3,205,100,3,,22
m311,4,id-10,80,15,100,0,9,3,5,30,5,,17
m312,4,id-13,80,15,100,0,9,3,7,30,1,,17
m313,4,id-16,130,5,90,0,10,3,205,100,4,,22
m314,3,id-1,,10,,0,7,1,185,,4,17,12
m315,3,id-12,,20,,0,7,1,182,,4,15,21
m316,8,id-10,120,,90,0,10,2,5,10,,,
m317,4,id-1,,30,,0,4,1,241,,3,,13
m318,4,id-17,,5,100,0,10,2,246,,4,,23
m319,1,id-1,40,20,100,0,10,2,35,,4,11,23
m320,7,id-5,,,,0,10,2,1,,,,
m321,8,id-17,75,5,100,0,10,2,1,,,,
m322,2,id-1,,10,,4,7,1,117,,5,16,13
m323,8,id-1,,10,,4,7,1,112,,,,
m324,5,id-14,,15,,,7,1,308,,,,
m325,7,id-3,,,,0,10,2,1,,,,
m326,3,id-1,,40,,0,10,1,114,,4,33,20
m327,7,id-11,195,1,,0,10,3,1,,,,
m328,7,id-17,180,1,,0,10,2,1,,,,
m329,7,id-8,180,1,,0,10,2,1,,,,
m330,7,id-15,,20,,0,4,1,407,,,,
m331,7,id-17,60,20,100,0,9,2,406,,,,
m332,7,id-16,90,15,100,0,10,2,1,,,,
m333,7,id-16,110,5,100,0,11,3,405,100,,,
m334,7,id-3,100,15,100,-3,10,2,404,,,,
m335,8,id-13,,10,,0,2,2,1,,,,
m336,8,id-13,10,10,,0,2,2,1,,,,
m337,,id-12,20,25,100,0,10,3,4,,4,9,20
m338,1,id-12,20,25,,0,10,3,4,,4,9,20
m339,7,id-8,195,1,,0,10,2,1,,,,
m340,7,id-18,,1,,0,10,3,413,,,,
m341,3,id-2,85,15,90,0,10,2,208,,1,23,17
m342,3,id-14,80,20,100,0,10,3,32,10,1,4,17
m343,3,id-8,60,20,,0,10,2,18,,4,27,17
m344,3,id-7,75,15,100,0,10,3,77,10,2,21,4
m345,3,id-8,,5,,0,7,1,195,,5,26,10
m346,3,id-17,,10,,4,7,1,196,,4,14,12
m347,3,id-1,,20,100,0,10,1,206,,3,33,19
m348,3,id-12,,15,55,0,10,1,2,,4,5,19
m349,3,id-10,150,5,100,0,11,3,191,,2,26,18
m350,3,id-14,,10,,0,10,1,192,,4,20,12
m351,3,id-14,,10,,0,7,1,193,,4,33,20
m352,3,id-1,,20,,0,7,1,194,,3,32,8
m353,3,id-2,75,15,100,0,10,2,187,,1,4,5
m354,3,id-1,,10,,0,10,1,188,,3,18,19
m355,3,id-15,,5,30,0,10,3,39,,2,14,9
m356,3,id-1,,5,100,0,10,2,190,,5,28,15
m357,3,id-5,,,,0,12,1,202,,3,1,13
m358,7,id-1,210,1,,0,10,2,1,,,,
m359,4,id-3,65,20,100,0,10,3,268,100,4,,23
m360,4,id-1,100,10,100,0,10,3,269,,4,,14
m361,4,id-6,,20,,0,6,1,267,,1,,13
m362,4,id-12,,20,100,0,10,3,197,,4,,4
m363,4,id-6,100,5,80,0,10,2,44,,5,,4
m364,4,id-1,,20,100,0,11,1,266,,2,,19
m365,4,id-9,80,15,100,0,10,2,32,30,5,,18
m366,4,id-9,60,20,,0,10,2,18,,1,,5
m367,4,id-4,70,20,100,0,10,2,210,10,1,,5
m368,4,id-4,120,5,80,0,10,2,3,30,1,,5
m369,3,id-1,,20,,2,7,1,173,,3,24,14
m370,3,id-1,,20,,0,10,1,174,,2,11,14
m371,3,id-2,150,20,100,-3,10,2,171,,5,31,6
m372,3,id-1,70,10,100,0,10,2,172,,4,9,16
m373,1,id-5,100,10,100,0,9,2,148,,5,5,18
m374,1,id-6,50,15,90,0,10,2,1,,5,12,5
m375,1,id-8,,10,100,0,10,1,50,,4,21,10
m376,1,id-1,,20,100,0,10,1,24,,4,22,10
m377,1,id-13,90,15,100,0,10,3,7,10,1,1,17
m378,1,id-13,40,30,100,0,10,3,7,10,1,1,5
m379,1,id-13,110,10,70,0,10,3,153,30,1,8,17
m380,1,id-13,,20,90,0,10,1,68,,1,14,19
m381,1,id-7,,40,95,0,11,1,61,,4,9,19
m382,1,id-12,120,10,100,0,8,3,28,,2,6,21
m383,1,id-10,35,15,85,0,10,3,43,100,2,24,21
m384,1,id-16,,10,100,0,10,3,42,,1,26,5
m385,4,id-12,,10,,0,7,1,329,,,,
m386,3,id-13,60,20,,0,10,3,18,,1,27,17
m387,6,id-18,,10,,0,7,1,366,,,,
m388,7,id-12,125,10,100,0,10,2,152,,,,
m389,6,id-17,,20,,,10,1,348,,,,
m390,3,id-3,,15,,0,10,1,59,,2,28,19
m391,4,id-8,,5,100,0,10,3,141,10,4,,11
m392,4,id-3,,15,,0,4,1,226,,4,,1
m393,1,id-1,,20,100,0,10,2,44,,1,2,5
m394,3,id-6,25,10,90,0,10,2,30,,5,12,7
m395,4,id-18,40,15,,0,11,3,381,,,,
m396,6,id-18,40,15,,0,11,3,381,,,,
m397,3,id-10002,40,,100,0,10,2,1,,,,
m398,2,id-5,25,10,90,0,10,2,30,,5,1,7
m399,2,id-1,,5,,0,10,1,95,,4,24,20
m400,2,id-9,70,25,90,0,10,2,139,10,1,12,5
m401,2,id-7,40,20,95,0,10,2,120,,1,17,7
m402,2,id-1,,15,90,0,10,2,123,,3,17,16
m403,2,id-1,,20,100,0,10,2,122,,3,13,17
m404,2,id-1,,5,,0,13,1,103,,2,28,8
m405,2,id-1,,10,,0,7,1,98,,3,17,5
m406,2,id-11,65,10,85,0,10,3,74,50,5,10,4
m407,2,id-5,,20,,0,6,1,113,,4,18,13
m408,2,id-13,120,5,50,0,10,3,7,100,1,1,4
m409,2,id-1,,40,,0,10,1,114,,4,33,20
m410,2,id-8,,5,,0,7,1,99,,4,7,9
m411,2,id-1,,5,,0,14,1,115,,2,14,10
m412,2,id-15,55,15,95,0,11,3,71,100,2,5,2
m413,2,id-2,,5,,4,7,1,112,,1,16,16
m414,1,id-2,,20,100,0,10,2,197,,5,4,5
m415,4,id-2,100,10,90,0,10,2,219,100,1,,2
m416,8,id-11,85,10,100,0,10,2,431,,,,
m417,1,id-2,80,20,80,0,10,2,49,,1,3,5
m418,8,id-16,160,5,90,0,10,3,81,,,,
m419,4,id-12,,20,100,0,10,3,197,,4,,4
m420,1,id-3,80,20,100,0,10,2,1,,1,1,5
m421,5,id-1,70,5,100,0,10,2,320,,,,
m422,1,id-3,40,35,100,0,10,3,150,,4,21,5
m423,1,id-3,60,35,100,0,10,2,1,,1,12,5
m424,1,id-1,,20,,0,7,1,51,,2,32,11
m425,1,id-1,50,30,95,0,10,2,1,,1,14,5
m426,1,id-1,,5,30,0,10,2,39,,1,14,9
m427,1,id-1,80,10,100,0,11,3,40,,1,2,6
m428,1,id-1,40,35,100,0,10,2,1,,5,1,5
m429,1,id-1,55,30,100,0,10,2,1,,5,1,5
m430,1,id-1,150,5,90,0,10,3,81,,1,6,22
m431,6,id-18,90,10,90,0,10,2,69,10,,,
m432,4,id-9,,30,100,1,10,2,104,,4,,1
m433,8,id-9,130,5,100,0,10,2,1,,,,
m434,1,id-1,,20,,-6,10,1,29,,4,21,9
m435,1,id-3,90,15,95,0,10,2,156,,4,15,6
m436,7,id-17,180,1,,0,10,2,1,,,,
m437,7,id-17,180,1,,0,10,2,1,,,,
m438,1,id-3,35,35,100,0,10,2,1,,1,1,5
m439,5,id-1,,15,100,0,10,1,300,,,,
m440,1,id-11,65,20,100,0,10,3,71,10,2,5,2
m441,7,id-10,130,5,,0,10,3,398,,,,
m442,7,id-18,,1,,0,10,2,1,,,,
m443,1,id-14,65,20,100,0,10,3,77,10,2,21,17
m444,8,id-12,,10,,,13,1,1,,,,
m445,3,id-1,90,10,,0,11,3,1,,1,5,5
m446,1,id-5,100,10,100,0,9,2,148,,5,5,18
m447,1,id-5,100,10,100,0,9,2,148,,5,5,18
m448,4,id-6,150,5,80,0,10,2,270,,5,,22
m449,4,id-6,150,5,80,0,10,2,270,,5,,22
m450,8,id-18,100,5,100,0,9,3,1,,,,
m451,4,id-11,90,10,90,0,10,2,1,,3,,5
m452,6,id-13,,20,,0,10,1,354,,,,
m453,7,id-13,,20,,0,10,3,1,,,,
m454,6,id-6,100,5,95,0,11,2,359,50,,,
m455,7,id-1,,20,,0,10,2,1,,,,
m456,1,id-14,,40,,0,7,1,11,,2,32,11
m457,1,id-3,35,35,100,,10,2,1,,1,1,5
m458,3,id-8,30,15,100,0,10,2,32,30,4,9,5
m459,3,id-3,85,5,85,0,10,2,264,30,3,15,6
m460,4,id-17,70,15,100,0,10,2,44,,2,,5
m461,5,id-11,80,,100,0,10,3,5,30,,,
m462,4,id-11,90,10,90,0,10,2,1,,3,,5
m463,5,id-11,80,15,100,0,10,3,5,30,,,
m464,3,id-17,,10,,4,7,1,196,,4,14,12
m465,8,id-13,80,15,90,0,10,3,1,100,,,
m466,2,id-1,,,100,0,10,2,122,,3,13,17
m467,2,id-2,,15,100,0,10,2,100,,1,28,15
m468,4,id-16,100,10,75,0,10,2,32,20,1,,18
m469,5,id-14,80,10,,0,10,3,283,,,,
m470,3,id-5,35,15,85,0,10,2,43,100,4,24,21
m471,3,id-5,,15,85,0,10,2,43,100,4,24,21
m472,8,id-3,10,10,,0,2,2,1,,,,
m473,6,id-13,,15,100,0,10,1,62,,,,
m474,7,id-13,110,10,100,0,10,2,437,100,,,
m475,8,id-3,10,10,,0,2,2,1,,,,
m476,4,id-1,,15,,0,10,2,223,,1,,18
m477,6,id-4,,20,100,0,11,1,364,100,,,
m478,7,id-14,100,5,100,0,10,3,1,,,,
m479,8,id-6,120,10,90,0,10,3,1,100,,,
m480,8,id-11,,10,,,13,1,441,,,,
m481,8,id-3,40,10,90,0,10,2,1,,,,
m482,8,id-11,80,15,100,0,10,3,422,,,,
m483,3,id-17,65,20,100,0,10,2,189,,4,4,5
m484,3,id-17,,20,,0,10,1,63,,4,28,19
m485,4,id-6,80,20,100,0,10,3,1,,2,,5
m486,3,id-1,60,25,100,,10,2,106,,3,20,12
m487,5,id-4,50,15,,0,10,3,305,,,,
m488,5,id-1,70,20,100,0,10,2,304,,,,
m489,4,id-9,,5,100,0,10,2,220,,2,,15
m490,1,id-1,,35,100,0,10,2,1,,5,1,5
m491,5,id-2,65,20,100,0,10,2,21,100,,,
m492,5,id-4,40,20,100,0,10,3,297,100,,,
m493,5,id-2,65,20,100,0,10,2,21,100,,,
m494,5,id-1,,15,100,0,10,1,299,,,,
m495,5,id-17,95,15,100,0,10,2,298,,,,
m496,5,id-1,,15,,0,10,1,301,,,,
m497,3,id-14,,15,,4,7,1,184,,2,15,15
m498,5,id-1,40,15,100,0,10,3,303,,,,
