pokemon,ability,is_hidden,slot
442,864,0,2
442,870,1,3
443,217,0,1
443,1408,0,2
443,78,1,3
444,217,0,1
444,1408,0,2
444,78,1,3
445,1404,0,1
445,1504,0,2
445,231,1,3
566,1404,0,1
566,1504,0,2
566,231,1,3
565,83,0,1
565,864,0,2
565,235,1,3
568,83,0,1
568,864,0,2
568,235,1,3
567,218,0,1
567,1609,0,2
567,1174,1,3
562,217,0,1
562,79,0,2
562,443,1,3
561,217,0,1
561,79,0,2
561,443,1,3
564,86,0,1
564,617,0,2
564,1269,1,3
563,86,0,1
563,617,0,2
563,1269,1,3
558,867,0,1
558,322,0,2
558,1180,1,3
557,867,0,1
557,322,0,2
557,1180,1,3
702,441,0,1
702,616,0,2
702,225,1,3
703,441,0,1
703,616,0,2
703,225,1,3
616,1506,0,1
617,1506,0,1
698,1076,0,1
699,323,0,1
699,864,0,2
699,1075,1,3
696,1403,0,1
696,1374,0,2
696,1609,1,3
697,1403,0,1
697,1374,0,2
697,1609,1,3
610,215,0,1
610,441,0,2
610,1165,1,3
611,215,0,1
611,441,0,2
611,1165,1,3
1382,82,0,1
1382,871,0,2
1382,1376,1,3
1381,82,0,1
1381,871,0,2
1381,1376,1,3
1380,1610,0,1
1380,1083,1,3
1379,1610,0,1
1379,1083,1,3
1378,323,0,1
1378,1615,0,2
1378,863,1,3
1377,323,0,1
1377,1615,0,2
1377,863,1,3
1376,866,0,1
1376,1170,0,2
1376,562,1,3
1375,218,0,1
1375,557,0,2
1375,1609,1,3
1374,1504,0,1
1374,1404,0,2
1374,1405,1,3
1373,1506,0,1
1373,922,0,2
1373,867,1,3
1264,1506,0,1
1264,922,0,2
1264,867,1,3
1265,1615,0,1
1265,323,0,2
1265,1170,1,3
1266,1615,0,1
1266,323,0,2
1266,1170,1,3
1267,1614,0,1
1267,1616,0,2
1267,1077,1,3
1268,1610,0,1
1268,1380,0,2
1268,231,1,3
1269,79,0,1
1269,1267,0,2
1269,1609,1,3
1270,1617,0,1
1270,697,0,2
1270,865,1,3
1271,1608,0,1
1271,697,0,2
1271,865,1,3
1272,1617,0,1
1272,80,0,2
1272,1615,1,3
1273,1617,0,1
1273,80,0,2
1273,1615,1,3
1170,1611,0,1
1170,1614,0,2
1170,235,1,3
1169,1611,0,1
1169,1614,0,2
1169,235,1,3
136,82,0,1
136,1265,0,2
136,1381,1,3
135,324,0,1
135,1381,0,2
135,566,1,3
1166,1404,0,1
1166,1374,0,2
1166,563,1,3
1165,871,0,1
1165,438,1,3
1168,78,0,1
1168,438,1,3
1167,215,0,1
1167,1378,0,2
1167,98,1,3
1174,1502,0,1
1174,567,0,2
1174,1165,1,3
1173,1617,0,1
1173,482,1,3
1076,1502,0,1
1076,98,1,3
1077,1407,0,1
1077,441,0,2
1077,617,1,3
1074,866,0,1
1074,485,1,3
1075,217,0,1
1075,703,0,2
1075,1375,1,3
1072,1407,0,1
1072,617,1,3
1073,1406,0,1
1073,699,1,3
1070,1408,0,1
1070,320,1,3
1071,1612,0,1
1071,558,0,2
1071,235,1,3
1082,1617,0,1
1082,441,0,2
1082,1075,1,3
1083,1617,0,1
1083,441,0,2
1083,1075,1,3
227,1617,0,1
227,863,0,2
227,1075,1,3
226,1617,0,1
226,863,0,2
226,1075,1,3
225,323,0,1
225,87,0,2
225,1167,1,3
1180,1401,0,1
1180,86,0,2
1180,568,1,3
231,87,0,1
231,565,1,3
230,87,0,1
230,871,1,3
229,87,0,1
229,78,1,3
228,321,0,1
228,319,1,3
235,321,0,1
235,319,1,3
1193,1609,0,1
1193,1070,1,3
485,87,0,1
485,1167,1,3
486,1510,0,1
488,317,0,1
488,1380,1,3
98,317,0,1
98,1380,1,3
479,317,0,1
479,1380,1,3
482,316,0,1
482,1408,1,3
93,316,0,1
93,1408,1,3
484,316,0,1
484,1408,1,3
99,315,0,1
99,1165,1,3
100,315,0,1
100,1165,1,3
1583,315,0,1
1583,1165,1,3
1582,217,0,1
1582,218,0,2
1582,1273,1,3
1306,217,0,1
1306,218,0,2
1306,1273,1,3
788,1403,0,1
788,218,0,2
788,1264,1,3
1587,1403,0,1
1587,218,0,2
1587,1264,1,3
1586,324,0,1
1586,79,0,2
1586,482,1,3
1589,324,0,1
1589,79,0,2
1589,557,1,3
1588,324,0,1
1588,1403,0,2
1588,697,1,3
1575,324,0,1
1575,1403,0,2
1575,697,1,3
1297,1609,0,1
1297,486,1,3
1475,1406,0,1
1475,1611,0,2
1475,1407,1,3
1476,1406,0,1
1476,1611,0,2
1476,1407,1,3
613,871,0,1
613,1615,1,3
1474,219,0,1
1474,610,0,2
1474,1074,1,3
1479,219,0,1
1479,613,0,2
1479,1074,1,3
1480,222,0,1
1480,1616,0,2
1480,1377,1,3
1477,222,0,1
1477,1616,0,2
1477,1377,1,3
1478,1510,0,1
1478,79,0,2
1478,93,1,3
607,1510,0,1
607,79,0,2
607,93,1,3
609,871,0,1
609,220,1,3
711,871,0,1
711,220,1,3
710,871,0,1
710,220,1,3
709,1610,0,1
709,1077,1,3
708,86,0,1
708,1613,0,2
708,484,1,3
707,86,0,1
707,1613,0,2
707,484,1,3
706,864,0,1
706,323,0,2
706,482,1,3
705,1407,0,1
705,865,0,2
705,868,1,3
704,1610,0,1
704,1380,0,2
704,486,1,3
713,1610,0,1
713,1380,0,2
713,486,1,3
712,1610,0,1
712,1380,0,2
712,486,1,3
578,217,0,1
578,216,0,2
578,616,1,3
579,1610,0,1
579,698,0,2
579,79,1,3
1592,1610,0,1
1592,698,0,2
1592,79,1,3
581,869,0,1
581,1402,0,2
581,1273,1,3
582,865,0,1
582,1407,0,2
582,1373,1,3
583,865,0,1
583,1407,0,2
583,1373,1,3
584,1510,0,1
584,93,1,3
585,1510,0,1
585,1609,1,3
570,1403,0,1
570,1377,0,2
570,99,1,3
571,1404,0,1
571,1504,0,2
571,231,1,3
1280,1506,0,1
1281,1506,0,1
1282,1501,0,1
1282,227,1,3
1283,1609,0,1
1283,79,0,2
1283,484,1,3
1276,864,0,1
1276,225,1,3
1277,864,0,1
1277,225,1,3
1278,1616,0,1
1278,217,0,2
1278,482,1,3
1279,215,0,1
1279,870,0,2
1279,1401,1,3
1284,323,0,1
1284,864,0,2
1284,1165,1,3
1285,1502,0,1
1285,217,0,2
1285,482,1,3
1388,1502,0,1
1388,699,0,2
1388,482,1,3
1561,1608,0,1
1561,1617,0,2
1561,1502,1,3
1209,324,0,1
1209,1381,0,2
1209,1073,1,3
1206,864,0,1
1206,568,0,2
1206,1168,1,3
1392,324,0,1
1392,320,0,2
1392,98,1,3
1391,1609,0,1
1391,218,0,2
1391,1166,1,3
1390,216,0,1
1390,699,0,2
1390,1272,1,3
1389,320,0,1
1389,699,0,2
1389,1167,1,3
1288,81,0,1
1288,78,0,2
1288,1075,1,3
1275,81,0,1
1275,78,0,2
1275,1075,1,3
1047,1404,0,1
1047,565,0,2
1047,86,1,3
1048,1404,0,1
1048,565,0,2
1048,86,1,3
1085,222,0,1
1085,1614,0,2
1085,231,1,3
1046,222,0,1
1046,697,0,2
1046,226,1,3
1051,1503,0,1
1051,697,0,2
1051,226,1,3
1052,438,0,1
1052,222,0,2
1052,1403,1,3
1049,1617,0,1
1049,1407,0,2
1049,80,1,3
1050,218,0,1
1050,864,0,2
1050,1075,1,3
1039,79,0,1
1039,1408,0,2
1039,1167,1,3
1084,79,0,1
1084,1408,0,2
1084,1167,1,3
1146,1617,0,1
1146,697,0,2
1146,865,1,3
1145,216,0,1
1145,870,1,3
76,864,0,1
76,870,1,3
1147,1612,0,1
1147,558,0,2
1147,235,1,3
1150,1502,0,1
1150,1273,0,2
1150,484,1,3
1149,1504,0,1
1149,1381,0,2
1149,226,1,3
1152,320,0,1
1152,566,0,2
1152,438,1,3
1151,1502,0,1
1151,1381,0,2
1151,566,1,3
1138,1404,0,1
1138,1374,0,2
1138,617,1,3
791,871,0,1
791,438,1,3
800,78,0,1
800,438,1,3
801,86,0,1
801,1267,0,2
801,484,1,3
802,1614,0,1
802,1616,0,2
802,1077,1,3
803,87,0,1
803,1609,1,3
804,87,0,1
804,1609,1,3
805,87,0,1
805,1609,1,3
806,320,0,1
806,870,1,3
807,321,0,1
808,84,0,1
808,1167,1,3
809,87,0,1
809,1070,1,3
928,87,0,1
928,231,1,3
927,1614,0,1
926,317,0,1
926,562,1,3
925,317,0,1
925,562,1,3
924,317,0,1
924,562,1,3
923,316,0,1
923,869,1,3
922,316,0,1
922,869,1,3
921,316,0,1
921,869,1,3
920,315,0,1
920,865,1,3
919,315,0,1
919,865,1,3
559,315,0,1
559,865,1,3
560,217,0,1
560,699,0,2
560,482,1,3
1527,1502,0,1
1527,699,0,2
1527,98,1,3
1530,216,0,1
1530,568,0,2
1530,699,1,3
555,216,0,1
555,568,0,2
555,699,1,3
556,1409,0,1
556,217,1,3
553,321,0,1
554,324,0,1
554,445,1,3
1536,321,0,1
1537,1409,0,1
1537,1402,1,3
693,1617,0,1
693,85,0,2
693,1504,1,3
692,1617,0,1
692,85,0,2
692,1504,1,3
695,1617,0,1
695,85,0,2
695,1504,1,3
694,1610,0,1
694,79,0,2
694,1166,1,3
689,1610,0,1
689,79,0,2
689,1166,1,3
688,1610,0,1
688,79,0,2
688,1166,1,3
691,320,0,1
691,1267,1,3
690,320,0,1
690,1267,1,3
701,218,0,1
701,617,0,2
701,85,1,3
700,218,0,1
700,868,0,2
700,85,1,3
539,1510,0,1
539,1612,0,2
539,227,1,3
540,1510,0,1
540,1612,0,2
540,227,1,3
541,1510,0,1
541,1612,0,2
541,227,1,3
542,1617,0,1
542,85,1,3
535,1502,0,1
535,1167,1,3
536,1505,0,1
536,702,0,2
536,699,1,3
537,1505,0,1
537,702,0,2
537,1381,1,3
538,221,0,1
533,438,0,1
534,221,0,1
673,1402,0,1
673,217,1,3
672,869,0,1
672,486,1,3
671,1507,0,1
670,82,0,1
670,482,1,3
677,82,0,1
677,1267,1,3
676,82,0,1
676,1267,1,3
675,86,0,1
675,320,0,2
675,1165,1,3
674,86,0,1
674,320,0,2
674,1165,1,3
667,86,0,1
667,1613,0,2
667,484,1,3
666,864,0,1
666,83,0,2
666,100,1,3
1162,219,0,1
1162,696,0,2
1162,228,1,3
1161,219,0,1
1161,696,0,2
1161,228,1,3
1164,218,0,1
1164,1382,0,2
1164,99,1,3
1163,215,0,1
1163,1502,0,2
1163,1165,1,3
129,864,0,1
129,323,0,2
129,1072,1,3
128,864,0,1
128,323,0,2
128,1072,1,3
1160,864,0,1
1160,323,0,2
1160,1072,1,3
1159,440,0,1
1159,227,1,3
1156,440,0,1
1156,227,1,3
1155,871,0,1
1155,1615,0,2
1155,211,1,3
1068,871,0,1
1068,1615,0,2
1068,211,1,3
1069,220,0,1
1069,1615,1,3
1066,211,0,1
1066,1406,1,3
1067,1611,0,1
1067,324,0,2
1067,99,1,3
1064,1404,0,1
1064,1264,0,2
1064,99,1,3
1065,1614,0,1
1065,1608,0,2
1065,1380,1,3
1062,318,0,1
1062,322,0,2
1062,568,1,3
1063,318,0,1
1063,322,0,2
1063,568,1,3
1060,1508,0,1
1060,869,1,3
1061,1508,0,1
1061,869,1,3
1369,80,0,1
1369,1404,0,2
1369,87,1,3
1368,80,0,1
1368,1404,0,2
1368,87,1,3
1367,1404,0,1
1367,564,0,2
1367,1504,1,3
1366,81,0,1
1366,1270,0,2
1366,567,1,3
1365,439,0,1
1365,436,0,2
1365,441,1,3
1364,86,0,1
1364,1504,0,2
1364,568,1,3
1363,86,0,1
1363,1504,0,2
1363,568,1,3
1362,1504,0,1
1362,443,0,2
1362,1168,1,3
1371,215,0,1
1371,437,0,2
1371,1165,1,3
1370,1506,0,1
1256,1506,0,1
1257,870,0,1
1257,1407,1,3
1258,870,0,1
1258,1407,1,3
1259,1614,0,1
1259,1405,1,3
1260,1614,0,1
1260,1405,1,3
1261,1401,0,1
1261,1071,1,3
1262,321,0,1
1262,486,1,3
1263,1506,0,1
1254,1506,0,1
1255,1404,0,1
1255,1375,0,2
1255,617,1,3
423,1404,0,1
423,1375,0,2
423,617,1,3
1551,215,0,1
1551,441,0,2
1551,703,1,3
1554,215,0,1
1554,441,0,2
1554,703,1,3
1553,1506,0,1
1556,1506,0,1
1555,1503,0,1
1555,1268,1,3
477,1503,0,1
477,1268,1,3
1557,863,0,1
1557,1617,1,3
1560,863,0,1
1560,1617,1,3
1559,1617,0,1
1559,1404,0,2
1559,703,1,3
1446,319,0,1
1446,613,0,2
1446,219,1,3
1447,212,0,1
1444,1400,0,1
1444,1575,1,3
1445,1403,0,1
1445,1273,0,2
1445,1076,1,3
1450,1403,0,1
1450,1273,0,2
1450,1076,1,3
1451,1506,0,1
1451,1273,1,3
1448,87,0,1
1448,1273,1,3
1449,1610,0,1
1449,698,0,2
1449,1083,1,3
1453,1506,0,1
1454,87,0,1
1454,1377,0,2
1454,479,1,3
1007,1501,0,1
1007,227,1,3
1005,1609,0,1
1005,1269,0,2
1005,226,1,3
1004,1609,0,1
1004,1269,0,2
1004,226,1,3
160,86,0,1
160,1269,0,2
160,1404,1,3
167,86,0,1
167,1269,0,2
167,1404,1,3
254,86,0,1
254,1269,0,2
254,1404,1,3
1013,441,0,1
1013,482,1,3
1011,1617,0,1
1011,80,1,3
157,1617,0,1
157,617,1,3
156,1617,0,1
156,323,0,2
156,864,1,3
35,1617,0,1
35,617,1,3
36,323,0,1
36,1165,1,3
37,323,0,1
37,225,1,3
304,1502,0,1
304,98,1,3
31,1509,0,1
31,1073,1,3
32,1509,0,1
32,1073,1,3
296,1509,0,1
296,1073,1,3
34,1509,0,1
34,864,1,3
27,1509,0,1
27,1269,1,3
28,1509,0,1
28,1073,1,3
184,1506,0,1
183,1506,0,1
186,868,0,1
185,436,0,1
180,442,0,1
179,1616,0,1
182,87,0,1
181,317,0,1
181,441,1,3
190,317,0,1
190,441,1,3
189,317,0,1
189,441,1,3
362,316,0,1
362,557,1,3
363,316,0,1
363,557,1,3
54,316,0,1
54,557,1,3
55,315,0,1
55,1174,1,3
52,315,0,1
52,1174,1,3
53,315,0,1
53,1174,1,3
50,218,0,1
50,1170,1,3
51,1502,0,1
51,1170,1,3
366,1502,0,1
366,1170,1,3
367,564,0,1
367,1373,0,2
367,226,1,3
997,564,0,1
997,1373,0,2
997,226,1,3
1027,321,0,1
1027,217,1,3
1024,324,0,1
1024,1381,1,3
1025,445,0,1
1025,1502,0,2
1025,320,1,3
1030,445,0,1
1030,1502,0,2
1030,320,1,3
1031,445,0,1
1031,1502,0,2
1031,320,1,3
999,1614,0,1
999,1608,0,2
999,1380,1,3
1029,1614,0,1
1029,1608,0,2
1029,1381,1,3
1032,1378,0,1
1032,1165,1,3
1033,1378,0,1
1033,1165,1,3
7,864,0,1
7,82,1,3
6,864,0,1
6,82,1,3
1128,321,0,1
1128,225,1,3
1127,1375,0,1
1127,225,1,3
1130,324,0,1
1130,1264,1,3
1129,1272,0,1
1129,222,1,3
1132,87,0,1
1132,1167,1,3
1131,217,0,1
1131,216,0,2
1131,1406,1,3
1134,1617,0,1
1134,80,1,3
1133,1617,0,1
1133,80,1,3
1229,1610,0,1
1230,136,0,1
1231,322,0,1
1231,1268,0,2
1231,100,1,3
1232,322,0,1
1232,1268,0,2
1232,100,1,3
1225,1381,0,1
1225,216,0,2
1225,616,1,3
1226,1376,0,1
1226,562,0,2
1226,1082,1,3
1227,1376,0,1
1227,562,0,2
1227,1082,1,3
1228,217,0,1
1228,1379,0,2
1228,866,1,3
1222,219,0,1
1222,1379,0,2
1222,866,1,3
1223,1506,0,1
1341,1403,0,1
1341,1377,0,2
1341,98,1,3
1340,866,0,1
1340,1504,0,2
1340,218,1,3
1339,86,0,1
1339,1504,0,2
1339,1174,1,3
1338,1506,0,1
1345,867,0,1
1345,1376,0,2
1345,218,1,3
1344,867,0,1
1344,1376,0,2
1344,218,1,3
1343,1506,0,1
1343,561,0,2
1343,1072,1,3
1342,1506,0,1
1342,561,0,2
1342,1072,1,3
1336,864,0,1
1336,323,0,2
1336,482,1,3
1335,82,0,1
1335,1265,0,2
1335,1381,1,3
551,1614,0,1
551,1616,0,2
551,1074,1,3
552,218,0,1
552,443,0,2
552,230,1,3
549,87,0,1
549,486,1,3
550,870,0,1
550,1508,1,3
547,870,0,1
547,1508,1,3
548,870,0,1
548,1508,1,3
545,216,0,1
545,86,0,2
545,568,1,3
546,566,0,1
546,1609,0,2
546,99,1,3
543,566,0,1
543,1609,0,2
543,479,1,3
544,84,0,1
544,100,1,3
685,84,0,1
685,100,1,3
684,863,0,1
684,697,0,2
684,218,1,3
687,863,0,1
687,697,0,2
687,218,1,3
686,1375,0,1
686,563,0,2
686,1180,1,3
681,1375,0,1
681,563,0,2
681,1180,1,3
680,1506,0,1
683,1617,0,1
683,1268,0,2
683,80,1,3
682,1617,0,1
682,1268,0,2
682,80,1,3
679,1617,0,1
679,1407,0,2
679,80,1,3
678,1271,0,1
678,82,1,3
792,1271,0,1
792,82,1,3
793,87,0,1
793,1166,1,3
794,83,0,1
794,864,0,2
794,235,1,3
795,1504,0,1
795,1404,0,2
795,1405,1,3
796,1615,0,1
796,1270,0,2
796,1170,1,3
797,1610,0,1
797,1380,0,2
797,231,1,3
798,444,0,1
798,438,1,3
799,78,0,1
799,438,1,3
789,222,0,1
789,1616,0,2
789,1377,1,3
790,869,0,1
790,1264,0,2
790,1273,1,3
912,1380,0,1
912,1610,1,3
911,565,0,1
911,1269,1,3
910,215,0,1
910,870,0,2
910,702,1,3
909,1404,0,1
909,565,0,2
909,86,1,3
908,703,0,1
908,558,0,2
908,235,1,3
907,566,0,1
907,479,1,3
906,864,0,1
906,83,0,2
906,100,1,3
905,87,0,1
905,1273,1,3
916,565,0,1
916,1076,1,3
915,1506,0,1
18,1506,0,1
19,1506,0,1
16,1506,0,1
17,87,0,1
17,227,1,3
22,87,0,1
22,227,1,3
23,1408,0,1
23,78,1,3
20,1266,0,1
21,87,0,1
21,227,1,3
14,1506,0,1
15,617,0,1
147,617,0,1
146,135,0,1
149,1614,0,1
148,1169,0,1
151,1306,0,1
150,317,0,1
150,1168,1,3
153,317,0,1
153,1168,1,3
152,317,0,1
152,1168,1,3
145,316,0,1
145,86,1,3
144,316,0,1
144,86,1,3
897,316,0,1
897,1170,1,3
896,315,0,1
896,441,1,3
895,315,0,1
895,441,1,3
894,315,0,1
894,441,1,3
901,217,0,1
901,218,0,2
901,235,1,3
900,1611,0,1
900,218,0,2
900,235,1,3
899,438,0,1
899,216,0,2
899,217,1,3
898,1502,0,1
898,229,0,2
898,1267,1,3
893,1502,0,1
893,229,0,2
893,1267,1,3
892,866,0,1
892,562,0,2
892,99,1,3
780,866,0,1
780,562,0,2
780,99,1,3
781,568,0,1
781,317,1,3
782,568,0,1
782,317,1,3
783,568,0,1
783,316,1,3
776,568,0,1
776,316,1,3
777,568,0,1
777,315,1,3
778,568,0,1
778,315,1,3
779,1374,0,1
779,1510,0,2
779,227,1,3
774,1374,0,1
774,1510,0,2
774,227,1,3
775,230,0,1
775,1377,0,2
775,445,1,3
644,230,0,1
644,1377,0,2
644,445,1,3
643,230,0,1
643,1377,0,2
643,445,1,3
646,1615,0,1
646,444,0,2
646,484,1,3
645,1615,0,1
645,444,0,2
645,484,1,3
648,864,0,1
648,1075,0,2
648,100,1,3
647,864,0,1
647,1075,0,2
647,100,1,3
650,864,0,1
650,84,0,2
650,100,1,3
649,1373,0,1
649,1379,0,2
649,564,1,3
652,1373,0,1
652,1379,0,2
652,564,1,3
651,229,0,1
651,100,0,2
651,1378,1,3
521,229,0,1
521,100,0,2
521,1378,1,3
522,1077,0,1
522,231,0,2
522,1379,1,3
519,320,0,1
519,1165,0,2
519,557,1,3
520,320,0,1
520,1165,0,2
520,557,1,3
525,320,0,1
525,1165,0,2
525,557,1,3
526,1617,0,1
526,617,0,2
526,1407,1,3
523,1617,0,1
523,617,0,2
523,1407,1,3
524,1617,0,1
524,1180,0,2
524,1407,1,3
527,320,0,1
527,1609,0,2
527,1378,1,3
528,864,0,1
528,1609,0,2
528,1378,1,3
416,324,0,1
416,1610,0,2
416,225,1,3
415,1380,0,1
415,1610,0,2
415,225,1,3
414,324,0,1
414,1610,0,2
414,225,1,3
413,1608,0,1
413,324,0,2
413,869,1,3
753,1608,0,1
753,324,0,2
753,869,1,3
411,1608,0,1
411,324,0,2
411,869,1,3
410,99,0,1
410,486,0,2
410,1610,1,3
409,99,0,1
409,486,0,2
409,1610,1,3
418,1610,0,1
418,1504,0,2
418,1380,1,3
417,1610,0,1
417,1504,0,2
417,1380,1,3
291,1170,0,1
291,703,0,2
291,1378,1,3
292,1502,0,1
292,98,0,2
292,567,1,3
293,1502,0,1
293,98,0,2
293,567,1,3
294,1502,0,1
294,98,0,2
294,567,1,3
295,222,0,1
295,1609,1,3
1109,1165,0,1
1109,1582,1,3
297,1407,0,1
297,1610,0,2
297,1268,1,3
298,864,0,1
298,441,0,2
298,1075,1,3
287,864,0,1
287,441,0,2
287,1075,1,3
12,321,0,1
12,98,0,2
12,1502,1,3
176,321,0,1
176,98,0,2
176,1502,1,3
175,228,0,1
175,610,0,2
175,1264,1,3
178,488,0,1
177,488,0,1
172,1270,0,1
172,864,0,2
172,1617,1,3
171,1270,0,1
171,864,0,2
171,1617,1,3
174,1173,0,1
173,1173,0,1
169,867,0,1
169,322,0,2
169,1376,1,3
168,867,0,1
168,1075,0,2
168,1376,1,3
48,1193,0,1
49,1193,0,1
46,219,0,1
46,1381,0,2
46,616,1,3
47,219,0,1
47,1381,0,2
47,616,1,3
44,1273,0,1
44,613,0,2
44,1501,1,3
45,1273,0,1
45,613,0,2
45,1501,1,3
42,1273,0,1
42,613,0,2
42,1501,1,3
43,225,0,1
43,610,0,2
43,231,1,3
40,225,0,1
40,610,0,2
40,231,1,3
41,225,0,1
41,610,0,2
41,231,1,3
1424,218,0,1
1424,230,0,2
1424,617,1,3
1564,218,0,1
1564,230,0,2
1564,617,1,3
1563,1269,0,1
1563,565,0,2
1563,1075,1,3
1562,1269,0,1
1562,565,0,2
1562,1075,1,3
1569,1269,0,1
1569,1271,0,2
1569,1075,1,3
1568,1610,0,1
1568,484,0,2
1568,1616,1,3
1567,1610,0,1
1567,484,0,2
1567,1616,1,3
1566,871,0,1
1566,444,1,3
1572,324,0,1
1572,321,0,2
1572,611,1,3
1571,324,0,1
1571,441,0,2
1571,225,1,3
1459,1505,0,1
1459,231,1,3
1460,1505,0,1
1460,231,1,3
1461,1407,0,1
1461,1076,0,2
1461,865,1,3
1462,1407,0,1
1462,1076,0,2
1462,865,1,3
1455,1077,0,1
1455,617,0,2
1455,231,1,3
1456,1402,0,1
1456,1167,0,2
1456,324,1,3
1457,1402,0,1
1457,1167,0,2
1457,324,1,3
1458,1583,0,1
1463,1583,0,1
1463,1375,1,3
1464,220,0,1
1464,211,0,2
1464,1509,1,3
338,220,0,1
338,211,0,2
338,1509,1,3
339,220,0,1
339,211,0,2
339,1509,1,3
340,1506,0,1
341,1506,0,1
420,1506,0,1
472,227,0,1
472,1510,0,2
472,235,1,3
344,227,0,1
344,1510,0,2
344,235,1,3
345,1408,0,1
345,78,0,2
345,486,1,3
242,1408,0,1
242,78,0,2
242,486,1,3
243,1408,0,1
243,78,0,2
243,486,1,3
471,445,0,1
471,1378,0,2
471,1167,1,3
470,445,0,1
470,1378,0,2
470,1167,1,3
469,445,0,1
469,1378,0,2
469,1167,1,3
468,565,0,1
468,1282,0,2
468,482,1,3
467,565,0,1
467,1282,0,2
467,1617,1,3
466,1506,0,1
465,617,0,1
465,441,0,2
465,225,1,3
464,617,0,1
464,322,0,2
464,562,1,3
463,871,0,1
463,866,0,2
463,870,1,3
462,1609,0,1
462,231,0,2
462,1170,1,3
97,1609,0,1
97,231,0,2
97,1170,1,3
489,1508,0,1
489,1165,0,2
489,1378,1,3
95,557,0,1
95,1379,0,2
95,611,1,3
96,557,0,1
96,1379,0,2
96,611,1,3
1211,1174,0,1
1211,1609,0,2
1211,87,1,3
94,1174,0,1
94,1609,0,2
94,87,1,3
91,1170,0,1
91,484,0,2
91,82,1,3
92,218,0,1
92,1165,0,2
92,222,1,3
101,218,0,1
101,1165,0,2
101,1174,1,3
102,230,0,1
102,225,0,2
102,1075,1,3
1186,230,0,1
1186,225,0,2
1186,1075,1,3
1185,568,0,1
1185,1408,0,2
1185,439,1,3
1189,324,0,1
1189,222,0,2
