medium,position,format,track_count
m_ffa44e5b,1,1.0,2
m_4c10835e,1,1.0,8
m_1f32af6c,1,1.0,3
m_d45183f3,1,,13
m_e151d029,1,1.0,10
m_2b14abc3,1,1.0,25
m_8baa591a,1,1.0,21
m_949858db,1,1.0,20
m_2ab45f21,1,1.0,20
m_97fef479,1,1.0,15
m_581b0128,1,,19
m_5b8c8115,1,31.0,12
m_636a2bdb,2,1.0,25
m_f8618a89,1,12.0,48
m_47629a62,1,1.0,20
m_968e567d,1,1.0,13
m_2fb21ebf,1,1.0,21
m_a6891da0,1,1.0,22
m_02662991,1,1.0,9
m_a28c28d9,1,1.0,11
m_aa2a75d6,1,12.0,12
m_2971b63b,1,12.0,212
m_26d4545f,1,12.0,19
m_8e4193b5,1,,14
m_9b931dcf,2,1.0,11
m_e5c9de9a,1,1.0,8
m_90be11c6,1,1.0,10
m_c90d6078,2,1.0,7
m_6c704625,1,,17
m_8cfd8637,2,1.0,19
m_22e49e79,1,1.0,11
m_651bfdc3,1,1.0,13
m_a3f5b02b,1,1.0,4
m_80a0a170,3,33.0,4
m_d945edd7,1,,8
m_66c27b41,1,1.0,10
m_332f1794,1,1.0,25
m_bf13c079,1,,28
m_f03abf09,1,1.0,8
m_3597664e,1,1.0,11
m_e192ffae,1,1.0,12
m_fe863eed,1,1.0,14
m_5ffdb142,1,1.0,20
m_72708e9f,1,1.0,18
m_719a6fe8,1,1.0,16
m_8b6f6205,1,,15
m_a4bf2616,1,1.0,17
m_efaabc48,1,1.0,17
m_77f9c5ee,1,1.0,21
m_4dfdfe40,1,1.0,16
m_d8b19c68,1,1.0,17
m_998e6d1f,1,1.0,12
m_44840462,1,,17
m_fb87fdf9,1,12.0,18
m_4fcb79a3,1,12.0,75
m_7439a2c6,1,1.0,19
m_c80408fb,1,29.0,2
m_a10d19dc,1,1.0,12
m_172ff5be,1,1.0,7
m_6d10209c,1,1.0,12
m_45eddb2b,1,1.0,14
m_62ce90fd,2,31.0,14
m_dfd40726,1,1.0,7
m_54dc9852,1,,25
m_0cbb373e,1,1.0,10
m_8f13c262,1,,12
m_2a45f8ab,1,1.0,24
m_01561c45,1,1.0,14
m_26ead0bc,1,12.0,11
m_e1a3dafc,1,,16
m_77f257ce,1,26.0,17
m_f1b99981,1,1.0,12
m_0c436bc6,1,12.0,287
m_608bcdbe,1,1.0,11
m_13fcc817,1,34.0,4
m_165f371f,1,1.0,15
m_b0732c7e,1,1.0,16
m_7eebdf7a,1,1.0,18
m_9514c20f,1,1.0,9
m_a801204b,1,33.0,11
m_fad28e22,1,8.0,4
m_d6bf7f7d,1,1.0,18
m_ae9ac044,1,1.0,20
m_f2fe8867,2,1.0,16
m_ecf20028,1,12.0,1
m_5df9824c,1,7.0,6
m_cd648a5a,1,,14
m_ad4b268a,1,12.0,18
m_c5cd7cbd,1,1.0,19
m_af6bf071,2,1.0,14
m_622027c3,1,1.0,8
m_6b9bbe20,1,8.0,3
m_3a9c5864,1,8.0,13
m_f6c641d1,1,1.0,15
m_b5cfba7c,1,1.0,13
m_cb8a4668,1,1.0,12
m_4bd25d56,1,,14
m_b43487b5,1,1.0,17
m_e1820a0d,1,7.0,14
m_eb99a2d1,1,12.0,14
m_e740742a,1,1.0,11
m_03898e16,1,31.0,9
m_54b5a645,1,1.0,15
m_1fc55078,1,1.0,9
m_5ca020ce,1,7.0,19
m_07ad676f,1,1.0,13
m_015499ef,1,1.0,11
m_9a2cb826,3,19.0,15
m_59e23899,2,1.0,9
m_a96a99a4,1,1.0,12
m_0b41bc89,1,1.0,7
m_9b8e52b0,1,1.0,22
m_feba2f98,1,1.0,7
m_e57fba0b,1,31.0,14
m_720aa45f,1,33.0,12
m_d5106db2,1,1.0,15
m_bd3ec020,1,1.0,20
m_4037ce71,1,1.0,15
m_71134ff5,1,1.0,8
m_60e7a701,1,1.0,14
m_6741f73d,1,1.0,19
m_47f13aa4,1,1.0,21
m_3bbe51f6,1,1.0,12
m_e1fe5ea2,1,1.0,10
m_b8640600,1,12.0,69
m_c18afe21,1,,16
m_9fae9fc2,1,,18
m_7bf9ba60,1,1.0,15
m_8048329c,1,1.0,12
m_ab881ba0,1,1.0,15
m_59e2073b,1,1.0,12
m_eaff8101,1,,10
m_566265a5,1,,22
m_59a0638e,1,31.0,2
m_4c97b19a,9,1.0,26
m_a28e2c52,1,1.0,18
m_5c776659,1,12.0,39
m_8c9969d6,1,12.0,4
m_e23c17fc,2,1.0,29
m_81f90f04,1,1.0,6
m_f1120c70,1,,23
m_7539cdcc,1,31.0,11
m_a5054a6f,1,12.0,12
m_966a86ca,1,7.0,12
m_3898943a,1,29.0,5
m_f02bdcf6,1,1.0,4
m_69bc362c,1,1.0,9
m_55ecc774,1,8.0,5
m_fd3a4186,1,31.0,5
m_e0d1a93e,1,12.0,7
m_70e66ff9,1,1.0,75
m_15b9765f,1,1.0,13
m_7489e6fc,1,,18
m_a8d8ca6a,1,,11
m_e469b02f,1,,14
m_c8fa5b7a,1,1.0,15
m_8def4810,1,1.0,18
m_ada71bea,1,1.0,14
m_adb3af17,1,1.0,6
m_97ebda36,1,1.0,28
m_17bbc767,1,31.0,23
m_f301a00b,1,1.0,40
m_2d2320d4,1,,10
m_029bb81b,1,,16
m_593fc55b,1,12.0,1
m_320edd4e,1,,23
m_16f5a935,1,1.0,11
m_483531da,1,1.0,10
m_a9d22c35,1,12.0,22
m_20c18109,1,,21
m_898614e3,1,1.0,14
m_96d2f49c,1,12.0,31
m_64026069,1,1.0,10
m_98a35268,1,1.0,23
m_ef7df8c4,1,29.0,9
m_2423d248,1,1.0,12
m_f3c1c05a,1,12.0,14
m_789174b6,1,1.0,17
m_9e6c5e23,1,1.0,24
m_597436a1,1,12.0,1
m_7847c0f6,1,1.0,13
m_4122850a,1,1.0,11
m_ffc43cba,1,1.0,5
m_81e9ade7,1,1.0,48
m_04f55cde,1,12.0,40
m_4b93584e,1,,18
m_ef3a89d5,1,31.0,8
m_f9fe8731,1,1.0,18
m_ce8d2633,1,1.0,9
m_67abc313,1,1.0,13
m_800043f2,1,1.0,10
m_3bfcd403,2,1.0,29
m_34fc2edf,1,1.0,10
m_93fbe2ff,1,31.0,9
m_b08ab92e,1,,35
m_d0a241af,1,1.0,15
m_f148fa84,1,31.0,16
m_80ba0409,1,1.0,22
m_df5111ed,1,1.0,13
m_57f03443,1,1.0,16
m_c5a79086,1,1.0,16
m_40dea81c,1,1.0,6
m_46c84437,1,1.0,11
m_89f57865,1,1.0,9
m_7ff4b23e,1,1.0,9
m_3312bb4e,1,8.0,5
m_2bcd481c,1,31.0,6
m_bfa05a77,1,1.0,32
m_333889ca,1,,21
m_b9a7daf9,1,1.0,8
m_8d79e484,1,1.0,13
m_632c6da2,1,1.0,10
m_ee1f52c5,1,,12
m_5f70489a,1,1.0,16
m_8e8d03c3,1,1.0,13
m_278ce3b5,1,,18
m_73ce7e84,1,1.0,6
m_0e67e09a,1,1.0,22
m_03d1f0d1,1,1.0,12
m_0d994f25,1,1.0,15
m_26ce6f7b,1,12.0,25
m_1b833b4c,2,1.0,18
m_fc333c97,1,1.0,8
m_8a6b0807,1,1.0,15
m_456e02c6,1,12.0,99
m_9189f7b0,1,1.0,18
m_c28e3487,1,33.0,16
m_1e68dd06,1,1.0,16
m_649b89f6,2,1.0,18
m_a74f362a,1,12.0,132
m_7b55735a,1,1.0,11
m_30126403,1,1.0,16
m_85d69847,1,1.0,9
m_492c8e4c,1,12.0,214
m_14dfad0b,1,1.0,16
m_4235da31,1,1.0,10
m_cd5af07e,1,,10
m_9240626f,1,1.0,11
m_d404d43c,2,1.0,24
m_e2efc911,18,1.0,15
m_96dfc99d,1,12.0,7
m_5675ebae,1,1.0,16
m_5234b068,1,31.0,8
m_aa501758,1,1.0,6
m_65973662,1,1.0,14
m_de1bb39b,5,1.0,22
m_dbbb612b,4,1.0,22
m_42184b95,1,1.0,48
m_c9582815,1,1.0,16
m_110b9c50,1,1.0,12
m_cad2a1ed,1,1.0,4
m_876a4d91,1,,14
m_52943a20,1,31.0,8
m_75b66be3,1,1.0,20
m_c4e64ee3,1,8.0,4
m_cb46845b,1,1.0,12
m_f271abc2,1,,13
m_639447be,20,1.0,43
m_e80b6bb1,1,12.0,10
m_a65354a3,1,12.0,11
m_1b02f77a,1,1.0,11
m_e7a58727,1,1.0,96
m_42d6dda4,1,1.0,29
m_a9fc3846,1,12.0,8
m_afbf64f5,1,1.0,12
m_53f58a0d,1,1.0,14
m_73b49530,1,1.0,23
m_f7418b6c,1,,18
m_9bbec0da,1,1.0,10
m_a9aee89a,1,1.0,5
m_a0e9d8ca,1,1.0,8
m_1917b1ce,1,1.0,11
m_4ddf683c,1,1.0,7
m_f0562ea0,2,1.0,10
m_186a991a,1,12.0,28
m_99cc6cf1,1,1.0,10
m_cecc7041,1,1.0,18
m_6375090f,2,12.0,18
m_05b5c94e,3,1.0,18
m_a7f777b5,1,12.0,15
m_8d8d7d68,1,1.0,15
m_0a2312a1,1,12.0,7
m_5a808d44,1,1.0,4
m_302c720a,2,1.0,9
m_2015b9a2,1,1.0,23
m_2e4ffce1,1,1.0,8
m_03d5368d,1,1.0,12
m_0dc0d407,1,12.0,45
m_544818c4,1,1.0,13
m_e0af73d7,1,12.0,16
m_27de0c9e,1,12.0,84
m_0d76fdb3,1,,16
m_7aff780e,1,42.0,12
m_83aa90e1,1,1.0,13
m_17486c17,1,8.0,4
m_9689c3ea,1,1.0,11
m_adb9869b,1,1.0,15
m_ae00e12e,1,1.0,18
m_6aaf1339,2,1.0,6
m_7b0a17fa,1,19.0,28
m_0f6af3d6,1,,18
m_ef65d05b,2,,14
m_e824420b,1,1.0,13
m_c145a70e,1,1.0,13
m_78aa092c,1,1.0,63
m_7473c242,1,,13
m_d988cac7,1,1.0,12
m_e8c96532,1,1.0,10
m_5dc49813,1,,14
m_66466e75,1,1.0,24
m_ff78f683,1,,15
m_3d8558ab,1,1.0,10
m_b2d7e3df,1,,13
m_8c9f6c07,1,1.0,15
m_d9648a08,1,12.0,161
m_571577fb,1,1.0,8
m_ecd160f0,1,1.0,19
m_0fb93fc9,1,12.0,6
m_ce4b48ad,1,12.0,5
m_b4cbdbe8,1,1.0,8
m_c04c0166,1,,30
m_3475ea5c,1,1.0,4
m_23d8466a,1,1.0,26
m_ab57abb8,1,1.0,36
m_70a31f22,1,1.0,6
m_4ee9c6f6,1,12.0,10
m_8ca1423f,1,1.0,9
m_8be892a7,2,1.0,20
m_73e2b10b,1,1.0,12
m_9a8120cf,1,8.0,9
m_4005516f,1,1.0,13
m_4fbffd91,1,1.0,16
m_c26193ec,1,12.0,11
m_d93de0b0,1,,12
m_a8036fee,1,,24
m_b1e0df98,1,1.0,15
m_8a22ec39,1,,14
m_da94273e,1,1.0,18
m_6071c20a,1,12.0,16
m_f0f723e0,1,1.0,6
m_6d038941,2,1.0,8
m_733d289d,1,,9
m_c5c6f640,1,31.0,14
m_98087318,1,1.0,5
m_622ead03,1,1.0,11
m_9bf74a57,1,1.0,14
m_3138f4e6,1,1.0,22
m_8865baa2,1,1.0,19
m_c15be852,1,1.0,19
m_9ff048ca,1,8.0,6
m_b3ab8ba3,1,1.0,15
m_810b4f59,1,,26
m_c7863e3a,1,,11
m_eda8979f,1,1.0,24
m_1dad4dea,1,1.0,15
m_04cc20e5,1,1.0,12
m_969f905c,1,31.0,9
m_5c34af14,1,1.0,18
m_3a46b7e5,1,1.0,67
m_b6b6af4e,1,,28
m_6e8abff2,2,1.0,14
m_a8950c76,1,,13
m_b15eac7e,1,,16
m_b3dc56ec,1,1.0,8
m_7cff2dbc,1,1.0,11
m_6c6fd90c,1,12.0,18
m_51e1e0a0,1,1.0,2
m_12cab865,1,12.0,15
m_70576666,1,1.0,85
m_c73f666d,1,1.0,14
m_ea3b4481,1,31.0,12
m_a1807da6,1,1.0,6
m_9cecd7eb,1,31.0,10
m_81c5fe71,1,,16
m_46e51449,1,12.0,11
m_16ffd6aa,1,31.0,3
m_20e9d8fa,1,1.0,20
m_3f6a15f9,1,1.0,13
m_4d618ddc,1,7.0,12
m_0a9a0ec0,1,,12
m_efdbc1c3,1,1.0,12
m_4f41ff44,1,,12
m_6318772b,1,12.0,17
m_5a48bc4d,2,1.0,22
m_e81d489f,1,,17
m_9d198fc8,1,12.0,143
m_24f04d9b,1,1.0,14
m_a1aebedf,1,,16
m_5bde5401,1,,13
m_f63b3f19,1,1.0,16
m_3db19fc0,1,12.0,6
m_f78518fd,1,1.0,12
m_98f7815d,1,1.0,10
m_27045758,1,1.0,21
m_21278fbb,11,1.0,5
m_f89d3093,1,1.0,2
m_c5c988da,1,1.0,12
m_06dca4ba,1,1.0,20
m_12715b5d,1,1.0,12
m_ff8e8daf,1,1.0,8
m_7600ae11,2,,20
m_1b5333d0,1,,14
m_1b2fa161,1,12.0,16
m_22643f5c,1,1.0,17
m_831e04fb,2,1.0,22
m_efccbae3,1,1.0,26
m_ef4d90ef,1,1.0,13
m_9071d247,1,12.0,10
m_16bd1758,1,1.0,10
m_b96cd8ad,1,1.0,13
m_4891b056,1,,12
m_5346471d,1,1.0,12
m_614608b3,1,1.0,14
m_b617bea0,1,1.0,10
m_902435d6,1,,6
m_dadfec75,2,1.0,19
m_46f73d47,1,1.0,12
m_245ed3f4,1,,12
m_185ec6c6,1,,16
m_c3ce2060,1,,14
m_3dd11853,1,1.0,27
m_28a5c623,1,,56
m_59bfc021,1,1.0,13
m_bbe577f0,1,,11
m_95d76e0a,1,,10
m_3c863ac0,1,,15
m_9f0a4cf2,1,1.0,28
m_c1c641d7,1,12.0,22
m_dff2ed3d,1,12.0,3
m_43590392,1,1.0,30
m_291ac081,1,1.0,8
m_e81d8518,1,1.0,9
m_72e28f99,1,1.0,18
m_a035842a,1,,2
m_30addc0a,1,1.0,18
m_5a76ad1e,8,33.0,31
m_d7b9541e,1,1.0,21
m_623a88eb,1,1.0,21
m_c61d4355,1,1.0,12
m_0cb2b84f,163,1.0,23
m_3ba874ed,1,1.0,10
m_aaaf73e4,2,,9
m_960e6a47,2,,9
m_0e0a5594,1,1.0,14
m_06100caa,1,1.0,10
m_83a2367a,1,,11
m_d3d521ed,1,1.0,10
m_3407078f,1,1.0,13
m_8a6de706,1,1.0,22
m_0827b6a0,1,1.0,10
m_0d71e257,1,,8
m_15c45ecf,1,1.0,16
m_b391259b,1,1.0,31
m_46c30bd1,1,8.0,10
m_890610fc,1,1.0,15
m_12308e6d,1,7.0,12
m_f2e355d0,1,1.0,11
m_ca57ffda,1,1.0,9
m_bd4f9ee6,1,34.0,2
m_25d97474,1,1.0,14
m_6877fb00,1,1.0,5
m_8f413213,1,12.0,76
m_05602419,1,1.0,25
m_78a68c2f,1,12.0,17
m_2ffffe40,1,1.0,16
m_60aec951,1,1.0,10
m_6e2e6022,1,1.0,11
m_c81581c3,1,1.0,11
m_4fc9c474,1,,10
m_3d6f3dfc,2,1.0,10
m_8162077f,1,,10
m_6e8d65d7,1,1.0,14
m_f0d203bb,1,1.0,11
m_5c3d0b0a,1,12.0,243
m_1cf35af4,1,31.0,10
m_0afb3684,1,1.0,13
m_9937b885,1,1.0,15
m_01693a78,1,7.0,12
m_e017859d,1,12.0,24
m_6d8c4146,1,31.0,16
m_5c9544db,1,1.0,10
m_2fcca629,1,12.0,90
m_7cec862a,1,8.0,11
m_764f8d96,1,1.0,15
m_5e3f9885,1,12.0,28
m_5c91004e,1,1.0,14
m_ad4df190,1,12.0,11
m_80ca4c00,1,12.0,32
m_906698a5,1,1.0,16
m_b9d1c137,1,,12
m_2343990c,1,1.0,10
m_66845e83,1,1.0,55
m_fce2b7a2,4,1.0,15
m_178eef41,1,,14
m_609f360d,1,1.0,10
m_9b726fb6,1,1.0,99
m_6677b2ab,1,1.0,5
m_96f1facd,1,1.0,7
m_57b3d349,1,,13
m_a8f8dfa4,1,,26
m_9c200b1b,1,1.0,12
m_5e6bc629,1,8.0,18
m_4a726e08,1,1.0,9
m_430fe718,2,1.0,11
m_5da7b85f,1,1.0,12
m_6ec53362,1,1.0,21
m_7d924cba,1,8.0,27
m_1740d011,1,,16
m_a4da11e6,1,1.0,11
m_c2d06ea1,1,,13
m_50f6e576,1,1.0,16
m_a49727c2,1,1.0,16
m_bb5930a3,1,2.0,10
m_c06df933,1,,14
m_85f4c363,1,1.0,11
m_742528c4,1,,144
m_bdab681a,1,1.0,4
m_c25d48bc,1,1.0,13
m_b2c1e26a,1,,6
m_47441930,1,1.0,2
m_492d207f,1,31.0,10
m_3802bcff,3,1.0,16
m_be3cf149,1,1.0,18
m_8705fd73,2,1.0,11
m_d7517e02,1,1.0,15
m_498f44bd,1,,10
m_72d52bd2,1,,15
m_3b05dbac,1,12.0,105
m_e8b23f79,1,1.0,13
m_9b9e9f14,1,33.0,3
m_6284c736,1,,11
m_96bc6bbb,2,1.0,5
m_3e895bbe,1,1.0,15
m_90778926,1,1.0,10
m_d5619bbb,1,1.0,11
m_6860a82a,1,,13
m_e7b6dd05,1,1.0,11
m_08dc46f6,1,1.0,13
m_d278f577,1,12.0,10
m_3570fb07,1,,16
m_a268fd07,1,1.0,20
m_8ccd9ec6,1,1.0,17
m_bd66c584,1,,11
m_3107f483,2,1.0,20
m_b7dabb55,1,,14
m_17e2e032,1,12.0,4
m_99e9edab,1,1.0,12
m_e4c7b29c,1,1.0,27
m_daa67be3,1,,20
m_f6c63ae2,1,1.0,15
m_b6a67400,1,1.0,15
m_93f4af07,1,1.0,12
m_5eb442d9,1,,11
m_f070477f,1,,15
m_6d1e317c,1,,7
m_7a36a2ef,1,1.0,11
m_5de17763,1,,14
m_98e57b17,1,,10
m_56661ce2,2,1.0,12
m_ef31b865,1,1.0,17
m_acb8612d,1,1.0,5
m_14ae77b4,1,1.0,7
m_0f0eba0a,1,1.0,12
m_feb4a4d6,1,,19
m_7f54b8d4,1,1.0,13
m_7064c0d6,1,1.0,16
m_2767ed8e,1,1.0,15
m_de2747d5,1,1.0,21
m_d380a0c2,2,33.0,12
m_64525269,1,,48
m_7961e1bf,1,12.0,134
m_ed1a73f9,1,12.0,17
m_a5cb5725,1,,27
m_1d84249f,1,12.0,4
m_c108b559,1,12.0,11
m_c7023650,1,1.0,11
m_c7164047,1,1.0,14
m_d71a03f4,1,,18
m_95699f7e,1,1.0,17
m_2784ce65,1,1.0,1008
m_8d7223e8,1,30.0,8
m_9e009d84,1,1.0,15
m_e41b90ec,5,1.0,7
m_f998a130,1,1.0,10
m_c9ade407,1,7.0,12
m_1655f648,1,,12
m_711bb00f,1,,10
m_842bde3e,1,1.0,13
m_70a01751,1,29.0,8
m_18b1f2e0,1,,14
m_66fcf32f,1,1.0,14
m_3ff56623,9,1.0,13
m_5a6429aa,3,43.0,86
m_d98b79b3,1,1.0,13
m_0306bf9e,1,,21
m_a39964d1,1,,27
m_10ee0bb9,3,1.0,15
m_39540005,1,1.0,11
m_95c830eb,1,1.0,13
m_0c99387c,1,1.0,9
m_739c7f82,1,1.0,12
m_fbdf7b5e,1,,6
m_6916016f,1,,12
m_ede3fbd2,1,31.0,9
m_b43c6e03,1,1.0,9
m_2c8e91ef,1,,12
m_5d656f4f,1,1.0,16
m_031b5e14,1,,77
m_a57174be,1,1.0,42
m_52aecacf,1,12.0,210
m_604f9250,1,,5
m_dd92d302,2,1.0,16
m_372cf2fb,1,1.0,10
m_a10f283f,1,1.0,10
m_84c7e1bb,1,12.0,63
m_fb402cd1,1,,13
m_6f590f72,1,1.0,12
m_0770d523,1,12.0,13
m_79646417,1,12.0,10
m_77507417,1,1.0,13
m_d80d13d6,1,7.0,6
m_3438ea73,1,1.0,10
m_2993e8a1,1,1.0,17
m_4f88dd46,1,1.0,14
m_f6d64f77,1,12.0,19
m_ea3cadbe,1,1.0,12
m_20ef8cb5,2,1.0,11
m_e8dd99bd,3,1.0,24
m_c74bd8fd,1,,13
m_5ad5f9bd,2,1.0,20
m_201781d9,1,1.0,7
m_e817b861,1,1.0,11
m_a06de024,1,1.0,4
m_b02c2798,1,,13
m_0c76a659,1,1.0,6
m_12211180,1,1.0,16
m_8c588bb2,1,8.0,11
m_9c96d458,1,1.0,11
m_d1c9d80a,1,1.0,16
m_35765597,1,1.0,12
m_044206bc,1,1.0,9
m_f041f9f4,1,1.0,22
m_4dbbbb50,1,1.0,11
m_360b8635,1,,17
m_2a900d63,1,,22
m_d6304afb,1,1.0,14
m_23fde510,1,31.0,2
m_790119cb,1,1.0,13
m_e8f18ecf,1,1.0,13
m_e253a321,1,1.0,14
m_7d411151,1,,10
m_2104d3b6,1,31.0,2
m_ba0461c1,5,1.0,43
m_210f2d47,1,1.0,14
m_4dadbc01,1,1.0,3
m_e24e5b93,1,1.0,12
m_5eafbd6a,1,12.0,11
m_674b5242,1,1.0,13
m_9e2936b0,1,12.0,5
m_1545ae88,1,,10
m_442983ec,1,12.0,13
m_1e92b681,1,,15
m_04d7da2c,1,34.0,2
m_4c36eb3a,1,31.0,16
m_ec4a2ca9,1,,7
m_d58141ff,1,,12
m_1b2bef73,1,,10
m_4f8a537e,1,,2
m_9bd5afd2,1,,12
m_a74f0e3f,1,1.0,10
m_879604ae,1,,9
m_344e26a2,1,1.0,22
m_f3bc660c,1,1.0,10
m_f92415ee,1,12.0,10
m_58a1aa28,2,1.0,20
m_eeedd597,1,,9
m_77224d05,1,1.0,12
m_81f6dd99,1,1.0,57
m_f8dfdc81,1,,11
m_2cb82f76,1,,14
m_c531cf64,1,1.0,16
m_f26ac5ca,1,33.0,12
m_a4adb2c4,1,1.0,18
m_a90b93f6,3,1.0,12
m_69cefc6d,1,,20
m_ba7bf9fe,1,12.0,10
m_143099c3,2,1.0,18
m_dcf926c6,1,,23
m_b098fd2b,1,1.0,10
m_98a5b665,1,1.0,17
m_9fbcc5d9,1,1.0,24
m_a373661a,1,12.0,10
m_8424fd89,1,1.0,11
m_05540516,1,,18
m_9722461e,1,12.0,4
m_673751fd,1,1.0,7
m_28723102,1,1.0,10
m_2dccb118,1,12.0,30
m_87a54d75,1,1.0,19
m_ecf5d510,1,,11
m_a1618a76,1,,22
m_15295c57,1,12.0,8
m_09cf80ef,1,12.0,57
m_099621b8,1,12.0,9
m_676bcc3f,1,1.0,17
m_9e5f40de,1,1.0,30
m_65aa097e,1,1.0,26
m_d4b63922,1,1.0,23
m_bbfb75e5,1,12.0,101
m_b87dab0e,1,1.0,29
m_9cbb0329,1,1.0,12
m_c443f322,1,1.0,13
m_a2ea1ad7,2,43.0,104
m_314476c4,1,31.0,30
m_808f2f9a,1,12.0,17
m_228f8b7c,1,1.0,6
m_7ef9141d,1,1.0,16
m_c94757cd,1,12.0,2
m_1d64370e,1,1.0,16
m_69d31456,1,1.0,17
m_e7a58505,1,1.0,14
m_01bfa4e2,1,1.0,18
m_02374572,1,1.0,25
m_d8164829,1,1.0,21
m_29263d81,1,1.0,18
m_5347cf20,1,1.0,20
m_6bf1424d,1,1.0,18
m_df4654a2,1,1.0,59
m_2ceaa6e8,1,,17
m_4e43c3b3,1,8.0,7
m_0be7e1e1,1,8.0,10
m_2f32e55f,1,1.0,4
m_42474eee,1,1.0,11
m_cb0a8adf,1,1.0,48
m_13687fa6,1,1.0,10
m_31127468,1,,13
m_c77714ae,4,43.0,106
m_60088404,1,12.0,15
m_0aa0ee0a,1,,16
m_ce7fd7a2,34,1.0,20
m_9f5948f4,3,12.0,30
m_20d5d9a5,1,1.0,24
m_bee840b4,1,1.0,16
m_708c8400,1,1.0,15
m_0cd5cd55,1,31.0,12
m_e93a5c79,1,1.0,12
m_eceb03e4,1,1.0,16
m_919d3a81,1,1.0,16
m_60b2f5ba,1,12.0,161
m_ec9b61af,1,1.0,14
m_b2f53d60,1,,6
m_cf3f2627,1,1.0,15
m_9ae59946,1,,12
m_2f7b550a,2,1.0,16
m_d4176b12,1,12.0,5
m_97fb0bd1,2,1.0,16
m_10791dd7,1,1.0,16
m_ae8bf1e5,2,,7
m_679649fe,1,1.0,13
m_94212ed5,1,1.0,10
m_f7e206b2,1,33.0,11
m_7176200b,1,31.0,12
