label,name,label_type,ended
l_0023ddcf,WordSoind,Original Production,f
l_0a3a4f28,101 South Records,,f
l_09bdb16d,Ruelas Publixing,,f
l_c851c7df,Jessica Musikverlag,Publisher,f
l_1237ab3a,Eva Magical Music Sounds,Distributor,f
l_2ebda1fb,Omerta Music Grovp,,f
l_10602662,Orlando Music,Publisher,f
l_97408352,Only One Revords,,t
l_9f74a0b0,Only One Recorcls,,t
l_532cc355,TONIKAKU RECORDS,Original Production,f
l_84f8d448,Feast Music Group,Publisher,f
l_86d93ed4,Gak Attack Refords,,f
l_ba0aa561,Gak Attacl< Records,,f
l_f97a1b4b,Hong Kong Recordings,Original Production,f
l_761c3ab0,Inclecibels,,f
l_2e79e0c2,Pamther,,f
l_a5c61678,IAFDSFBD Songs,Production,f
l_253d892d,MIS Records,Original Production,f
l_5638c14b,Kärringa Jonson Records,,f
l_01c1dc2d,Wolpfack Entertainment,,f
l_abf3ce3b,劇伴俱楽部,,f
l_173ebefa,Rush Hour Store Jams,,f
l_a2350108,Repulsive Evil Productions,,f
l_969f7140,May Syn Publishing,Publisher,f
l_02359b63,May Sun Punlishing,Publisher,f
l_058ac0f8,Lateral Mgmt London Stoc1<holm AB,Publisher,f
l_89b95da4,Lateral Mgmt London Stockholm AB,Publisher,f
l_d663f2f2,Dollar Record Records,,f
l_71ecb2c4,DAutres Cordes Records,Original Production,f
l_7ff830f0,Minner Bucket,,f
l_b356782e,Analogic Uberleben,Bootleg Production,f
l_f10d2a88,Kame House Records,Publisher,f
l_56bad376,Fax Record Company,,f
l_597a321e,Nille Records,Production,f
l_b35bd7aa,Amedhyst,,f
l_2282f939,Ikarost Records,,f
l_fc1984a9,Jimmy Classic,,f
l_f050bb17,BitPhltz,,f
l_8070b63e,BidPhitz,,f
l_41b15150,Digital Dialect,,f
l_d9372713,Mark A Mancina Music,Publisher,f
l_e66697ee,Tete San Ko Publishing Inc,Publisher,f
l_3105f0d3,Refs Music LLC,,f
l_3e5a6680,Wizz Record5,,f
l_fe9388d6,こんがりおんがく,,f
l_b4660d77,Alma Criolla Records,,f
l_6a6745b2,Tender Collecti0n,,f
l_5cf8349f,Potomac Recorcls,Production,f
l_9f704408,Wonderful Sound,,f
l_dc7da168,RTV Braća Karić Telecom,,f
l_a222d48e,MUZA Records,,f
l_5c330bb4,Warfuck Records,Production,f
l_f58896e8,Namtaru Records,,f
l_2f42113a,Clastsicaloca Genius Recrods,,f
l_dada3f46,Tasty,,f
l_ade8fe52,TBA Rec9rds,Production,f
l_5c405919,TBA Rec0rds,Production,f
l_568d80ea,Araize Record,,f
l_6cc3f554,Feet 2 Da Concrete Entertainment,,f
l_15f66648,Hag Rekords,,f
l_f1085466,Jean‐Michel Franck Rivat,Publisher,f
l_6ec124ee,Cody Jinks LLC,Holding,f
l_6ca4cd15,Disques Apache,Original Production,f
l_c6882f4c,Discos Arpón,,f
l_8c8e86c5,Mini Mac Music,,f
l_9cc154db,Progressive Music Publishing Company Inc,Publisher,f
l_df7981dd,Sub Soldiers,Original Production,f
l_4156fa7c,Grotesque Records,,f
l_b669a156,Lavender Sky Music,Original Production,f
l_88ae0f80,NatsumeAtari Inc,,f
l_4d4c9bef,All The Cats Recordings,,f
l_0e3ed489,Alpha Brussels,Original Production,f
l_1cb7b289,MRI,Imprint,f
l_a333c636,Blessed Music,,f
l_9a629a35,Corus Entertainment,,f
l_d95fa70f,Crackpot Records,,f
l_3be366bf,SPHERE RECORDS,,f
l_1c9032bc,Rocks Records,,f
l_600075f0,petite sono,Original Production,f
l_cbc74071,Black Pumpkin Records,Publisher,f
l_2e413164,Memoreecs,Manufacturer,f
l_b7fa5c8b,Memorex,Manufacturer,f
l_1dd85a10,Timewave Records,,f
l_fa4056c0,SDK Media,,f
l_5dc03820,InAkustik GmbH,Distributor,f
l_0e3f80d7,The Arto Company,,t
l_f1abb731,Midnite Jazz  Blues,Reissue Production,f
l_636a8cfd,Garelock Records,,f
l_37ab869d,Black Saddle Entertwinment,,f
l_885ce5ee,Wrong Era,,f
l_5e2531a1,Total Recording Co Ltd,,f
l_bcd5bb42,Karaoke Kslk,Original Production,f
l_3dfe78e7,Karaocke Kalk,Original Production,f
l_45b88229,Dirty Water Records,,f
l_ee25564a,Solitary Records,,f
l_63a70c3e,Grameopone music,Original Production,f
l_b7278d97,エヌ・イー・ティー音楽出版,Publisher,t
l_d2573364,Fantasy by Selmerphone,,f
l_cf92df74,Tonodisc SA,,f
l_9486c51b,Dio Dron,Original Production,f
l_5be1d2de,Inarhyme Records,,f
l_f0902d6d,Wallys Groove World,Original Production,f
l_f583757c,Jerk Records,,f
l_47318fee,La Paloma,,f
l_203144e2,Sabres of Paradise,Original Production,f
l_bb14f8cc,Beardog Publishing Company,,f
l_1037eb3c,Springalo Toones,Publisher,f
l_bebbd222,Dark Light,Original Production,f
l_dc846d69,Autrement dit,,f
l_049cc077,Mr Manatti Music,Publisher,f
l_25f46a82,Hess Street Songs,Publisher,f
l_3491af7c,Alex Spencer Muzic,Distributor,f
l_5ede21cd,Base Trip Records,,f
l_68206469,101 Noites  Criação de Produtos Culturais Lda,Publisher,f
l_96bec5c3,Wambo Productions,Production,f
l_0fabb227,Emme Rec0rd Label,,f
l_bfb7c90d,Itspop Music Ltd,Holding,f
l_79f69159,Wild Rice Music,Publisher,f
l_e65331c2,Materie Records,,f
l_40967091,Blue Moon Records,Bootleg Production,f
l_2f43a8de,小学館集英社プロダクション,Publisher,f
l_8d1d790d,Misguided Records,,f
l_acb69035,Origen Mu5ic,Production,f
l_8055192a,Or9gen Music,Production,f
l_cd01e722,Preachja,Production,f
l_69d9d15b,Gray Castle Studios,Original Production,f
l_b7f163cb,Bassex Record5,Original Production,f
l_51aa3f1d,Baboon Records,,f
l_d6e83687,Roundabout 7 Music International,Publisher,f
l_b3a1c6a3,Saltwater Music,,f
l_9325e0da,Eccejtric Recordings,,f
l_dc2ddd10,Bethlebem Music,Publisher,f
l_382db85e,Young Jortan,,f
l_317684d6,Beardog Publizhing Company,,f
l_31628f0c,Local Genius and Wizard,,f
l_b9f5fe58,Continental Garden,Original Production,f
l_ebb0d80c,Chocolate Recordst,Original Production,f
l_120e0822,che,,f
l_dd4d36eb,Ricochet Dream,Publisher,f
l_6a9dded1,Well Go USA,Distributor,f
l_e5b8eac8,滾石國際音樂股份有限公司,Holding,f
l_affb1080,Black Gold Records,,f
l_127363d0,800 Wilt,,f
l_13a71f90,Abstract Reality,,f
l_6863f340,Monogram,,f
l_2bed5ab4,Spinnup,,f
l_b6af700f,SynGate Wave,,f
l_02eb690a,NEWTRAXX,,f
l_f0d08107,Novica Music,Publisher,f
l_e6b696bc,THC  DIY Records,,f
l_0266f01e,Old Familiar,,f
l_7b85b674,Domuz Records,Original Production,f
l_4bbfa42f,Guardians of Metal,Original Production,f
l_d85bb87b,BFJ Cloyhing CO,,f
l_a67b044f,BFJ Clothinh CO,,f
l_877d3163,Greajy Vinyl,,f
l_5980b785,Greasy Viriyl,,f
l_4abecd4f,Made In England,,f
l_e616386b,寺内音楽出版,Publisher,f
l_bb61ea05,Hess Street Son9s,Publisher,f
l_7416dc00,Heas Street Songs,Publisher,f
l_ed4cc214,BugInMyEwrMusic Productions,,f
l_3c3def8b,BugInMyEarMusic Peoductions,,f
l_043195cd,Bullhead,,f
l_a40d8f76,Bullsbit Recordz,Original Production,f
l_527ec3ba,Bullshit Revordz,Original Production,f
l_87209416,Motley Music Limited,,f
l_17d0f838,Patio Music,Original Production,f
l_4c2d1dc4,HMC  Helsinki Music Company Oy,,t
l_ce27d81e,Compact Disc Center,,f
l_977b90d1,MVI Music,,f
l_9a2b5a42,supporter records,,f
l_8bd0c546,Green Door Record Company,,f
l_7bf7c08e,Sentai H0ldings LLC,Holding,f
l_6a66d609,음악부,Production,f
l_0a01ab4c,Greeninch Sound,,f
l_7a2f727c,Vetnasj Records,,f
l_89c932d4,Insidiovs,Imprint,f
l_a0f11cc5,Secret Lane Music,,f
l_30471cc5,Secret Lznd Music,,f
l_d5b11104,Other Int Universal,,f
l_1bdd7792,Black Pumpkin Records,Publisher,f
l_be9d1d46,Daedo Records,,f
l_1320c873,Plus 8 Music Europe,Publisher,f
l_178f9cf3,Clazsicaloca Genius Recrods,,f
l_bc344494,HTown Records,,f
l_2d02bb9e,Popjinx,Original Production,f
l_3c31d74a,Lemon Song,Bootleg Production,f
l_e19f53c2,Volksbank,Publisher,f
l_9fe670cd,Koze Songs,Publisher,f
l_646f6da1,Saturn Strip,Original Production,f
l_cc4673c7,Creole Records,Original Production,f
l_af33da2f,Angel Records,Original Production,t
l_d5cd947c,PHU Violeta,,f
l_7dfe8326,Party People,,f
l_d6ed8b90,BlueZ Records,Original Production,f
l_f2acd8a1,Germ Recordings,Original Production,f
l_aa648906,New Ruins,,f
l_72c05e0d,Colectivo Casa Amsrela,,f
l_f178dc37,Bellwood Records,Imprint,f
l_f4e583a4,Blue Rose Records,,f
l_cec0cc47,you deserve hell,Imprint,f
l_876b294b,WinStar Home Entertainment,Imprint,t
l_31229649,Crab Key Records,,f
l_883dbe00,Ladytron Music,,f
l_f05e78a1,Sleeping Giant Music,,f
l_f59d7d8f,KRLF,,f
l_e05c901d,Nomy Productioj,,f
l_ebf3921c,Nomy Produktion,,f
l_4f4857ca,New Tide Records,,f
l_595b343f,That Was EZ,Publisher,f
l_5650605b,Night Season,,f
l_666fb5de,SanCtuS Recordings,,f
l_240789c7,Charlotte Lawrence Music Publishing,Publisher,f
l_d55b584e,VZ recording company,,f
l_cea07f7e,Aspirion Records,,f
l_abe8f9ca,Woo Me,,f
l_b098016e,Cr2 Records,Production,f
l_49447d1d,Upward Spiral Music,Publisher,f
l_fa1c7ac2,Magyar Televízió,,f
l_5f5b448c,GSI Musique,Original Production,f
l_7d3b8797,Loopdeville,,f
l_8548c60c,Face Maker Entertainment,Publisher,f
l_9abf39d0,Big Kick Music,,f
l_7d310ef0,Matapalo Music Group,Imprint,f
l_5098e0cd,Marquee,,f
l_ac43dcea,エヌ・イー・ティー音楽出版,Publisher,t
l_26eff511,J Albert  Son Pty Ltd,Publisher,f
l_18629b0f,Emmtee Music,,f
l_47a6bb70,RK4L Music Group,,f
l_c1c4cba9,HRB Music Cokpany,,f
l_ee89f4f0,Eugene Records,Original Production,f
l_c5153925,Palto Flats,,f
l_d64d4148,Stardust Records,,f
l_52fddae0,Little Hi Records,,f
l_6e202752,Weekend World,Original Production,f
l_ef3fb51f,NatjumeAtari Inc,,f
l_26c8e785,It Books,Publisher,f
l_054317e5,Black Saddle Ente4tainment,,f
l_0a144369,Streamline Records,,f
l_805fe9ce,Eccentric Recordings,,f
l_5b3f7bec,Indecibels,,f
l_5167af25,DJS Records,,f
l_d0d4f409,Concession Records,,f
l_3fbf88c1,Metal Throne Productions,Production,f
l_7c3147e3,Вадим Володин,,f
l_1ea881b3,Grandpa Stan Ltd,,f
l_95003f43,Class Kasetçilik,,f
l_df987c92,BamaJam Records,Original Production,f
l_22aba8ba,Mercury Recordz,Holding,f
l_39500a1c,Mercury Rec0rds,Holding,f
l_c1b43358,Pet Cemetery Records Inc,,f
l_cca5f103,LV Music,Imprint,f
l_66261116,Syncro Music,,f
l_72d164cd,Addison Ababa,,f
l_2d2de2fe,Past4ls,Imprint,f
l_5acabf2f,Blues Forever,Reissue Production,f
l_cf764c88,CBSSony Sonks,Publisher,f
l_abd51121,CBSSonv Songs,Publisher,f
l_85ad0d3c,Because London Records,,f
l_bed993b0,Befria Södern,Original Production,t
l_70662ab0,Underground Sun,,f
l_d4f5c7ed,Contimental Garden,Original Production,f
l_f49811c7,La Vache Folle,,f
l_979aac57,Vegas Tracks,Original Production,f
l_51067a45,Mind Bending Music,,f
l_a4518a0b,Tazty,,f
l_3f06098d,Narvik Records,,f
l_c072be2b,Culyert Music,,f
l_a24d7269,Spaghetti Records,Original Production,f
l_32306efb,Tiny Room Records,Original Production,f
l_74c55094,Relative Music Group,Publisher,f
l_86cfd546,Premium Records,Original Production,f
l_1dad54bc,Brick Red Records,,f
l_70d24ea8,FuzzTown Records,Original Production,f
l_f6896755,desa vu productions,,f
l_16b4dd92,Sheer Africa,,f
l_964d95a5,Toy Plane Music,Publisher,f
l_a7c170ae,Punk Uprisings Records,,f
l_73124d15,Miracle Records,Original Production,f
l_d4740c19,Vacilando 68 Recordings,Original Production,f
l_ef4e37b6,Arvida Muskc,Publisher,f
l_1e5ba119,Arvida Muslc,Publisher,f
l_e5ac51d6,Kind Songs GmbH  CoKG,Publisher,f
l_0c682955,Twelve Notes,,f
l_577d12cf,Brassland,,f
l_e3fae28b,Unknown House,Distributor,f
l_3138764c,LIGHT SHOXX,,f
l_f87960e4,Hitmix Music,,f
l_99ab65b2,Black Saddle Entertainment,,f
l_cc608711,Ikaros Records,,f
l_7cd1fab8,Hub Productions,Original Production,f
l_8f811f27,Imaginosis,,f
l_b49e4248,Fanous,,f
l_3475d251,Famos,,f
l_bf32bbc9,Jimmy Clastsic,,f
l_0acf885c,Jimmy Claasic,,f
l_d7a3f099,Abstract Dance,Original Production,f
l_2a7911c5,ELASTICA,,f
l_343d4abc,Purple Box Records,Original Production,f
l_4173829a,음악부,Production,f
l_6b79f86b,Dogma Records,Original Production,t
l_56bf40ee,Wallys Geoove World,Original Production,f
l_043998c0,Wallys Groove Worlcl,Original Production,f
l_042f2d39,Analogic Ubeahleben,Bootleg Production,f
l_a44cd971,Kunstkopf,Original Production,f
l_ba03bc7d,Dave Hamelin Publishing,Publisher,f
l_fb66af01,4hij2u,Original Production,f
l_fb27fd2c,4hik2u,Original Production,f
l_329c91dd,Roots and Wings Music,Original Production,f
l_fc115ddc,MGill Hill,,f
l_895d233b,Curci Germany GmbH,Publisher,f
l_0c1ffe76,Pretty Bov Floyd Records,,f
l_66d37e7b,Mighty Perverts,,f
l_e2098127,Festayre Activity,Original Production,f
l_8db15a67,Eminor Records,,f
l_a443d3c2,Big Dumb Music,,f
l_3f96743c,Tumi Mus8c,,f
l_ec052521,Tumk Music,,f
l_abc87d3f,ALLOFUS Recordings,,f
l_3207141e,Association Valentin Haüy,,f
l_7a8448d7,Soundtable,,t
l_267a93d9,Dkgital Cellars,Original Production,f
l_d1e3b46e,IOSYS,Original Production,f
l_6514327f,Lanzoni R3cords,,f
l_4ff76055,Lanzohi Records,,f
l_cd3d44fa,2Fer records,,f
l_b9adbc9e,King of Patio Records,Production,f
l_e4be4930,eltonjohncom,,f
l_0f3dd590,Impul5e,,f
l_716c0cb1,DTCM Afe,Publisher,f
l_fdf3c02e,Extralimeare Musik,,f
l_f5a9d1ce,Gotte Records,Imprint,f
l_f9705181,Soulmade Producti0ns,Production,f
l_39759890,Bubblewrap,Imprint,f
l_b5a0ed3b,Omi Records,,f
l_c56fc786,Because London Recoahds,,f
l_19d9b156,Because L0ndon Records,,f
l_40c55b4e,Doxa Records,Original Production,f
l_5c96dded,Hot Trackst,Original Production,t
l_c63a8f41,Del Mar Estudio,,f
l_4b45abad,Inevitable Recordings,Original Production,f
l_e717c7c2,Flying Lecords,,f
l_d44875b4,OtterSong Records,Original Production,f
l_093440ca,SUB tl,,f
l_395b33af,Творческий центр Музыкальный Дом,Production,f
l_449b479c,Odher Int Universal,,f
l_f16f5ec9,Zomba Label Group,Original Production,t
l_435b148f,Patio Mu5ic,Original Production,f
l_98643b1e,Padio Music,Original Production,f
l_a44319dc,Gateway Records,,f
l_a5ef1fa2,Berk Demir Muzik Yapim,Distributor,f
l_3abc9730,EVO Recordings,,f
l_b9bf4830,Mau Tak Mau Records,,f
l_a8cc006c,Wilcl Rice Music,Publisher,f
l_a4928ef3,Vegas Records,Original Production,f
l_88a7344d,真宗大谷派宗務所出版部,Publisher,f
l_d76d332c,Serotonin Shift Music Publishing,Publisher,f
l_68f31289,SP Recordst,Publisher,f
l_cf8ba261,SP Recorcls,Publisher,f
l_9def8fac,Aural Delight,Bootleg Production,f
l_6bdd0434,Spelling Ventures Music,Publisher,f
l_fdc54595,Uncle Joshs Song Emporium,Publisher,f
l_1ec36ec3,Abstrwct Dance,Original Production,f
l_80e497b2,Abstract Danc,Original Production,f
l_35eec0fe,Table Basse Records,,f
l_f7602d48,Oetstar Rekkers,,f
l_73a2983d,Baboori Records,,f
l_095efaf3,Babo0n Records,,f
l_26a7eb9f,Talisman Records,Original Production,f
l_ae0add81,Solar Management Ltd,Production,f
l_e2f55d5e,Perfect Pitch Music Marleting,Distributor,f
l_187db535,Perfect Pitch Muskc Marketing,Distributor,f
l_a50a879e,Hood Famous Publishing,Publisher,f
l_59f2884d,Snooter Records,Original Production,f
l_7244bfdb,Shena Maydelah Publishing,Publisher,f
l_c081b988,Teeto Recorcls,,f
l_0691d289,Sount  Vision,Distributor,f
l_d8c35d0c,CR2 Compilations,,f
l_144fd525,Family Gro0ves,,f
l_0b1a7c88,Shitsounds Co,,f
l_bb6f8a69,Biamusik,Production,f
l_ee1753c7,Timewave Recoahds,,f
l_cdd84821,Ball Park Music,,f
l_9a7bc6c5,Resident Advisor,,f
l_c5c304f9,Ruelas Publishing,,f
l_c7c50dcf,Funnyb0ne Records,,f
l_94d1f6e0,Yacka,Production,f
l_eb7a929d,Нокс Мьюзик,,f
l_7624725b,The Bluesharp Music Co,Publisher,f
l_8be71b48,Fastlane Productions,,f
l_8248c921,Yacca,Production,f
l_18b575bb,Monarch,Distributor,f
l_9a22e181,IAFDSFBD Son9s,Production,f
l_1255b188,La Paloma,,f
l_80bc9095,Badlandz Recordings,,f
l_b34efde6,Westernmost Records,Original Production,f
l_cb653f4a,MoonDome Records,,f
l_560188c8,Strictly Roots Recordings,,f
l_f3a241aa,Mundo Records,,f
l_823b3ff3,Gong Ear,Original Production,f
l_52cb2e4f,Horn OCopia Recordings,Imprint,f
l_2cfe2d2b,Gateway Recordz,,f
l_af0572b7,Pois0n Arrow Records,Original Production,f
l_bed752fe,Pooson Arrow Records,Original Production,f
l_5762f424,Weed,Original Production,f
l_e655ef35,World Records,,f
l_2f9ef0c7,Hate Prod,,f
l_79f86c42,WolfvOffice,,f
l_3b9eb984,Pachira Records,,f
l_8ed7feb1,Unkbown House,Distributor,f
l_4fbfff64,Siderian Records,Production,f
l_b6f3b384,Blue Box Publishing Promotion Karin Wirthmann,Publisher,f
l_722f18d0,Beggars Music,Publisher,f
l_f5dedd20,Posh Isolation,Original Production,f
l_fafcf9fb,Sleeping Village,,t
l_a823de5c,Rocking Time Records,Production,f
l_125a4527,Humildad Y Honestidad,,f
l_cf1a4420,Wizzard in Vinyl,Original Production,f
l_89121e28,HRB Music Company,,f
l_8c09afa0,BlueZ Recorcls,Original Production,f
l_cd90ec7c,BlueZ Recordz,Original Production,f
l_4e4ea84f,Lonmel Publishing,Publisher,f
l_cde42b1d,Autistic Records,,f
l_7050921f,Blingnot Media,Publisher,f
l_47a6235c,Media Vision,Manufacturer,f
l_ad107d3b,SYLCO,Publisher,f
l_8454abdf,Dolnośląskie Stowarzyszenie Artystyczne,,f
l_2d95b6b1,Traditional Crossroads,Production,f
l_67851721,Talent Müzik,,f
l_007a945d,Sabre5 of Paradise,Original Production,f
l_318a5759,Sabrej of Paradise,Original Production,f
l_2d53827e,Aural Deligt,Bootleg Production,f
l_f266e291,Loud Rage Music,Distributor,f
l_53c9083b,Lampshade Meeia,Production,f
l_91b6cc8a,UHT,,f
l_445508c5,Woodstiff,Publisher,f
l_541f77c5,Mutant1000000,Publisher,f
l_eac2aa4f,Insidious,Imprint,f
l_182433ed,Takeout Records,,f
l_3d23151e,Fran Record Company,,f
l_ef736d23,May Sun Publishing,Publisher,f
l_9f1d64dd,Scaroline Records,Bootleg Production,f
l_6f4d0c36,Cynic Lab,Original Production,f
l_537453e0,Shimmy 500,,f
l_ea9bbbd7,Double J Music,Publisher,f
l_eed85060,Krazy Kat,Original Production,f
l_340bfea1,Pila Music,Production,f
l_258d8d80,Redd Klah  GhetOVision,,f
l_9a0d623e,Gama Island,Publisher,f
l_c068824e,God Mountain,Original Production,f
l_e10cf0b1,World ov WIls,,f
l_c14a5179,Vefas Tracks,Original Production,f
l_d4ae71d4,Checkmate Records,,f
l_5f364e9d,The Konspiracy Group,,f
l_5882c31c,Beyond Rekords,,f
l_f3a7a970,VM 2000,Production,f
l_e4f5d16a,Black Hair Music Publishing,Publisher,f
l_69996427,VSOP Records,Reissue Production,f
l_d2129007,Gjided Missile,Original Production,f
l_510d63bd,Afenue Beatz Music,Publisher,f
l_d4227e74,Avenue Beat2 Music,Publisher,f
l_f93034d0,Plavahs Paradise Entertainment LLC,,f
l_66c0f3d5,Playahs Pa4adise Entertainment LLC,,f
l_4202b4b0,Dynamic Revlection,,f
l_601c603d,Dynamic Reflectiln,,f
l_ac1d5ced,4him2u,Original Production,f
l_a0618846,Uncle Joshs Song Emponum,Publisher,f
l_4c998ad9,Uncle J0shs Song Emporium,Publisher,f
l_ed39337b,Bethlehem Music,Publisher,f
l_aff22bdf,Levande Begravd Records,,f
l_0e793ca3,Catalyst Rec0rds,Original Production,f
l_6f2e59fe,Mellow Records,Original Production,f
l_5254a2ee,Grameophone music,Original Production,f
l_c69e5e53,Schama Production,,f
l_479584d5,madnet2000,,f
l_89291a54,Misprint Records,,f
l_5b09853e,株式会社ファースト・エイド・ネットワーク,,f
l_9c640610,Dogtree Records,,f
l_1773ee0d,Alex Spencer Music,Distributor,f
l_104a04ac,Feet 2 Da Concretr Entertainment,,f
l_29e7e622,Feet 2 Da Concrete Enteryainment,,f
l_fdec9948,Environnent Records,Publisher,f
l_f770eb28,African Echoes,,f
l_af6f58ce,Acrobat Music Ltd,,f
l_9435636a,TFC Music Group LLC,,f
l_7ae07e38,Fénix Di5cos,Original Production,t
l_4a7b706a,SIMP Records,Original Production,f
l_ed38fba2,3 on the B Records,,f
l_ea5534ff,Fallwater Music,Publisher,f
l_fd725cad,Sethnefer Music,,f
l_be4bb553,Myelin Mason,Publisher,f
l_88720fc6,Out of Orloit Recordings,Original Production,f
l_4854acb8,T0y Soldier Records,Original Production,f
l_7d6b7d41,Mad Maga2ine,Publisher,f
l_3de79463,Mad Mzgazine,Publisher,f
l_e5cd07ea,Kakelane Music,,f
l_3618d3d8,My First Sonny Weissmuller Recordings,Production,f
l_6cc23c96,Mini Mac Muslc,,f
l_39abfb79,Mini Mac Mvsic,,f
l_1b647aef,Rocks Rekords,,f
l_5c4fa4df,Rocks Recoahds,,f
l_598fdbad,Pot9mac Records,Production,f
l_d2531052,Harold Pierce Publishing,Publisher,f
l_8d27fa1c,Trans Continental Records,Imprint,f
l_4b016b9b,Nomad Music Group,,f
l_f2bbc829,Numarec Mustic,,f
l_731bb7b9,Stereo Enchained,,f
l_1a845d8e,Mushroom Runner Records,Production,f
l_75a09b15,Fantasy Memory,Reissue Production,f
l_ba8ec2a8,Dance F|avour,,f
l_25646ad4,HArt Records,,t
l_cacf199d,Temder Loving Empire,Production,f
l_439ae7de,Tender Lovinb Empire,Production,f
l_7be2b3fa,Mister Tipsy,,f
l_9511dbfa,Weather Factory,Distributor,f
l_b8d17c53,Power House Records,,f
l_5b3b47d7,Tutti Intersong Éditions musicales,Publisher,f
l_d887b71f,Vesterinen Yhtiöineen Oy,Publisher,f
l_5f2f69a2,KLT Ekoijpenak,,f
l_78b08434,Lazy Bones Recordings Inc,,f
l_1dfa3370,Autistic Records,,f
l_88540215,Programmes KK  Co,,f
l_9e71a553,Innercore Japan,Original Production,f
l_ebff0033,Fallwater Mysic,Publisher,f
l_47631dec,Fallwater Muslc,Publisher,f
l_5b99ab37,Serotonin Productions,,f
l_f20adce4,Beyond Records,,f
l_968e6a0d,StrumaIodine,,f
l_217d534a,2062,Original Production,f
l_4ec237fc,LosTraxx Records,,f
l_a33619be,The Teskey Brothers pty ltd,Holding,f
l_add9d92e,The Teskey Bfothers pty ltd,Holding,f
l_6cd539ee,Lighteri Up,,f
l_143ea0ee,MIKE Pysh Studio,,f
l_fe2a847f,MIKE Puzh Studio,,f
l_122b13c6,Mutiny 2000 Record,,f
l_17667fd5,Ghetto Funk,Original Production,f
l_efa00c3d,Irma Records,,f
l_d7f9a53b,Elektra Recorts,Holding,f
l_a90b724b,Loaf Recordd,,f
l_df0a4a7c,STREET LOYALTY,,f
l_f066de74,Nasty Habits Productions,Publisher,f
l_08a54481,CBSSony Songs,Publisher,f
l_6844abcc,Direct Holdings Holland BV,,f
l_e159e8cf,Last Resort Rec9rds,,f
l_cde4f020,Off the Shelf,Original Production,f
l_a8f8f286,Tyrannosaurus,,f
l_015ad4d2,BBC Audiobooks Ltd,,f
l_421153cc,It Bookst,Publisher,f
l_c4b0693c,Loaf Records,,f
l_2108588d,Devel 16 Coterie ENT,Production,f
l_8ede1ece,Ramon Valdovinos,Distributor,f
l_87b46e4f,Double Dose,,f
l_8eb72d4e,Quatermass Music Ltd,Publisher,f
l_7caafa24,Universal Music SA Greece,Holding,f
l_deeb7209,Mudant1000000,Publisher,f
l_40103681,Mutant1000090,Publisher,f
l_3465fc49,Teeto Records,,f
l_a42a8be4,Sugar Factory Records,,f
l_6e88c994,Amidah,Original Production,f
l_a06c1bdd,Kobalt Label Services America Inc,Holding,f
l_1b39b768,Songs 9f Universal,Publisher,f
l_b4be9ce9,Songs of Universzl,Publisher,f
l_43bdb98d,Karaoke Kalk,Original Production,f
l_8f327075,DTCM Ave,Publisher,f
l_574fa765,Fresco Records Spain,,f
l_92981179,Full Ciahcle Entertainment,,f
l_d7410bc0,Soul Ciahcle Music,,f
l_c75aef31,Shedio Records,Production,f
l_a0d7d2df,Bandleader,,f
l_f2434719,DBlock Records,,f
l_c97fc57e,8ball Music,Original Production,f
