place,name,place_type,address,coordinates,ended
p56,梅田CLUB QUATTRO,Venue,〒5300051 大阪府大阪市北区太融寺町817 プラザ梅田10F,3.470177313550229e+16,f
p57,Prolific Stufios,Studio,Units E9E11 KG Business Centre Northampton NN5 7QS United Kingdom,52252609179.0,f
p58,Soundsurfer Studios,Studio,,,f
p59,Pavillón Multiusos Fontes do Sar,Indoor arena,Rúa Diego Bernal 15702 Santiago de Compostela A Coruña Spain,428761918530752.0,f
p60,Red Barn,,,,f
p61,Music Hall Center for the Performing Arts,Venue,350 Madison Street Detroit MI 48226 United States,4233722283046111.0,f
p62,Kunsthalle Wien,Other,Museumsplatz 1 1070 Wien Austria,4820294816357993.0,f
p63,O2 Academy Sheffield,Venue,O2 Academy Sheffield Arundel Gate Sheffield City Centre Sheffield S1 2PN,533816021465469.0,f
p64,Caledonien Hall,Venue,Radisson Blu Caledonien Hotel Vestre Strandgate 7 4611 Kristiansand Norway,,f
p65,Millersville University of Pennsylvania,Educational institution,1 S George St Millersville PA 17551 USA,4076356.0,f
p66,Joonior Studios,Studio,,,f
p67,Ocean Center,Other,101 N Atlantic Ave Daytona Beach FL 321184203,292287810106.0,f
p68,Calamigoes Ranch,Venue,327 Latigo Canyon Rr,,f
p69,WFMU,Studio,,407886742556.0,f
p70,808sunds,Studio,,,f
p71,Brooklands Road Studio,Studio,,,f
p72,Rainbow Studios,Studio,,,f
p73,Arthwater,Venue,Ehrenfeldgürtel 127 50825 Kpöln,509531486918527.0,f
p74,Salinas Studio,Studio,,,f
p75,Bohemian Grove,,6664 Grove St,,f
p76,Ulyd studio,Studio,,,f
p77,Click,Venue,,,f
p78,東京体育館,Indoor arena,〒1510051 東京都渋谷区千駄ヶ谷1171,356797221397125.0,f
p79,Mann Center for the Performing Arts,Venue,5201 Parkside Avenue Fairmount Park Philadelphia PA 19131,399831752228.0,f
p80,Southminster United Church,Religious building,15 Aylmer Avenue,453954475685268.0,f
p81,Gods Butt,,,,f
p82,Ardingly Stjdio,Studio,,,f
p83,BBC Radio 2 Studios,Studio,,,f
p84,BankPlus Amphitheatre at Snowden Grove,Venue,6285 Snowden Ln Southaven MS 38672,3495111189933889.0,f
p85,Palco Street Dance,Venue,,,f
p86,Multi Media Masters,Studio,,,f
p87,Wyspa Słodowa,Other,,5111600417037703.0,f
p88,청음 Studio,Studio,,,f
p89,Bixby Music Exchange,,,,f
p90,High Hold Studio,Studio,,,f
p91,Spot Xl,Studio,,,f
p92,Sp0t X,Studio,,,f
p93,Cubeaurio Studios,Studio,Obere Straße 25 37124 Rosd0rf,515026679895693.0,f
p94,Mad Dog Studios,Studio,293 S Lake St Burbank CA 91502,3417411183129.0,t
p95,The Boa4dwalk,Venue,,,f
p96,∠Rスタジオ,Studio,,,f
p97,KFJC,,,3736111221284.0,f
p98,The Showcase,Venue,,,f
p99,CineStar Garbsen,,Rathauspl 2 30823 Garbsen Germany,,f
p100,FranAlthoffBau,Venue,,,f
p101,FramzAlthoffBau,Venue,,,f
p102,University Of Helsinki Electronich Music Studio,Studio,,,f
p103,Lounge Ax,Venue,2438 N Lincoln Avenue Chicago IL 60614,,t
p104,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 München,48136831157456.0,f
p105,Ocean Sound,Studio,,,f
p106,Waterfall Studios,Studio,,,f
p107,Spot X,Studio,,,f
p108,Trancentral,Studio,55 Jeffreys Road Stockwell London,51471407012822.0,f
p109,Studi0A,Studio,,,f
p110,Twilight Hall Stvdios,Studio,GrefrathOedg Germany,,f
p111,Twilight Hsll Studios,Studio,GrefrathOedt Germany,,f
p112,St Lawrence,Other,Cannons Park Edgware,,f
p113,Surrealis Souds,Studio,,,f
p114,MRA Arens,Indoor arena,,,f
p115,Parkhill Studios,Studio,,,f
p116,The Jungle,Studio,,,f
p117,McDonald Theatre,Venue,1010 Willamette St Eugene OR 97401,4404851512309306.0,f
p118,Studio KOqLKHOLZ,Studio,,,f
p119,The Funkmosphere Lab,Studio,,,f
p120,SL Sound Studio,Studio,,,f
p121,Le Mobile,Studio,,,f
p122,Union Street Studios,Studio,,,f
p123,MRA Arena,Indoor arena,,,f
p124,Newtown Community  Cultural Centre,,Cnr Rintoul  Colombo Sts Newtown Wellington New Zealand,4.131251417477878e+16,f
p125,Zona the Intolerancia Studios,Studio,,,f
p126,Angel Sound Studios,Studio,,,f
p127,Maison de la culture dAmiens,Venue,2 Place Léon Gontier CS 60631 80006 Amiens cedex 1,4989409229168.0,f
p128,PolydorStudio München,Studio,,,f
p129,ExEx Avdio,Studio,,,f
p130,The Bubble,Studio,,,f
p131,Kle9ne Beethovenhalle,Venue,,50672671583.0,f
p132,Muzej suvremene umjetnosti,Venue,Avenija Dubrovnik 17 10000 Zagreb,457788159818.0,f
p133,Sala Canciller,Venue,Calle Alcalde López Casero Madrid Spain,,t
p134,First United Methodist Church,Religious building,,415018918166699.0,f
p135,dafa,Venue,Московский проспект 1093 СанктПетербург,598901130317271.0,f
p136,Glass Hand St8dios,Studio,,,f
p137,Acyclic Ststems,Studio,,,f
p138,808sounds,Studio,,,f
p139,Gyllenbergsalen,,,601791249222.0,f
p140,Guelph Lake Island,Other,7743 Conservation Rd Guelph ON N1H 6J1,4359676480243612.0,f
p141,Kleiner Konzertsaal,Venue,Rosenheimer Straße 5 8166 München,481313211590463.0,f
p142,Mann Center for the Perf0rming Arts,Venue,5201 Parkside Avenue Fairmount Park Philadlphia PA 19131,399831752228.0,f
p143,Chiesa di San Francesco,Religious building,Via F Baratto 36015 Schio VI Italy,457183113581.0,f
p144,Wooden Digital,,,,f
p145,SAP Arema,Indoor arena,An der Arena 1 68163 Mannheim Germsny,4946361185175.0,f
p146,Acyclic Systems,Studio,,,f
p147,Styrene Studios,,,,f
p148,Japanese Academy,,,,f
p149,Bojangles,Venue,2000 K St Sacramento CA 95811,385753612148023.0,f
p150,横浜産貿ホール,Venue,〒2310923 神奈川県横浜市中区山下町2,3.544694413964611e+16,f
p151,Born to Boogie Studios,Studio,,,f
p152,All Platinum Studio,Studio,,,f
p153,Rock  Roll Hotel,Venue,1353 H St NE Washington DC 20002,3890005176986575.0,f
p154,Pevnost Josefov,Other,,5033927815930222.0,f
p155,Essex University,Educational institution,Wivenhoe Park Colchester,518773260948708.0,f
p156,Uneven Studio,Studio,,,f
p157,ExEx Aud'lo,Studio,,,f
p158,CineStarGarbsen,,Rathauspl 2 30823 Garbsen Geriiiany,,f
p159,Microphonic Mastering,Studio,77 13th Ave NE Minneapolis MN 55413,4500088193254967.0,f
p160,Trancentrql,Studio,55 Jeffreys Road Stockwell London,51471407012822.0,f
p161,Studio 38,Studio,Getinge,,f
p162,Iolani Sch0ols Seto Hall,Educational institution,,2.128464615782458e+16,f
p163,Sugarfoot Mastering,Studio,,,f
p164,Amazing Grace Night Club,Venue,,,f
p165,Подвал приёмной комиссии МГИМО,Studio,Москва НиколоЩаповский переулок,,f
p166,VL Studios,,,,f
p167,Théâtre du Vaudeville,Venue,,48871252333611.0,t
p168,StudioPh,Studio,,,f
p169,Ocean View Digital Mastering,Studio,4750 Rhapsody Dr Oak Park CA,3.4171677118786252e+16,t
p170,Pensacola Bay Center,Indoor arena,201 E Gregory St Pensacola FL 32502,3041648587209372.0,f
p171,Crossroadso Garage,Venue,,,f
p172,Trancentral,Studio,55 Jeffreys Roacl Stockwell London,51471407012822.0,f
p173,Akins Ford Arena at The Ciassic Center,Indoor arena,,,f
p174,A1<ins Ford Arena at The Classic Center,Indoor arena,,,f
p175,The Neck,Other,,,f
p176,Milchwerk Radlfzell,Indoor arena,WernerMessmerStraße 14 78315 Radolfzell am Bodensee,477417218973508.0,f
p177,Brooklyn Bowl,Venue,61 Wythe Ave Brooklyn NY 11249,407218873957424.0,f
p178,dada,Venue,Гороховая улица 47,5992754830323238.0,t
p179,Lovely Reords,Studio,,,f
p180,Radio Suisse Romande,,,,f
p181,Other Music,Venue,15 E 4th Street New York NY 10003,40727917399314.0,t
p182,vHickory Sound Recording,Studio,,,f
p183,Hickory S0und Recording,Studio,,,f
p184,cube garden,,北海道札幌市中央区 北2条東3丁目25,4.306503914136013e+16,f
p185,Studio 91,Studio,,,f
p186,Laboratorio Soyuz,Studio,,,f
p187,Astoriasali,Venue,Iso Roobertinkatu 14 FI00120 Helsinki Finland,6016350324942328.0,f
p188,Twilight Hall Studios,Studio,GrefrathOedt Germany,,f
p189,Rogers Centre,Stadium,One Blue Jays Way Toronto Ontario Canada M5V 1J3,4364138979389167.0,f
p190,Strawberrybee Productjon,,,,f
p191,Coldwater Studios,Studio,,,f
p192,The Sultan Room,,234 Starr St,,f
p193,Space Velio,Studio,,,f
p194,The Jaffa Cake,Venue,28 Kings Stables Road Edinburgh EH1 2JY,559484823203925.0,t
p195,Bobtale Studio,Studio,,,f
p196,35 Wynclham Street,,,,f
p197,Bright Lights Studios,Studio,,,f
p198,Golden Room Copacabana Palace Hotel,Venue,,,f
p199,An Club,Venue,Σολωμου 1315 Εξάρχεια 10682 Athens Greece,3798644723733392.0,f
p200,Masrah Al Madina Theatre,Venue,,,f
p201,Bls,Venue,Bornheimerstraße 022 53111 Bonn,507364057093592.0,f
p202,Blq,Venue,Bornheimerstraßen 2022 53111 Bonn,507364057093592.0,f
p203,Sweetwater Municipnal Auditorium,Venue,201 E 4th St Sweetwater TX 79556,3.247248910040852e+16,f
p204,Psyorus Studio,Studio,,,f
p205,Mountain of Light Studoo,Studio,,,f
p206,Mountain 9f Light Studio,Studio,,,f
p207,Queen Elizabeth Stadium,Indoor arena,18 Oi Kwan Road Wan Chai Hong Kong,22275114178611.0,f
p208,Apollo Stage,Venue,,,f
p209,April Base,Studio,,,f
p210,Post Logic Studips,Studio,,,f
p211,Spider Formation,Studio,,,f
p212,Lansdownce Hotel,Venue,26 City Road Chippendale NSW 20o8 Australia,3.3884794151194884e+16,f
p213,Mountview Academy of Theatre Arts,Educational institution,120 Peckham Hill St Peckham London SE15 5JT,51594301133.0,f
p214,House of Cuclture Vltavská,Venue,,,f
p215,Arts  Communication Center Music Hall,Venue,,,f
p216,Robert Samut Hall,Venue,,358918145032.0,f
p217,FranzAlthoffBau,Venue,,,f
p218,Straight Theater,Venue,1702 Haight St,3.77697731224506e+16,t
p219,Konk Klub,Venue,HermannMendeStraße 1 D01099 Dresden,5108708313764583.0,f
p220,Rumor Mill Recording,Studio,,,f
p221,Santuario di San Bernardino,Religious building,,45492796407.0,f
p222,Johanheskirche,Religious building,Kirchstraße 9 31832 Spnnge,522158579625313.0,f
p223,The Wamdue Room,Studio,,,f
p224,Säälchen,Venue,Holzmarktstraße 25 10243 Berlin,5251140913427082.0,f
p225,Muzej suvremene umjetnosti,Venue,Avenija Dubrovnilc 17 10000 Zagreb,457788159818.0,f
p226,Arbeit5haus,Studio,,,f
p227,Domination Studio,Studio,,,f
p228,Barrowland Ballroom,Venue,244 Gallowgate Glasgow Scotland,558550614236807.0,f
p229,Sössd Nix Studio,Studio,,,f
p230,Lansdowne Hotel,Venue,26 City Road Chippendale NSW 2008 Australia,3.3884794151194884e+16,f
p231,Thorns Facilities,,,,f
p232,Na Cena Studio,Studio,,,f
p233,Lunar Cabaret,Venue,,,f
p234,Sunswept Studios,Studio,,,f
p235,Kostel Matky Boží před Týnem,Religious building,,5008771144227.0,f
p236,Furuheim,,,,f
p237,Mad Do9 Studios,Studio,293 S Lake St Burbank CA 91502,3417411183129.0,t
p238,Tropen iristitute,Educational institution,Mauritskade 63 Amsterdam The Netherlands,523626924922517.0,f
p239,The Boardwalk,Venue,,,f
p240,Eagle Oaks Golf  Country Club,Other,20 Shore Oaks Dr Farmingdale NJ 07727 United States,,f
p241,Mad D9g Studios,Studio,293 S Lakae St Burbank CA 91502,3417411183129.0,t
p242,La Mafée,Venue,,,t
p243,La Matée,Venue,,,t
p244,Moonee Ponds tudio,Studio,,,f
p245,Mountain Winery,Other,14831 Pierce Rd Saratoga CA 95070,3.7260372122064936e+16,f
p246,The Porter,Venue,15A George St Bath England United Kingdom,,f
p247,DNA Stjdios,Studio,,,f
p248,Radio Records Sgudio,Studio,,,f
p249,The Pit,Studio,,,f
p250,Rotund Rascal,Studio,,,t
p251,ДК Сибтекстильмаш,Venue,630071 ул Забалуева 47,5498722282813611.0,f
p252,Stafford Township Arts Center,Venue,1000 McKinley Ave Manahawkin NJ 08050,,f
p253,Schwabinger Bräu,Venue,Leopoldstraße 82 80802 München Germany,4816122115865.0,t
p254,Revolution Bar  Music Hall,Venue,140 Merrick Rd Amityville NY 11701,4067126173419026.0,t
p255,Commercial Recordin Studio,Studio,1120 Chenvert,,f
p256,Commercial Recording Stuio,Studio,112 Chenevert,,f
p257,Soundworks Recording Studio,Studio,3801 23rd Avenue 303 Astoria Queens New York,,f
p258,Wicked Wahine,,,,f
p259,A Secret Location,Studio,Christmas Street Melbourne 3000,,f
p260,Grünspan,Venue,Große Freiheit 58 22767 Hamburg Germany,535518269958052.0,f
p261,Hard Rock Café Los Angeles,Venue,8600 Beverly Blvd at the Beverly Center,,t
p262,Olimpo,Venue,Av Vicente de Carvalho1450 Vila da Penha 21210154 Rio de Janeiro RJ Brazil,2284234243299167.0,t
p263,First Unitarian Church,Religious building,2125 Chestnut St Philadelphia Pennsylvania,39952122751766.0,f
p264,Musikhochschule Biel,,,,f
p265,The Juhgle,Studio,,,f
p266,RSA,,,,f
p267,The Apiary,Studio,,,f
p268,Long Beach City College,Educational institution,,3.3834167118135556e+16,f
p269,DQ Studios,Studio,,,f
p270,Accademia na2ionale di Santa Cecilia,Educational institution,Viale Pietro de Coubeortin 30 00196 Roma,41929124745.0,f
p271,RADION Amstefdam,,,,f
p272,Teatro del Estado,Venue,Boulevard Adolfo López Mateos 1112 Conjunto Urbano Caliss 21150 Mexicali BC Mexiko,3.2654812115474564e+16,f
p273,Pavillón Multiusos Fon6es do Sar,Indoor arena,Rúa Diego Bernal 15702 Santiago de Compostela A Coruña Spain,428761918530752.0,f
p274,StuStuS6udio,Studio,,,f
p275,Lovely Record5,Studio,,,f
p276,StuStuStudil,Studio,,,f
p277,La Marée,Venue,,,t
p278,KCE東京Aスタジオ,Studio,,,f
p279,Recombination Labs,Studio,,,f
p280,Kulturcafé der Uni Mainz,Venue,JohannJoachimBecherWeg 5 55128 Mainz Germany,499941868245289.0,f
p281,Big Mamas Recording Studio,Studio,,,f
p282,Elliott Bay Recording Company,Studio,932 12th Ave Seattle WA 98122,,f
p283,AB Rec0rders,,,,f
p284,Cubeaudio Studios,Studio,Obere Straße 25 37124 Rosdorf,515026679895693.0,f
p285,Alvic Studios,Studio,Wimbledon,,f
p286,Be Musical Productions,Studio,,,f
p287,Reid Brody Studio,Studio,,,f
p288,Nugget Events Ceter,Venue,,,f
p289,First National Bank Arena,Indoor arena,217 Olympic Dr Jonesboro AR 72401,3584542290670319.0,f
p290,Sound Circle Studio,Studio,,,f
p291,Pain in the Art Studios,Studio,,,f
p292,Mid‐South Coliseum,Indoor arena,996 Early Maxwell Blvd Memphis TN 38104,3511634189980835.0,t
p293,Studio MhSound,Studio,11 allée de Longueterre 31850 Mxontrabé,,f
p294,Embeat,Studio,,,f
p295,House of Culture Vltavská,Venue,,,f
p296,St Cecioia,Religious building,,,f
p297,Reanimztor,Studio,Appelstraat 19 2140 Borgerhout Belgium,512132534440806.0,f
p298,MasterMix,Studio,1921 Division St Nashville TN 37203,361491798679743.0,f
p299,Locatlon B,,,,f
p300,Musik Galer:e,Venue,,,f
p301,Online Mixing Studio,Studio,,,f
p302,SHINJUKU LIQUIDROM,Venue,〒160002l 東京都新宿区歌舞伎町1201,3.5695843139701492e+16,t
p303,Soundlodge Studio,Studio,,,f
p304,Laura Secord Secondary School,Educational institution,,,f
p305,Auditorium Matteo dAcuasparta,Venue,,426933125456.0,f
p306,Auditorium Matteo dAcquatsparta,Venue,,426933125456.0,f
p307,Two States Audio,Studio,,,f
p308,MECCA,Other,,,t
p309,Studio 54,Studio,Berlin Hohenzollerndamm 54,5248162513289115.0,f
p310,Psyrus Studio,Studio,,,f
p311,Severn Studios,Studio,,,f
p312,卜公碼頭,Other,Central Hong Kong,2228261141583.0,t
p313,The Bridmge,Venue,,,f
p314,Zénith de Dijon,Venue,Rue de Colchide  21000 Dijon  France,473552825058136.0,f
p315,Mottow Sounz Studio,Studio,,,f
p316,Mottow Sounclz Studio,Studio,,,f
p317,Mountain of Light Studio,Studio,,,f
p318,SOMA Studi0s,Studio,,,f
p319,St Marys Hall Auditorium Theatre,Venue,,,f
p320,Domination Stkudio,Studio,,,f
p321,Dominatin Studio,Studio,,,f
p322,Соль,Venue,Профсоюзная ул 22 Казань 420111,5579133849115922.0,f
p323,Newtown Community Cultural Centre,,Cnr Rintoul  Colombo Sts Newtown Wrllington New Zealand,4.131251417477878e+16,f
p324,Blind Faith Recording Studio,Studio,Pigneto Rome,,f
p325,Reanimator,Studio,Appelstraat 19 2140 Borgerhout Belgium,512132534440806.0,f
p326,Peace Music,Studio,,,f
p327,High HoldStudio,Studio,,,f
p328,Park Lane Studios,Studio,,558324884277502.0,t
p329,Palácio das Artes,Venue,,,f
p330,Seminar Bern Musematt,,,,f
p331,Threshold Recirdings,Studio,,,f
p332,St Catharines College Cambridge,Educational institution,St Catharines College Cambridge CB2 1RL UK,5220301169.0,f
p333,DangStudios,Studio,,,f
p334,Teatro del Estado,Venue,Boulevard Adolfo López Mateos 1112 Conjunto Urbano kCaliss 21150 Mexicali BC Mexiko,3.2654812115474564e+16,f
p335,スタジオ サウンドバレイ,Studio,,,f
p336,Crossroads Garage,Venue,,,f
p337,Studio 19,Studio,,,f
p338,Tropen institute,Educational institution,Mauritskade 63 Amsterdam The Netherlands,523626924922517.0,f
p339,An Clvb,Venue,Σολωμου 1315 Εξάρχεια 10682 Athens Greece,3798644723733392.0,f
p340,Eventhusetcom,Venue,Vretensborgsvägen 5 12630 Hägersten Stockholms Län Sweden,592991418017704.0,f
p341,Calibratecl Recording,Studio,,,f
p342,Evil Genius Records,Venue,Adelaide Road Wellington New Zealand,,f
p343,HiBPM Studio,,,,f
p344,St Elisabeth,Religious building,Obere Sandstraße 29 96049,4989275610883094.0,f
p345,Place de la Gare,Other,Place de la Gare 59000 Lille,506366133069651.0,f
p346,Mottow Soundz Studio,Studio,,,f
p347,SHINJUKU LIQUIDROOM,Venue,〒1600021 東京都新宿区歌舞伎町1201,3.5695843139701492e+16,t
p348,Wood Street Galoeries,,601 Woocl St,,f
p349,DNA Studios,Studio,,,f
p350,Iolani Schools Seto Hall,Educational institution,,2.128464615782458e+16,f
p351,Studio Schulte,Studio,,,f
p352,Studio Brasan,Studio,,,f
p353,Vilnius Recording Studio,Studio,,,f
p354,Victorian College of the Arts,Educational institution,,3782481449702.0,f
p355,M4II,Studio,,,f
p356,Coliseu dos Recreios,Venue,Rua Portas de Santo Antão 96 1150269,387167339140175.0,f
p357,Lydetaten,Studio,,,f
p358,SOMA Studis,Studio,,,f
p359,Ocean enter,Other,101 N Atlantic Ave Daytona Beach FL 21184203,292287810106.0,f
p360,The Vqnguard,Venue,42 King St Newtown NSW 2042 Australia,3.3892862151186364e+16,f
p361,The Vamguard,Venue,42 King St Newtown NSW 2042 Avstralia,3.3892862151186364e+16,f
p362,T T G Recording Studios,Studio,,,f
p363,Alvic Studios,Studio,Wimbledcon,,f
p364,TOM·TOM STUDIO,Studio,〒1500011 東京都渋谷区東31419,3.5651323139707296e+16,t
p365,KAUE,Venue,Wilhelminenstraße 176 45881 Gelsenkirchen,515175397068581.0,f
p366,Alvic Studiosd,Studio,Wimbledon,,f
p367,Sonic Hifhways Studio,Studio,,,f
p368,Union Street Stuhdios,Studio,,,f
p369,Bjrg Abenberg,Other,Burgstraße 16 911y83 Abenberg Germany,4924329210962848.0,f
p370,Poeranian Philharmonic Hall,Venue,,,f
p371,Pomeranian Philharmomic Hall,Venue,,,f
p372,Tropen inxtitute,Educational institution,Mauritskade 63 Amsterdam The Netherlands,523626924922517.0,f
p373,Hzrd Rock Café Dublin,Venue,12 Fleet St Templd Bar Dublin D02 NW56,,f
p374,Musikhochschle Biel,,,,f
p375,Staggex Hotel,Venue,,,f
p376,JC Arthur Satàns parents,,,,f
p377,Thoshiba EMI Mixdown Room,Studio,,,f
p378,Synchestra Studios,Studio,,,f
p379,Ukonx Stuadio,Studio,,,f
p380,Capella,Venue,Лиговский пр дом 50 корпус 16,599355333036554.0,f
p381,Le Réservoir,Venue,16 rue de la Forge Royale 75011 Paris France,488514472380528.0,f
p382,New Langton Arts,Venue,1246 Folsom St San Francisco CA 94103 United States,377746122410999.0,t
p383,Dipoli,Other,Otakaari 24 FI02150 Espoo Finland,6018519824832174.0,f
p384,Music Hall Center for the Performin9 Arts,Venue,350 Madison Street Detroit MI 482s26 United States,4233722283046111.0,f
p385,Stagges Hotel,Venue,,,f
p386,Digraneskirkja,Religious building,,6410778421886278.0,f
p387,Bliss Stvdios,Studio,,,f
p388,Inouïe,,,,f
p389,Friedenskirche,Religious building,,5240096613043411.0,f
p390,دار الآثار الإسلامية,Venue,9X965XV، The corner of Arabian Gulf Road and alShuhada Street across the road from Youm alBahaar by the National Assembly Parliament building، Kuwait City,29368479624.0,f
p391,LT Club,Venue,Tiergartenallee 12 18059 Rostock,5408046412102529.0,f
p392,Presbyterian Church of Mount Kisco,Religious building,,412072737458.0,f
p393,DLR Studio,Studio,,,f
p394,Woocen Digital,,,,f
p395,Rogers Cebtre,Stadium,One Blue Jays ay Toronto Ontario Canada M5V 1J3,4364138979389167.0,f
p396,Roger5 Centre,Stadium,One Blue Jays Way Toronto Ontsrio Canada M5V 1J3,4364138979389167.0,f
p397,The Attic,Venue,170 High Street Cheltenham,519007522074432.0,t
p398,Mayberrv PCH,Studio,,,f
p399,Musical Instrument Museum,Other,Montagne de la CourHofberg 2 B1000,508428364358831.0,f
p400,dada,Venue,Московский проспект 1093 СанктПетербург,598901130317271.0,f
p401,Mixroom Sdtudios,Studio,,,f
p402,Horta Hakl,Venue,,,f
p403,Round the Bend Recording,,Dartmoor,,f
p404,Erock Studio,Studio,,,f
p405,Track Farm,,,,f
p406,Kendall Hall,Venue,,,f
p407,Nurmijärven musiikkiopisto,Educational institution,Keskustie 6 FI01900 Nurmijärvi Finland,,f
p408,Prolific Studios,Studio,Units E9E11 KG Business Centre Northampton NN5 7QS United Kingdom,52252609179.0,f
p409,Boxwood Studios,Studio,,,f
p410,Ballyhoo Studio,Studio,,,f
p411,Classic Sound L5d,Studio,,,f
p412,Fast Forward Studios,Studio,,,f
p413,Museum of Arts and Design,Other,2 Columbus Circle New York NY 10019,40767573981944.0,f
p414,Ricoh Arena,Stadium,Phoenix Way Rowleys Green Coventry England CV6 6GE,524480561495556.0,f
p415,Killion Sound,Studio,,,f
p416,The Manor Mobile,Studio,,,f
p417,The Firehouse,Venue,1015 N 1st St Phoenix AnZ 85004,3.3458065112072556e+16,t
p418,St Pauls Lutheran Church,Religious building,4900 Connecticut Ave NW Washington DC 20008,389537577070432.0,f
p419,North Farmington High School,Educational institution,32900 West 13 Mile Road Farmington Hills Michigan 48334 United States,4251683376.0,f
p420,Crossroacls Garage,Venue,,,f
p421,Pollack Hall,Venue,555 Sherbrooke Street West Montreal Quebec Canada H3A 1E3,4550574973573358.0,f
p422,St Jean Baptiste,Religious building,,,f
p423,Apple Store Third Strret Promenade,Other,1415 Third Street Promenade Santa Monjica CA 90401,3.401541711849536e+16,f
p424,Upside Down Studio,Studio,8512 Santa Monica Blvd Los Angeles CA,,f
p425,The Basement,Venue,Marsh Street Hanley StokeonTrent ST1 1JA,53024055218058.0,f
p426,Thalia Kino,Venue,Görlitzer Straße 6 01099 Dresden,5106682313754261.0,f
p427,BBC Radio 2 Studos,Studio,,,f
p428,Piazza Napolsone,Other,Piazza Napoleone 27 55100 Lucca LU Italy,4384139710502667.0,f
p429,Joonior Studjos,Studio,,,f
p430,Joonior Studiosz,Studio,,,f
p431,Nugget Events Center,Venue,,,f
p432,National Guard Armory,Other,Ocean Avenue Long Branch NJ USA,,f
p433,BernHaus Studio5,Studio,,,f
p434,Spock Studio,Studio,,,f
p435,Nemo Studios,Studio,,,t
p436,Cole Rehearsal Studios,Studio,,,f
p437,∠Rスタジオ,Studio,,,f
p438,Ardingly Studio,Studio,,,f
p439,The Jafa Cake,Venue,28 Kings Stablesy Road Edinburgh EH1 2JY,559484823203925.0,t
p440,AB Recorders,,,,f
p441,Sandkvie Studio,Studio,,,f
p442,St Catharines Colege Cambridge,Educational institution,St Catharines College Cambridgw CB2 1RL UK,5220301169.0,f
