release,name,barcode,status,packaging,language,script,quality
rl_fab112a0,Historias de Amor,,Official,,Portuguese,Latin,1
rl_1e84f472,The All Electric House,613878230013.0,Official,Digipak,English,Latin,1
rl_1ff30dbe,Homenaje Inconcluso a Rafael Hernández Y Pedro Flores,,Official,,Spanish,Latin,1
rl_5bbc208a,Ballet of the Brute,8025044008722.0,Promotion,,English,Latin,1
rl_7bf405c3,Uptown Jump,,Official,,English,,1
rl_b9734e9a,SideQuests Vol 1,,Official,,English,Latin,1
rl_01ed0167,Arriving on Stros Mkai,,Official,,,,1
rl_e8405249,Helium C4unch,,Official,,English,Latin,1
rl_a1af091b,Cold,,Official,,English,Latin,1
rl_027677b2,東方幻奏録,,Official,,English,Latin,1
rl_37a854cf,Hard to Handle,,Official,,English,Latin,1
rl_d30a19a9,Edition I Dido and Aeneas  King Arthur  The Fairy Queen,825646920167.0,Official,,English,Latin,1
rl_0391c96e,The Past Prelude,6430033630013.0,Official,Super Jewel Box,English,Latin,1
rl_249630bb,Between the Devil and the Deep Blue Sea,765387418922.0,Official,Jewel Case,English,Latin,1
rl_482b289b,Revientan los parlantes,,Official,,Spanish,Latin,1
rl_86c80db5,The Best Of Bov Berg On Denon,81757859325.0,Official,,,,1
rl_fa65770b,Ace Troubleshooter,,Official,,English,Latin,1
rl_7f5206b4,Drones Textures Musical FX,,Official,,English,Latin,1
rl_6f33734b,Baneful Smies,,Official,,English,Latin,1
rl_b37476a2,Natural Rebel,4050538423846.0,Official,Digipak,English,Latin,1
rl_afb8cd05,Fujiysma Mama,,Official,,English,Latin,1
rl_4980a37e,Basic Original Hits,724348602220.0,Official,Jewel Case,English,Latin,1
rl_8e101aa9,Lady Godiva  De profundis  Toman and the Wood Nymph,95115982129.0,Official,,English,Latin,1
rl_9dab308d,Cla5sics,,,,English,Latin,1
rl_68dbb6be,Promo Only Mainstream Club July 2008,,Promotion,,English,Latin,1
rl_0570c43d,Poets Heart,81227148423.0,Official,,English,Latin,1
rl_e3709026,DJ Play My Blues,788065510428.0,Official,Jewel Case,English,Latin,1
rl_699ffa7e,The Essential Modern Soul Se|ection,,Official,,English,Latin,1
rl_8b4dcd8f,Chuta,3521383441367.0,Official,,Arabic,Latin,1
rl_1f1b26a5,American Baroque Steel String Surprise,795527905623.0,Official,,English,Latin,1
rl_0cdef26d,17 Ways,,,,English,Latin,1
rl_9b2eaa07,Potłuczone Aureole,,Official,,Polish,Latin,1
rl_23737d5d,Real Country,,Official,,English,Latin,1
rl_cfec597a,Eesti 70ndad,4740156506259.0,Official,Jewel Case,Estonian,Latin,1
rl_b1ed6792,Young Love,,Official,,English,Latin,1
rl_4879cddb,I Got Time  Stars Shine,,Official,,English,Latin,1
rl_561d09f4,Forced to Confess,,Bootleg,Fatbox,English,Latin,1
rl_4403e2f1,Faces Forjs and Illusions,741157993622.0,Official,,English,Latin,1
rl_a9ae1135,Faces Forms and Ilkusions,741157993622.0,Official,,English,Latin,1
rl_8d34e248,Бездна,,Official,,Russian,Cyrillic,1
rl_32a3294d,Music With Ni Name Volume One,,Official,Jewel Case,English,Latin,1
rl_90338862,This Time I Know,5099964614724.0,Official,,English,Latin,1
rl_e5d02d32,Livw At 930 Club Washington DC,,Bootleg,,,,1
rl_d9652c87,Live At 930 Club Washington DC,,Bootleg,,,,1
rl_b9a6dc80,The Gathering Storm,,Official,,English,Latin,1
rl_1b103438,Blue Lambency Downward,798546235122.0,Official,,English,Latin,1
rl_52d26184,Bien acompañado edición de lujo,,Official,,Spanish,Latin,1
rl_f1b203bf,Resident Evil Apocalypse Complete Promo Score,,Promotion,,English,Latin,1
rl_8140da33,Penetration,4006759833650.0,Official,,English,Latin,1
rl_dd3eb50c,Bill Sims,,Official,,English,Latin,1
rl_58edc783,Kontor T0p of the Clubs Volume 55,4250117618506.0,Official,Digipak,English,Latin,1
rl_91040b4b,Volume 84 Dominant Seventh Workout,,Official,,English,Latin,1
rl_663df724,Ornate Culmination,634479875106.0,Official,,English,Latin,1
rl_30b80b29,20060613 The Ambassador Dublin Ireland,,Bootleg,,English,Latin,1
rl_58a6dabe,Millenium Celebration Album,,Official,,English,Latin,1
rl_ebe01fd0,Phykogenesis,,Official,,English,Latin,1
rl_a607d857,Master Série Volume 3,731455862829.0,Official,Jewel Case,French,Latin,1
rl_426b54e6,Alice Nine Complete Collection 20062009,,Official,,Multiple languages,Multiple scripts,1
rl_d7dacabe,Escspe the Fate,602527531038.0,Official,Jewel Case,English,Latin,1
rl_33066235,Master Sér'le Volume 3,731455862829.0,Official,Jewel Case,French,Latin,1
rl_5ee88e5b,Home 20032006,844667004540.0,Official,,English,Latin,1
rl_4731d1ba,Glitched Witched  Zipped Volume 3,,Official,,English,Latin,1
rl_0c2cb64c,The Hiref Hand,759333005014.0,Official,,English,Latin,1
rl_99f7d08d,Straigh5 Life,25218647526.0,Official,Jewel Case,English,Latin,1
rl_f5a228eb,Stomp 342,4988002366484.0,Official,Jewel Case,English,Latin,1
rl_035d544c,Mother Tongue One,,Official,,English,Latin,1
rl_007944d5,Rumos Brasil da música 005,7898060833149.0,Official,,Portuguese,Latin,1
rl_201e42fb,Mindcrimws,5099751627722.0,Official,,English,Latin,1
rl_3be1249f,Way Low,3615933877864.0,Official,,English,Latin,1
rl_34747739,Way L0w,3615933877864.0,Official,,English,Latin,1
rl_fb0e63c1,Everywhwre Is a Strange Part of Somewhere,,Official,,English,Latin,1
rl_c2e96e79,Everywhere Is a Strange Part og Somewhere,,Official,,English,Latin,1
rl_ec29a34d,Customs,,Official,,English,Latin,1
rl_19efa43f,Bored Teensgers Volume 3,5032733000991.0,Official,,English,Latin,1
rl_d4b856a8,Gorelics,,Official,,English,Latin,1
rl_67db3242,Presenting Harry James,5022508206949.0,Official,Jewel Case,English,Latin,1
rl_8e9bd9ee,Heretic,,Official,,English,Latin,1
rl_41364664,Driftkng Sideways EP,,Official,,English,Latin,1
rl_c840816a,Upgrade IV,,Official,,,,1
rl_0a0c812f,Live in Nancy 1975 Vol2,,Official,,English,Latin,1
rl_62eaf138,Kwy Lime Pie,77778612728.0,Official,,English,Latin,1
rl_56c18631,Key Lirne Pie,77778612728.0,Official,,English,Latin,1
rl_fa6fdbb5,BLKBMBR Baby Thats No Hero,,Official,,English,Latin,1
rl_20d58161,Apprpx Twelve,880918070421.0,Official,,English,Latin,1
rl_2b7ddaf8,Passport to India,,Official,,English,Latin,1
rl_8bb617e7,Meeeaux,,Official,Other,English,Latin,1
rl_4d6f3e30,一人ぼっちの二人,,Official,,,,1
rl_86c7c071,Renouncement,5065001015007.0,Official,,English,Latin,1
rl_0dd5dbe3,Suburban Light,5024545136227.0,Official,Jewel Case,English,Latin,1
rl_1199ae46,National Anthems disc 1,,Official,,English,Latin,1
rl_02b25ef7,Promo Only Mairistream Radio October 2010,,Promotion,,English,Latin,1
rl_b17441cf,Street Takes,,Official,,English,Latin,1
rl_5f56d41f,Kleiner Eisbär  Lars hilf mir fliegen  Lars rettet die Rentiere,9783837306286.0,Official,Jewel Case,German,Latin,1
rl_479b800f,Zeitgeschichte Das Beste von und für Annette Humpe,602527560168.0,Official,,German,Latin,1
rl_3f528413,Negro Spiritual5 The Concert Tradition 19091948,3448960216821.0,Official,Jewel Case,English,Latin,1
rl_20158f88,Magnolia,,Official,,English,Latin,1
rl_091c8635,Madonna Tokyo 1987,,Bootleg,,English,Latin,1
rl_71626d66,Cold Day,687480040124.0,Official,,English,Latin,1
rl_6ec714fe,Love  Lies,,Official,,English,Latin,1
rl_e75c2976,Impeccable Micro,,Official,,English,Latin,1
rl_18d8a26f,Evolution The New Breed of Electronic Pop,628740638224.0,Official,,English,Latin,1
rl_fca8012c,あきれた男たち,,Official,,Japanese,Japanese,1
rl_4a27f943,Armastus1aulud,4743154000064.0,Official,,Estonian,Latin,1
rl_7d92ec01,13 Jaar Terreur De Megamix,8713290501011.0,Official,Jewel Case,Dutch,Latin,1
rl_cfef51ea,Ar1<,,Official,,English,Latin,1
rl_9a17232a,Natural Science,,Official,,English,Latin,1
rl_d39379e0,The Netvvork,,Promotion,,English,Latin,1
rl_fd58e285,Live in Muemster 2003,,Official,,English,Latin,1
rl_50dbdf6a,Beethoven,8811059323.0,Official,,English,Latin,1
rl_59ca8461,Year of the Monkey,,Official,,English,Latin,1
rl_8acc3613,E Pluribus MOTO,,Official,,English,Latin,1
rl_0664df78,Wide Open,669890201623.0,Official,,English,Latin,1
rl_713798a7,The Bivouac,884860069120.0,Official,Jewel Case,English,Latin,1
rl_ed5150b2,Down Tbere,,Official,,English,Latin,1
rl_0e8dfae0,Bilder einer Ausstellung Pictures at an Exhibition,,,,German,Latin,1
rl_9cd58e5c,Monument to Thieyes,,Official,,English,Latin,1
rl_95a0193d,Natu5al Selection,,Official,,English,Latin,1
rl_0c7999a1,Natural Selectjon,,Official,,English,Latin,1
rl_226f1f74,GString,54645219921.0,Official,Jewel Case,English,Latin,1
rl_a9dcc114,Shivering King and Others,744861056621.0,Official,Jewel Case,English,Latin,1
rl_feb96ead,Milestones 30 Years of Chandos,95115003022.0,Official,Other,English,Latin,1
rl_799c7d0c,2001w002,,,,German,Latin,1
rl_01b6d801,Ruined in Repetition,,Official,,English,Latin,1
rl_51451b80,The Stones of Wisdom,,Official,,English,Latin,1
rl_84cfdeab,The Chronological Classics Wingy Manone and His Orchestra 19401944,3307517109125.0,Official,Jewel Case,English,Latin,1
rl_9b3acf23,The Nat King Cole Collection,792755510926.0,Official,,English,Latin,1
rl_68a9d3e5,Exceptionnel,,Official,,English,Latin,1
rl_55fec5cf,Les Dudek  Rick Serattes Mondo Sports,,Official,,English,Latin,1
rl_ab5429ad,Greatest Hits Volume 1,,,,English,Latin,1
rl_7fdb2d61,Abrete Sésamo,5099746438326.0,Official,Jewel Case,Portuguese,Latin,1
rl_9fce293e,From Paris W'lth Love,5060001270715.0,Official,,English,Latin,1
rl_eb6e4622,Lumina,,,,English,Latin,1
rl_3f5a2e59,Well Matched The Best of Merl Saunders  Jerry Garcia,,Official,,English,Latin,1
rl_04c39a5c,Archives Volume 1 What Were We Thinking,,Official,,English,Latin,1
rl_724b0a28,That Reason,,Official,,English,Latin,1
rl_401f5f26,Betseen Waves,602527238302.0,Official,Digipak,English,Latin,1
rl_4ab3ac47,20 Rock  Roll Classics Part 1,,,,English,Latin,1
rl_4b043788,The Andy Williams Sound of Music,,Official,,English,Latin,1
rl_444ab7f5,Made In Jamaica  Reggae Music fr0m the Motion Picture,,Official,,English,Latin,1
rl_4641a5f2,Zilte zee en zure bommen,,Official,,Dutch,Latin,1
rl_79f0d4de,Who Does the Freedom and Equality Exist For,,Official,CardboardPaper Sleeve,English,Latin,1
rl_2734a68b,20080614 Download Festival 2008 Donington Park UK,,Bootleg,,English,Latin,1
rl_8958b48b,20080614 Download Festival 2008 Donington Park UK,,Bootleg,,English,Latin,1
rl_aba2962b,Mulling It Over,,Official,,English,Latin,1
rl_165e1de4,Costellazioni,,Official,,Italian,Latin,1
rl_8275f6be,Cuerpo,,Official,,Spanish,Latin,1
rl_56c73f5e,This Sikence Kills,880319534829.0,Official,,English,Latin,1
rl_68e0f3c7,Rose Vuntage,,,,,,1
rl_d6dcfdcf,幽遊白書 ミュージックバトル編,4988013773837.0,Official,,Japanese,Japanese,1
rl_7260ad93,Lá an Dreoi1ín,656297011856.0,Official,Jewel Case,Multiple languages,Latin,1
rl_27b04c88,「ハヤテのごとく」 2nd seas0n オリジナル・サウンドトラック,4988102596521.0,Official,,Japanese,Japanese,1
rl_d1ff21a7,Take Me Down,93716004370.0,Official,,English,Latin,1
rl_0fed2ee1,Catone in Utica,706301123225.0,Official,,Italian,Latin,1
rl_d0454689,Komolyzene  Serious Music,,Official,,Multiple languages,Latin,1
rl_cf13d05f,Ancient Music for a Modern Age Sequentia,,Official,,English,Latin,1
rl_732466dc,Blovv  Order,9005216005505.0,Official,,English,Latin,1
rl_2ca5b240,Blow  Order,9005216005505.0,Official,,English,Latin,1
rl_6c9055b4,20021210 Broadway Reykjavík Iceland,,Bootleg,,English,Latin,1
rl_80a1ec7f,Canciones 8496,724353058722.0,Official,,Spanish,Latin,1
rl_79e5f51e,Chante en Espagnol Nº 2,,Official,,Spanish,Latin,1
rl_86785cea,Get tbe Picture,,Official,,English,Latin,1
rl_22350731,Douche Eyes,,Official,,English,Latin,1
rl_1abea99d,Traditionaj Songs of Scotland,717794312126.0,Official,Jewel Case,English,Latin,1
rl_4c0845aa,Oboe Concertos of the Classical Era,735131904520.0,Official,,English,Latin,1
rl_0b27d2e3,Raise The Pressure,724384173524.0,,,,,1
rl_95fb4815,Westing by Musket and Sextant,36172901418.0,Official,,English,Latin,1
rl_23e2934c,Curse of the Drinkin Class,,Official,,English,Latin,1
rl_b652142c,Collection,,Official,,Swedish,Latin,1
rl_bca22a50,Mudmen,,Official,,English,Latin,1
rl_7a0bcb51,Wa|tz,,Official,,,Latin,1
rl_0f5e2978,Walts,,Official,,,Latin,1
rl_a06d0915,Alma y Locura y sus éxitos,,Official,,Spanish,Latin,1
rl_e6ef4ef1,Kädenjälki,5099920622824.0,Official,,Finnish,Latin,1
rl_014e62ed,Live,5099704818924.0,Official,,English,Latin,1
rl_7bbf4f3c,Mambo of the Times,,Official,,Multiple languages,Latin,1
rl_d58f142b,Symphony on the Green,,Official,Fatbox,English,Latin,1
rl_ce6b77ed,20080204 Workplay Birmingham AL USA,,Bootleg,,English,Latin,1
rl_4cc3ad2c,Good Morning Judge,45778037421.0,Official,,English,Latin,1
rl_61c5e761,三代目三遊亭金馬 名演集 10 弥次郎・二十四孝・茶の湯,4988013102040.0,Official,Jewel Case,Japanese,Japanese,1
rl_abb1278b,Statement,8811236427.0,Official,,English,Latin,1
rl_e027db68,19850601 St Jakobs Stadion Basel Switzerland,,Bootleg,,English,Latin,1
rl_7343aa7e,Two Thousand Miles From Her4,,Official,,English,Latin,1
rl_43986c43,Katia  Marielje Labèque,,Official,Fatbox,Multiple languages,Latin,1
rl_21866bd9,全曲集,4988003250126.0,Official,Jewel Case,Japanese,Japanese,1
rl_df92474f,Excel,,Official,,English,Latin,1
rl_92e2b217,Lá an Dreoilím,656297011856.0,Official,Jewel Case,Multiple languages,Latin,1
rl_2761ad27,Power Works,,Official,,,,1
rl_7ec71b74,A Time For Storm,,Official,,English,,1
rl_40e0f766,Goodnight Bul1 Creek,5099926822020.0,Official,,English,Latin,1
rl_9ea1fe22,Fields,724596945124.0,Official,,English,Latin,1
rl_5676e9a2,Oneness Riddlm Selection,,Official,Digipak,English,Latin,1
rl_85ebe82f,Oneness Riddiiii Selection,,Official,Digipak,English,Latin,1
rl_2348dac5,White Elephant,,Official,,English,Latin,1
rl_a8f52d4e,Cona,,Official,,English,Latin,1
rl_2aa8ef19,NEW DANGANRONPA V3 OST WHITE,,PseudoRelease,,,,1
rl_d6733e60,Master Series,731453423022.0,Official,,English,Latin,1
rl_dc97d34a,Kjære landsmenn Bjelleklamgs beste,,Official,,Norwegian,Latin,1
