artist_credit,name,artist_count,ref_count,created
ac_9a05f585,Kate MavLeod,1,86,20110516 16321196392900
ac_0f7c27fd,Stevej Halpern,1,3433,20110516 16321196392900
ac_4c131a71,The Shamen,1,2778,20110516 16321196392900
ac_a2d2e58c,Susumu Yokota,1,1005,20110516 16321196392900
ac_ce630104,Carouge,1,30,20110516 16321196392900
ac_2d8590cb,Kutlesd,1,624,20110516 16321196392900
ac_9c289afa,Deep Dish,1,962,20110516 16321196392900
ac_b7264f5c,Bwrnd Kohlhepp  Jürgen Treyz,2,124,20130706 21561355970600
ac_ea4f5e4c,San Cisco,1,397,20120113 13174596177800
ac_d681dcd1,Michale Geaves,1,610,20110516 16321196392900
ac_3467f67f,伊藤真澄,1,880,20220908 21010819619700
ac_131042d0,Conrad Schnitzler,1,1983,20110516 16321196392900
ac_4683d1eb,Sin Eatet,1,2,20210819 16423294976600
ac_d5612102,Sin Eate4,1,2,20210819 16423294976600
ac_95b1eb22,Stephen Janetzko  Celine Berton,2,4,20140129 20023385848900
ac_eb3ed5ba,NǽnøĉÿbbŒrğ VbëřřĦōlökäävsŦ,1,272,20110516 16321196392900
ac_1c374825,High Tone Son of a Bitch,1,92,20190902 17474942925300
ac_150adf13,Marlango,1,368,20110516 16321196392900
ac_8e2cd7a8,Azking Abby,1,50,20110516 16321196392900
ac_4b13a602,Twilight Creeps,1,78,20170715 23075314791200
ac_7e94c7c3,Loircord,1,22,20110516 16321196392900
ac_00d8e8c5,Tim Janis,1,795,20110516 16321196392900
ac_507f6d94,Go West,1,1562,20110516 16321196392900
ac_0639ffae,J0hnny Griffin,1,931,20110516 16321196392900
ac_b3406cff,A Flock of Seagulls,1,2530,20110516 16321196392900
ac_c7ada1bf,Chris Bscon,1,352,20110516 16321196392900
ac_f5f714af,Johanson  Vennad,1,63,20110516 16321196392900
ac_14211571,Deepsicle,1,58,20110516 16321196392900
ac_eafe6563,Deepsire,1,58,20110516 16321196392900
ac_2146b65e,Beat Happening,1,906,20110516 16321196392900
ac_087089b6,Steven Wray Lobdell,1,30,20110516 16321196392900
ac_d26df141,Sidney Bechet,1,5373,20110516 16321196392900
ac_ddfc30ef,Päiui Paunu,1,243,20110516 16321196392900
ac_9023c5fc,David Wise,1,1963,20110516 16321196392900
ac_03c8fb4b,Back tl Earth,1,595,20110516 16321196392900
ac_3417cd41,Thieves Like Us,1,292,20110516 16321196392900
ac_2ed5e868,Malignant Tuiiiour,1,674,20110516 16321196392900
ac_1c20d92a,Willi Weitzel,1,72,20110516 16321196392900
ac_97dbbfa5,Kre1d feat Jófríður,2,4,20200314 2158352548900
ac_95311b21,Dopapod,1,213,20131204 16470253762600
ac_4725da8b,George Wallington Quintet With Donald Byrd  Jackie McLean,3,50,20210222 05044325363700
ac_0636cc7d,Sonna Rele,1,21,20110516 16321196392900
ac_ce643fc8,Martin Straka,1,90,20120816 02130217011500
ac_0b8e97ab,Teoman,1,668,20110516 16321196392900
ac_bf9323e3,周杰倫,1,2271,20110516 16321196392900
ac_f89c5d7d,Gisèl3 Favre,1,26,20121026 19533736898900
ac_ee8d9bc5,Los Dos y Compañeros,1,131,20110516 16321196392900
ac_3cb6d38c,Jan Eggum,1,725,20110516 16321196392900
ac_d7866be5,Jun8p,1,366,20110516 16321196392900
ac_0fc1289f,Joseph Haydn,1,50195,20110516 16321196392900
ac_52536709,Vijay Prakash Tippu Priya Subramanl Solar Sai Emcee Jesz  Srik,6,3,20130128 1606106555200
ac_18bb6371,WHYDOLL,1,216,20140210 00342793514500
ac_59c3b2aa,Lag,1,64,20141112 04032795954100
ac_59082426,David Newman,1,2807,20110516 16321196392900
ac_1f49539a,Κώστας Τουρνάς,1,415,20110516 16321196392900
ac_7e616fe4,Anberlin,1,1301,20110516 16321196392900
ac_f97eebee,Taha Khaled Favdel,3,31,20110516 16321196392900
ac_017b6b83,Paddy Noonan and His Grand Band,1,124,20110516 16321196392900
ac_5c59f43e,Riccardo Cocciante,1,2422,20110516 16321196392900
ac_66dcb100,Sin Eater,1,2,20210819 16423294976600
ac_82afe5c0,Rainer,1,280,20110516 16321196392900
ac_f8fbcbc3,Råd Kjetil and The Loving Eye of God,1,38,20110516 16321196392900
ac_3c1636f0,Skids,1,802,20111118 11291156028900
ac_492a378b,Stanlev Clarke feat Larry Carlton Billy Cobham Deron Johnson  Najee,5,3,20121210 20154426208300
ac_a3885a8b,Young Mozart,1,228,20110516 16321196392900
ac_07d17059,迪克牛仔,1,428,20110516 16321196392900
ac_60652d1e,Rosannas Raiders,1,96,20110516 16321196392900
ac_81507192,Tears of Martyr,1,51,20110725 12181496300100
ac_f5d83841,The Bakers,1,26,20110516 16321196392900
ac_9410eada,Marian Anderson,1,371,20110516 16321196392900
ac_7ca0d552,Le Rok,1,61,20110516 16321196392900
ac_9abf4885,Wo1fe Tones,1,1397,20110516 16321196392900
ac_69fb1976,Megacleth,1,7918,20110516 16321196392900
ac_8039f6d9,Megsdeth,1,7918,20110516 16321196392900
ac_05cca439,PsyAuiah,1,634,20160530 1600386340700
ac_dbc3beac,Fred LonbergHolm,1,79,20110516 16321196392900
ac_a47f84b8,The Ascet:c Junkies,1,64,20110705 2043356858700
ac_2cfd316e,The Sp0tnicks,1,2525,20110516 16321196392900
ac_c3afbb37,JeanPhilippe Rameau,1,5730,20110516 16321196392900
ac_6cb29a5b,Black Ox Orkestar,1,64,20110516 16321196392900
ac_d498b7e6,Michiko Ogawa Trio,1,30,20130310 07591482821400
ac_417eabbb,Taoisma,1,58,20110516 16321196392900
ac_934eb26c,Creedence Clearvvater Revival,1,9791,20110516 16321196392900
ac_27237def,Russell Wplff,1,68,20110516 16321196392900
ac_929267f2,Les Reines Prochaines,1,278,20110516 16321196392900
ac_2c120072,Marisela,1,411,20110516 16321196392900
ac_cb08a382,Annie MG Schmidt,1,1494,20110516 16321196392900
ac_a12814f9,Bazar,1,12,20110516 16321196392900
ac_0f164fd7,Al Jolson,1,2268,20110516 16321196392900
ac_4c5afeef,Sex Love  Money,1,16,20110516 16321196392900
ac_bb479cb4,Steve Jablonsky,1,3379,20110516 16321196392900
ac_96fa81b1,Tõnis Mägi ja EREO Rostis|av Merkulovi juh,3,1,20120424 07554052633100
ac_acba64b4,Simon Benson  Michael Tauben,2,746,20110516 16321196392900
ac_3f9e73e5,Marina Albero,1,54,20110516 16321196392900
ac_e6e701ca,Ee,1,261,20110516 16321196392900
ac_b02eb741,The Mighty D'lamonds,1,1662,20110516 16321196392900
ac_342dfce4,Julian Sandell  Guy McAffer,2,10,20111102 16181713030200
ac_1a05b5f3,Monster Mike Welsh,1,6,20160412 21001317397400
ac_48325330,Ange1a Wiedl,1,395,20110516 16321196392900
ac_5a657bd0,Эдита Пьеха,1,261,20110516 16321196392900
ac_1b996612,Društvo mrtvih pesnikov,1,208,20110516 16321196392900
ac_1a68a47d,神前暁,1,3868,20110516 16321196392900
ac_db6cb5eb,Michelle Wilson,1,18,20110516 16321196392900
ac_110cdc9c,Kreidler,1,503,20110516 16321196392900
ac_2d8da017,User,1,194,20110516 16321196392900
ac_4b11bdbd,Timbalada,1,501,20110516 16321196392900
ac_f6d579fd,FreiWiod,1,2631,20110516 16321196392900
ac_3a4b26b5,Nükhet Duru  Surp Vartanants Korosu,2,14,20110516 16321196392900
ac_ca637ceb,Clocm DVA,1,1457,20110516 16321196392900
ac_02783336,Ross Harcly,1,1054,20110516 16321196392900
ac_eb1947c2,The Whigs,1,372,20110516 16321196392900
ac_62911809,Suffocatiob,1,715,20110516 16321196392900
ac_bf884341,Frank Chacksfield  His Orchestra,1,1127,20110516 16321196392900
ac_43fbe679,Gioachino Rossini Thomas Allen Agnes Baltsa Francisco Araiza Robert Lloyd Academy of St Martin in the Fields Nevi1le Marriner,7,2,20171216 17311586096300
ac_c30c8228,zoe bat,1,107,20220908 17224312469400
ac_2a022c43,Slusnik Lvna,1,212,20110516 16321196392900
ac_85f9a2cc,Burd Early,1,68,20110516 16321196392900
ac_d403022b,Kaoslogr,1,46,20110516 16321196392900
ac_eb728449,Smadj,1,136,20110516 16321196392900
ac_0b61cb5d,Ferry Corsten,1,2393,20110516 16321196392900
ac_5fb8d3fc,Jil Cap|an,1,367,20110516 16321196392900
ac_234c9685,Hany Shaker,1,76,20110516 16321196392900
ac_4fd6f610,Agathoclrs,1,13777,20110516 16321196392900
ac_8b6bdb47,Unitv One,1,128,20120130 14383998202100
ac_58f160d0,Áine Minogue,1,378,20110516 16321196392900
ac_c011efb0,Don Moen,1,1073,20110516 16321196392900
ac_94b79828,Pete L0ckett,1,444,20110516 16321196392900
ac_71091e1f,Partia,1,111,20110516 16321196392900
ac_34e30527,Dropping Daylight,1,50,20110516 16321196392900
ac_0b701db7,Ayn Rancl,1,2011,20110516 16321196392900
ac_08406c12,Phiiliip,1,72,20110516 16321196392900
ac_3b5b988f,WHYDOLL,1,216,20140210 00342793514500
ac_3ed219b2,Domenico Scarlstti Scott Ross,2,8,20140626 11001420314800
ac_1c4d12a3,Reyli,1,153,20110516 16321196392900
ac_21e5c5b9,The Emergency,1,167,20110516 16321196392900
ac_3cc3c340,Nathan Barr,1,980,20110516 16321196392900
ac_752f4ea4,Frank Tatla,1,482,20110516 16321196392900
ac_2ac0952f,Último Gobierno,1,62,20110516 16321196392900
ac_9c816cfe,Jeweo Timo,1,324,20110516 16321196392900
ac_878747f3,The Feelers,1,340,20110516 16321196392900
ac_e2fe92fb,UNITE,1,34,20110516 16321196392900
ac_55fcc812,Pure Obsessions  Red Nights,1,129,20210420 18184473714200
ac_7bc3bf53,YURiKA,1,220,20170217 1851121192200
ac_352fec07,Tommy Steele,1,653,20110516 16321196392900
ac_cc581f08,Rocky Votolato,1,542,20110516 16321196392900
ac_8b3a0b81,Vision D8vine,1,479,20110516 16321196392900
ac_277c4f73,Junior Murvin,1,600,20110516 16321196392900
ac_9ed55c43,Richard Strauss Jean Sibeljus Birgit Nilsson Janos Solyom,4,2,20130304 19475086652700
ac_0ca4ba72,Sam Taui,1,280,20110522 04484903745400
ac_7e59fabf,Johann Sebastian Bach Harnoncourt Leonhardt,3,8,20151027 17122137406100
ac_f97e74a8,The Vawelines,1,417,20110516 16321196392900
ac_8335510a,GoGoGo Airheart,1,230,20110516 16321196392900
ac_a7721a36,Lil Wayne feat Mannie Fresh,2,19,20120410 23001059796400
ac_4f1f21c5,Johnny Cosy,1,42,20110516 16321196392900
ac_6c37c739,Kutless,1,624,20110516 16321196392900
ac_0db5a9d0,Rename,1,608,20110516 16321196392900
ac_0404b6f1,Anima Vieus,1,30,20110516 16321196392900
ac_6713c42b,Carlos Di Sarli,1,1070,20110516 16321196392900
ac_e3431392,Mecanic Gro9ve,1,10,20110516 16321196392900
ac_cd0f7dbf,Within Temptation,1,3571,20110516 16321196392900
ac_891d804e,William Kraft  National Philharmonic Orchestra,2,46,20200311 17491052374600
ac_1e89ff96,Da Yoopers,1,531,20110516 16321196392900
ac_c5a23a9f,Hot Buttered Rum String Band,1,101,20110516 16321196392900
ac_f4a863ed,Hélène Bleskine et André Dusso|lier,2,88,20110516 16321196392900
ac_427cc8f0,Duoteque,1,128,20110516 16321196392900
ac_5c6db4f0,Ivan Lins,1,1634,20110516 16321196392900
ac_9fc2663f,Blueprintmusic,1,85,20110516 16321196392900
ac_70f32a67,Fear My Thoughys,1,344,20110516 16321196392900
ac_77db617b,Elvis Presley,1,75888,20110516 16321196392900
ac_9eb7754e,Téada,1,165,20110516 16321196392900
ac_e2efc10c,Pigor  Eichhorn,1,352,20110516 16321196392900
ac_d0d65276,Aleem,1,68,20110516 16321196392900
ac_e1b96540,Brin5ley Schwarz,1,736,20110516 16321196392900
ac_51d9ab60,KSU,1,809,20110516 16321196392900
ac_00f89db3,Herman Chittison,1,157,20110516 16321196392900
ac_4af60638,Drakeo the Ruler,1,254,20200303 10045180123800
ac_294a6052,Koomutri,1,94,20110516 16321196392900
ac_a871f24a,Casper Caan,1,2,20220909 10483773635600
ac_adfee0e1,Steve Tilston,1,446,20110516 16321196392900
ac_8f47684f,Johan Ttonestam,1,436,20171129 15143098784600
ac_8b55c095,Joban Tronestam,1,436,20171129 15143098784600
ac_e115bdbf,The Department of Drama of The Catholic University of America,1,20,20110516 16321196392900
