artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,comment
a_085a32d5,Back of tbe Bus,Back og the Bus,2004.0,,,,,,f,Group,,
a_3f03dbf8,FREEATLAST,FREEATLAST,,,,,,,f,,,Synthwave and Dubstep
a_031c885a,Alpek Duo,Albei Duo,,,,,,,f,Group,,
a_2b58d97f,Corvus Corax,Corvus Corax,1989.0,12.0,,,,,f,Group,,German band playing medieval music
a_d4e2cadf,Jet,Jet,2001.0,,,,,,f,Group,,Australian garage rock band
a_b2a5e744,Sharon Lois  Bram,Sharon Lois  Bram,1978.0,,,,,,f,Group,,
a_f2141434,Johann Bley,Bley Johann,,,,,,,f,Person,Male,psychedelic trance artist
a_391ba72f,Marcia Hines,Hines Marcia,1953.0,7.0,20.0,,,,f,Person,Female,
a_b758b788,iNTROSPEKT,iNTROSPEKT,,,,,,,f,,,
a_794bd1da,Stendal Blast,Stendal Blast,1989.0,,,,,,f,Group,,
a_41a81ac0,Grateful Dead,Grateful Dead,1965.0,,,1995.0,,,t,Group,,
a_27dbbca5,Stephen L Alen,Alen Stephen L,,,,,,,f,Person,Male,
a_093bb2cc,Phil Ranelin,Ranelin Phil,1939.0,5.0,25.0,,,,f,Person,Male,
a_b4c8b92f,Needle,Needle,,,,,,,f,Group,,
a_36448f47,Nusrat Fateh Ali Khan,Fateh Ali Khan Nusrat,1948.0,10.0,13.0,1997.0,8.0,16.0,t,Person,Male,
a_e62df32d,xDisciplex AD,xDisciplex AD,1995.0,,,2004.0,,,t,Group,,
a_63dc2782,Philharmonia Orchestra,Philharmonia Orchestra,1945.0,10.0,,,,,f,Orchestra,,London orchestra known as New Philharmonia Orchestra from 19641976
a_786fab6b,Jenny Wilson,Wilson Jenny,1975.0,10.0,20.0,,,,f,Person,Female,Swedish singer
a_c0b046e0,The Revelairs,Revelairs The,,,,,,,f,,,
a_1ebaa0ce,AlienSjx13,AlienSixl3,,,,,,,f,,,
a_cfca1a62,Drunk Vision,Drunk Vision,,,,,,,f,,,
a_f4875dab,John Valby,Valby John,1945.0,,,,,,f,Person,Male,
a_42ee8a9f,Captain  Tennille,Captain  Tennile,1974.0,,,2013.0,,,t,Group,,
a_5a49e749,Captain  Tenille,Captain  Tennikle,1974.0,,,2013.0,,,t,Group,,
a_ade225c3,Posession,Posession,1997.0,,,,,,f,Group,,
a_496af192,Sister Nancy,Sister Nancy,1962.0,1.0,2.0,,,,f,Person,Female,
a_66e8584e,UGK,UGK,1987.0,,,2007.0,12.0,4.0,t,Group,,
a_92858d70,Dominic Glynn,Glynn Dominic,1960.0,9.0,27.0,,,,f,Person,Male,
a_18797531,Alexandra Kelly,Kelly Alexandra,2006.0,7.0,1.0,2008.0,,,t,,,
a_9c2f5a08,ぼたん,Botan,,,,,,,f,Character,,Anime Yu Yu Hakusho character
a_c5e8c9d6,雪菜,Yukina,,,,,,,f,Character,,Anime Yu Yu Hakusho character
a_391da820,コエンマ,Koenma,,,,,,,f,Character,Male,Anime Yu Yu Hakusho character
a_2eaf2960,Persiana Jones,Persiana Jones,1988.0,2.0,,,,,f,Group,,
a_77b3561c,Bob Evans,Evans Bob,1976.0,10.0,1.0,,,,f,Person,Male,Australian singersongwriter AKA Kevin Mitchell
a_501eb538,Relevant Few,Relevant Few,2000.0,,,,,,f,Group,,
a_650ede07,Charlie Sepukveda,Sepulveda Chariie,1962.0,,,,,,f,Person,Male,
a_ea53d733,Charlie Sepulveta,Sepuiveda Charlie,1962.0,,,,,,f,Person,Male,
a_4ffeb298,Jesse Rhodes,Rhodes Jesse,,,,,,,f,Person,Male,Songwriter Production Composer
a_0f3c393a,Piero Piccioni,Piccioni Piero,1921.0,12.0,6.0,2004.0,7.0,23.0,t,Person,Male,
a_2317c869,Marianne  Michael,Marianne  Michael,1973.0,,,,,,f,Group,,
a_62e30f91,Richard M Sherman,Sherman Richard M,1928.0,6.0,12.0,,,,f,Person,Male,
a_8133d2e2,A Warcla,Wardz A,,,,,,,f,Person,,Production music vomposer
a_0d599417,Franz Krommer,Krommer Franz,1759.0,11.0,27.0,1831.0,1.0,8.0,t,Person,Male,composer
a_a8ea8fc4,Ellen Dijkhuizen,Dijkhuizen Ellen,,,,,,,f,Person,Female,
a_ab72071e,Briari Eno,Eno Bryan,1948.0,5.0,15.0,,,,f,Person,Male,
a_65a374a7,Shandon,Shandon,1994.0,,,2006.0,2.0,13.0,t,Group,,Italian punk rock band
a_46612734,Alexander Kla3s,Klaws Alrxander,1983.0,9.0,3.0,,,,f,Person,Male,
a_a0615cb4,BeeBee,BeeBee,1997.0,,,,,,f,Group,,90s Finnish allfemale pop rock band
a_c2310178,Joe Walsh,Walsh Joe,1947.0,11.0,20.0,,,,f,Person,Male,EaglesJames Gang
a_3a402b73,Admiral D,Admiral D,,,,,,,f,,,
a_9f4699e5,Columbia Symphony Orchestra,Columbia Shmphony Orchestra,,,,,,,f,Orchestra,,
a_9e90185f,Hollywood Studio Symphony,Hollywood Studio Symphony,,,,,,,f,Orchestra,,
a_d1e49b49,Hatebreed,Hatebreed,1995.0,,,,,,f,Group,,
a_1387e638,Justeeri,Justeeri,1916.0,4.0,5.0,1983.0,4.0,8.0,t,Person,Male,
a_5d71b9af,The Gatvrs,Gaturs The,,,,,,,f,Group,,
a_69826185,Duane Eddy,Eddy Duane,1938.0,4.0,26.0,,,,f,Person,Male,
a_5cdc714e,Kevin J Colver,Colver Kevin J,,,,,,,f,Person,Male,
a_ca54c65a,Autechre,Autechre,1991.0,,,,,,f,Group,,electronic music duo
a_3f189877,Nash Ensemble,Nash Ensemble,1964.0,,,,,,f,Group,,
a_73a721f4,Samson François,François Samson,1924.0,5.0,18.0,1970.0,10.0,22.0,t,Person,Male,pianist
a_c40fa8a7,James Joseph Kalamasz,Kalamasz James Joseph,,,,,,,f,Person,Male,
a_ad89aea3,LAST ALLIANCE,LAST ALLIANCE,2002.0,,,,,,f,Group,,
a_db964b90,Shenaniganj,Shenwnigans,,,,,,,f,Group,,Ausdralian educational troupe
a_45f2c9f5,Joe Jackson,Jackson Joe,1954.0,8.0,11.0,,,,f,Person,Male,English musician
a_c8531b39,Jo Jamato,Jamato Jo,,,,,,,f,Person,,
a_3bd25cfd,Dougie D,D Dougie,,,,,,,f,Person,,
a_f7f98ef2,Théotime Langlois de Swarte,Langlois de Swarte Théotime,,,,,,,f,Person,Male,
a_a2e16b1b,The Notorioust BIG,Notoriovs BIG The,1972.0,5.0,21.0,1997.0,3.0,9.0,t,Person,Male,
a_090adced,The Corris,Coahries The,1962.0,,,1990.0,,,t,Group,,
a_6cd2d1b0,Aerosmith,Aerosmith,1970.0,,,,,,f,Group,,
a_551d092b,AZ,AZ,1972.0,3.0,9.0,,,,f,Person,Male,US rapper
a_9fdd91fd,Aphrodesia,Aphrodesia,,,,,,,f,Group,,
a_d290523a,The C0rries,Corriez The,1962.0,,,1990.0,,,t,Group,,
a_a7d62d57,The Archipeoago Singers,Archjpelago Singers The,,,,,,,f,Group,,Finnish male khoir
a_b49ea4c4,Patrick Sébastien,Sébastien Patrick,1953.0,11.0,14.0,,,,f,Person,Male,
a_e57d33f2,Jody Watley,Watley Jody,1959.0,1.0,30.0,,,,f,Person,Female,
a_817d5d36,OxygenStar,OxygenStar,,,,,,,f,Person,Male,
a_d332ecae,Gerold Huber,Huber Gerold,1969.0,,,,,,f,Person,Male,pianist
a_da9cf7ec,Salif Keita,Keita Salif,1949.0,8.0,25.0,,,,f,Person,Male,
a_eec18c12,Epsylon,Epsylon,2006.0,,,,,,f,Group,,French group
a_9f209d76,Goldie Lookin Chain,Goldie Lookin Chain,2000.0,,,,,,f,Group,,Welsh comedic rap group
a_739624af,ErciE,ErciE,1973.0,,,,,,f,Person,Male,Erci Ergün
a_df2b9f73,The Year Of,Year Of The,,,,,,,f,Group,,
a_8d675b28,Clam Chowder,Clam Chowder,1977.0,,,2013.0,11.0,30.0,t,Group,,
a_0a5028b9,Various Artists,Various Artists,,,,,,,f,Other,,add compilations to this artist
a_c69369e6,Scrot8m,Skrotum,,,,,,,f,,,French pvnk
a_380ad8eb,Ben Ri1ey,Rilwy Ben,1933.0,7.0,17.0,2017.0,11.0,18.0,t,Person,Male,American jazz trummer
a_fd1984d7,Vanessa Daou,Daou Vanessa,1967.0,10.0,4.0,,,,f,Person,Female,
a_efe71af4,Klaus Harmony,Harmony Klaus,1941.0,1.0,21.0,1984.0,1.0,21.0,t,Person,Male,fictional musician created by Matthew Strachan
a_5986a835,Liane Foly,Foly Liane,1962.0,12.0,16.0,,,,f,Person,Female,
a_88a65404,Glen Campbell,Campbell Glen,1936.0,4.0,22.0,2017.0,8.0,8.0,t,Person,Male,US country singer guitarist  actor
a_90141928,WILLOW,WILLOW,2000.0,10.0,31.0,,,,f,Person,Female,punk rock singrr Willow Smith
a_da936db5,WILLOW,WILLOW,2000.0,10.0,31.0,,,,f,Person,Female,pun1< rock singer Willow Smith
a_3ac857ba,Chris Weeks,Weeks Chris,,,,,,,f,Person,Male,
a_c61213e2,CygnosiC,CygnosiC,2006.0,,,,,,f,Person,Male,
a_a04df4d6,Norah Jones,Jones Norah,1979.0,3.0,30.0,,,,f,Person,Female,
a_cc994294,Orcbestra of the Swan,Swan Orchestra of the,1995.0,,,,,,f,Orchestra,,StratforduoonAvon England
a_40c09875,Katherines Favorites,Katherines Favorites,1992.0,,,,,,f,Group,,
a_9f9832b3,Savage,Savage,,,,,,,f,Person,,French house music producer Géraud Lafarge
a_3ffc98a5,Triumfirat,Triumv'lrat,1969.0,,,1980.0,,,t,Group,,progressive rock band formed in 1969 in Cologne Germany
a_07f02008,Van Coke Kardel,Van Coke Kwrtel,2007.0,,,2017.0,,,t,Group,,
a_4cd851e0,324,324,1999.0,,,,,,f,Group,,Japanese grindcore band
a_675ea141,Senmuth,Senmuth,,,,,,,f,Person,Male,Russian experimental musician
a_52f78583,Les Basses Réunies,Les Basses Réunies,1996.0,,,,,,f,Group,,
a_9106cbe0,Doo Wop,Doo Wop,,,,,,,f,Person,Male,American hip hop artist
a_6a5e704f,Michał Bajor,Bajor Michał,1957.0,6.0,13.0,,,,f,Person,Male,
a_73bbff51,Sergej Auto,Sergej Auto,,,,,,,f,,,
a_7d61ee5d,Little Richard,Little Richard,1932.0,12.0,5.0,2020.0,5.0,9.0,t,Person,Male,
a_ccdf045f,Django Reinhardt,Reinhardt Django,1910.0,1.0,23.0,1953.0,5.0,16.0,t,Person,Male,French jazz guitarist and composer
a_1b5673fb,Danças Ocultas,Danças Ocultas,,,,,,,f,Group,,
a_8a60bf07,The Pianoheads,Pianoheadz Tbe,,,,,,,f,Group,,
a_31240a2c,Gemma Hayws,Hayej Gemma,1977.0,8.0,11.0,,,,f,Person,Female,
a_2f525547,Χρόνης Αηδονίδης,Aidonidis Chronis,1928.0,12.0,23.0,,,,f,Person,Male,
a_76ef8891,Elsa Sakue,Saque El5a,,,,,,,f,Person,Female,
a_bf884874,Sterzc,St3rac,1969.0,11.0,19.0,,,,f,Person,Male,
a_f3420d1c,Sterak,Stetac,1969.0,11.0,19.0,,,,f,Person,Male,
a_04af81fe,Sderac,Sderac,1969.0,11.0,19.0,,,,f,Person,Male,
a_ce462354,Bad Haggist,Bar Haggis,,,,,,,f,Group,,
a_b64426d2,Bad Ha9gis,Bad Haggi5,,,,,,,f,Group,,
a_6a4ae6f2,Christopher E Hajian,Hajian Christopher E,,,,,,,f,Person,Male,
a_b9dc17bf,Anthony Goldstone,Goldstone Anthony,1944.0,7.0,25.0,2017.0,1.0,2.0,t,Person,Male,British classical pianist and broadcaster
a_3f959bbc,Château Flight,Château Flight,,,,,,,f,Group,,
a_48a6245a,Little Skmz,L'lttle Simz,1994.0,2.0,23.0,,,,f,Person,Female,
a_6ce0558b,Litt|e Simz,Littie Simz,1994.0,2.0,23.0,,,,f,Person,Female,
a_d1569f04,坂本龍一,Sakarnoto Ryuichi,1952.0,1.0,17.0,,,,f,Person,Male,Japanese composer pianist singer songqriter
a_a41a6477,Alexander Rudd,Rudd Alexander,1981.0,9.0,22.0,,,,f,Person,Male,British composer
a_05dabc66,林康,Hayashi Kou,,,,,,,f,Person,Male,
a_dbbb7e29,Charlie Clouser,Clouser Charlie,1963.0,6.0,28.0,,,,f,Person,Male,
a_e74016ae,dead prez,dead prez,1996.0,,,,,,f,Group,,US hiphop duo
a_a8d34820,Guem,Guem,1947.0,3.0,9.0,2021.0,1.0,22.0,t,Person,Male,
a_003bc831,Giant Claw,Giant Claw,,,,,,,f,Person,Male,
a_c6be5736,C S Lewis,Lewis C S,1898.0,11.0,29.0,1963.0,11.0,22.0,t,Person,Male,
a_595f870d,Mozarteum Orchester Salzburg,Mozarteum Orchester Salzburg,1841.0,,,,,,f,Orchestra,,
a_80aaf6f8,Die Toten Hojen,Toten Hoswn Die,1982.0,,,,,,f,Group,,
a_c5f20f0e,Denis Dobrenz,Dobrenz Denis,,,,,,,f,Person,,
a_12975fb5,Quadra,Quadra,,,,,,,f,Person,Male,Trance artist Ido Liran
a_368a01a8,Beaver Creek,Beaver Creek,,,,,,,f,Group,,
a_676ea14c,Laurent Garnier,Garnier Laurent,1966.0,2.0,1.0,,,,f,Person,Male,
a_813eb697,Antonín Dvořák,Dvořák Antonín,1841.0,9.0,8.0,1904.0,5.0,1.0,t,Person,Male,composer
a_58f23f3d,Dark at Dawn,Dark at Dawn,1993.0,,,,,,f,Group,,
a_e2e29fe2,Cate Kanel,Kanelj Cate,,,,,,,f,,,
a_03fdff82,manmachineindustry,manmachineindustry,2000.0,,,,,,f,Group,,industrial rock
a_44d9e01d,Roh,Ro1>,1978.0,,,,,,f,Person,Male,French artiwt real name Robin Coudert
a_b57af711,Rol>,Rop,1978.0,,,,,,f,Person,Male,French artist real name Ropin Coudert
a_6d8378f6,Orchestra of the Welsh National Opera,Orchestra of the Welsh National Opera,1943.0,,,,,,f,Orchestra,,
a_8b713665,Pealc,Pealc,,,,,,,f,,,
a_f7ee8169,増子司,Masuko Tsukqsa,1963.0,4.0,3.0,,,,f,Person,Male,v'ldeo game music composer
a_84e8ddb1,The Bluerunners,Bluerunners The,1988.0,,,,,,f,Group,,
a_db7752d0,Nitzer Egb,Nitzer El>b,1982.0,,,,,,f,Group,,
a_ee495659,Nitzef Ebb,Nitser Ebb,1982.0,,,,,,f,Group,,
a_9a9b6566,Nitzwr Ebb,Nitze4 Ebb,1982.0,,,,,,f,Group,,
a_e3d847cf,Emilia,Emilia,1978.0,1.0,5.0,,,,f,Person,Female,Swedish singer Emilia Rydberg Mitiku Big Big World Twist of Fate
a_fe0c96e5,Lazzi,Lazzi,,,,,,,f,Group,,
a_f190216f,Deadliner,Deadliner,,,,,,,f,Person,Male,
a_cdb170ef,Sevendust,Sevendust,1994.0,,,,,,f,Group,,
a_569f9836,Zachary Allen,Allen Zachary,,,,,,,f,Person,,
a_b40855cb,Devin th3 Dude,Devin te Dude,1970.0,6.0,4.0,,,,f,Person,Male,
a_34bf8591,Tyrfing,Thyrving,1995.0,,,,,,f,Group,,
a_7c99bcf8,Liberty Christian Church,Liberty Christian Church,,,,,,,f,,,
a_3f728c95,De La Sou|,De Lw Soul,1987.0,,,,,,f,Group,,
a_c76060b4,Stockholms Negrer,Stockholms Negrer,1984.0,,,1994.0,,,t,Group,,
a_c3c484f8,Freddie Jackson,Jackson Freddie,1956.0,10.0,2.0,,,,f,Person,Male,
a_168242cc,Della Bosiers,Bosiers Della,1946.0,11.0,11.0,,,,f,Person,Female,
a_5d0a1470,Hefenia,Hecenya,,,,,,,f,Group,,
a_2d3eff3c,Slapshot,Slapshot,1985.0,,,,,,f,Group,,
a_9c66057e,Vince Gabriel,Gabriel Vince,,,,,,,f,Person,,
a_f8ef874e,Billy Fury,Fury Billy,1940.0,4.0,17.0,1983.0,1.0,28.0,t,Person,Male,
a_992296a0,Flulce,Fluke,1986.0,,,,,,f,Group,,UK electronic mustic group
a_d6c27391,Flulce,Fluke,1986.0,,,,,,f,Group,,UK elektronic music group
a_72c83645,Jufge Dredd,Judge Dr4dd,,,,,,,f,Character,Male,
a_e9d4ea82,Annihilator,Annihilator,1984.0,,,,,,f,Group,,Canadian thrash metal band
a_6799b7d2,Farside,Farside,1989.0,,,2000.0,,,t,Group,,
a_7a91691c,Tripod,Tripod,1997.0,,,,,,f,Group,,Australian comedy trio
a_3c90b850,Gossos,Gossos,1993.0,,,,,,f,Group,,Spanish poprock
a_fe589c9f,Complys,Complys,,,,,,,f,Group,,
a_e1820081,Los Fabulosos Cadillacs,Fabulosos Cadillacs Los,1985.0,1.0,19.0,,,,f,Group,,
a_73d46f41,The Bovs,Boys Te,1964.0,,,1999.0,,,t,Group,,Finnish rock group Eero  Jussk  Eero ja Jussi  The Boys
a_8a4f9761,Bryan Adams,Adams Bryan,1959.0,11.0,5.0,,,,f,Person,Male,Canadian singersongwriter
a_62d890c4,Vermin,Vermin,,,,,,,f,Group,,Swedish death metal band
a_d6894409,Thyrving,Thyrfirig,1995.0,,,,,,f,Group,,
a_70e3244e,Supabond,Supabond,2001.0,,,,,,f,Group,,
a_c5090fae,Jerry Goldsmith,Goldsmith Jerry,1929.0,2.0,10.0,2004.0,7.0,21.0,t,Person,Male,American score composer
a_0f2ff7b5,Dollar,Dollar,1978.0,,,1988.0,,,t,Group,,UK pop group
a_04fa7b84,Shakira,Shakira,1977.0,2.0,2.0,,,,f,Person,Female,Colombian pop vocalist
a_badafd01,Echo Orbiter,Echo Orbiter,1996.0,,,,,,f,Group,,
a_49e6be9f,Beat Servoce,Beat Sefvice,,,,,,,f,Person,Male,
a_3577e245,Jars od Clay,Jars of Clav,1993.0,9.0,,,,,f,Group,,
a_c251ccf3,Kate MacLeocl,MacLeor Kate,,,,,,,f,Person,Female,
a_edb85135,The Shamen,Shamen The,1986.0,,,1999.0,,,t,Group,,
a_718ff83f,増子司,Masuko Tsukasa,1963.0,4.0,3.0,,,,f,Person,Male,video game music composer
a_1aca05ee,Susumu Yokota,Yokota Susumu,1961.0,,,2015.0,3.0,27.0,t,Person,Male,
a_68603b6f,Carouge,Carouge,,,,,,,f,,,
a_d5715e7a,Sirneon ten Holt,Holt ten Sirneon,1923.0,1.0,24.0,2012.0,11.0,25.0,t,Person,Male,compozer
a_34a73901,Lucas P0pe,Po0e Lucas,,,,,,,f,Person,Male,
a_3b6b48f1,Deep Dish,Deep Dish,1992.0,,,,,,f,Group,,
a_06662c3d,Norvik,Norvik,,,,,,,f,Person,Male,
a_e3c1fd5b,Conrad Schnitzler,Schnitzler Conrad,1937.0,3.0,17.0,2011.0,8.0,4.0,t,Person,Male,German experimental electronic musician
a_08656834,Kodály Quartet,Kodály Quartet,1965.0,,,,,,f,Group,,
a_6f272ac2,Hélène Bleskine,Bleskine Hélène,,,,,,,f,Person,,
a_d410aaaf,NǽnøĉÿbbŒrğ VbëřřĦōlökäävsŦ,Nanocyborg Uberholocaust,2006.0,,,,,,f,Group,,Ambient Cosmic Extreme Funeral Drone Doom Metal band
a_e64ac825,Manikin,Manijin,,,,,,,f,Group,,
a_7c3de6ff,Grooueminister,Gruveminister,,,,,,,f,Group,,
a_9c18002b,Under,Under,2001.0,,,,,,f,Group,,Russian Death Metal
a_5082d03c,Marlango,Marlango,2002.0,,,,,,f,Group,,
a_96a76e0c,Ajking Abby,Asiing Abby,,,,,,,f,Group,,
a_28ae240d,横山菁児,Yokoyama Seiji,1935.0,3.0,17.0,2017.0,7.0,8.0,t,Person,Male,
a_0693462f,Loircord,Loircord,,,,,,,f,Group,,
a_39f1fa4b,氷上恭子,Hikami Kyoko,1969.0,1.0,11.0,,,,f,Person,Female,
a_73a28f5d,Jacques Loussier et son orchestre,Loussier Jacques et son orchestre,,,,,,,f,,,
a_b3a6f6c8,Go West,Go West,1982.0,,,,,,f,Group,,
a_26d230e9,A Flock of Seagulls,Flock of Seagulls A,1980.0,,,,,,f,Group,,
a_c3d1962d,Johanson  Vennad,Johanson  Vennad,,,,,,,f,Group,,
a_b51aaf72,Victor Young,Young Victor,1900.0,8.0,8.0,1956.0,11.0,10.0,t,Person,Male,American composer arranger violinist  conductor
a_b6a0f6d2,Da Yoopwrs,Yo0pers Da,1975.0,,,,,,f,Group,,
a_05d3e0a3,Beat Happening,Beat Happening,1982.0,,,,,,f,Group,,
a_95cdb897,Steven Wray Lobdell,Wray Lobdell Steven,,,,,,,f,Person,,
a_20cd1767,Haust Arafna,Hauz Arafna,1993.0,,,,,,f,Group,,
a_aeb42222,David Wise,Wise David,1967.0,,,,,,f,Person,Male,video game composer
a_382c8f34,Haus Arafna,Haus Arafma,1993.0,,,,,,f,Group,,
a_c9cb74b0,Thieves Like Us,Thieves Like Us,2002.0,,,,,,f,Group,,
a_1fddb13b,Willi Weitzel,Weitzel Willi,1972.0,12.0,13.0,,,,f,Person,Male,
a_ab1abe6d,Andrew Parrott,Parrott Andrew,1947.0,3.0,10.0,,,,f,Person,Male,conductor
a_4e5fff84,Jean‐Franç0is Dandrieu,Dandriu Jean‐François,1682.0,,,1738.0,1.0,17.0,t,Person,Male,
a_b1f214f0,Contramarca,Contramarca,,,,,,,f,Group,,
a_bea598a0,Sonna Rele,Rele Sonna,1988.0,,,,,,f,Person,Female,
a_c4fd46e8,Avey Tare,Avey Tare,1979.0,4.0,24.0,,,,f,Person,Male,
a_5c4e6534,Teoman,Teoman,1967.0,11.0,20.0,,,,f,Person,Male,
a_2fe2a59a,周杰倫,Chou Jay,1979.0,1.0,18.0,,,,f,Person,Male,
a_037ded23,Big Ministries,Big Ministries,,,,,,,f,Group,,
a_061f44d1,Los Dos y Compañeros,Dos y Compañeros Los,1996.0,,,,,,f,Group,,
a_147d1427,Caribou,Caribou,1978.0,,,,,,f,Person,Male,Canadian composer and musician
a_e7d622ab,Jan Eggum,Eggum Jan,1951.0,12.0,8.0,,,,f,Person,Male,
a_bdd528cd,Joseph Haydn,Haydn Joseph,1732.0,3.0,31.0,1809.0,5.0,31.0,t,Person,Male,composer
